MONTH,COUNTRY,DISTRIBUTOR,CUSTOMER,PRODUCT,QUANTITY_UNITS
8,KE,Highchem,AIC KIJABE HOSPITAL,FLEMING 500mg+125mg TABS 14'S,300
8,KE,Highchem,BATIAN PEAK PHARMACEUTICALS LTD,EPILIM 200mg TABS EC 100'S,2
8,KE,Highchem,BATIAN PEAK PHARMACEUTICALS LTD,EPILIM CHRONO 300mg TABS 100'S,1
8,KE,Highchem,BATIAN PEAK PHARMACEUTICALS LTD,LASIX 40mg TABS 20'S,4
8,KE,Highchem,BEL-EA PHARMACY LTD,AMARYL M 2mg/500mg 30'S,10
8,KE,Highchem,BEL-EA PHARMACY LTD,EPILIM CHRONO 300mg TABS 100'S,10
8,KE,Highchem,BEL-EA PHARMACY LTD,FLEMING 875mg+125mg TABS 14'S,13
8,KE,Highchem,BEL-EA PHARMACY LTD,MUCOSOLVAN  1.5G/100ML SYR BT1,144
8,KE,Highchem,BELMONT PHARMACEUTICALS LTD,CO-APROVEL TABS 300/12.5mg 28'S,5
8,KE,Highchem,BELMONT PHARMACEUTICALS LTD,ENTEROGERMINA 5.0ml 10'S,48
8,KE,Highchem,BIBO PHARMACEUTICALS LIMITED,MUCOSOLVAN  1.5G/100ML SYR BT1,48
8,KE,Highchem,BIBO PHARMACEUTICALS LIMITED,RHINATHIOL PROM 125ml SP,24
8,KE,Highchem,CANAAN PHARMACEUTICALS LTD,FLAGENTYL 500mg TABS,10
8,KE,Highchem,CANAAN PHARMACEUTICALS LTD,RESONIUM 454g ADULT POWDER,1
8,KE,Highchem,CARE CHEMISTS LTD,FLEMING 875mg+125mg TABS 14'S,20
8,KE,Highchem,CARE CHEMISTS LTD,LANTUS SOLOSTAR 3ml 5'S,2
8,KE,Highchem,CARE CHEMISTS LTD,LASIX 20mg AMPS 5'S,76
8,KE,Highchem,CARE CHEMISTS LTD,MAALOX PLUS 200MG TABS BL4X10,7
8,KE,Highchem,CARE CHEMISTS LTD,RESONIUM 454g ADULT POWDER,10
8,KE,Highchem,CRYSTAL COTTAGE HOSPITAL,EPILIM 200mg TABS EC 100'S,10
8,KE,Highchem,CRYSTAL COTTAGE HOSPITAL,EPILIM CHRONO 500mg TABS 100'S,10
8,KE,Highchem,CRYSTAL COTTAGE HOSPITAL,FLAGYL 100ml SUSPENSION,100
8,KE,Highchem,D.O.D - ARMY DRUG STORE,AMARYL M 2mg/500mg 30'S,60
8,KE,Highchem,D.O.D - ARMY DRUG STORE,EPILIM 200mg TABS EC 100'S,100
8,KE,Highchem,D.O.D - ARMY DRUG STORE,EPILIM CHRONO 300mg TABS 100'S,10
8,KE,Highchem,D.O.D - ARMY DRUG STORE,EPILIM CHRONO 500mg TABS 100'S,200
8,KE,Highchem,D.O.D - ARMY DRUG STORE,LASIX 40mg TABS 20'S,200
8,KE,Highchem,D.O.D- MOI AIR BASE,EPILIM CHRONO 500mg TABS 100'S,200
8,KE,Highchem,D.O.D SMO KENYA NAVY,EPILIM CHRONO 300mg TABS 100'S,50
8,KE,Highchem,D.O.D SMO KENYA NAVY,EPILIM CHRONO 500mg TABS 100'S,130
8,KE,Highchem,D.O.D SMO KENYA NAVY,LASIX 40mg TABS 20'S,0
8,KE,Highchem,D.O.D SMO KENYA NAVY,TRITACE 2.5 MG TABS 28s,50
8,KE,Highchem,DIADEMS PHARMACY LTD,ENTEROGERMINA 5.0ml 10'S,14
8,KE,Highchem,DIADEMS PHARMACY LTD,MUCOSOLVAN  1.5G/100ML SYR BT1,24
