MONTH,COUNTRY,DISTRIBUTOR,Distributor NAMING,QUANTITY_UNITS
9,KE,highchem,CORDARONE TAB 200mg 30'S,98
9,KE,highchem,DULCOLAX 5MG TABS BL3X10,4
9,KE,highchem,ENTEROGERMINA 5.0ml 10'S,6706
9,KE,highchem,EPILIM 200mg TABS EC 100'S,745
9,KE,highchem,EPILIM 300ml SYRUP,4770
9,KE,highchem,EPILIM CHRONO 300mg TABS 100'S,436
9,KE,highchem,EPILIM CHRONO 500mg TABS 100'S,971
9,KE,highchem,ERCEFURYL 200mg CAPS 28'S,83
9,KE,highchem,ERCEFURYL 4% 90ML SUSPENSION,334
9,KE,highchem,FLAGENTYL 500mg TABS,241
9,KE,highchem,FLAGYL 100ml SUSPENSION,453
9,KE,highchem,FLEMING 228.5mg/5ml 70ml SUSPE..,163
9,KE,highchem,FLEMING 500mg+125mg TABS 14'S,2
9,KE,highchem,FLEMING 875mg+125mg TABS 14'S,857
9,KE,highchem,LANTUS SOLOSTAR 3ml 5'S,1579
9,KE,highchem,LASIX 40mg TABS 20'S,201
9,KE,highchem,MAALOX PLUS 200MG TABS BL4X10,397
9,KE,highchem,MUCOSOLVAN  1.5G/100ML SYR BT1,330
9,KE,highchem,NO SPA 40mg TABS 100'S,125
9,KE,highchem,NO SPA 40mg/2ml INJECTION 25'S,80
9,KE,highchem,NO SPA 40mg/2ml INJECTION 5'S,241
9,KE,highchem,ORELOX 100mg TABS 10'S,120
9,KE,highchem,ORELOX 100ml SUSPENSION,1386
9,KE,highchem,ORELOX 200mg TABS 10'S,561
9,KE,highchem,ORELOX 50ml SUSPENSION,162
9,KE,highchem,PLAVIX 75mg TABS 28'S,333
9,KE,highchem,RHINATHIOL AD 125ml SP,3439
9,KE,highchem,RHINATHIOL ENFT 125ml SP,6843
9,KE,highchem,RHINATHIOL PROM 125ml SP,1763
9,KE,highchem,STILNOX 10mg TABS 14'S,7969
9,KE,highchem,TAVANIC 500mg TABS 5'S,772
9,KE,highchem,TAVANIC INJECTION 500mg,275
9,KE,highchem,XATRAL LP 10mg TABS 30'S,29
9,KE,highchem,XATRAL LP TABLETS 5MG*56s,162
9,KE,laborex,ALL STAR PEN                  ,425
9,KE,laborex,AMARYL M 2MG CP B/30          ,383
9,KE,laborex,APROVASC 150-5MG CP B/28      ,125
9,KE,laborex,APROVASC 300-10MG CP B/28     ,191
9,KE,laborex,APROVASC 300-5MG CP B/28      ,90
9,KE,laborex,APROVEL 150MG RM CP B/28      ,206
9,KE,laborex,APROVEL 300MG RM CP B/28      ,76
9,KE,laborex,BUSCOPAN AMPOULES 20MG 5'S    ,2
9,KE,laborex,BUSCOPAN PLUS TABS 40'S       ,20461
9,KE,laborex,BUSCOPAN TABS 10MG 50'S      .,2891
9,KE,laborex,CLEXANE 40MG INJ 2'S          ,767
9,KE,laborex,CLEXANE INJ  20MG 2'S         ,725
9,KE,laborex,CLEXANE INJ  60MG 2'S         ,2132
9,KE,laborex,CLEXANE INJ 80MG 2'S          ,2962
9,KE,laborex,"CO APROVEL 150/12,5MG RMCP/28 ",215
9,KE,laborex,"CO APROVEL 300/12,5MG RMCP/28 ",1
9,KE,laborex,CORDARONE 200MG CP B/30       ,96
9,KE,laborex,DULCOLAX TABS 5MG 30'S       .,4160
9,KE,laborex,ENTEROGERMINA 2M/5ML F/10     ,102376
9,KE,laborex,EPILIM CHRONO 300MG TABS      ,320
9,KE,laborex,EPILIM CHRONO TABS 500MG 100S ,1522
9,KE,laborex,EPILIM EC TABS 200MG 100'S    ,1603
9,KE,laborex,EPILIM IV 400MG PER VIAL      ,77
9,KE,laborex,ERCEFURYL SUSP BUV F/90ML     ,242
9,KE,laborex,FLAGENTYL 500MG CP B/4        ,1518
9,KE,laborex,FLAGYL SUSP 200MG 100ML       ,179
9,KE,laborex,LANTUS 100UI/ML VIAL 10ML     ,542
9,KE,laborex,LANTUS 300IU/3ML CART/5       ,293
9,KE,laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,473
9,KE,laborex,LASIX INJ 20MG/2ML AMP 5'S    ,2973
9,KE,laborex,LASIX TABS 40MG 20'S          ,4027
