Mercafar_Gmid,Quantity,Expiry
5251780,3107,
5251582,217,
5251582,26,
5251582,106,
5064431,236,
5064431,3200,
8520825,2184,
8520825,5273,
8520825,3285,
8520825,5670,
8520825,270,
8520817,1673,
8520817,525,
8520809,327,
8520809,2000,
3080983,150,
2806289,300,
8287607,50,
8468009,223,
2282283,5,
2282283,38,
2282283,6,
8270173,3000,
8270173,198,
9729400,138,
9729400,1,
2829091,180,
4389086,254,
4590287,100,
8782516,87,
8782516,150,
9241307,2052,
4580684,251,
5354063,200,
2850881,30,
2850881,500,
5354105,10,
5354105,948,
2851889,230,
2851889,530,
2851889,400,
2851889,300,
5354055,642,
5354055,2200,
2850386,1029,
2850386,362,
3885985,900,
5064571,2152,
5064571,3000,
3271780,1500,
8113837,900,
8113704,300,
9434126,1526,
9434126,500,
2529683,180,
2529683,66,
2529782,137,
2529782,100,
2529782,275,
2842185,250,
3136587,102,
3136280,105,
2308682,500,
2046787,91,
2046787,633,
2046787,451,
2308781,260,
2308781,3500,
2529584,1140,
2529584,228,
2841781,1200,
2841781,669,
2841989,306,
2841989,2713,
2841989,1000,
5490578,2651,
9412809,1649,
9412908,300,
9412908,2,
9412908,1,
6673483,1755,
9329714,548,
9329714,95,
5413240,3,
5413240,3119,
5413240,1182,
9224931,5196,
9679712,369,
9679712,1407,
9679712,1000,
9679712,710,
9679720,54,
9679720,42,
9679720,258,
9679720,3192,
9679720,927,
9679720,1036,
9679720,775,
9679704,1610,
5593322,849,
5593322,6,
5593322,6,
5593322,46,
9295436,1979,
9295436,10217,
9295436,1834,
9295436,223,
2733285,1479,
2733285,4000,
9618801,1230,
9138222,1242,
9138222,1381,
9138222,500,
9662502,1126,
9662502,901,
5594452,2618,
5594452,2351,
5594452,1867,
5593108,202,
5593108,250,
8181602,1,
8181602,1564,
5201165,105,
5201165,36,
8250704,435,
8250704,355,
8250704,138,
8193417,427,
8193516,62,
8768812,300,
5349964,100,
5349964,97,
5349964,8573,
5349964,4,
2595189,164,
5842497,500,
5842398,300,
4600284,70,
4600284,1428,
4600284,1500,
4586491,75,
4586491,61,
4586491,38,
4974986,648,
4974986,278,
