Mercafar_Gmid,Quantity,Expiry
5251582,106,
5251582,117,
5064431,600,
2553188,602,
2553485,770,
8520825,4668,
8520825,270,
8520825,2184,
8520825,1412,
8520825,3861,
8520825,3285,
8520817,55,
8520817,1373,
8520809,1588,
8520809,500,
3080983,20,
2805984,115,
2806289,24,
8468009,223,
2282283,4,
2282283,38,
2282283,6,
8270173,6,
9729400,380,
9729400,1,
5169578,331,
4389086,134,
4590287,5,
8782516,66,
8782516,25,
9241307,2052,
9905604,230,
9905604,20,
5354105,848,
2851889,400,
5354055,2162,
2850386,999,
5064571,1542,
5064571,2250,
5064571,10,
5064571,10,
8113704,10,
8113704,160,
9434126,2760,
2529683,46,
2529782,57,
2529782,100,
2529782,275,
2308682,9,
2046787,257,
2529584,230,
2529584,228,
2841989,256,
2841989,2713,
2841989,1500,
5490578,100,
5490578,14,
9412809,895,
9412908,10,
9412908,2,
9412908,1,
6673483,1751,
9329714,548,
9329714,95,
5413240,3,
5413240,1291,
5413240,1182,
9224931,1958,
9679712,687,
9679712,1000,
9679712,710,
9679712,369,
9679720,537,
9679720,3192,
9679720,1036,
9679704,1212,
5593322,849,
5593322,6,
5593322,6,
5593322,46,
9295436,6617,
9295436,1834,
9295436,223,
9295436,1979,
2733285,300,
9618801,1149,
9138230,100,
9138222,1230,
9138222,1381,
9662502,298,
9662502,751,
5594452,100,
5594452,1076,
5594452,1867,
8181602,1,
5201165,105,
5201165,36,
8250704,4,
8250704,7,
8250704,110,
8193417,427,
8768812,474,
5349964,100,
5349964,97,
5349964,8473,
5349964,4,
2595189,114,
5842497,500,
5842398,500,
4600284,100,
4586491,75,
4586491,61,
4586491,38,
4974986,648,
4974986,278,
