Mercafar_Gmid,Quantity,Expiry
5251780,2985,
5251582,106,
5251582,117,
5064431,600,
2553188,1482,
2553485,1649,
8520825,4668,
8520825,270,
8520825,1412,
8520825,3861,
8520825,2184,
8520825,3285,
8520817,55,
8520817,1373,
8520809,1588,
8520809,500,
3080983,20,
3080983,2500,
2805984,2483,
2806289,24,
2806289,1000,
8468009,223,
8270173,14328,
9729400,551,
9729400,1,
5169578,1331,
5169602,1852,
4389086,134,
4590287,491,
4590287,5,
8782516,66,
9241307,2052,
5354105,3,
5354105,845,
2851889,400,
5354055,122,
5354055,2040,
2850386,999,
3271780,2000,
5064571,892,
5064571,2250,
5064571,10,
5064571,10,
8113845,465,
8113704,50,
8113704,1000,
9434126,2860,
2529683,46,
2529782,57,
2529782,275,
2529782,100,
2842185,1100,
2308682,9,
2308781,500,
2841989,256,
2841989,1500,
2841989,2713,
5490578,14,
5490578,144,
9412809,395,
9412809,1000,
9412908,10,
9412908,2,
9412908,1,
6673483,1651,
9329714,548,
9329714,95,
5413240,3,
5413240,1019,
5413240,1182,
9224931,1758,
9679712,687,
9679712,1000,
9679712,710,
9679712,369,
9679720,3192,
9679720,537,
9679720,1036,
9679704,1212,
5593322,749,
5593322,6,
5593322,6,
5593322,46,
9295436,6257,
9295436,1834,
9295436,223,
9295436,1979,
2733285,5000,
9618801,999,
9138230,2880,
9138222,1230,
9138222,1381,
9662502,200,
9662502,49,
5594452,400,
5594452,1763,
5593108,1500,
8181602,1,
5201165,105,
5201165,36,
8250704,4,
8250704,2,
8250704,5,
8193417,56,
8193516,149,
8768812,468,
5349964,100,
5349964,20,
5349964,8400,
5349964,4,
4600284,1069,
4586491,75,
4586491,61,
4586491,38,
4974986,648,
4974986,278,
