Mercafar_Gmid,Quantity,Expiry
5251780,1607,
5251582,127,
5251582,28,
5251582,17,
5251582,26,
5251582,106,
5064431,236,
2553485,155,
8520825,3861,
8520825,4,
8520825,1508,
8520825,2184,
8520825,3285,
8520825,5670,
8520825,270,
8520817,1673,
8520817,525,
8520809,327,
8468009,31,
8468009,223,
2282283,5,
2282283,38,
2282283,6,
8270173,3632,
8270173,198,
9729400,138,
9729400,1,
2829091,280,
4389086,254,
4590287,40,
8782516,294,
8782516,87,
8782516,150,
9241307,3252,
4580684,20,
4580684,251,
2850881,180,
2850881,5,
5354105,10,
5354105,1248,
2851889,230,
2851889,530,
2851889,400,
5354055,642,
5354055,1000,
2850386,1089,
2850386,362,
3885985,400,
5064571,2152,
5064571,130,
5064571,10,
5064571,10,
9434126,1846,
2046688,50,
2529683,480,
2529683,66,
2529782,137,
2529782,100,
2529782,275,
3136587,102,
3136280,105,
2308682,100,
2046787,343,
2046787,633,
2046787,451,
2308781,260,
2308781,1500,
2529584,1404,
2529584,228,
2841781,669,
2841989,306,
2841989,2713,
5490578,113,
5490578,3378,
9412809,2149,
9412908,615,
9412908,1000,
9412908,2,
9412908,1,
6673483,1755,
9329714,548,
9329714,95,
5413240,3,
5413240,3119,
5413240,1182,
9224931,5196,
9679712,369,
9679712,1407,
9679712,1000,
9679712,710,
9679720,54,
9679720,42,
9679720,258,
9679720,3192,
9679720,927,
9679720,1036,
9679720,775,
9679704,1610,
5593322,849,
5593322,6,
5593322,6,
5593322,46,
9295436,1979,
9295436,10217,
9295436,1834,
9295436,223,
2733285,1479,
9618801,1260,
9138222,1642,
9138222,1381,
9662502,1976,
9662502,901,
5594452,3278,
5594452,2351,
5594452,1867,
5593108,0,
8181602,0,
8181602,789,
8181602,3470,
5201165,105,
5201165,36,
8250704,635,
8250704,355,
8250704,138,
8193417,427,
8193516,62,
8696641,4,
8696641,17,
8696641,50,
5349964,100,
5349964,97,
5349964,8573,
5349964,4,
2595189,164,
4600284,570,
4600284,715,
4600284,1428,
4586491,75,
4586491,61,
4586491,38,
4974986,648,
4974986,278,
