Mercafar_Gmid,Quantity,Expiry
5251780,800,
5251582,217,
5251582,26,
5251582,106,
5064431,1570,
8520825,5050,
8520825,270,
8520825,1412,
8520825,3861,
8520825,2184,
8520825,3285,
8520817,55,
8520817,1673,
8520809,1832,
3080983,9,
2806289,145,
8287607,50,
8468009,223,
2282283,4,
2282283,38,
2282283,6,
8270173,950,
8270173,198,
9729400,1,
4389086,134,
4590287,5,
8782516,87,
8782516,30,
9241307,2052,
9905604,484,
2850881,370,
2850881,30,
5354105,10,
5354105,948,
2851889,230,
2851889,530,
2851889,400,
5354055,642,
5354055,2660,
2850386,362,
2850386,999,
3271780,92,
5064571,1532,
5064571,6000,
5064571,130,
5064571,10,
5064571,10,
8113704,220,
2529683,180,
2529683,66,
2529782,137,
2529782,100,
2529782,275,
3136587,102,
3136280,105,
2046787,526,
2046787,451,
2308781,923,
2529584,1050,
2529584,228,
2841781,1297,
2841989,306,
2841989,1500,
2841989,2713,
5490578,14,
9412809,895,
9412908,200,
9412908,2,
9412908,1,
6673483,1753,
9329714,548,
9329714,95,
5413240,3,
5413240,2591,
5413240,1182,
9224931,4672,
9679712,1047,
9679712,1000,
9679712,710,
9679712,369,
9679720,3192,
9679720,797,
9679720,1036,
9679720,775,
9679720,54,
9679720,258,
9679720,42,
9679704,1290,
5593322,849,
5593322,6,
5593322,6,
5593322,46,
9295436,10217,
9295436,1834,
9295436,223,
9295436,1979,
2733285,92,
9618801,1149,
9138222,1736,
9138222,1381,
9662502,876,
9662502,901,
5594452,116,
5594452,2351,
5594452,1867,
8181602,1,
5201165,105,
5201165,36,
8250704,28,
8250704,355,
8250704,138,
8193417,427,
8193516,62,
8768812,297,
5349964,100,
5349964,97,
5349964,8573,
5349964,4,
2595189,164,
5842497,500,
5842398,500,
4600284,103,
4586491,75,
4586491,61,
4586491,38,
4974986,648,
4974986,278,
