mercafa_gmid;movement_code;quantity;Disount;Customer;Country;Distributor
2841989;SN;44;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
2553188;SN;500;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
2553485;SN;417;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
8270173;SN;3000;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
5490578;SN;1000;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
2733285;SN;500;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
8270173;SN;500;;ECOFARMA;AO;MERCAFAR
5169602;SN;280;;ECOFARMA;AO;MERCAFAR
9412908;SN;500;;ECOFARMA;AO;MERCAFAR
9224931;SN;100;;ECOFARMA;AO;MERCAFAR
5413240;SN;100;;ECOFARMA;AO;MERCAFAR
5594452;SN;200;;ECOFARMA;AO;MERCAFAR
5251780;SN;150;;ETIOGEN, LDA. - A/C FILIPE GOMES;AO;MERCAFAR
5354105;SN;250;;ETIOGEN, LDA. - A/C FILIPE GOMES;AO;MERCAFAR
3885985;SN;50;;ETIOGEN, LDA. - A/C FILIPE GOMES;AO;MERCAFAR
2308682;SN;500;;ETIOGEN, LDA. - A/C FILIPE GOMES;AO;MERCAFAR
2529584;SN;100;;ETIOGEN, LDA. - A/C FILIPE GOMES;AO;MERCAFAR
2841989;SN;400;;ETIOGEN, LDA. - A/C FILIPE GOMES;AO;MERCAFAR
8270173;SN;288;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
9905604;SN;250;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
5490578;SN;50;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
9412908;SN;864;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
5413240;SN;408;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
9138222;SN;100;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
8270173;SN;288;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
9905604;SN;50;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
5490578;SN;50;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
9412908;SN;240;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
5413240;SN;72;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
9138222;SN;100;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
2553485;SN;120;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
8520817;SN;200;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
2805984;SN;20;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
2806289;SN;170;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
5169578;SN;360;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
5169602;SN;500;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
2829091;SN;787;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
9241307;SN;9500;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
9905604;SN;300;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
5354105;SN;300;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
5064571;SN;960;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
8113704;SN;120;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
9434126;SN;100;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
2842185;SN;300;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
2308682;SN;252;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
2841989;SN;800;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
9412908;SN;2766;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
2733285;SN;400;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
