Product Gmid, Product Unified Price
158893,16.15
159086,24.24
293791,27.51
191391,7.87
191379,11.54
190104,1.13
190107,2.94
190106,1.76
515284,7.06
316433,6.05
250545,8.56
592475,3.19
332328,7.65
592504,141.44
227380,3.4
511293,5.4
510643,8.98
188840,3.4
188841,3.5
272453,6.85
519330,15.55
192775,3.4
592560,3.56
278343,1.61
632293,5.21
29585,21.06
389144,22.33
29649,21.07
389146,22.33
29612,20.37
389142,20.37
298191,28
58604,41.99
272773,41.99
592632,1.33
600314,1.68
600315,3.4
329051,2.98
328228,12.96
611636,32.88
296329,39.14
296331,47.42
328151,3.4
611613,7.93
328213,6.1
611618,15.56
328216,7.78
611633,21.43
328226,10.36
611635,27.07
436427,3.36
192768,3.45
335666,7.19
480578,4.68
511532,4.88
190071,4.88
411383,4.57
196179,4.56
192637,4.3
192636,4.3
569252,5
188851,1.8375
188850,1.4
592735,11.95
421873,26.23
592782,1.47
592781,3.4
592778,1.31
316979,4.6
544575,5.06
592806,3.29
544576,5.03
425957,143.06
195146,15.33
323076,4.87
14820,2.43
529654,15.26
14901,3.2
13196,25.46
480201,3.7
537710,3.4
365768,3.13
365770,2.46
539414,4.36
192750,6.75
