Product Gmid,Quantity,Expiry
5251780,800,Oct-20
5251582,217,Jun-20
5251582,26,Apr-19
5251582,106,Sep-19
5064431,1570,Sep-20
8520825,5050,Jul-20
8520825,270,May-21
8520825,1412,Mar-20
8520825,3861,Mar-20
8520825,2184,Mar-20
8520825,3285,Apr-20
8520817,55,Aug-20
8520817,1673,Apr-20
8520809,1832,Dec-20
3080983,9,Oct-21
2806289,145,Jan-22
8287607,50,Jan-22
8468009,223,Sep-19
2282283,4,Jun-21
2282283,38,Mar-22
2282283,6,Jul-22
8270173,950,Sep-20
8270173,198,Jun-19
9729400,1,Oct-20
4389086,134,Feb-20
4590287,5,Jun-20
8782516,87,Sep-21
8782516,30,Sep-21
9241307,2052,Oct-21
2850881,370,Sep-20
2850881,30,May-20
5354105,10,Jun-19
5354105,948,Dec-19
2851889,230,Jun-19
2851889,530,Aug-19
2851889,400,Sep-19
5354055,642,Jun-20
5354055,2660,Sep-20
2850386,362,Feb-19
2850386,999,Apr-20
3271780,92,Oct-21
5064571,1532,Sep-21
5064571,6000,Nov-21
5064571,130,Jul-19
5064571,10,Aug-19
5064571,10,Dec-19
8113704,220,Nov-21
2529683,180,Oct-20
2529683,66,Jun-21
2529782,137,Feb-21
2529782,100,Oct-19
2529782,275,Oct-19
3136587,102,Jun-19
3136280,105,Jul-19
2046787,526,Jul-21
2046787,451,Aug-21
2308781,923,Nov-21
2529584,1050,Oct-20
2529584,228,Jun-21
2841781,1297,Aug-21
2841989,306,Jan-21
2841989,1500,Oct-21
2841989,2713,Oct-21
5490578,14,May-21
9412809,895,Aug-20
9412908,200,Sep-20
9412908,2,Nov-19
9412908,1,Sep-20
6673483,1753,Oct-20
9329714,548,Dec-20
9329714,95,Oct-21
5413240,3,Sep-20
5413240,2591,Jan-21
5413240,1182,Sep-21
9224931,4672,Jul-21
9679712,1047,Aug-20
9679712,1000,Dec-20
9679712,710,Nov-19
9679712,369,Jan-20
9679720,3192,Oct-20
9679720,797,Oct-20
9679720,1036,Dec-20
9679720,775,Dec-19
9679720,54,Jan-20
9679720,258,Mar-20
9679720,42,Mar-20
9679704,1290,May-20
5593322,849,Jul-20
5593322,6,Feb-21
5593322,6,May-21
5593322,46,Jul-21
9295436,10217,Oct-20
9295436,1834,Feb-21
9295436,223,Jun-21
9295436,1979,May-20
2733285,92,Oct-21
9618801,1149,Jun-22
9138222,1736,Oct-21
9138222,1381,Oct-21
9662502,876,Aug-21
9662502,901,Oct-21
5594452,116,May-21
5594452,2351,Sep-21
5594452,1867,Nov-21
8181602,1,Nov-20
5201165,105,Mar-21
5201165,36,Jun-21
8250704,28,Feb-22
8250704,355,Jun-22
8250704,138,Nov-22
8193417,427,Aug-21
8193516,62,Mar-21
8768812,297,Jun-21
5349964,100,Sep-20
5349964,97,Mar-21
5349964,8573,Jun-21
5349964,4,Aug-21
2595189,164,May-21
5842497,500,Dec-21
5842398,500,Sep-21
4600284,103,Sep-21
4586491,75,Dec-20
4586491,61,Jun-21
4586491,38,Jun-21
4974986,648,Nov-20
4974986,278,Jun-21
