country,distributor,customer,product_gmid,supply_price,resale_price,tender_price,special_resale,special_tender,promotion
ET,,,196681,0,13.89,0,0,0,Promoted
ET,,,655023,,11.26,0,0,0,Promoted
ET,,,655024,,15.26,0,0,0,Promoted
ET,,,655025,,22.42,0,0,0,Promoted
ET,,,551042,,7.26,0,0,0,Promoted
ET,,,515056,,12.84,0,0,0,Promoted
ET,,,514930,,16.35,0,0,0,Promoted
ET,,,245298,,3,0,0,0,non-promoted
ET,,,305481,,7.58,0,0,0,promoted
ET,,,641849,,9.26,0,0,0,promoted
ET,,,728129,,11.68,0,0,0,promoted
ET,,,643216,,37.78,0,0,0,promoted
ET,,,505579,,3.37,0,0,0,non-promoted
ET,,,287552,,7.1,0,0,0,Promoted
ET,,,298689,,9.37,0,0,0,promoted
ET,,,544062,,21.27,0,0,0,non-promoted
ET,,,426259,,260.281,0,0,0,non-promoted
ET,,,633072,,31.89,0,0,0,promoted
ET,,,615902,,42.07,0,0,0,promoted
ET,,,196680,,10.36,0,0,0,promoted
ET,,,515056,,12.84,0,0,0,promoted
ET,,,660728,,2.4,0,0,0,promoted
ET,,,660727,,2.7,0,0,0,promoted
ET,,,645818,,7.05,0,0,0,promoted
ET,,,645819,,11.89,0,0,0,Promoted
ET,,,645820,,4.74,0,0,0,promoted
