GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
475982,RE,960,,SI,E.P.DIS,FR
476957,VE,300,,SI,E.P.DIS,FR
476664,VE,28728,,SI,E.P.DIS,FR
476518,VE,17856,,SI,E.P.DIS,FR
298709,VE,530,,SI,E.P.DIS,FR
663985,VE,41229,,SI,E.P.DIS,FR
663992,VE,1078,,SI,E.P.DIS,FR
298709,VE,1920,,SI,E.P.DIS,FR
305928,VE,1920,,SI,E.P.DIS,FR
609071,VE,28229,,SI,E.P.DIS,FR
624774,VE,3872,,SI,E.P.DIS,FR
663992,VE,4395,,SI,E.P.DIS,FR
305928,VE,14350,,SI,E.P.DIS,FR
305928,VE,57440,,SI,E.P.DIS,FR
663985,VE,39040,,SI,E.P.DIS,FR
624774,VE,39060,,SI,E.P.DIS,FR
222428,VE,119,,SI,E.P.DIS,FR
224938,VE,5000,,SI,E.P.DIS,FR
592979,VE,1500,,SI,E.P.DIS,FR
298709,VE,650,,SI,E.P.DIS,FR
242086,VE,2876,,SI,E.P.DIS,FR
592705,VE,24991,,SI,E.P.DIS,FR
342280,VE,13120,,SI,E.P.DIS,FR
489540,VE,41360,,SI,E.P.DIS,FR
551043,VE,30000,,SI,E.P.DIS,FR
305481,VE,12000,,SI,E.P.DIS,FR
298691,VE,12000,,SI,E.P.DIS,FR
545747,VE,9000,,SI,E.P.DIS,FR
261610,VE,11088,,SI,E.P.DIS,FR
638521,VE,51300,,SI,E.P.DIS,FR
342280,VE,13328,,SI,E.P.DIS,FR
298689,VE,9990,,SI,E.P.DIS,FR
354950,VE,57112,,SI,E.P.DIS,FR
307013,VE,19422,,SI,E.P.DIS,FR
305479,VE,2838,,SI,E.P.DIS,FR
298698,VE,3120,,SI,E.P.DIS,FR
285368,VE,960,,SI,E.P.DIS,FR
252040,VE,18896,,SI,E.P.DIS,FR
545747,VE,14932,,SI,E.P.DIS,FR
268014,VE,5700,,SI,E.P.DIS,FR
625681,VE,24153,,SI,E.P.DIS,FR
264980,VE,11000,,SI,E.P.DIS,FR
305928,VE,26960,,SI,E.P.DIS,FR
346667,VE,14000,,SI,E.P.DIS,FR
323487,VE,12700,,SI,E.P.DIS,FR
311122,VE,19520,,SI,E.P.DIS,FR
354890,VE,9336,,SI,E.P.DIS,FR
311168,VE,9360,,SI,E.P.DIS,FR
264433,VE,25,,SI,E.P.DIS,FR
282319,VE,22680,,SI,E.P.DIS,FR
321233,VE,7479,,SI,E.P.DIS,FR
668290,VE,3840,,SI,E.P.DIS,FR
306225,VE,3960,,SI,E.P.DIS,FR
306226,VE,1354,,SI,E.P.DIS,FR
592705,VE,15360,,SI,E.P.DIS,FR
298685,VE,4000,,SI,E.P.DIS,FR
252039,VE,35700,,SI,E.P.DIS,FR
643215,VE,149,,SI,E.P.DIS,FR
306219,VE,1890,,SI,E.P.DIS,FR
306217,VE,450,,SI,E.P.DIS,FR
643215,VE,440,,SI,E.P.DIS,FR
305479,VE,160,,SI,E.P.DIS,FR
311166,VE,240,,SI,E.P.DIS,FR
305928,VE,160,,SI,E.P.DIS,FR
611732,VE,10080,,SI,E.P.DIS,FR
374872,VE,3870,,SI,E.P.DIS,FR
252039,VE,10410,,SI,E.P.DIS,FR
252041,VE,21795,,SI,E.P.DIS,FR
354890,VE,22944,,SI,E.P.DIS,FR
311166,VE,240,,SI,E.P.DIS,FR
306222,VE,1530,,SI,E.P.DIS,FR
252039,VE,13580,,SI,E.P.DIS,FR
355496,VE,1600,,SI,E.P.DIS,FR
624774,VE,3575,,SI,E.P.DIS,FR
592705,VE,11508,,SI,E.P.DIS,FR
306217,VE,383,,SI,E.P.DIS,FR
298706,VE,10920,,SI,E.P.DIS,FR
306218,VE,10980,,SI,E.P.DIS,FR
630763,VE,2519,,SI,E.P.DIS,FR
642931,VE,160,,SI,E.P.DIS,FR
541078,VE,355,,SI,E.P.DIS,FR
296505,VE,190,,SI,E.P.DIS,FR
305928,VE,3840,,SI,E.P.DIS,FR
663987,VE,14035,,SI,E.P.DIS,FR
261608,VE,336,,SI,E.P.DIS,FR
263703,VE,1440,,SI,E.P.DIS,FR
624774,VE,35075,,SI,E.P.DIS,FR
663987,VE,28288,,SI,E.P.DIS,FR
306222,VE,43721,,SI,E.P.DIS,FR
663985,VE,38439,,SI,E.P.DIS,FR
213866,VE,1200,,SI,E.P.DIS,FR
261604,VE,180,,SI,E.P.DIS,FR
261605,VE,1008,,SI,E.P.DIS,FR
196680,VE,1920,,SI,E.P.DIS,FR
320343,VE,5220,,SI,E.P.DIS,FR
625767,VE,9931,,SI,E.P.DIS,FR
240939,VE,4000,,SI,E.P.DIS,FR
374872,VE,4140,,SI,E.P.DIS,FR
571696,VE,1620,,SI,E.P.DIS,FR
298706,VE,2862,,SI,E.P.DIS,FR
298706,VE,9960,,SI,E.P.DIS,FR
305479,VE,2990,,SI,E.P.DIS,FR
298706,VE,10080,,SI,E.P.DIS,FR
539182,VE,468,,SI,E.P.DIS,FR
307013,VE,13091,,SI,E.P.DIS,FR
380554,VE,1000,,SI,E.P.DIS,FR
381782,VE,1500,,SI,E.P.DIS,FR
67933,VE,295,,SI,E.P.DIS,FR
624774,VE,9776,,SI,E.P.DIS,FR
261605,VE,13454,,SI,E.P.DIS,FR
306218,VE,1800,,SI,E.P.DIS,FR
408003,VE,1800,,SI,E.P.DIS,FR
624774,VE,23940,,SI,E.P.DIS,FR
663419,VE,3000,,SI,E.P.DIS,FR
630791,VE,13680,,SI,E.P.DIS,FR
408003,VE,3536,,SI,E.P.DIS,FR
624622,VE,31050,,SI,E.P.DIS,FR
624774,VE,10620,,SI,E.P.DIS,FR
643216,VE,1272,,SI,E.P.DIS,FR
405069,VE,1560,,SI,E.P.DIS,FR
638521,VE,655,,SI,E.P.DIS,FR
306218,VE,10925,,SI,E.P.DIS,FR
323487,VE,29280,,SI,E.P.DIS,FR
67933,VE,280,,SI,E.P.DIS,FR
643216,VE,7488,,SI,E.P.DIS,FR
368552,VE,5152,,SI,E.P.DIS,FR
368552,VE,11410,,SI,E.P.DIS,FR
298711,VE,15680,,SI,E.P.DIS,FR
663985,VE,3172,,SI,E.P.DIS,FR
67933,VE,576,,SI,E.P.DIS,FR
354890,VE,39432,,SI,E.P.DIS,FR
380567,VE,1671,,SI,E.P.DIS,FR
624775,VE,8100,,SI,E.P.DIS,FR
624775,VE,3600,,SI,E.P.DIS,FR
541078,VE,3900,,SI,E.P.DIS,FR
354890,VE,2304,,SI,E.P.DIS,FR
624775,VE,5400,,SI,E.P.DIS,FR
663985,VE,46728,,SI,E.P.DIS,FR
638521,VE,26400,,SI,E.P.DIS,FR
663985,VE,120833,,SI,E.P.DIS,FR
277954,VE,228870,,SI,E.P.DIS,FR
261610,VE,276,,SI,E.P.DIS,FR
252039,VE,78,,SI,E.P.DIS,FR
624775,VE,646,,SI,E.P.DIS,FR
306222,VE,15300,,SI,E.P.DIS,FR
306222,VE,6565,,SI,E.P.DIS,FR
663996,VE,3431,,SI,E.P.DIS,FR
645820,VE,2400,,SI,E.P.DIS,FR
67933,VE,824,,SI,E.P.DIS,FR
67933,VE,307,,SI,E.P.DIS,FR
252039,VE,17719,,SI,E.P.DIS,FR
630791,VE,10929,,SI,E.P.DIS,FR
638521,VE,20100,,SI,E.P.DIS,FR
213847,VE,12000,,SI,E.P.DIS,FR
380567,VE,1329,,SI,E.P.DIS,FR
663984,VE,18750,,SI,E.P.DIS,FR
663985,VE,83073,,SI,E.P.DIS,FR
249438,VE,78400,,SI,E.P.DIS,FR
368552,VE,316,,SI,E.P.DIS,FR
298706,VE,240,,SI,E.P.DIS,FR
663984,VE,9319,,SI,E.P.DIS,FR
663985,VE,141,,SI,E.P.DIS,FR
625765,VE,7320,,SI,E.P.DIS,FR
663985,VE,48302,,SI,E.P.DIS,FR
311168,VE,39280,,SI,E.P.DIS,FR
252039,VE,7490,,SI,E.P.DIS,FR
625765,VE,10000,,SI,E.P.DIS,FR
268013,VE,41907,,SI,E.P.DIS,FR
541078,VE,200,,SI,E.P.DIS,FR
277954,VE,17140,,SI,E.P.DIS,FR
663984,VE,14863,,SI,E.P.DIS,FR
663984,VE,5681,,SI,E.P.DIS,FR
663984,VE,19875,,SI,E.P.DIS,FR
663998,VE,10000,,SI,E.P.DIS,FR
67933,VE,1924,,SI,E.P.DIS,FR
668290,VE,25804,,SI,E.P.DIS,FR
476947,RE,,-132024.14,SI,E.P.DIS,FR
Div Rx 1,VE,,-19307.31,SI,TEDIS PHARMA COTE D IVOIRE,FR
Div Rx 1,VE,,-11962.39,SI,PLANETPHARMA S.A.    CI,CI
Div Rx 1,VE,,-416.99,SI,LABOREX CAMEROUN,CM
321233,VE,,-637.26,SI,PHARMAGABON,GA
354890,VE,,-169.2,SI,PHARMAGABON,GA
405039,VE,,-170.2,SI,PHARMAGABON,GA
405069,VE,,-55.5,SI,PHARMAGABON,GA
354950,VE,,-592.1,SI,PHARMAGABON,GA
476716,VE,,-2844,SI,PHARMAGABON,GA
476518,VE,,-14,SI,PHARMAGABON,GA
476957,VE,,-2745,SI,PLANETPHARMA S.A.   MG,MG
Div Rx 1,VE,,-1290.22,SI,LABOREX MALI SA,ML
321233,VE,,-4310.95,SI,G. C. PHARMA,MR
Div Rx 1,VE,,-485.28,SI,PHARMACIE NOUVELLE LTD,MU
381782,VE,,-1834,SI,PHARMACIE NOUVELLE LTD,MU
298689,VE,,-129.8,SI,PHARMACIE NOUVELLE LTD,MU
298691,VE,,-179.8,SI,PHARMACIE NOUVELLE LTD,MU
298693,VE,,-107.4,SI,PHARMACIE NOUVELLE LTD,MU
252039,VE,,-148.8,SI,PHARMACIE NOUVELLE LTD,MU
252040,VE,,-349.3,SI,PHARMACIE NOUVELLE LTD,MU
252041,VE,,-132.3,SI,PHARMACIE NOUVELLE LTD,MU
310637,VE,,-353.8,SI,PHARMACIE NOUVELLE LTD,MU
Div Rx 1,VE,,-44362.33,SI,E.P.DIS,FR
Div Rx 1,VE,,90393.89,SI,E.P.DIS,FR
Div Rx 1,VE,,-35073.87,SI,E.P.DIS,FR
Div Rx 1,VE,,-138585.35,SI,E.P.DIS,FR
287550,PA,,-7.2,SI,UBIPHARM BURKINA,BF
209742,PA,,-6.72,SI,UBIPHARM BURKINA,BF
268012,PA,,-0.48,SI,UBIPHARM BURKINA,BF
268013,PA,,0.15,SI,UBIPHARM BURKINA,BF
268014,PA,,0,SI,UBIPHARM BURKINA,BF
268015,PA,,0.6,SI,UBIPHARM BURKINA,BF
516143,PA,,0,SI,UBIPHARM BURKINA,BF
592989,PA,,-0.05,SI,UBIPHARM BURKINA,BF
306216,PA,,0.585,SI,UBIPHARM BURKINA,BF
306218,PA,,-53.19,SI,UBIPHARM BURKINA,BF
346667,PA,,0,SI,UBIPHARM BURKINA,BF
282319,PA,,0,SI,UBIPHARM BURKINA,BF
282345,PA,,-1.8,SI,UBIPHARM BURKINA,BF
196680,PA,,2.365,SI,UBIPHARM BURKINA,BF
374872,PA,,-30.24,SI,UBIPHARM BURKINA,BF
298682,PA,,0.36,SI,UBIPHARM BURKINA,BF
320343,PA,,3.51,SI,UBIPHARM BURKINA,BF
320344,PA,,-8.9,SI,UBIPHARM BURKINA,BF
305481,PA,,-9,SI,UBIPHARM BURKINA,BF
630791,PA,,-11.4,SI,UBIPHARM BURKINA,BF
630763,PA,,-10.65,SI,UBIPHARM BURKINA,BF
592593,PA,,-9.5,SI,UBIPHARM BURKINA,BF
664047,PA,,36.12,SI,UBIPHARM BURKINA,BF
609071,PA,,3.24,SI,UBIPHARM BURKINA,BF
311122,PA,,3.41,SI,UBIPHARM BURKINA,BF
298689,PA,,-0.725,SI,UBIPHARM BURKINA,BF
252040,PA,,-21.6,SI,UBIPHARM BURKINA,BF
639164,PA,,-11.36,SI,UBIPHARM BURKINA,BF
624622,PA,,-18.84,SI,UBIPHARM BURKINA,BF
408003,PA,,0.6,SI,UBIPHARM BURKINA,BF
298711,PA,,-0.48,SI,UBIPHARM BURKINA,BF
67933,PA,,14.8785,SI,UBIPHARM BURKINA,BF
627326,PA,,1.5,SI,UBIPHARM BURKINA,BF
476963,PA,,-9,SI,TEDIS BURKINA,BF
627326,PA,,1.5,SI,TEDIS BURKINA,BF
476956,PA,,10,SI,TEDIS BURKINA,BF
476518,PA,,56.4,SI,TEDIS BURKINA,BF
476957,PA,,0,SI,TEDIS BURKINA,BF
476955,PA,,-0.48,SI,TEDIS BURKINA,BF
307013,PA,,-69.8,SI,TEDIS BURKINA,BF
321233,PA,,-7.44,SI,TEDIS BURKINA,BF
539183,PA,,14.4,SI,TEDIS BURKINA,BF
671538,PA,,1.54,SI,TEDIS BURKINA,BF
671639,PA,,-2.673,SI,TEDIS BURKINA,BF
305479,PA,,-6,SI,UBIPHARM BURKINA,BF
311168,PA,,-7.828,SI,UBIPHARM BURKINA,BF
305479,PA,,-6,SI,UBIPHARM BURKINA,BF
222428,PA,,14.31,SI,UBIPHARM BURKINA,BF
239907,PA,,46.2,SI,UBIPHARM BURKINA,BF
475982,PA,,0,SI,TEDIS BURKINA,BF
239907,PA,,20.02,SI,TEDIS BURKINA,BF
292174,PA,,4.16,SI,TEDIS BURKINA,BF
436433,PA,,51.84,SI,TEDIS BURKINA,BF
39171,PA,,-79.8,SI,TEDIS BURKINA,BF
269069,PA,,7.725,SI,TEDIS BURKINA,BF
287553,PA,,3.2,SI,TEDIS BURKINA,BF
298801,PA,,-3.78,SI,TEDIS BURKINA,BF
281499,PA,,34.86,SI,TEDIS BURKINA,BF
281498,PA,,426.3,SI,TEDIS BURKINA,BF
196680,PA,,2.365,SI,TEDIS BURKINA,BF
196681,PA,,1.6,SI,TEDIS BURKINA,BF
551043,PA,,-0.45,SI,TEDIS BURKINA,BF
320344,PA,,-14.685,SI,TEDIS BURKINA,BF
625767,PA,,1.68,SI,TEDIS BURKINA,BF
592593,PA,,-7.22,SI,TEDIS BURKINA,BF
354890,PA,,-7.2,SI,TEDIS BURKINA,BF
625681,PA,,66.32,SI,TEDIS BURKINA,BF
277954,PA,,0,SI,TEDIS BURKINA,BF
249438,PA,,-9,SI,TEDIS BURKINA,BF
408003,PA,,0.12,SI,TEDIS BURKINA,BF
627332,PA,,2.1,SI,TEDIS BURKINA,BF
626997,PA,,8.2,SI,TEDIS BURKINA,BF
287550,PA,,-4.8,SI,TEDIS BURKINA,BF
269069,PA,,24.72,SI,TEDIS BURKINA,BF
592684,PA,,5.16,SI,TEDIS BURKINA,BF
268012,PA,,-0.12,SI,TEDIS BURKINA,BF
268015,PA,,0.45,SI,TEDIS BURKINA,BF
592989,PA,,-0.075,SI,TEDIS BURKINA,BF
592980,PA,,-0.2,SI,TEDIS BURKINA,BF
306216,PA,,0.13,SI,TEDIS BURKINA,BF
281498,PA,,401.94,SI,TEDIS BURKINA,BF
282319,PA,,0,SI,TEDIS BURKINA,BF
282345,PA,,-0.9,SI,TEDIS BURKINA,BF
354883,PA,,1.44,SI,TEDIS BURKINA,BF
551043,PA,,-0.45,SI,TEDIS BURKINA,BF
551042,PA,,-36.72,SI,TEDIS BURKINA,BF
323487,PA,,0,SI,TEDIS BURKINA,BF
320343,PA,,2.34,SI,TEDIS BURKINA,BF
305479,PA,,-3,SI,TEDIS BURKINA,BF
305481,PA,,-9,SI,TEDIS BURKINA,BF
630791,PA,,-21.375,SI,TEDIS BURKINA,BF
240939,PA,,0.09,SI,TEDIS BURKINA,BF
611732,PA,,-0.2,SI,TEDIS BURKINA,BF
354890,PA,,-16.8,SI,TEDIS BURKINA,BF
285368,PA,,-0.135,SI,TEDIS BURKINA,BF
638521,PA,,-0.3,SI,TEDIS BURKINA,BF
305928,PA,,-40.8,SI,TEDIS BURKINA,BF
298693,PA,,-17.668,SI,TEDIS BURKINA,BF
249438,PA,,-18,SI,TEDIS BURKINA,BF
187747,PA,,4.77,SI,TEDIS BURKINA,BF
479530,PA,,-26.1,SI,TEDIS BURKINA,BF
323470,PA,,0.72,SI,TEDIS BURKINA,BF
323473,PA,,-102.528,SI,TEDIS BURKINA,BF
355560,PA,,-2.625,SI,TEDIS BURKINA,BF
298698,PA,,-0.18,SI,TEDIS BURKINA,BF
298707,PA,,-0.24,SI,TEDIS BURKINA,BF
281498,PA,,414.12,SI,TEDIS BURKINA,BF
627327,PA,,3,SI,UBIPHARM BURKINA,BF
342280,PA,,-2.24,SI,UBIPHARM BURKINA,BF
626997,PA,,16.4,SI,UBIPHARM BURKINA,BF
292174,PA,,14.56,SI,UBIPHARM BURKINA,BF
289137,PA,,1.935,SI,UBIPHARM BURKINA,BF
269069,PA,,35.535,SI,UBIPHARM BURKINA,BF
298801,PA,,-11.34,SI,UBIPHARM BURKINA,BF
281499,PA,,59.76,SI,UBIPHARM BURKINA,BF
551042,PA,,-73.44,SI,UBIPHARM BURKINA,BF
625767,PA,,3.36,SI,UBIPHARM BURKINA,BF
224938,PA,,-1,SI,UBIPHARM BURKINA,BF
354890,PA,,-25.44,SI,UBIPHARM BURKINA,BF
277954,PA,,0,SI,UBIPHARM BURKINA,BF
311166,PA,,-5.76,SI,UBIPHARM BURKINA,BF
479530,PA,,-13.05,SI,UBIPHARM BURKINA,BF
298707,PA,,-0.06,SI,MEX P/C DPBF,BF
476954,PA,,0,SI,TEDIS BURKINA,BF
298707,PA,,-0.12,SI,TEDIS BURKINA,BF
626997,PA,,16.4,SI,LABOREX BURKINA,BF
252041,PA,,-46.41,SI,UBIPHARM BURKINA,BF
252041,PA,,-34.51,SI,UBIPHARM BURKINA,BF
298707,PA,,-0.24,SI,UBIPHARM BURKINA,BF
298707,PA,,-0.18,SI,LABOREX BURKINA,BF
592705,PA,,236.628,SI,UBIPHARM BURKINA,BF
67933,PA,,3.815,SI,MEX P/C DPBF,BF
239907,PA,,30.8,SI,UBIPHARM BURKINA,BF
323487,PA,,0,SI,UBIPHARM BURKINA,BF
627328,PA,,3,SI,LABOREX BURKINA,BF
311168,PA,,-13.68,SI,LABOREX BURKINA,BF
291024,PA,,-2615.76,SI,LABOREX BURKINA,BF
475982,PA,,0,SI,UBIPHARM BURKINA,BF
475982,PA,,0,SI,UBIPHARM BURKINA,BF
310637,PA,,-14.175,SI,LABOREX BURKINA,BF
