Month,Country,distributor,GMID,Product,Qty,Source
1,KE,surgipharm,698116,BIOFERON 305MG CAPS BL3x10,960,EPDIS
1,KE,surgipharm,698116,BIOFERON GEL BL3x10,0,EPDIS
1,KE,surgipharm,618677,ENTEROGERMINA 2B5ML SUSP/10,16000,EPDIS
1,KE,surgipharm,618677,ENTEROGERMINA 2M5ML SUSP BU/10,17589,EPDIS
1,KE,surgipharm,374872,ORELOX 200MG FILM COATED TAB10,1080,EPDIS
1,KE,surgipharm,407096,ELOXATIN 5MG/ML 20ML INJ VL1,10,EPDIS
1,KE,surgipharm,414074,TAXOTERE 80MG/4ML IV  INJ FL1,80,EPDIS
1,KE,surgipharm,636825,STILNOX 10MG TAB14,7200,EPDIS
1,KE,surgipharm,645820,AMARYL TABS 1MG 30'S,480,EPDIS
1,KE,surgipharm,516219,ALLSTAR PEN1,1182,EPDIS
1,KE,surgipharm,306632,TARGOCID 400MG INJ /1,320,EPDIS
1,KE,surgipharm,310637,TAVANIC 500MG TAB5,480,EPDIS
1,KE,surgipharm,222428,PLAVIX 75MG TAB28,192,EPDIS
1,KE,surgipharm,539181,APROVASC 300-10MG TAB BL4X7,234,EPDIS
1,KE,surgipharm,645817,FLAGYL TABS 400MG 100'S,900,EPDIS
1,KE,surgipharm,370351,ELOXATIN 5MG/ML 10ML INJ VL1,20,EPDIS
1,KE,surgipharm,476963,FLEMING 1200MG INJ VL/5,4940,EPDIS
2,KE,surgipharm,374872,ORELOX 200MG FILM COATED TAB10,900,EPDIS
2,KE,surgipharm,407096,ELOXATIN 5MG/ML 20ML INJ VL1,20,EPDIS
2,KE,surgipharm,414074,TAXOTERE 80MG/4ML IV  INJ FL1,480,EPDIS
2,KE,surgipharm,310637,TAVANIC 500MG TAB5,800,EPDIS
2,KE,surgipharm,539181,APROVASC 300-10MG TAB BL4X7,234,EPDIS
2,KE,surgipharm,476963,FLEMING 1200MG INJ VL/5,2000,EPDIS
2,KE,surgipharm,222428,PLAVIX 75MG TAB28,384,EPDIS
