Month,Country,distributor,GMID,Product,Qty,Source
1,KE,Laborex,275807,RIFAFOUR E-275 150MG+ TAB BL6X14 ZA,1904,MARCO
1,KE,Laborex,287550,NO - SPA 40MG TAB BL2x10,0,EPDIS
1,KE,Laborex,287552,NO - SPA 40MG CP BL10x10,192,EPDIS
1,KE,Laborex,287552,NO - SPA 40MG TAB BL10x10,192,EPDIS
1,KE,Laborex,287553,NO - SPA FORTE 80MG TAB BL2x10,0,EPDIS
1,KE,Laborex,292174,MAALOX 460MG SACH/20 LEMON FLA,6500,EPDIS
1,KE,Laborex,323473,RHINATHIOL PROMETH 125ML 1SYR,14400,EPDIS
1,KE,Laborex,436418,MAALOX PLUS 200MG TAB BL4x10,2632,EPDIS
1,KE,Laborex,479387,RHINATHIOL 2.5G/125ML  1SYR,5820,EPDIS
1,KE,Laborex,479530,RHINATHIOL 6.25G/125ML  1SYR,4500,EPDIS
1,KE,Laborex,506739,MAALOX SUSP 350ML,2676,EPDIS
1,KE,Laborex,592593,ERCEFURYL 200MG CAP BL2x14,252,EPDIS
1,KE,Laborex,247831,"CO-APROVEL 150/12,5MG TAB28",216,EPDIS
1,KE,Laborex,247832,"CO-APROVEL 300/12,5MG TAB28",432,EPDIS
1,KE,Laborex,258746,RESONIUM A 454G PDE,12,EPDIS
1,KE,Laborex,298689,ORELOX 100MG TAB10,1620,EPDIS
1,KE,Laborex,298691,ORELOX 40MG/5ML GRAN 100ML BT1,2880,EPDIS
1,KE,Laborex,307013,AMARYL M 2MG/500 MG TAB 30,400,EPDIS
1,KE,Laborex,310637,TAVANIC 500MG CP5,960,EPDIS
1,KE,Laborex,310637,TAVANIC 500MG TAB5,480,EPDIS
1,KE,Laborex,312451,RIFOCINE 250MG/3ML 1INJ,3258,EPDIS
1,KE,Laborex,370351,ELOXATIN 5MG/ML 10ML INJ VL1,20,EPDIS
1,KE,Laborex,374872,ORELOX 200MG FILM COATED TAB10,2170,EPDIS
1,KE,Laborex,413689,TAXOTERE 20MG/1ML INJ 1VL,50,EPDIS
1,KE,Laborex,414074,TAXOTERE 80MG/4ML IV  INJ FL1,140,EPDIS
1,KE,Laborex,476009,FLEMING 228.5MG/5ML  SUSP70ML,13444,EPDIS
1,KE,Laborex,476043,FLEMING 1000MG TAB BL2X7,900,EPDIS
1,KE,Laborex,476963,FLEMING 1200MG INJ VL/5,1508,EPDIS
1,KE,Laborex,477015,FLEMING 500-125MG TAB BL2X7,2400,EPDIS
1,KE,Laborex,477034,FLEMING 457MG/5ML SUSP F70ML,2720,EPDIS
1,KE,Laborex,477044,ZOXON 1G PDR INJ VL1+AM1,12400,EPDIS
1,KE,Laborex,505579,LASIX 40MG TAB20,1920,EPDIS
1,KE,Laborex,518946,LASIX 20MG INJ 5AMP 2ML,3000,EPDIS
1,KE,Laborex,539183,APROVASC 150-5MG TAB BL4X7,234,EPDIS
1,KE,Laborex,539185,APROVASC 150-10MG TAB BL4X7,20,EPDIS
1,KE,Laborex,554510,CORDARONE 200MG TAB30,100,EPDIS
1,KE,Laborex,612011,XATRAL LP 5MG TAB56,220,EPDIS
1,KE,Laborex,615902,LANTUS SOLOSTAR 100IU 3ML 5PN,1000,EPDIS
1,KE,Laborex,627597,TRITACE 5MG TAB BL2x14,720,EPDIS
1,KE,Laborex,636825,STILNOX 10MG TAB14,2400,EPDIS
1,KE,Laborex,641849,EPILIM 200MG/5ML SYR300ML,8038,EPDIS
1,KE,Laborex,642931,EPILIM 400MG/4ML INJ 1VIAL,202,EPDIS
1,KE,Laborex,643215,EPILIM CHRONO 300 TAB10x10,800,EPDIS
1,KE,Laborex,643216,EPILIM CHRONO 500 TAB 10X10,680,EPDIS
1,KE,Laborex,645817,FLAGYL TABS 400MG 100'S,7741,EPDIS
