country;product_gmid;unified_price;resale_price;tender_price;supply_price
BJ;268012; 2,9100   ; 3,0600   ; 2,3256   ; 2,9070   
BJ;268013; 4,3600   ; 4,5900   ; 3,4884   ; 4,3605   
BJ;268014; 5,7000   ; 6,0000   ; 4,5600   ; 5,7000   
BJ;268015; 9,2000   ; 9,7000   ; 7,3720   ; 9,2150   
BJ;307013; 5,2200   ; 4,7600   ; 3,6176   ; 4,5220   
BJ;321233; 4,7700   ; 4,9400   ; 3,9891   ; 4,6930   
BJ;475982; 0,7600   ; 0,8000   ; 0,7220   ; 0,7600   
BJ;475871; 0,9500   ; 1,0000   ; 0,7600   ; 0,9500   
BJ;475875; 19,1600   ; 20,0000   ; 19,0000   ; 19,0000   
BJ;196680; 12,7500   ; 13,6700   ; 10,3892   ; 12,9865   
BJ;196681; 13,5200   ; 14,4000   ; 11,2973   ; 13,6800   
BJ;281498; 1,0200   ; 1,0400   ; 0,7904   ; 0,9880   
BJ;298801; 1,9600   ; 2,0300   ; 1,6393   ; 1,9285   
BJ;281499; 1,0700   ; 1,1100   ; 0,8436   ; 1,0545   
BJ;281500; 1,3100   ; 1,3700   ; 1,0412   ; 1,3015   
BJ;354883; 0,9400   ; 1,0000   ; 0,8075   ; 0,9500   
BJ;475991; 1,0100   ; 1,0500   ; 0,7980   ; 0,9975   
BJ;636858; 2,8700   ; 3,0000   ; 2,2800   ; 2,8500   
BJ;551042; 5,4600   ; 5,6400   ; 4,2864   ; 5,3580   
BJ;551043; 2,7100   ; 2,8500   ; 2,1660   ; 2,7075   
BJ;247831; 12,8800   ; 13,6700   ; 10,3892   ; 12,9865   
BJ;247832; 14,0500   ; 14,4000   ; 12,9235   ; 13,6800   
BJ;628074; 1,4200   ; 1,5200   ; 1,1552   ; 1,4440   
BJ;554523; 7,4000   ; 7,9700   ; 6,0572   ; 7,5715   
BJ;323487; 2,2800   ; 2,4000   ; 1,8240   ; 2,2800   
BJ;298682; 1,3000   ; 1,3700   ; 1,0412   ; 1,3015   
BJ;320343; 2,9100   ; 3,0700   ; 2,3332   ; 2,9165   
BJ;320344; 5,2000   ; 5,3800   ; 4,0888   ; 5,1110   
BJ;305481; 5,8600   ; 6,0500   ; 4,5980   ; 5,7475   
BJ;305479; 1,3900   ; 1,4500   ; 1,1020   ; 1,3775   
BJ;630791; 6,5000   ; 7,4500   ; 5,6620   ; 7,0775   
BJ;624625; 2,3100   ; 2,3900   ; 2,2705   ; 2,2705   
BJ;630763; 5,8300   ; 5,9500   ; 5,6525   ; 5,6525   
BJ;625765; 3,6600   ; 3,8900   ; 3,3535   ; 3,6955   
BJ;625767; 3,4000   ; 3,6000   ; 3,1065   ; 3,4200   
BJ;240939; 5,0400   ; 5,3100   ; 4,0356   ; 5,0445   
BJ;611732; 2,5100   ; 2,6400   ; 2,0064   ; 2,5080   
BJ;627331; 0,9300   ; 0,9900   ; 0,7524   ; 0,9405   
BJ;627329; 0,8500   ; 0,9000   ; 0,6840   ; 0,8550   
BJ;627332; 0,9300   ; 0,9900   ; 0,7524   ; 0,9405   
BJ;627328; 0,8500   ; 0,9000   ; 0,6840   ; 0,8550   
BJ;624480; 0,8700   ; 0,9300   ; 0,7068   ; 0,8835   
BJ;627314; 0,9300   ; 0,9900   ; 0,7524   ; 0,9405   
BJ;627327; 0,8500   ; 0,9000   ; 0,6840   ; 0,8550   
BJ;626997; 0,9200   ; 0,9900   ; 0,7524   ; 0,9405   
BJ;627326; 0,8500   ; 0,9000   ; 0,6840   ; 0,8550   
BJ;626630; 1,0000   ; 1,0500   ; 0,9477   ; 0,9975   
BJ;292037; 0,9400   ; 1,0500   ; 0,9477   ; 0,9975   
BJ;627330; 0,8300   ; 0,8600   ; 0,6536   ; 0,8170   
BJ;624479; 0,8900   ; 0,9400   ; 0,8037   ; 0,8930   
BJ;626998; 1,2500   ; 1,3000   ; 0,9880   ; 1,2350   
BJ;627160; 1,8000   ; 1,9500   ; 1,4820   ; 1,8525   
BJ;528888; 2,4200   ; 2,5400   ; 1,9304   ; 2,4130   
BJ;592593; 2,2800   ; 2,3000   ; 1,7480   ; 2,1850   
BJ;671538; 2,2700   ; 1,7400   ; 1,3224   ; 1,6530   
BJ;541078; 3,5600   ; 3,7300   ; 2,8348   ; 3,5435   
BJ;224938; 2,5700   ; 2,7000   ; 2,0520   ; 2,5650   
BJ;664051; 2,3700   ; 3,1800   ; 2,4168   ; 3,0210   
BJ;67933; 53,9300   ; 57,1700   ; 43,4492   ; 54,3115   
BJ;678014; 1,7300   ; 1,8000   ; 1,5390   ; 1,7100   
BJ;642941; 1,7500   ; 1,8400   ; 1,3984   ; 1,7480   
BJ;476956; 4,3200   ; 4,5500   ; 3,4580   ; 4,3225   
BJ;476963; 6,5000   ; 6,2500   ; 4,7500   ; 5,9375   
BJ;476955; 1,7600   ; 1,8500   ; 1,4060   ; 1,7575   
BJ;476957; 2,8500   ; 3,0000   ; 2,2800   ; 2,8500   
BJ;476954; 2,8500   ; 3,0000   ; 2,2800   ; 2,8500   
BJ;665371; 1,1200   ; 1,2200   ; 1,0431   ; 1,1590   
BJ;285368; 2,7400   ; 2,8700   ; 2,1812   ; 2,7265   
BJ;476933; 0,8100   ; 0,8500   ; 0,6460   ; 0,8075   
BJ;625681; 2,3200   ; 3,5100   ; 2,6676   ; 3,3345   
BJ;518938; 0,7600   ; 0,8000   ; 0,7600   ; 0,7600   
BJ;311168; 1,9000   ; 1,9900   ; 1,5124   ; 1,8905   
BJ;311166; 1,1900   ; 1,2400   ; 0,9424   ; 1,1780   
BJ;293665; 2,5100   ; 2,5500   ; 2,0592   ; 2,4225   
BJ;239907; 1,3100   ; 1,3300   ; 1,0108   ; 1,2635   
BJ;292174; 2,3100   ; 2,5000   ; 1,9000   ; 2,3750   
BJ;436433; 1,4900   ; 1,5700   ; 1,1932   ; 1,4915   
BJ;214082; 1,8900   ; 1,9300   ; 1,6502   ; 1,8335   
BJ;346666; 1,8100   ; 1,8500   ; 1,4060   ; 1,7575   
BJ;245296; 2,5400   ; 2,6100   ; 1,9836   ; 2,4795   
BJ;592685; 2,4400   ; 2,5800   ; 2,0834   ; 2,4510   
BJ;592684; 1,2300   ; 1,3400   ; 1,2094   ; 1,2730   
BJ;476712; 1,9000   ; 2,0000   ; 1,5200   ; 1,9000   
BJ;289137; 4,4900   ; 4,9300   ; 3,7468   ; 4,6835   
BJ;289138; 1,0200   ; 1,0700   ; 0,8132   ; 1,0165   
BJ;287552; 4,7600   ; 4,9300   ; 3,7468   ; 4,6835   
BJ;287550; 1,2500   ; 1,3000   ; 0,9880   ; 1,2350   
BJ;287553; 2,4600   ; 2,5500   ; 1,9380   ; 2,4225   
BJ;592705; 2,6800   ; 3,0200   ; 2,8690   ; 2,8690   
BJ;609071; 1,2400   ; 1,3100   ; 0,9956   ; 1,2445   
BJ;671597; 1,5500   ; 1,6700   ; 1,2692   ; 1,5865   
BJ;264980; 4,6500   ; 8,0100   ; 6,0876   ; 7,6095   
BJ;311122; 2,2900   ; 2,5900   ; 1,9684   ; 2,4605   
BJ;632425; 4,5300   ; 4,5000   ; 3,4200   ; 4,2750   
BJ;298689; 6,1800   ; 6,4900   ; 4,9324   ; 6,1655   
BJ;374872; 7,1000   ; 7,5000   ; 5,7000   ; 7,1250   
BJ;298691; 7,4000   ; 7,5300   ; 5,7228   ; 7,1535   
BJ;298693; 4,4100   ; 4,3100   ; 3,2756   ; 4,0945   
BJ;628390; 6,7000   ; 7,1700   ; 5,4492   ; 6,8115   
BJ;628389; 6,8700   ; 7,0800   ; 5,3808   ; 6,7260   
BJ;628391; 3,3400   ; 3,2800   ; 2,4928   ; 3,1160   
BJ;639164; 1,8500   ; 1,9100   ; 1,4516   ; 1,8145   
BJ;540717; 1,3500   ; 1,4400   ; 1,0944   ; 1,3680   
BJ;172136; 33,5500   ; 35,3700   ; 31,9215   ; 33,6015   
BJ;671609; 2,6100   ; 2,7000   ; 2,0520   ; 2,5650   
BJ;639608; 1,5100   ; 1,5700   ; 1,1932   ; 1,4915   
BJ;624622; 3,8500   ; 3,9700   ; 3,0172   ; 3,7715   
BJ;571696; 13,0000   ; 13,5700   ; 10,3132   ; 12,8915   
BJ;187750; 2,6700   ; 2,8100   ; 2,1356   ; 2,6695   
BJ;187747; 4,1100   ; 4,4100   ; 3,3516   ; 4,1895   
BJ;479387; 1,4400   ; 1,5200   ; 1,1552   ; 1,4440   
BJ;479530; 1,6300   ; 1,6700   ; 1,2692   ; 1,5865   
BJ;323470; 2,6000   ; 2,7400   ; 2,0824   ; 2,6030   
BJ;323473; 1,2300   ; 0,9200   ; 0,8740   ; 0,8740   
BJ;355560; 3,1400   ; 3,2500   ; 2,4700   ; 3,0875   
BJ;408003; 5,4500   ; 5,7400   ; 4,3624   ; 5,4530   
BJ;624775; 3,5200   ; 3,7000   ; 2,8120   ; 3,5150   
BJ;624774; 3,4800   ; 3,6600   ; 2,7816   ; 3,4770   
BJ;298698; 6,5200   ; 6,8600   ; 5,2136   ; 6,5170   
BJ;636827; 2,6100   ; 2,4400   ; 1,8544   ; 2,3180   
BJ;298711; 3,2600   ; 3,4300   ; 2,6068   ; 3,2585   
BJ;39171; 12,3500   ; 10,2000   ; 7,7520   ; 9,6900   
BJ;310637; 8,7800   ; 7,7500   ; 5,8900   ; 7,3625   
BJ;413689; 45,8000   ; 58,0000   ; 44,0800   ; 55,1000   
BJ;414074; 106,4000   ; 174,0000   ; 132,2400   ; 165,3000   
BJ;671637; 2,9700   ; 3,1600   ; 2,4016   ; 3,0020   
BJ;671639; 6,1700   ; 6,4900   ; 4,9324   ; 6,1655   
BJ;269069; 1,8200   ; 1,9700   ; 1,4972   ; 1,8715   
BJ;489540; 1,5400   ; 1,6200   ; 1,2312   ; 1,5390   
BJ;489541; 0,9300   ; 0,9800   ; 0,7448   ; 0,9310   
BJ;666655; 13,3000   ; 14,0000   ; 10,6400   ; 13,3000   
BJ;679231; 6,6500   ; 7,0000   ; 5,3200   ; 6,6500   
BJ;666654; 8,0800   ; 8,5000   ; 6,4600   ; 8,0750   
BJ;646799; 5,3800   ; 5,7000   ; 4,3320   ; 5,4150   
BJ;627667; 6,1800   ; 6,5000   ; 4,9400   ; 6,1750   
BJ;627060; 6,6500   ; 7,0000   ; 5,3200   ; 6,6500   
BJ;627061; 3,8100   ; 4,0000   ; 3,8000   ; 3,8000   
BJ;627062; 5,7200   ; 6,0000   ; 5,7000   ; 5,7000   
BJ;168279; 5,3800   ; 5,7000   ; 4,3320   ; 5,4150   
BJ;612011; 17,7900   ; 18,6300   ; 14,1588   ; 17,6985   
BJ;633072; 18,4200   ; 18,3800   ; 13,9688   ; 17,4610   
BJ;476947; 0,4600   ; 0,5000   ; 0,3800   ; 0,4750   
BJ;306216; 4,2400   ; 4,4700   ; 3,3972   ; 4,2465   
BJ;306217; 6,1100   ; 6,2800   ; 4,7728   ; 5,9660   
BJ;306218; 8,1200   ; 8,3400   ; 6,3384   ; 7,9230   
BJ;306219; 9,3400   ; 9,6000   ; 7,2960   ; 9,1200   
BJ;477825; 2,3100   ; 2,2100   ; 1,6796   ; 2,0995   
BJ;624773; 5,4500   ; 5,7400   ; 4,3624   ; 5,4530   
BJ;666653; 11,6400   ; 12,2500   ; 9,3100   ; 11,6375   
BJ;635403; 2,6800   ; 3,0200   ; 2,8690   ; 2,8690   
BJ;662889; 3,9100   ; 4,1200   ; 3,1312   ; 3,9140   
BJ;663982; 0,7700   ; 0,7600   ; 0,5776   ; 0,7220   
BJ;663983; 0,8200   ; 0,8600   ; 0,6536   ; 0,8170   
BJ;663984; 1,8800   ; 1,9400   ; 1,4744   ; 1,8430   
BJ;663985; 1,5300   ; 1,6800   ; 1,2768   ; 1,5960   
BJ;663986; 1,1500   ; 1,2600   ; 0,9576   ; 1,1970   
BJ;663981; 0,8600   ; 0,9100   ; 0,6916   ; 0,8645   
BJ;663996; 15,9300   ; 17,5100   ; 14,9711   ; 16,6345   
BJ;663995; 9,8700   ; 9,9900   ; 9,4905   ; 9,4905   
BJ;663998; 2,4300   ; 2,6300   ; 1,9988   ; 2,4985   
BJ;663992; 2,0200   ; 1,9600   ; 1,5827   ; 1,8620   
BJ;639628; 6,0100   ; 6,3100   ; 4,7956   ; 5,9945   
BJ;671212; 1,5300   ; 1,6800   ; 1,2768   ; 1,5960   
BJ;635403; 2,6800   ; 3,0200   ; 2,8690   ; 2,8690   
BF;516219; 9,5000   ; 10,0000   ; 7,6000   ; 9,5000   
BF;268012; 2,9100   ; 3,0600   ; 2,3256   ; 2,9070   
BF;268013; 4,3600   ; 4,5900   ; 3,4884   ; 4,3605   
