country,product_gmid,unified_price,resale_price,tender_price,supply_price,Product Promotion
BJ,268012,2.91,3.06,2.3256,2.907,N
BJ,268013,4.36,4.59,3.4884,4.3605,N
BJ,268014,5.7,6,4.56,5.7,N
BJ,268015,9.2,9.7,7.372,9.215,N
BJ,307013,5.22,4.76,3.6176,4.522,N
BJ,321233,4.77,4.94,3.9891,4.693,N
BJ,475982,0.76,0.8,0.722,0.76,N
BJ,475871,0.95,1,0.76,0.95,N
BJ,475875,19.16,20,19,19,N
BJ,196680,12.75,13.67,10.3892,12.9865,N
BJ,196681,13.52,14.4,11.2973,13.68,N
BJ,281498,1.02,1.04,0.7904,0.988,N
BJ,298801,1.96,2.03,1.6393,1.9285,N
BJ,281499,1.07,1.11,0.8436,1.0545,N
BJ,281500,1.31,1.37,1.0412,1.3015,N
BJ,354883,0.94,1,0.8075,0.95,N
BJ,475991,1.01,1.05,0.798,0.9975,N
BJ,636858,2.87,3,2.28,2.85,P
BJ,551042,5.46,5.64,4.2864,5.358,N
BJ,551043,2.71,2.85,2.166,2.7075,N
BJ,247831,12.88,13.67,10.3892,12.9865,N
BJ,247832,14.05,14.4,12.9235,13.68,N
BJ,628074,1.42,1.52,1.1552,1.444,N
BJ,554523,7.4,7.97,6.0572,7.5715,N
BJ,323487,2.28,2.4,1.824,2.28,N
BJ,298682,1.3,1.37,1.0412,1.3015,N
BJ,320343,2.91,3.07,2.3332,2.9165,N
BJ,320344,5.2,5.38,4.0888,5.111,N
BJ,305481,5.86,6.05,4.598,5.7475,N
BJ,305479,1.39,1.45,1.102,1.3775,N
BJ,630791,6.5,7.45,5.662,7.0775,N
BJ,624625,2.31,2.39,2.2705,2.2705,N
BJ,630763,5.83,5.95,5.6525,5.6525,N
BJ,625765,3.66,3.89,3.3535,3.6955,N
BJ,625767,3.4,3.6,3.1065,3.42,N
BJ,240939,5.04,5.31,4.0356,5.0445,N
BJ,611732,2.51,2.64,2.0064,2.508,N
BJ,627331,0.93,0.99,0.7524,0.9405,N
BJ,627329,0.85,0.9,0.684,0.855,N
BJ,627332,0.93,0.99,0.7524,0.9405,N
BJ,627328,0.85,0.9,0.684,0.855,N
BJ,624480,0.87,0.93,0.7068,0.8835,N
BJ,627314,0.93,0.99,0.7524,0.9405,N
BJ,627327,0.85,0.9,0.684,0.855,N
BJ,626997,0.92,0.99,0.7524,0.9405,N
BJ,627326,0.85,0.9,0.684,0.855,N
BJ,626630,1,1.05,0.9477,0.9975,N
BJ,292037,0.94,1.05,0.9477,0.9975,N
BJ,627330,0.83,0.86,0.6536,0.817,N
