country;product_gmid;unified_price; resale_price ;tender_price;supply_price;promotion
AO;158893;16.15;14.53461658;0;13.8083;promoted
AO;159086;24.24;21.81534552;0;20.7252;promoted
AO;293791;27.51;22.00733976;0;20.9076;promoted
AO;191391;7.87;7.08278751;0;6.72885;promoted
AO;191379;11.54;10.38568842;0;9.8667;non-promoted
AO;190104;1.13;1.01702212;0;0.9662;promoted
AO;190107;2.94;2.64592062;0;2.5137;non-promoted
AO;190106;1.76;1.7599472;0;1.672;promoted
AO;515284;7.06;6.71685112;0;6.3812;non-promoted
AO;316433;6.05;5.44488928;0;5.1728;promoted
AO;250545;8.56;7.70376888;0;7.3188;promoted
AO;592475;3.19;3.1899043;0;3.0305;non-promoted
AO;332328;7.65;7.247151;0;6.885;non-promoted
AO;592504;141.44;133.9917696;0;127.296;non-promoted
AO;227380;3.4;3.0599082;0;2.907;non-promoted
AO;511293;5.4;4.8598542;0;4.617;promoted
AO;510643;8.98;8.08175754;0;7.6779;promoted
AO;188840;3.4;3.0599082;0;2.907;promoted
AO;188841;3.5;3.1499055;0;2.9925;promoted
AO;272453;6.85;5.4798356;0;5.206;non-promoted
AO;519330;15.55;13.99463278;0;13.2953;non-promoted
AO;192775;3.4;3.23769234;0;3.0759;non-promoted
AO;592560;3.56;3.20390388;0;3.0438;non-promoted
AO;278343;1.61;1.44900916;0;1.3766;non-promoted
AO;632293;5.21;3.79072838;0;3.6013;non-promoted
AO;29585;21.06;17.9005156;0;17.006;non-promoted
AO;389144;22.33;18.9799569;0;18.0315;non-promoted
AO;29649;21.07;17.9089364;0;17.014;non-promoted
AO;389146;22.33;18.9799569;0;18.0315;non-promoted
AO;29612;20.37;17.31400688;0;16.4488;non-promoted
AO;389142;20.37;17.31400688;0;16.4488;non-promoted
AO;298191;28;25.199244;0;23.94;promoted
AO;58604;41.99;37.7899189;0;35.9015;promoted
AO;272773;41.99;37.7899189;0;35.9015;promoted
AO;592632;1.33;1.19701672;0;1.1372;non-promoted
AO;600314;1.68;1.51195464;0;1.4364;non-promoted
AO;600315;3.4;3.0599082;0;2.907;non-promoted
AO;329051;2.98;2.68191954;0;2.5479;non-promoted
AO;328228;12.96;11.66365008;0;11.0808;promoted
AO;611636;32.88;29.59111224;0;28.1124;promoted
AO;296329;39.14;39.1388258;0;37.183;promoted
AO;296331;47.42;47.4185774;0;45.049;promoted
AO;328151;3.4;3.0599082;0;2.907;promoted
AO;611613;7.93;7.13683852;0;6.7802;promoted
AO;328213;6.1;5.4898353;0;5.2155;non-promoted
AO;611618;15.56;14.00357988;0;13.3038;promoted
AO;328216;7.78;7.00178994;0;6.6519;promoted
AO;611633;21.43;19.28647402;0;18.3227;promoted
AO;328226;10.36;9.32372028;0;8.8578;promoted
AO;611635;27.07;24.36232174;0;23.1449;promoted
AO;436427;3.36;2.5599232;0;2.432;non-promoted
AO;192768;3.45;3.10495948;0;2.9498;promoted
AO;335666;7.19;6.4708585;0;6.1475;promoted
AO;480578;4.68;3.67188984;0;3.4884;non-promoted
AO;511532;4.88;3.90388288;0;3.7088;non-promoted
AO;190071;4.88;3.90388288;0;3.7088;non-promoted
AO;411383;4.57;3.4798956;0;3.306;non-promoted
AO;196179;4.56;3.34842586;0;3.1811;non-promoted
AO;192637;4.3;3.23390298;0;3.0723;non-promoted
AO;192636;4.3;3.23390298;0;3.0723;non-promoted
AO;569252;5;3.905146;0;3.71;non-promoted
AO;188851;1.8375;1.4699559;0;1.3965;non-promoted
AO;188850;1.4;1.1199664;0;1.064;non-promoted
AO;592735;11.95;10.75472998;0;10.2173;non-promoted
AO;421873;26.23;23.60634442;0;22.4267;non-promoted
AO;592782;1.47;1.32301294;0;1.2569;non-promoted
AO;592781;3.4;3.0599082;0;2.907;non-promoted
AO;592778;1.31;1.305224;0;1.24;non-promoted
AO;316979;4.6;3.6798896;0;3.496;non-promoted
AO;544575;5.06;4.55386338;0;4.3263;non-promoted
AO;592806;3.29;2.9609638;0;2.813;non-promoted
AO;544576;5.03;4.52691682;0;4.3007;non-promoted
AO;425957;143.06;128.7501374;0;122.3163;non-promoted
AO;195146;15.33;13.79663872;0;13.1072;non-promoted
AO;323076;4.87;3.89588312;0;3.7012;non-promoted
AO;14820;2.43;1.94394168;0;1.8468;non-promoted
AO;529654;15.26;12.20763376;0;11.5976;non-promoted
AO;14901;3.2;3.20327232;0;3.0432;non-promoted
AO;13196;25.46;22.91331258;0;21.7683;non-promoted
AO;480201;3.7;2.83370446;0;2.6921;non-promoted
AO;537710;3.4;3.5177892;0;3.342;non-promoted
AO;365768;3.13;2.81696812;0;2.6762;non-promoted
AO;365770;2.46;2.21393358;0;2.1033;non-promoted
AO;539414;4.36;3.92388228;0;3.7278;non-promoted
AO;192750;6.75;7.099787;0;6.745;non-promoted
ST;158893;16.15;14.53461658;0;13.8083;non-promoted
ST;159086;24.24;21.81534552;0;20.7252;non-promoted
ST;293791;27.51;22.00733976;0;20.9076;non-promoted
ST;191391;7.87;7.08278751;0;6.72885;non-promoted
ST;191379;11.54;10.38568842;0;9.8667;non-promoted
ST;190104;1.13;1.01702212;0;0.9662;non-promoted
ST;190107;2.94;2.64592062;0;2.5137;non-promoted
ST;190106;1.76;1.7599472;0;1.672;non-promoted
ST;515284;7.06;6.71685112;0;6.3812;non-promoted
ST;316433;6.05;5.44488928;0;5.1728;non-promoted
ST;250545;8.56;7.70376888;0;7.3188;non-promoted
ST;592475;3.19;3.1899043;0;3.0305;non-promoted
ST;332328;7.65;7.247151;0;6.885;non-promoted
ST;592504;141.44;133.9917696;0;127.296;non-promoted
ST;227380;3.4;3.0599082;0;2.907;non-promoted
ST;511293;5.4;4.8598542;0;4.617;non-promoted
ST;510643;8.98;8.08175754;0;7.6779;non-promoted
ST;188840;3.4;3.0599082;0;2.907;non-promoted
ST;188841;3.5;3.1499055;0;2.9925;non-promoted
ST;272453;6.85;5.4798356;0;5.206;non-promoted
ST;519330;15.55;13.99463278;0;13.2953;non-promoted
ST;192775;3.4;3.23769234;0;3.0759;non-promoted
