country,product_gmid,unified_price,resale_price,tender_price,supply_price,promotion
BJ,268012,2.91,3.06,2.3256,2.907,
BJ,268013,4.36,4.59,3.4884,4.3605,
BJ,268014,5.7,6,4.56,5.7,
BJ,268015,9.2,9.7,7.372,9.215,
BJ,307013,5.22,4.76,3.6176,4.522,
BJ,321233,4.77,4.94,3.9891,4.693,
BJ,475982,0.76,0.8,0.722,0.76,
BJ,475871,0.95,1,0.76,0.95,
BJ,475875,19.16,20,19,19,
BJ,196680,12.75,13.67,10.3892,12.9865,
BJ,196681,13.52,14.4,11.2973,13.68,
BJ,281498,1.02,1.04,0.7904,0.988,
BJ,298801,1.96,2.03,1.6393,1.9285,
BJ,281499,1.07,1.11,0.8436,1.0545,
BJ,281500,1.31,1.37,1.0412,1.3015,
BJ,354883,0.94,1,0.8075,0.95,
BJ,475991,1.01,1.05,0.798,0.9975,
BJ,679090,1.37,1.5,1.14,1.425,
BJ,636858,2.87,3,2.28,2.85,
BJ,551042,5.46,5.64,4.2864,5.358,
BJ,551043,2.71,2.85,2.166,2.7075,
BJ,247831,12.88,13.67,10.3892,12.9865,
BJ,247832,14.05,14.4,12.9235,13.68,
BJ,628074,1.42,1.52,1.1552,1.444,
BJ,554510,7.4,7.97,6.0572,7.5715,
BJ,323487,2.28,2.4,1.824,2.28,
BJ,298682,1.3,1.37,1.0412,1.3015,
BJ,320343,2.91,3.07,2.3332,2.9165,
BJ,320344,5.2,5.38,4.0888,5.111,
BJ,305481,5.86,6.05,4.598,5.7475,
BJ,305479,1.39,1.45,1.102,1.3775,
BJ,630791,6.5,7.45,5.662,7.0775,
BJ,624625,2.31,2.39,2.2705,2.2705,
BJ,630763,5.83,5.95,5.6525,5.6525,
BJ,625765,3.66,3.89,3.3535,3.6955,
BJ,625767,3.4,3.6,3.1065,3.42,
BJ,240939,5.04,5.31,4.0356,5.0445,
BJ,611732,2.51,2.64,2.0064,2.508,
BJ,627331,0.93,0.99,0.7524,0.9405,
BJ,627329,0.85,0.9,0.684,0.855,
BJ,627332,0.93,0.99,0.7524,0.9405,
BJ,627328,0.85,0.9,0.684,0.855,
BJ,624480,0.87,0.93,0.7068,0.8835,
BJ,627314,0.93,0.99,0.7524,0.9405,
BJ,627327,0.85,0.9,0.684,0.855,
BJ,626997,0.92,0.99,0.7524,0.9405,
BJ,627326,0.85,0.9,0.684,0.855,
BJ,626630,1,1.05,0.9477,0.9975,
BJ,292037,0.94,1.05,0.9477,0.9975,
BJ,627330,0.83,0.86,0.6536,0.817,
BJ,624479,0.89,0.94,0.8037,0.893,
BJ,626998,1.25,1.3,0.988,1.235,
BJ,627160,1.8,1.95,1.482,1.8525,
BJ,528888,2.42,2.54,1.9304,2.413,
BJ,592593,2.28,2.3,1.748,2.185,
BJ,671538,2.27,1.74,1.3224,1.653,
BJ,541078,3.56,3.73,2.8348,3.5435,
BJ,224938,2.57,2.7,2.052,2.565,
BJ,664051,2.37,3.18,2.4168,3.021,
BJ,664047,2.37,3.18,2.4168,3.021,
BJ,67933,53.93,57.17,43.4492,54.3115,
BJ,678014,1.73,1.8,1.539,1.71,
BJ,342280,1.75,1.84,1.3984,1.748,
BJ,476956,4.32,4.55,3.458,4.3225,
BJ,476963,6.5,6.25,4.75,5.9375,
BJ,476955,1.76,1.85,1.406,1.7575,
BJ,476957,2.85,3,2.28,2.85,
BJ,476954,2.85,3,2.28,2.85,
BJ,665371,1.12,1.22,1.0431,1.159,
BJ,285368,2.74,2.87,2.1812,2.7265,
BJ,476933,0.81,0.85,0.646,0.8075,
BJ,625681,2.32,3.51,2.6676,3.3345,
BJ,277954,0.76,0.8,0.76,0.76,
BJ,311168,1.9,1.99,1.5124,1.8905,
BJ,311166,1.19,1.24,0.9424,1.178,
BJ,293665,2.51,2.55,2.0592,2.4225,
BJ,239907,1.31,1.33,1.0108,1.2635,
BJ,292174,2.31,2.5,1.9,2.375,
BJ,436433,1.49,1.57,1.1932,1.4915,
BJ,214082,1.89,1.93,1.6502,1.8335,
BJ,346666,1.81,1.85,1.406,1.7575,
BJ,245296,2.54,2.61,1.9836,2.4795,
BJ,476941,1.9,2,1.52,1.9,
BJ,592685,2.44,2.58,2.0834,2.451,
BJ,592684,1.23,1.34,1.2094,1.273,
BJ,476712,1.9,2,1.52,1.9,
BJ,289137,4.49,4.93,3.7468,4.6835,
BJ,289138,1.02,1.07,0.8132,1.0165,
BJ,287552,4.76,4.93,3.7468,4.6835,
BJ,287550,1.25,1.3,0.988,1.235,
BJ,287553,2.46,2.55,1.938,2.4225,
BJ,592705,2.68,3.02,2.869,2.869,
BJ,609071,1.24,1.31,0.9956,1.2445,
BJ,671597,1.55,1.67,1.2692,1.5865,
BJ,264980,4.65,8.01,6.0876,7.6095,
BJ,311122,2.29,2.59,1.9684,2.4605,
BJ,305928,4.53,4.5,3.42,4.275,
BJ,476518,3.09,3.5,2.66,3.325,
BJ,298689,6.18,6.49,4.9324,6.1655,
BJ,374872,7.1,7.5,5.7,7.125,
BJ,298691,7.4,7.53,5.7228,7.1535,
BJ,298693,4.41,4.31,3.2756,4.0945,
BJ,252039,6.7,7.17,5.4492,6.8115,
BJ,252040,6.87,7.08,5.3808,6.726,
BJ,628391,3.34,3.28,2.4928,3.116,
BJ,639164,1.85,1.91,1.4516,1.8145,
BJ,540717,1.35,1.44,1.0944,1.368,
BJ,172136,33.55,35.37,31.9215,33.6015,
BJ,671609,2.61,2.7,2.052,2.565,
BJ,639608,1.51,1.57,1.1932,1.4915,
BJ,624622,3.85,3.97,3.0172,3.7715,
BJ,571696,13,13.57,10.3132,12.8915,
BJ,187750,2.67,2.81,2.1356,2.6695,
BJ,187747,4.11,4.41,3.3516,4.1895,
BJ,477825,2.31,2.21,1.6796,2.0995,
BJ,479387,1.44,1.52,1.1552,1.444,
BJ,479530,1.63,1.67,1.2692,1.5865,
BJ,323470,2.6,2.74,2.0824,2.603,
BJ,323473,1.23,0.92,0.874,0.874,
BJ,355560,3.14,3.25,2.47,3.0875,
BJ,408003,5.45,5.74,4.3624,5.453,
BJ,624775,3.52,3.7,2.812,3.515,
BJ,624774,3.48,3.66,2.7816,3.477,
BJ,298698,6.52,6.86,5.2136,6.517,
BJ,298706,2.95,3.1,2.356,2.945,
BJ,298707,1.75,1.84,1.4858,1.748,
BJ,636827,2.61,2.44,1.8544,2.318,
BJ,298711,3.26,3.43,2.6068,3.2585,
BJ,39171,12.35,10.2,7.752,9.69,
BJ,310637,8.78,7.75,5.89,7.3625,
BJ,413689,65.65,58,44.08,55.1,
BJ,414074,196.25,174,132.24,165.3,
BJ,671637,2.97,3.16,2.4016,3.002,
BJ,671639,6.17,6.49,4.9324,6.1655,
BJ,269069,1.82,1.97,1.4972,1.8715,
BJ,489540,1.54,1.62,1.2312,1.539,
BJ,489541,0.93,0.98,0.7448,0.931,
BJ,666655,13.3,14,10.64,13.3,
BJ,679231,6.65,7,5.32,6.65,
BJ,666654,8.08,8.5,6.46,8.075,
BJ,168279,5.38,5.7,4.332,5.415,
BJ,612011,17.79,18.63,14.1588,17.6985,
BJ,545747,18.42,18.38,13.9688,17.461,
BJ,476960,0.41,0.45,0.342,0.4275,
BJ,476947,0.46,0.5,0.38,0.475,
BJ,306216,4.24,4.47,3.3972,4.2465,
BJ,306217,6.11,6.28,4.7728,5.966,
BJ,306218,8.12,8.34,6.3384,7.923,
BJ,306219,9.34,9.6,7.296,9.12,
BJ,666653,11.64,12.25,9.31,11.6375,
BJ,635403,2.68,3.02,2.869,2.869,
BJ,662889,3.91,4.12,3.1312,3.914,
BJ,663982,0.77,0.76,0.5776,0.722,
BJ,663983,0.82,0.86,0.6536,0.817,
BJ,663984,1.88,1.94,1.4744,1.843,
BJ,663985,1.53,1.68,1.2768,1.596,
BJ,663986,1.15,1.26,0.9576,1.197,
BJ,663981,0.86,0.91,0.6916,0.8645,
BJ,663996,15.93,17.51,14.9711,16.6345,
BJ,663998,2.43,2.63,1.9988,2.4985,
BJ,663992,2.02,1.96,1.5827,1.862,
BJ,639628,6.01,6.31,4.7956,5.9945,
BF,516219,9.5,10,7.6,9.5,
BF,268012,2.91,3.06,2.3256,2.907,
BF,268013,4.36,4.59,3.4884,4.3605,
BF,268014,5.7,6,4.56,5.7,
BF,268015,9.2,9.7,7.372,9.215,
BF,307013,5.22,4.76,3.6176,4.522,
BF,321233,4.77,4.76,3.8437,4.522,
BF,475982,0.76,0.8,0.722,0.76,
BF,475871,0.95,1,0.76,0.95,
BF,475875,19.16,20,19,19,
BF,539185,13.29,14.5,11.02,13.775,
BF,539183,12.94,14,10.64,13.3,
BF,539181,14.94,16,12.16,15.2,
BF,539182,14.03,15,11.4,14.25,
BF,196680,12.75,13.67,10.3892,12.9865,
BF,196681,13.52,14.4,11.2973,13.68,
BF,281498,1.02,1.15,0.874,1.0925,
BF,298801,1.96,2.03,1.6393,1.9285,
BF,281499,1.07,1.17,0.8892,1.1115,
BF,281500,1.31,1.44,1.0944,1.368,
BF,354883,0.94,1,0.8075,0.95,
BF,475991,1.01,1.05,0.798,0.9975,
BF,679090,1.37,1.5,1.14,1.425,
BF,636858,2.87,3,2.28,2.85,
BF,551042,5.46,5.64,4.2864,5.358,
BF,551043,2.71,2.85,2.166,2.7075,
BF,247831,12.88,13.87,10.5412,13.1765,
BF,247832,14.05,14.4,12.9235,13.68,
BF,320343,2.91,3.07,2.3332,2.9165,
BF,305481,5.86,6.05,4.598,5.7475,
BF,305479,1.39,1.45,1.102,1.3775,
BF,630791,6.5,7.45,5.662,7.0775,
BF,624625,2.31,2.39,2.2705,2.2705,
BF,630763,5.83,5.95,6.05,5.6525,
BF,625765,3.66,3.89,3.3535,3.6955,
BF,625767,3.4,3.6,3.1065,3.42,
BF,240939,5.04,5.31,4.0356,5.0445,
BF,611732,2.51,2.64,2.0064,2.508,
BF,627331,0.93,0.99,0.7524,0.9405,
BF,627329,0.85,0.9,0.684,0.855,
BF,627332,0.93,0.99,0.7524,0.9405,
BF,627328,0.85,0.9,0.684,0.855,
BF,624480,0.87,0.9,0.684,0.855,
BF,627314,0.93,0.99,0.7524,0.9405,
BF,627327,0.85,0.9,0.684,0.855,
BF,626997,0.92,0.99,0.7524,0.9405,
BF,627326,0.85,0.9,0.684,0.855,
BF,626630,1,1.05,0.9477,0.9975,
BF,292037,0.94,1.05,0.9477,0.9975,
BF,627330,0.83,0.86,0.6536,0.817,
BF,624479,0.89,0.91,0.7781,0.8645,
BF,626998,1.25,1.25,0.95,1.1875,
BF,627160,1.8,1.95,1.482,1.8525,
BF,592593,2.28,2.3,1.748,2.185,
BF,671538,2.27,2.43,1.8468,2.3085,
BF,664047,2.37,3.18,2.4168,3.021,
BF,342280,1.75,1.84,1.3984,1.748,
BF,476956,4.32,4.55,3.458,4.3225,
BF,476963,6.5,6.25,4.75,5.9375,
BF,476955,1.76,1.85,1.406,1.7575,
BF,476954,2.85,3,2.28,2.85,
BF,665371,1.12,1.22,1.0431,1.159,
