country,product_gmid,unified_price,resale_price,tender_price,supply_price,promotion
AO,158893, 16.15 ,,, 13.8083   ,
AO,159086, 24.24 ,,, 20.7252   ,
AO,293791, 27.51 ,,, 20.9076   ,
AO,191391, 7.87 ,,, 6.7289   ,
AO,191379, 11.54 ,,, 9.8667   ,
AO,190104, 1.13 ,,, 0.9662   ,
AO,190107, 2.94 ,,, 2.5137   ,
AO,190106, 1.76 ,,, 1.6720   ,
AO,515284, 7.06 ,,, 6.3812   ,
AO,316433, 6.05 ,,, 5.1728   ,
AO,250545, 8.56 ,,, 7.3188   ,
AO,592475, 3.19 ,,, 3.0305   ,
AO,332328, 7.65 ,,, 6.8850   ,
AO,592504, 141.44 ,,, 127.2960   ,
AO,227380, 3.40 ,,, 2.9070   ,
AO,511293, 5.40 ,,, 4.6170   ,
AO,510643, 8.98 ,,, 7.6779   ,
AO,188840, 3.40 ,,, 2.9070   ,
AO,188841, 3.50 ,,, 2.9925   ,
AO,272453, 6.85 ,,, 5.2060   ,
AO,519330, 15.55 ,,, 13.2953   ,
AO,192775, 3.40 ,,, 3.0759   ,
AO,592560, 3.56 ,,, 3.0438   ,
AO,278343, 1.61 ,,, 1.3766   ,
AO,29585, 21.06 ,,, 17.0060   ,
AO,389144, 22.33 ,,, 18.0315   ,
AO,29649, 21.07 ,,, 17.0140   ,
AO,389146, 22.33 ,,, 18.0315   ,
AO,29612, 20.37 ,,, 16.4488   ,
AO,389142, 20.37 ,,, 16.4488   ,
AO,298191, 28.00 ,,, 23.9400   ,
AO,58604, 41.99 ,,, 35.9015   ,
AO,272773, 41.99 ,,, 35.9015   ,
AO,592632, 1.33 ,,, 1.1372   ,
AO,600314, 1.68 ,,, 1.4364   ,
AO,600315, 3.40 ,,, 2.9070   ,
AO,329051, 2.98 ,,, 2.5479   ,
AO,328228, 12.96 ,,, 11.0808   ,
AO,611636, 32.88 ,,, 28.1124   ,
AO,296329, 39.14 ,,, 37.1830   ,
AO,296331, 47.42 ,,, 45.0490   ,
AO,328151, 3.40 ,,, 2.9070   ,
AO,611613, 7.93 ,,, 6.7802   ,
AO,328213, 6.10 ,,, 5.2155   ,
AO,611618, 15.56 ,,, 13.3038   ,
AO,328216, 7.78 ,,, 6.6519   ,
AO,611633, 21.43 ,,, 18.3227   ,
AO,328226, 10.36 ,,, 8.8578   ,
AO,611635, 27.07 ,,, 23.1449   ,
AO,436427, 3.36 ,,, 2.4320   ,
AO,192768, 3.45 ,,, 2.9498   ,
AO,335666, 7.19 ,,, 6.1475   ,
AO,480578, 4.68 ,,, 3.4884   ,
AO,511532, 4.88 ,,, 3.7088   ,
AO,190071, 4.88 ,,, 3.7088   ,
AO,411383, 4.57 ,,, 3.3060   ,
AO,196179, 4.56 ,,, 3.1811   ,
AO,192637, 4.30 ,,, 3.0723   ,
AO,192636, 4.30 ,,, 3.0723   ,
AO,569252, 5.00 ,,, 3.7100   ,
AO,188850, 1.40 ,,, 1.0640   ,
AO,592735, 11.95 ,,, 10.2173   ,
AO,421873, 26.23 ,,, 22.4267   ,
AO,592782, 1.47 ,,, 1.2569   ,
AO,592781, 3.40 ,,, 2.9070   ,
AO,592778, 1.31 ,,, 1.2400   ,
AO,316979, 4.60 ,,, 3.4960   ,
AO,544575, 5.06 ,,, 4.3263   ,
AO,592806, 3.29 ,,, 2.8130   ,
AO,544576, 5.03 ,,, 4.3007   ,
AO,425957, 143.06 ,,, 122.3163   ,
AO,195146, 15.33 ,,, 13.1072   ,
AO,323076, 4.87 ,,, 3.7012   ,
AO,14820, 2.43 ,,, 1.8468   ,
AO,529654, 15.26 ,,, 11.5976   ,
AO,14901, 3.20 ,,, 3.0432   ,
AO,13196, 25.46 ,,, 21.7683   ,
AO,480201, 3.70 ,,, 2.6921   ,
AO,537710, 3.40 ,,, 3.3420   ,
AO,365768, 3.13 ,,, 2.6762   ,
AO,365770, 2.46 ,,, 2.1033   ,
AO,539414, 4.36 ,,, 3.7278   ,
AO,192750, 6.75 ,,, 6.7450   ,
ST,158893, 16.15 ,,, 13.8083   ,
ST,159086, 24.24 ,,, 20.7252   ,
ST,293791, 27.51 ,,, 20.9076   ,
ST,191391, 7.87 ,,, 6.7289   ,
ST,191379, 11.54 ,,, 9.8667   ,
ST,190104, 1.13 ,,, 0.9662   ,
ST,190107, 2.94 ,,, 2.5137   ,
ST,190106, 1.76 ,,, 1.6720   ,
ST,515284, 7.06 ,,, 6.3812   ,
ST,316433, 6.05 ,,, 5.1728   ,
ST,250545, 8.56 ,,, 7.3188   ,
ST,592475, 3.19 ,,, 3.0305   ,
ST,332328, 7.65 ,,, 6.8850   ,
ST,592504, 141.44 ,,, 127.2960   ,
ST,227380, 3.40 ,,, 2.9070   ,
ST,511293, 5.40 ,,, 4.6170   ,
ST,510643, 8.98 ,,, 7.6779   ,
ST,188840, 3.40 ,,, 2.9070   ,
ST,188841, 3.50 ,,, 2.9925   ,
ST,272453, 6.85 ,,, 5.2060   ,
ST,519330, 15.55 ,,, 13.2953   ,
ST,192775, 3.40 ,,, 3.0759   ,
ST,592560, 3.56 ,,, 3.0438   ,
ST,278343, 1.61 ,,, 1.3766   ,
ST,29585, 21.06 ,,, 17.0060   ,
ST,389144, 22.33 ,,, 18.0315   ,
ST,29649, 21.07 ,,, 17.0140   ,
ST,389146, 22.33 ,,, 18.0315   ,
ST,29612, 20.37 ,,, 16.4488   ,
ST,389142, 20.37 ,,, 16.4488   ,
ST,298191, 28.00 ,,, 23.9400   ,
ST,58604, 41.99 ,,, 35.9015   ,
ST,272773, 41.99 ,,, 35.9015   ,
ST,592632, 1.33 ,,, 1.1372   ,
ST,600314, 1.68 ,,, 1.4364   ,
ST,600315, 3.40 ,,, 2.9070   ,
ST,329051, 2.98 ,,, 2.5479   ,
ST,328228, 12.96 ,,, 11.0808   ,
ST,611636, 32.88 ,,, 28.1124   ,
ST,296329, 39.14 ,,, 37.1830   ,
ST,296331, 47.42 ,,, 45.0490   ,
ST,328151, 3.40 ,,, 2.9070   ,
ST,611613, 7.93 ,,, 6.7802   ,
ST,328213, 6.10 ,,, 5.2155   ,
ST,611618, 15.56 ,,, 13.3038   ,
