country,product_gmid,unified_price,resale_price,tender_price,supply_price,promotion
ET,196680,12.75,10.36,,9.842,
ET,261604,3.16,4.74,,4.503,
ET,261605,5.23,7.05,,6.6975,
ET,261610,9.72,11.89,,11.2955,
ET,196681,13.52,13.89,,13.1955,
ET,306222,7.96,11.26,,10.697,
ET,306225,11.2,15.26,,14.497,
ET,306226,16.3,22.42,,21.299,
ET,551042,5.46,7.26,,6.897,
ET,247831,12.88,12.84,,12.198,
ET,247832,14.05,16.35,,15.5325,
ET,305481,5.86,7.58,,7.201,
ET,502299,8.65,11.68,,11.096,
ET,405018,3.03,5.09,,4.8355,
ET,405039,3.06,5.38,,5.111,
ET,415360,8.2,15.58,,14.801,
ET,405069,3.08,5.08,,4.826,
ET,615902,35.47,42.07,,39.9665,
ET,380554,35.47,42.07,,39.9665,
ET,505579,3.12,3.37,,3.2015,
ET,287552,4.76,7.1,,6.745,
ET,298689,6.18,9.37,,8.9015,
ET,222428,16.83,21.27,,20.2065,
ET,479387,1.44,2.4,,2.28,
ET,479530,1.63,2.7,,2.5651,
ET,413689,45.8,73.63,,69.9485,
ET,415325,310.03,399.56,,379.582,
ET,633072,18.42,31.89,,30.2955,
ET,545747,18.42,31.89,,30.2955,
ET,643216,25.37,37.78,,35.891,
ET,641849,6.16,9.26,,8.797,
ET,287550,1.25,1.52,,                   1.4440 ,
