country,product_gmid,unified_price,resale_price,tender_price,supply_price,promotion
BJ,268012,2.91,3.06,2.33,2.91,
BJ,268013,4.36,4.59,3.49,4.36,
BJ,268014,5.7,6.00,4.56,5.70,
BJ,268015,9.2,9.70,7.37,9.22,
BJ,307013,5.22,4.76,3.62,4.52,
BJ,321233,4.77,4.94,3.99,4.69,
BJ,475982,0.76,0.80,0.72,0.76,
BJ,475871,0.95,1.00,0.76,0.95,
BJ,475875,19.16,20.00,19.00,19.00,
BJ,196680,12.75,13.67,10.39,12.99,
BJ,196681,13.52,14.40,11.30,13.68,
BJ,281498,1.02,1.04,0.79,0.99,
BJ,298801,1.96,2.03,1.64,1.93,
BJ,281499,1.07,1.11,0.84,1.05,
BJ,281500,1.31,1.37,1.04,1.30,
BJ,354883,0.94,1.00,0.81,0.95,
BJ,475991,1.01,1.05,0.80,1.00,
BJ,475994,1.37,1.50,1.14,1.43,
BJ,636858,2.87,3.00,2.28,2.85,
BJ,476936,1.82,1.90,1.44,1.81,
BJ,551042,5.46,5.64,4.29,5.36,
BJ,551043,2.71,2.85,2.17,2.71,
BJ,247831,12.88,13.67,10.39,12.99,
BJ,247832,14.05,14.40,12.92,13.68,
BJ,628074,1.42,1.52,1.16,1.44,
BJ,668290,2.5,2.50,1.90,2.38,
BJ,554510,7.4,7.97,6.06,7.57,
BJ,323487,2.28,2.40,1.82,2.28,
BJ,298682,1.3,1.37,1.04,1.30,
BJ,320343,2.91,3.07,2.33,2.92,
BJ,320344,5.2,5.38,4.09,5.11,
BJ,305481,5.86,6.05,4.60,5.75,
BJ,305479,1.39,1.45,1.10,1.38,
BJ,630791,6.5,7.45,5.66,7.08,
BJ,624625,2.31,2.39,2.27,2.27,
BJ,630763,5.83,5.95,5.65,5.65,
BJ,625765,3.66,3.89,3.35,3.70,
BJ,625767,3.4,3.60,3.11,3.42,
BJ,240939,5.04,5.31,4.04,5.04,
BJ,611732,2.51,2.64,2.01,2.51,
BJ,627331,0.93,0.99,0.75,0.94,
BJ,627329,0.85,0.90,0.68,0.86,
BJ,627332,0.93,0.99,0.75,0.94,
BJ,627328,0.85,0.90,0.68,0.86,
BJ,624480,0.87,0.93,0.71,0.88,
BJ,627314,0.93,0.99,0.75,0.94,
BJ,627327,0.85,0.90,0.68,0.86,
BJ,626997,0.92,0.99,0.75,0.94,
BJ,627326,0.85,0.90,0.68,0.86,
BJ,626630,1,1.05,0.95,1.00,
BJ,627330,0.83,0.86,0.65,0.82,
BJ,624479,0.89,0.94,0.80,0.89,
BJ,626998,1.25,1.30,0.99,1.24,
BJ,627160,1.8,1.95,1.48,1.85,
BJ,528888,2.42,2.54,1.93,2.41,
BJ,592593,2.28,2.30,1.75,2.19,
BJ,671538,2.27,1.74,1.32,1.65,
BJ,541078,3.56,3.73,2.83,3.54,
BJ,224938,2.57,2.70,2.05,2.57,
BJ,664047,2.37,3.18,2.42,3.02,
BJ,67933,53.93,57.17,43.45,54.31,
BJ,354890,1.73,1.80,1.54,1.71,
BJ,342280,1.75,1.84,1.40,1.75,
BJ,476956,4.32,4.55,3.46,4.32,
BJ,476963,6.5,6.25,4.75,5.94,
BJ,476955,1.76,1.85,1.41,1.76,
BJ,476957,2.85,3.00,2.28,2.85,
BJ,476954,2.85,3.00,2.28,2.85,
BJ,665371,1.12,1.22,1.04,1.16,
BJ,285368,2.74,2.87,2.18,2.73,
BJ,638521,1.16,1.22,0.93,1.16,
BJ,98574,2.24,2.40,1.82,2.28,
BJ,476933,0.81,0.85,0.65,0.81,
BJ,625681,2.32,3.51,2.67,3.33,
BJ,277954,0.76,0.80,0.76,0.76,
BJ,311168,1.9,1.99,1.51,1.89,
BJ,311166,1.19,1.24,0.94,1.18,
BJ,293665,2.51,2.55,2.06,2.42,
BJ,239907,1.31,1.33,1.01,1.26,
BJ,292174,2.31,2.50,1.90,2.38,
BJ,436433,1.49,1.57,1.19,1.49,
BJ,214082,1.89,1.93,1.65,1.83,
BJ,346666,1.81,1.85,1.41,1.76,
BJ,245296,2.54,2.61,1.98,2.48,
BJ,476941,1.9,2.00,1.52,1.90,
BJ,592685,2.44,2.58,2.08,2.45,
BJ,592684,1.23,1.34,1.21,1.27,
BJ,289137,4.49,4.93,3.75,4.68,
BJ,289138,1.02,1.07,0.81,1.02,
BJ,287552,4.76,4.93,3.75,4.68,
BJ,287550,1.25,1.30,0.99,1.24,
BJ,287553,2.46,2.55,1.94,2.42,
BJ,592705,2.68,3.02,2.87,2.87,
BJ,609071,1.24,1.31,1.00,1.24,
BJ,671597,1.55,1.67,1.27,1.59,
BJ,264980,4.65,8.01,6.09,7.61,
BJ,311122,2.29,2.59,1.97,2.46,
BJ,305928,4.53,4.50,3.42,4.28,
BJ,476518,3.09,3.50,2.66,3.33,
BJ,298689,6.18,6.49,4.93,6.17,
BJ,374872,7.1,7.50,5.70,7.13,
BJ,298691,7.4,7.53,5.72,7.15,
BJ,298693,4.41,4.31,3.28,4.09,
BJ,252039,6.7,7.17,5.45,6.81,
BJ,252040,6.87,7.08,5.38,6.73,
BJ,252041,3.34,3.28,2.49,3.12,
BJ,639164,1.85,1.91,1.45,1.81,
BJ,368552,1.35,1.44,1.09,1.37,
BJ,172136,33.55,35.37,31.92,33.60,
BJ,249438,2.61,2.70,2.05,2.57,
BJ,639608,1.51,1.57,1.19,1.49,
BJ,624622,3.85,3.97,3.02,3.77,
BJ,571696,13,13.57,10.31,12.89,
BJ,187750,2.67,2.81,2.14,2.67,
BJ,187747,4.11,4.41,3.35,4.19,
BJ,477825,2.31,2.21,1.68,2.10,
BJ,479387,1.44,1.52,1.16,1.44,
BJ,479530,1.63,1.67,1.27,1.59,
BJ,323470,2.6,2.74,2.08,2.60,
BJ,323473,1.23,0.92,0.87,0.87,
BJ,355560,3.14,3.25,2.47,3.09,
BJ,408003,5.45,5.74,4.36,5.45,
BJ,624775,3.52,3.70,2.81,3.52,
BJ,624774,3.48,3.66,2.78,3.48,
BJ,298698,6.52,6.86,5.21,6.52,
BJ,298706,2.95,3.10,2.36,2.95,
BJ,298707,1.75,1.84,1.49,1.75,
BJ,213848,2.61,2.44,1.85,2.32,
BJ,298709,2.66,2.80,2.13,2.66,
BJ,298711,3.26,3.43,2.61,3.26,
BJ,39171,12.35,10.20,7.75,9.69,
BJ,310637,8.78,7.75,5.89,7.36,
BJ,413689,65.65,58.00,44.08,55.10,
BJ,414074,196.25,174.00,132.24,165.30,
BJ,671637,2.97,3.16,2.40,3.00,
BJ,671639,6.17,6.49,4.93,6.17,
BJ,269069,1.82,1.97,1.50,1.87,
BJ,489540,1.54,1.62,1.23,1.54,
BJ,489541,0.93,0.98,0.74,0.93,
BJ,592979,13.3,14.00,10.64,13.30,
BJ,516143,6.65,7.00,5.32,6.65,
BJ,592980,8.08,8.50,6.46,8.08,
BJ,282345,6.18,6.50,4.94,6.18,
BJ,282319,6.65,7.00,5.32,6.65,
BJ,282348,3.81,4.00,3.80,3.80,
BJ,209742,5.72,6.00,5.70,5.70,
BJ,168279,5.38,5.70,4.33,5.42,
BJ,213866,6.01,6.31,4.80,5.99,
BJ,612011,17.79,18.63,14.16,17.70,
BJ,545747,18.42,18.38,13.97,17.46,
BJ,476960,0.41,0.45,0.34,0.43,
BJ,476947,0.46,0.50,0.38,0.48,
BJ,306216,4.24,4.47,3.40,4.25,
BJ,306217,6.11,6.28,4.77,5.97,
BJ,306218,8.12,8.34,6.34,7.92,
BJ,306219,9.34,9.60,7.30,9.12,
BJ,592989,11.64,12.25,9.31,11.64,
BJ,635403,2.68,3.02,2.87,2.87,
BJ,662889,3.91,4.12,3.13,3.91,
BJ,663982,0.77,0.76,0.58,0.72,
BJ,663983,0.82,0.86,0.65,0.82,
BJ,663984,1.88,1.94,1.47,1.84,
BJ,663985,1.53,1.68,1.28,1.60,
BJ,663986,1.15,1.26,0.96,1.20,
BJ,663981,0.86,0.91,0.69,0.86,
BJ,663995,9.87,9.99,9.49,9.49,
BJ,663996,15.93,17.51,14.97,16.63,
BJ,663998,2.43,2.63,2.00,2.50,
BJ,663992,2.02,1.96,1.58,1.86,
BF,516219,9.5,10.00,7.60,9.50,
BF,268012,2.91,3.06,2.33,2.91,
BF,268013,4.36,4.59,3.49,4.36,
BF,268014,5.7,6.00,4.56,5.70,
BF,268015,9.2,9.70,7.37,9.22,
BF,307013,5.22,4.76,3.62,4.52,
BF,321233,4.77,4.76,3.84,4.52,
BF,475982,0.76,0.80,0.72,0.76,
BF,475871,0.95,1.00,0.76,0.95,
BF,475875,19.16,20.00,19.00,19.00,
BF,539185,13.29,14.50,11.02,13.78,
BF,539183,12.94,14.00,10.64,13.30,
BF,539181,14.94,16.00,12.16,15.20,
BF,539182,14.03,15.00,11.40,14.25,
BF,196680,12.75,13.67,10.39,12.99,
BF,196681,13.52,14.40,11.30,13.68,
BF,281498,1.02,1.15,0.87,1.09,
BF,298801,1.96,2.03,1.64,1.93,
BF,281499,1.07,1.17,0.89,1.11,
BF,281500,1.31,1.44,1.09,1.37,
BF,354883,0.94,1.00,0.81,0.95,
BF,475991,1.01,1.05,0.80,1.00,
BF,475994,1.37,1.50,1.14,1.43,
BF,636858,2.87,3.00,2.28,2.85,
BF,476938,1.43,1.50,1.14,1.43,
BF,476936,1.82,1.90,1.44,1.81,
BF,551042,5.46,5.64,4.29,5.36,
BF,551043,2.71,2.85,2.17,2.71,
BF,247831,12.88,13.87,10.54,13.18,
BF,247832,14.05,14.40,12.92,13.68,
BF,628074,1.42,1.52,1.16,1.44,
BF,668290,2.5,2.50,1.90,2.38,
BF,554510,7.4,7.97,6.06,7.57,
BF,323487,2.28,2.40,1.82,2.28,
BF,298682,1.3,1.37,1.04,1.30,
BF,320343,2.91,3.07,2.33,2.92,
BF,320344,5.2,5.38,4.09,5.11,
BF,305481,5.86,6.05,4.60,5.75,
BF,305479,1.39,1.45,1.10,1.38,
BF,630791,6.5,7.45,5.66,7.08,
BF,624625,2.31,2.39,2.27,2.27,
BF,630763,5.83,5.95,6.05,5.65,
BF,625765,3.66,3.89,3.35,3.70,
BF,625767,3.4,3.60,3.11,3.42,
BF,240939,5.04,5.31,4.04,5.04,
BF,611732,2.51,2.64,2.01,2.51,
BF,627331,0.93,0.99,0.75,0.94,
BF,627329,0.85,0.90,0.68,0.86,
BF,627332,0.93,0.99,0.75,0.94,
BF,627328,0.85,0.90,0.68,0.86,
BF,624480,0.87,0.90,0.68,0.86,
BF,627314,0.93,0.99,0.75,0.94,
BF,627327,0.85,0.90,0.68,0.86,
BF,626997,0.92,0.99,0.75,0.94,
BF,627326,0.85,0.90,0.68,0.86,
BF,626630,1,1.05,0.95,1.00,
BF,627330,0.83,0.86,0.65,0.82,
BF,624479,0.89,0.91,0.78,0.86,
BF,626998,1.25,1.25,0.95,1.19,
BF,627160,1.8,1.95,1.48,1.85,
BF,528888,2.42,2.54,1.93,2.41,
BF,592593,2.28,2.30,1.75,2.19,
BF,671538,2.27,2.43,1.85,2.31,
BF,224938,2.57,2.70,2.05,2.57,
BF,664047,2.37,3.18,2.42,3.02,
BF,67933,53.93,57.17,43.45,54.31,
BF,354890,1.73,1.80,1.54,1.71,
BF,342280,1.75,1.84,1.40,1.75,
BF,476956,4.32,4.55,3.46,4.32,
BF,476963,6.5,6.25,4.75,5.94,
BF,476955,1.76,1.85,1.41,1.76,
BF,476954,2.85,3.00,2.28,2.85,
BF,665371,1.12,1.22,1.04,1.16,
BF,285368,2.74,2.87,2.18,2.73,
BF,638521,1.16,1.22,0.93,1.16,
BF,98574,2.24,2.40,1.82,2.28,
BF,405018,3.03,3.70,3.16,3.52,
BF,405039,3.06,3.70,3.34,3.52,
BF,415360,8.2,6.00,5.70,5.70,
BF,405069,3.08,3.70,3.52,3.52,
BF,251823,7.37,6.00,5.70,5.70,
BF,625681,2.32,3.51,2.67,3.33,
BF,277954,0.76,0.80,0.76,0.76,
BF,311168,1.9,1.99,1.51,1.89,
BF,311166,1.19,1.24,0.94,1.18,
BF,293665,2.51,2.55,2.06,2.42,
BF,306216,4.24,4.47,3.40,4.25,
BF,306217,6.11,6.28,4.77,5.97,
BF,306218,8.12,8.34,6.34,7.92,
BF,306219,9.34,9.60,7.30,9.12,
 BF ,291024,3.78,3.82,3.44,3.63,
BF,239907,1.31,1.46,1.11,1.39,
BF,292174,2.31,2.50,1.90,2.38,
BF,436433,1.49,1.72,1.31,1.63,
BF,214082,1.89,1.93,1.65,1.83,
BF,346666,1.81,1.85,1.41,1.76,
BF,245296,2.54,2.61,1.98,2.48,
BF,557997,5.3,5.60,4.26,5.32,
BF,592685,2.44,2.58,2.08,2.45,
BF,592684,1.23,1.34,1.21,1.27,
BF,289137,4.49,4.93,3.75,4.68,
BF,289138,1.02,1.07,0.81,1.02,
BF,287552,4.76,4.93,3.75,4.68,
BF,287550,1.25,1.30,0.99,1.24,
BF,287553,2.46,2.60,1.98,2.47,
BF,592705,2.68,3.02,2.87,2.87,
BF,609071,1.24,1.31,1.00,1.24,
BF,671597,1.55,1.67,1.27,1.59,
BF,264980,4.65,8.01,6.09,7.61,
BF,311122,2.29,2.59,1.97,2.46,
BF,305928,4.53,4.50,3.42,4.28,
BF,476518,3.09,3.50,2.66,3.33,
BF,298689,6.18,6.49,4.93,6.17,
BF,374872,7.1,7.12,5.41,6.76,
BF,298691,7.4,7.53,5.72,7.15,
BF,298693,4.41,4.31,3.28,4.09,
BF,252039,6.7,7.10,5.40,6.75,
BF,252040,6.87,7.08,5.38,6.73,
BF,252041,3.34,3.48,2.64,3.31,
BF,222428,16.83,18.72,14.23,17.78,
BF,639164,1.85,1.91,1.45,1.81,
BF,368552,1.35,1.44,1.09,1.37,
BF,172136,33.55,35.37,31.92,33.60,
BF,249438,2.61,2.70,2.05,2.57,
BF,639608,1.51,1.57,1.19,1.49,
BF,624622,3.85,3.97,3.02,3.77,
BF,571696,13,13.57,10.31,12.89,
BF,187750,2.67,2.81,2.14,2.67,
BF,187747,4.11,4.41,3.35,4.19,
BF,477825,2.31,2.21,1.68,2.10,
BF,479387,1.44,1.52,1.16,1.44,
BF,479530,1.63,1.67,1.27,1.59,
BF,323470,2.6,2.74,2.08,2.60,
BF,323473,1.23,0.92,0.87,0.87,
BF,355560,3.14,3.25,2.47,3.09,
BF,408003,5.45,5.74,4.36,5.45,
BF,624775,3.52,3.70,2.81,3.52,
BF,624774,3.48,3.66,2.78,3.48,
BF,298698,6.52,6.86,5.21,6.52,
BF,298706,2.95,3.10,2.36,2.95,
BF,298707,1.75,1.84,1.49,1.75,
BF,213848,2.61,2.44,1.85,2.32,
BF,298709,2.66,2.80,2.13,2.66,
BF,298711,3.26,3.43,2.61,3.26,
BF,39171,12.35,10.20,7.75,9.69,
BF,310637,8.78,7.75,5.89,7.36,
BF,413689,65.65,58.00,44.08,55.10,
BF,414074,196.25,174.00,132.24,165.30,
BF,671637,2.97,3.16,2.40,3.00,
BF,671639,6.17,6.49,4.93,6.17,
BF,269069,1.82,1.97,1.50,1.87,
BF,489540,1.54,1.62,1.23,1.54,
BF,489541,0.93,0.98,0.74,0.93,
BF,592979,13.3,14.00,10.64,13.30,
BF,516143,6.65,7.00,5.32,6.65,
BF,592980,8.08,8.50,6.46,8.08,
BF,592989,11.64,12.25,9.31,11.64,
