sanofi_gmid,mercafar_gmid,bu,franchise,name,family,brand,promotion,unified_price
516219,,Rx,NCD,ALLSTAR MEDSUP MEDSU PEN1 MAU XE,LANTUS,ALLSTAR,,9.5
268012,,Rx,NCD,AMAREL 1MG TAB BL2X15 M36 XE,AMARYL,AMAREL,,2.91
268013,,Rx,NCD,AMAREL 2MG TAB BL2X15 M36 XE,AMARYL,AMAREL,,4.36
268014,,Rx,NCD,AMAREL 3MG TAB BL2X15 M36 XE,AMARYL,AMAREL,,5.7
268015,,Rx,NCD,AMAREL 4MG TAB BL2X15 M36 XD,AMARYL,AMAREL,,9.2
261604,,Rx,NCD,AMARYL 1MG TAB BL2X15 S3 M36 XE,AMARYL,AMARYL,,3.16
494156,,Rx,NCD,AMARYL M 2MG+ TABCO BL2X10 GH,AMARYL,AMARYL M,,0
261605,,Rx,NCD,AMARYL 2MG TAB BL2X15 S3 M36 XE,AMARYL,AMARYL,,5.23
261610,,Rx,NCD,AMARYL 4MG TAB BL2X15 S3 M36 XE,AMARYL,AMARYL,,9.72
475649,,Rx,NCD,AMEDIN 10MG TAB BL2X14 M36 UG,AMLODIPINE T,AMEDIN,,0
307013,,Rx,NCD,AMARYL MIR 2-500MG TABCO BL3X10 XE,AMARYL,AMARYL MIR,,5.22
321233,,Rx,NCD,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,AMARYL,AMARYL MSR,,4.77
645820,,Rx,NCD,AMARYL 1MG TAB BL3X10 M36 ZA,AMARYL,AMARYL,,3.45
645818,,Rx,NCD,AMARYL 2MG TAB BL3X10 M36 ZA,AMARYL,AMARYL,,6.1
645819,,Rx,NCD,AMARYL 4MG TAB BL3X10 M36 ZA,AMARYL,AMARYL,,10.97
632896,,Rx,NCD,AMARYL 3MG TAB BL2X15 S4 M36 XE,AMARYL,AMARYL,,5.7
475652,,Rx,NCD,AMEDIN 10MG TAB BL2X14 M36 MG,AMLODIPINE T,AMEDIN,,0.76
475862,,Rx,NCD,AMEDIN 5MG TAB BL2X14 M36 UG,AMLODIPINE T,AMEDIN,,0.99
475982,,Rx,PC,AMITRON 3G/60ML POWD BT1 M36 EX,AMOXICILLINE,AMITRON,,0.76
475871,,Rx,PC,AMITRON 500MG CAPEM BL12 M36 EX,AMOXICILLINE,AMITRON,,0.95
475875,,Rx,PC,AMITRON 500MG CAPEM BL50X10 M36 EX,AMOXICILLINE,AMITRON,,19.16
380567,,Rx,NCD,APIDRA 300IU/3ML INJ SOLO5 M24 XN,APIDRA,APIDRA,,27.27
684820,,Rx,NCD,LANTUS 300IU/3ML INJ SOLO5 M36 XD,LANTUS,LANTUS,,34.85
539185,,Rx,NCD,APROVASC 150-10MG TAB BL4X7 M36 XD,APROVEL,APROVASC,,13.29
539183,,Rx,NCD,APROVASC 150-5MG TAB BL4X7 M36 XD,APROVEL,APROVASC,,12.94
539181,,Rx,NCD,APROVASC 300-10MG TAB BL4X7 M36 XD,APROVEL,APROVASC,,14.94
539182,,Rx,NCD,APROVASC 300-5MG TAB BL4X7 M36 XD,APROVEL,APROVASC,,14.03
196680,,Rx,NCD,APROVEL 150MG TABCO BL2X14 RM M36 XE,APROVEL,APROVEL,,12.75
196681,,Rx,NCD,APROVEL 300MG TABCO BL2X14 RM M36 XE,APROVEL,APROVEL,,13.52
663419,,Rx,PC,ARTANE 2MG TAB BL2X25 FR,ARTANE,ARTANE,,1.25
281498,,CHC,CHC,ASPEGIC 100MG POWD SC20 SAF M24 XD,ASPIRINE,ASPEGIC,,1.02
281499,,CHC,CHC,ASPEGIC 250MG POWD SC20 SAF M24 XD,ASPIRINE,ASPEGIC,,1.07
281500,,CHC,CHC,ASPEGIC 500MG POWD SC20 SAF M30 XD,ASPIRINE,ASPEGIC,,1.31
298801,,CHC,CHC,ASPEGIC 1G POWD SC20 SAF M30 XD,ASPIRINE,ASPEGIC,,1.96
354883,,Rx,PC,ATURGYL 7.5MG/15ML NASSP IN1 M24 XE,ATURGYL,ATURGYL,,0.94
651772,,CHC,CHC,MUCOSOLVAN 30MG TAB BL2X10 M36 XD,MUCOSOLVAN T,MUCOSOLVAN,,2.39
475987,,Rx,PC,AXACEF 250MG TABCO BL10 M36 MG,CEFUROXIME,AXACEF,,1.84
476931,,Rx,PC,AXACEF 250MG TABCO BL2X7 M36 EX,CEFUROXIME,AXACEF,,0
475991,,CHC,CHC,BIOFERON 305MG+ CAPEM BL3X10 M30 EX,VITAMINS,BIOFERON,,1.01
475988,,Rx,PC,AXACEF 500MG TABCO BL10 M36 MG,CEFUROXIME,AXACEF,,3.59
352016,,CHC,CHC,BRONCHICUM 6.64G/+ ELIX BT1 S3 M36 XE,BRONCHICUM,BRONCHICUM,,1.14
679090,,CHC,CHC,BIOFERON 200ML SYR BT1 M30 H EX,VITAMINS,BIOFERON,,1.37
475994,,CHC,CHC,BIOFERON 8G/+ SYR BT1 M30 EX,VITAMINS,BIOFERON,,1.37
476949,,Rx,PC,BIOZOLE 2.5G/100ML SYR BT1 M36 EX,METRONIDAZOLE T,BIOZOLE,,0.76
476950,,Rx,PC,BIOZOLE 500MG/+ INFLS VL1 M24 EX,METRONIDAZOLE T,BIOZOLE,,0
346667,,Rx,PC,BIPROFENID 100MG TAB BL2X10 S3 M24 XD,ORUDIS,BIPROFENID,,2.87
654229,,CHC,CHC,BISOLVON LINCTUS DA 160MG/+ SYR BT1 ZA,BISOLVON T,BISOLVON LINCTUS DA,,2.73
651891,,CHC,CHC,BISOLVON 8MG TAB BL20 M24 XD,BISOLVON T,BISOLVON,,1.61
476959,,CHC,CHC,BRUMED 2G/100ML SYR BT1 M36 EX,IBUPROFEN,BRUMED,,0.31
476938,,CHC,CHC,BRUMED 200MG TABSC BL10X10 M24 EX,IBUPROFEN,BRUMED,,1.43
476936,,CHC,CHC,BRUMED 400MG TABSC BL10X10 M36 EX,IBUPROFEN,BRUMED,,1.82
652574,,CHC,CHC,BUSCOPAN 20MG/1ML INJ AM5 M36 ZA,BUSCOPAN,BUSCOPAN,,3.08
653030,,CHC,CHC,BUSCOPAN PLUS 10-500MG TABCO BL50X1 EX,BUSCOPAN,BUSCOPAN PLUS,,6.9
651969,,CHC,CHC,BUSCOPAN 10MG TABSC BL5X10 M36 NG,BUSCOPAN,BUSCOPAN,,3.52
551042,,Rx,PC,CLOMID 50MG TAB BL10 NDSI M36 XE,CLOMIFENE CITRATE,CLOMID,,5.46
551043,,Rx,PC,CLOMID 50MG TAB BL5 NDSI M36 XE,CLOMIFENE CITRATE,CLOMID,,2.71
628074,,CHC,CHC,CODOLIPRANE 400-20MG TAB BL2X8 NDSI XD,SOLPADOL T,CODOLIPRANE,,1.42
668290,,Rx,NCD,COLTRAMYL 4MG TAB BL12 PAP M36 EX,COLTRAMYL T,COLTRAMYL,,2.5
