MONTH,COUNTRY,CUSTOMER,PRODUCT,UNITS,VALUE
1,KE,A G PHARMACEUTICAL,AMARYL 1MG 30 TABS,1.862290403,7.11394934
1,KE,A G PHARMACEUTICAL,AMARYL 2MG 30 TABS,2.379593293,16.08605066
1,KE,A G PHARMACEUTICAL,AMARYL 4MG 30 TABS,1.655369247,20.11273635
1,KE,A G PHARMACEUTICAL,AMARYL MIR 2-500MG TABCO BL3X10 XE,6.311095255,39.19190153
1,KE,A G PHARMACEUTICAL,APROVASC 150/5,0.620763468,7.579521941
1,KE,A G PHARMACEUTICAL,APROVASC 300/5,0.724224046,10.44331074
1,KE,A G PHARMACEUTICAL,APROVEL 150MG TABCO BL2X14 RM M36 XE,1.862290403,20.7831609
1,KE,A G PHARMACEUTICAL,APROVEL 300MG TABCO BL2X14 RM M36 XE,1.448448091,20.91559044
1,KE,A G PHARMACEUTICAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,0.206921156,1.874705672
1,KE,A G PHARMACEUTICAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,2.689975027,42.79750268
1,KE,A G PHARMACEUTICAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,0.931145202,11.83485551
1,KE,A G PHARMACEUTICAL,EPILIM 12G/300ML SYR BTX1,6.931858723,49.00824117
1,KE,A G PHARMACEUTICAL,EPILIM 200MG TAB BL10X10,1.655369247,16.45437032
1,KE,A G PHARMACEUTICAL,EPILIM CHRONO 333-145MG T,0.310381734,8.780699251
1,KE,A G PHARMACEUTICAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,0.51730289,8.406171959
1,KE,A G PHARMACEUTICAL,FLAGENTYL 500MG TABCO BL1X4 S3 XE,16.24331074,28.42579379
1,KE,A G PHARMACEUTICAL,FLAGYL 400MG 100 TABS,2.379593293,12.70702818
1,KE,A G PHARMACEUTICAL,FLAGYL SUSPENSION 100ML,3.414199072,8.637923653
1,KE,A G PHARMACEUTICAL,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE,0.103460578,2.896896183
1,KE,A G PHARMACEUTICAL,LANTUS SOLOSTAR 100IU/ML 3ML 5,5.207349269,191.0055712
1,KE,A G PHARMACEUTICAL,ORELOX 100MG TABCO BL1X10,0.620763468,4.457081698
1,KE,A G PHARMACEUTICAL,ORELOX 200MG 10CP,9.001070282,73.62875491
1,KE,A G PHARMACEUTICAL,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,3.621120228,23.89939351
1,KE,A G PHARMACEUTICAL,ORELOX 800MG/+ GRAN BTX1,5.379950054,53.42290403
1,KE,A G PHARMACEUTICAL,PLAVIX 75MG TABCO BL2X14 M36 XE,3.207277917,63.18337496
1,KE,A G PHARMACEUTICAL,"TRITACE 2,5MG  28 TABS",0.413842312,3.223831609
1,KE,A G PHARMACEUTICAL,TRITACE 5MG 28 TABS,9.311452016,122.445594
1,KE,A G PHARMACEUTICAL,XATRAL 10MG TABCR BL3X10 S3 M36 XD,4.241883696,91.87920086
1,KE,A G PHARMACEUTICAL,XATRAL 5MG TAB BL4X14 S3 M36 XD,0.310381734,6.403175169
1,KE,A TO Z PHARMACY LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,0.620763468,5.624117017
1,KE,A TO Z PHARMACY LTD,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,0.310381734,3.842525865
1,KE,A TO Z PHARMACY LTD,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,0.206921156,3.749411345
1,KE,A TO Z PHARMACY LTD,EPILIM 12G/300ML SYR BTX1,1.138066357,8.046129147
1,KE,A TO Z PHARMACY LTD,EPILIM 200MG TAB BL10X10,1.03460578,10.28398145
1,KE,A TO Z PHARMACY LTD,EPILIM CHRONO 333-145MG T,1.344987513,38.04969675
1,KE,A TO Z PHARMACY LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,0.310381734,5.043703175
1,KE,A TO Z PHARMACY LTD,LANTUS VIAL 10MG 1,0.379527887,2.277167321
1,KE,A TO Z PHARMACY LTD,ORELOX 200MG 10CP,1.655369247,13.54092044
1,KE,A TO Z PHARMACY LTD,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,1.344987513,8.876917588
1,KE,A TO Z PHARMACY LTD,ORELOX 800MG/+ GRAN BTX1,0.827684624,8.218908313
1,KE,A TO Z PHARMACY LTD,XATRAL 10MG TABCR BL3X10 S3 M36 XD,0.620763468,13.44573671
1,KE,A TO Z PHARMACY LTD,XATRAL 2.5MG TABCO BL2X15 S3 M36 XE,0.206921156,1.438102034
1,KE,A TO Z PHARMACY LTD,XATRAL 5MG TAB BL4X14 S3 M36 XD,0.51730289,10.67195862
1,KE,A.I.C. KIJABE HOSPITAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,435.8187656,3948.518016
1,KE,A.I.C. KIJABE HOSPITAL,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,52.29825187,647.4523582
1,KE,A.I.C. KIJABE HOSPITAL,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,78.44737781,1421.466486
1,KE,A.I.C. KIJABE HOSPITAL,EPILIM 12G/300ML SYR BTX1,21.79093828,154.0619336
1,KE,A.I.C. KIJABE HOSPITAL,EPILIM 200MG TAB BL10X10,6.682554406,66.4245908
1,KE,A.I.C. KIJABE HOSPITAL,EPILIM CHRONO 333-145MG T,6.101462719,172.6103803
1,KE,A.I.C. KIJABE HOSPITAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,5.883553336,95.60774171
1,KE,A.I.C. KIJABE HOSPITAL,FLEMING 500-125MG TABCO BL2X7 M24 EX,224.6874777,438.1405815
1,KE,A.I.C. KIJABE HOSPITAL,FLEMING 875-125MG TABCO BL2X7 M24 EX,6.97310025,19.5944117
