MONTH,COUNTRY,DISTRIBUTOR,CUSTOMER,PRODUCT,QUANTITY_UNITS
3,KE,Highchem,ALFAJIRI PHARMACEUTICALS LTD,EPILIM CHRONO 500mg TABS 100'S,10
3,KE,Highchem,ALFAJIRI PHARMACEUTICALS LTD,LANTUS 10ml VIAL,10
3,KE,Highchem,AMYLIN CHEMIST,EPILIM 200mg TABS EC 100'S,5
3,KE,Highchem,AMYLIN CHEMIST,EPILIM 300ml SYRUP,10
3,KE,Highchem,AMYLIN CHEMIST,EPILIM CHRONO 500mg TABS 100'S,5
3,KE,Highchem,BATIAN PEAK PHARMACEUTICALS LTD,EPILIM 300ml SYRUP,3
3,KE,Highchem,BATIAN PEAK PHARMACEUTICALS LTD,LASIX 40mg TABS 20'S,6
3,KE,Highchem,BUNGOMA WEST CHEMIST,AMARYL TABS 4.0mg 30'S,5
3,KE,Highchem,BUNGOMA WEST CHEMIST,EPILIM 200mg TABS EC 100'S,5
3,KE,Highchem,BUNGOMA WEST CHEMIST,EPILIM 300ml SYRUP,10
3,KE,Highchem,BUNGOMA WEST CHEMIST,LASIX 40mg TABS 20'S,6
3,KE,Highchem,CANAAN PHARMACEUTICALS LTD,EPILIM 200mg TABS EC 100'S,1
3,KE,Highchem,CANAAN PHARMACEUTICALS LTD,EPILIM CHRONO 500mg TABS 100'S,1
3,KE,Highchem,CANAAN PHARMACEUTICALS LTD,FLAGENTYL 500mg TABS,10
3,KE,Highchem,CANAAN PHARMACEUTICALS LTD,LASIX 40mg TABS 20'S,20
3,KE,Highchem,DALLAS CHEMIST,DULCOLAX 5MG TABS BL3X10,6
3,KE,Highchem,DALLAS CHEMIST,EPILIM 200mg TABS EC 100'S,6
3,KE,Highchem,DALLAS CHEMIST,EPILIM 300ml SYRUP,5
3,KE,Highchem,DALLAS CHEMIST,EPILIM CHRONO 500mg TABS 100'S,4
3,KE,Highchem,DALLAS CHEMIST,ERCEFURYL 200mg CAPS 28'S,4
3,KE,Highchem,DALLAS CHEMIST,FLAGENTYL 500mg TABS,10
3,KE,Highchem,DALLAS CHEMIST,FLAGYL 400mg TABS 100'S,5
3,KE,Highchem,DALLAS CHEMIST,LASIX 40mg TABS 20'S,4
3,KE,Highchem,DR. IGNATIUS MUTURI,AMARYL M 2mg/500mg 30'S,22
3,KE,Highchem,DR. IGNATIUS MUTURI,LANTUS SOLOSTAR 3ml 5'S,5
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],EPILIM 200mg TABS EC 100'S,10
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],EPILIM CHRONO 500mg TABS 100'S,40
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],ERCEFURYL 200mg CAPS 28'S,60
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],FLAGENTYL 500mg TABS,100
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],FLEMING 500mg+125mg TABS 14'S,80
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],FLEMING 875mg+125mg TABS 14'S,30
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],LASIX 40mg TABS 20'S,150
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],ORELOX 200mg TABS 10'S,30
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],PLAVIX 75mg TABS 28'S,10
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],RESONIUM 454g ADULT POWDER,5
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],TAVANIC 500mg TABS 5'S,36
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS LTD [ELD],AMARYL M 2mg/500mg 30'S,28
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS LTD [ELD],AMARYL TABS 4.0mg 30'S,28
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS LTD [ELD],EPILIM 200mg TABS EC 100'S,10
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS LTD [ELD],EPILIM 300ml SYRUP,20
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS LTD [ELD],EPILIM CHRONO 500mg TABS 100'S,15
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS LTD [ELD],LASIX 40mg TABS 20'S,120
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS LTD [ELD],XATRAL LP 10mg TABS 30'S,10
3,KE,Highchem,ELDOHOSP PHARMACEUTICALS LTD [ELD],XATRAL LP TABLETS 5MG*56s,10
3,KE,Highchem,EMBU CHILDREN HOSPITAL,EPILIM 200mg TABS EC 100'S,3
3,KE,Highchem,EMBU CHILDREN HOSPITAL,EPILIM 300ml SYRUP,10
3,KE,Highchem,EMBU CHILDREN HOSPITAL,EPILIM CHRONO 300mg TABS 100'S,5
3,KE,Highchem,EMBU CHILDREN HOSPITAL,EPILIM CHRONO 500mg TABS 100'S,5
3,KE,Highchem,EMBU CHILDREN HOSPITAL,LANTUS SOLOSTAR 3ml 5'S,4
3,KE,Highchem,EMBU CHILDREN HOSPITAL,ORELOX 200mg TABS 10'S,10
3,KE,Highchem,FAMILY HEALTH OPTIONS KENYA,DULCOLAX 5MG TABS BL3X10,6
3,KE,Highchem,FAMILY HEALTH OPTIONS KENYA,FLAGENTYL 500mg TABS,20
3,KE,Highchem,FAMILY HEALTH OPTIONS KENYA,FLEMING 875mg+125mg TABS 14'S,12
3,KE,Highchem,FAMILY HEALTH OPTIONS KENYA,NO SPA 40mg TABS 100'S,5
3,KE,Highchem,FANSHO PHARMACY,EPILIM CHRONO 500mg TABS 100'S,1
3,KE,Highchem,HALLEL PHARMACY,EPILIM 200mg TABS EC 100'S,5
3,KE,Highchem,HALLEL PHARMACY,EPILIM 300ml SYRUP,20
3,KE,Highchem,HALLEL PHARMACY,FLAGENTYL 500mg TABS,50
3,KE,Highchem,HALLEL PHARMACY,LANTUS SOLOSTAR 3ml 5'S,10
3,KE,Highchem,HARIPHARM PHARMACY LTD,DULCOLAX 5MG TABS BL3X10,29
3,KE,Highchem,HARIPHARM PHARMACY LTD,EPILIM 300ml SYRUP,5
3,KE,Highchem,HARIPHARM PHARMACY LTD,EPILIM CHRONO 300mg TABS 100'S,2
3,KE,Highchem,HARIPHARM PHARMACY LTD,EPILIM CHRONO 500mg TABS 100'S,5
3,KE,Highchem,HARIPHARM PHARMACY LTD,FLAGENTYL 500mg TABS,6
3,KE,Highchem,HARIPHARM PHARMACY LTD,FLEMING 500mg+125mg TABS 14'S,20
3,KE,Highchem,HARIPHARM PHARMACY LTD,LASIX 40mg TABS 20'S,40
3,KE,Highchem,HARIPHARM PHARMACY LTD,NO SPA 40mg TABS 100'S,1
3,KE,Highchem,HARIPHARM PHARMACY LTD,RHINATHIOL ENFT 125ml SP,24
3,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,AMARYL M 2mg/500mg 30'S,2
3,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,AMARYL TABS 2.0mg 30'S,2
3,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,AMARYL TABS 3.0mg 30'S,3
3,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,CLEXANE 80mg 2'S,5
3,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,EPILIM CHRONO 500mg TABS 100'S,11
3,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,FLAGENTYL 500mg TABS,1
3,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,FLAGYL 400mg TABS 100'S,3
3,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,LANTUS SOLOSTAR 3ml 5'S,1
3,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,RESONIUM 454g ADULT POWDER,20
3,KE,Highchem,HIGHRIDGE PHARMACY LTD,EPILIM CHRONO 300mg TABS 100'S,1
3,KE,Highchem,HIGHRIDGE PHARMACY LTD,LANTUS 10ml VIAL,1
3,KE,Highchem,HIGHRIDGE PHARMACY LTD,PLAVIX 75mg TABS 28'S,6
3,KE,Highchem,HIGHRIDGE PHARMACY LTD,TAVANIC 500mg TABS 5'S,11
3,KE,Highchem,KAVAKAVA PHARMACY LTD,EPILIM CHRONO 300mg TABS 100'S,3
3,KE,Highchem,KAVAKAVA PHARMACY LTD,EPILIM CHRONO 500mg TABS 100'S,2
3,KE,Highchem,KAVAKAVA PHARMACY LTD,RHINATHIOL ENFT 125ml SP,24
3,KE,Highchem,KRISHNA CHEMIST LTD,CLEXANE 20mg 2'S,20
3,KE,Highchem,KRISHNA CHEMIST LTD,CLEXANE 80mg 2'S,10
