MONTH,COUNTRY,CUSTOMER,PRODUCT,UNITS,VALUE
1,KE,A G PHARMACEUTICAL,AMARYL 1MG 30 TABS,1.862290403,8.205636818
1,KE,A G PHARMACEUTICAL,AMARYL 2MG 30 TABS,2.379593293,17.17773814
1,KE,A G PHARMACEUTICAL,AMARYL 4MG 30 TABS,1.655369247,21.20442383
1,KE,A G PHARMACEUTICAL,AMARYL MIR 2-500MG TABCO BL3X10 XE,6.311095255,40.28358901
1,KE,A G PHARMACEUTICAL,APROVASC 150/5,0.620763468,8.671209418
1,KE,A G PHARMACEUTICAL,APROVASC 300/5,0.724224046,11.53499822
1,KE,A G PHARMACEUTICAL,APROVEL 150MG TABCO BL2X14 RM M36 XE,1.862290403,21.87484838
1,KE,A G PHARMACEUTICAL,APROVEL 300MG TABCO BL2X14 RM M36 XE,1.448448091,22.00727792
1,KE,A G PHARMACEUTICAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,0.206921156,2.96639315
1,KE,A G PHARMACEUTICAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,2.689975027,43.88919015
1,KE,A G PHARMACEUTICAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,0.931145202,12.92654299
1,KE,A G PHARMACEUTICAL,EPILIM 12G/300ML SYR BTX1,6.931858723,50.09992865
1,KE,A G PHARMACEUTICAL,EPILIM 200MG TAB BL10X10,1.655369247,17.5460578
1,KE,A G PHARMACEUTICAL,EPILIM CHRONO 333-145MG T,0.310381734,9.872386729
1,KE,A G PHARMACEUTICAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,0.51730289,9.497859436
1,KE,A G PHARMACEUTICAL,FLAGENTYL 500MG TABCO BL1X4 S3 XE,16.24331074,29.51748127
1,KE,A G PHARMACEUTICAL,FLAGYL 400MG 100 TABS,2.379593293,13.79871566
1,KE,A G PHARMACEUTICAL,FLAGYL SUSPENSION 100ML,3.414199072,9.729611131
1,KE,A G PHARMACEUTICAL,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE,0.103460578,3.98858366
1,KE,A G PHARMACEUTICAL,LANTUS SOLOSTAR 100IU/ML 3ML 5,5.207349269,192.0972587
1,KE,A G PHARMACEUTICAL,ORELOX 100MG TABCO BL1X10,0.620763468,5.548769176
1,KE,A G PHARMACEUTICAL,ORELOX 200MG 10CP,9.001070282,74.72044238
1,KE,A G PHARMACEUTICAL,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,3.621120228,24.99108098
1,KE,A G PHARMACEUTICAL,ORELOX 800MG/+ GRAN BTX1,5.379950054,54.51459151
1,KE,A G PHARMACEUTICAL,PLAVIX 75MG TABCO BL2X14 M36 XE,3.207277917,64.27506243
1,KE,A G PHARMACEUTICAL,"TRITACE 2,5MG  28 TABS",0.413842312,4.315519087
1,KE,A G PHARMACEUTICAL,TRITACE 5MG 28 TABS,9.311452016,123.5372815
