Month,Country,distributor,GMID,Product,Qty,Source
1,KE,surgipharm,544062,PLAVIX 75MG TAB28,192,EPDIS
1,KE,surgipharm,692141,TARGOCID 400MG INJ /1,320,EPDIS
1,KE,surgipharm,310637,TAVANIC 500MG TAB5,480,EPDIS
1,KE,surgipharm,370351,ELOXATIN 5MG/ML 10ML INJ VL1,20,EPDIS
1,KE,surgipharm,374872,ORELOX 200MG FILM COATED TAB10,1080,EPDIS
1,KE,surgipharm,407096,ELOXATIN 5MG/ML 20ML INJ VL1,10,EPDIS
1,KE,surgipharm,508182,TAXOTERE 80MG/4ML IV  INJ FL1,80,EPDIS
1,KE,surgipharm,476963,FLEMING 1200MG INJ VL/5,4940,EPDIS
1,KE,surgipharm,516219,ALLSTAR PEN1,1182,EPDIS
1,KE,surgipharm,539181,APROVASC 300-10MG TAB BL4X7,234,EPDIS
1,KE,surgipharm,618677,ENTEROGERMINA 2B5ML SUSP/10,16000,EPDIS
1,KE,surgipharm,636825,STILNOX 10MG TAB14,7200,EPDIS
1,KE,surgipharm,645817,FLAGYL TABS 400MG 100'S,900,EPDIS
1,KE,surgipharm,645820,AMARYL TABS 1MG 30'S,480,EPDIS
1,KE,surgipharm,698116,BIOFERON 305MG CAPS BL3x10,960,EPDIS
1,KE,laborex,618677,ENTEROGERMINA 2M5ML SUSP BU/10,17589,EPDIS
1,KE,laborex,698116,BIOFERON GEL BL3x10,0,EPDIS
2,KE,surgipharm,241634,LANTUS 100 IU/ML 3 ML CR/5,180,EPDIS
2,KE,surgipharm,287550,NO - SPA 40MG TAB BL2x10,160,EPDIS
2,KE,surgipharm,287552,NO - SPA 40MG TAB BL10x10,192,EPDIS
2,KE,surgipharm,508116,NO-SPA 40MG/2ML INJ AMP/25,150,EPDIS
2,KE,surgipharm,298691,ORELOX 40MG/5ML GRAN 100ML BT1,6000,EPDIS
2,KE,surgipharm,310637,TAVANIC 500MG TAB5,800,EPDIS
2,KE,surgipharm,312451,RIFOCINE 250MG/3ML 1INJ,2240,EPDIS
2,KE,surgipharm,380567,APIDRA SOLOSTAR 100IU/ML 3MLX5,22,EPDIS
2,KE,surgipharm,407096,ELOXATIN 5MG/ML 20ML INJ VL1,20,EPDIS
2,KE,surgipharm,508182,TAXOTERE 80MG/4ML IV  INJ FL1,480,EPDIS
2,KE,surgipharm,436418,MAALOX PLUS 200MG TAB BL4x10,432,EPDIS
2,KE,surgipharm,475987,AXACEF 250MG TAB BL10,600,EPDIS
2,KE,surgipharm,476963,FLEMING 1200MG INJ VL/5,2000,EPDIS
2,KE,surgipharm,477015,FLEMING 500-125MG TAB BL2X7,4200,EPDIS
2,KE,surgipharm,660727,RHINATHIOL 6.25G/125ML  1SYR,4500,EPDIS
2,KE,surgipharm,518946,LASIX 20MG INJ 5AMP 2ML,2400,EPDIS
2,KE,surgipharm,539181,APROVASC 300-10MG TAB BL4X7,234,EPDIS
2,KE,surgipharm,539182,APROVASC 300-5MG TAB BL4X7,234,EPDIS
2,KE,surgipharm,539183,APROVASC 150-5MG TAB BL4X7,700,EPDIS
