MONTH,COUNTRY,DISTRIBUTOR,CUSTOMER,PRODUCT,QUANTITY_UNITS
4,KE,Highchem,AMYLIN CHEMIST,AMARYL M 2mg/500mg 30'S,3
4,KE,Highchem,AMYLIN CHEMIST,AMARYL TABS 4.0mg 30'S,10
4,KE,Highchem,AMYLIN CHEMIST,EPILIM 300ml SYRUP,10
4,KE,Highchem,BILOVA CHEMIST,ERCEFURYL 4% 90ML SUSPENSION,5
4,KE,Highchem,BILOVA CHEMIST,FLAGYL 400mg TABS 100'S,6
4,KE,Highchem,BILOVA CHEMIST,TRITACE 2.5 MG TABS 28s,2
4,KE,Highchem,BUNGOMA WEST CHEMIST,AMARYL TABS 4.0mg 30'S,5
4,KE,Highchem,BUNGOMA WEST CHEMIST,RHINATHIOL ENFT 125ml SP,24
4,KE,Highchem,CANAAN PHARMACEUTICALS LTD,EPILIM CHRONO 500mg TABS 100'S,2
4,KE,Highchem,CANAAN PHARMACEUTICALS LTD,FLAGENTYL 500mg TABS,10
4,KE,Highchem,CANAAN PHARMACEUTICALS LTD,RHINATHIOL ENFT 125ml SP,24
4,KE,Highchem,COPTIC HOSPITAL,FLEMING 875mg+125mg TABS 14'S,200
4,KE,Highchem,DISCHEM PHARMACIE,AMARYL TABS 1.0mg 30'S,8
4,KE,Highchem,DISCHEM PHARMACIE,EPILIM 300ml SYRUP,10
4,KE,Highchem,DISCHEM PHARMACIE,EPILIM CHRONO 300mg TABS 100'S,2
4,KE,Highchem,EASTLEIGH PHARMACEUTICALS,EPILIM 300ml SYRUP,20
4,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],APROVEL 300mg TABS 28'S,10
4,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],CLEXANE 40mg 2'S,5
4,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],ERCEFURYL 200mg CAPS 28'S,30
4,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],ERCEFURYL 4% 90ML SUSPENSION,60
4,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],FLAGENTYL 500mg TABS,100
4,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],FLEMING 875mg+125mg TABS 14'S,30
4,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],LASIX 40mg TABS 20'S,100
4,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],ORELOX 200mg TABS 10'S,30
