MONTH,COUNTRY,DISTRIBUTOR,Distributor NAMING,QUANTITY_UNITS
6,KE,highchem,AMARYL M 2mg/500mg 30'S,459
6,KE,highchem,AMARYL TABS 4.0mg 30'S,21
6,KE,highchem,APROVEL 150mg TABS 28'S,65
6,KE,highchem,APROVEL 300mg TABS 28'S,51
6,KE,highchem,BRONCHICUM ELIXIR 100ml,2
6,KE,highchem,CLEXANE 20mg 2'S,334
6,KE,highchem,CLEXANE 60mg 2'S,302
6,KE,highchem,CLEXANE 80mg 2'S,116
6,KE,highchem,CO-APROVEL TABS 300/12.5mg 28'S,263
6,KE,highchem,DULCOLAX 5MG TABS BL3X10,3512
6,KE,highchem,ENTEROGERMINA 5.0ml 10'S,"4,731"
6,KE,highchem,EPILIM 200mg TABS EC 100'S,593
6,KE,highchem,EPILIM CHRONO 300mg TABS 100'S,204
6,KE,highchem,EPILIM CHRONO 500mg TABS 100'S,5
6,KE,highchem,ERCEFURYL 200mg CAPS 28'S,451
6,KE,highchem,ERCEFURYL 4% 90ML SUSPENSION,357
6,KE,highchem,FLAGENTYL 500mg TABS,1618
6,KE,highchem,FLEMING 1000mg+200mg 5's INJ,94
6,KE,highchem,FLEMING 228.5mg/5ml 70ml SUSPE..,335
6,KE,highchem,FLEMING 500mg+125mg TABS 14'S,15
6,KE,highchem,FLEMING 875mg+125mg TABS 14'S,1
6,KE,highchem,LANTUS 10ml VIAL,40
6,KE,highchem,LANTUS SOLOSTAR 3ml 5'S,1018
6,KE,highchem,LASIX 20mg AMPS 5'S,96
6,KE,highchem,LASIX 40mg TABS 20'S,277
6,KE,highchem,MUCOSOLVAN  1.5G/100ML SYR BT1,5340
6,KE,highchem,NO SPA 40mg/2ml INJECTION 25'S,16
6,KE,highchem,NO SPA 40mg/2ml INJECTION 5'S,1
6,KE,highchem,ORELOX 100mg TABS 10'S,24
6,KE,highchem,ORELOX 100ml SUSPENSION,9
6,KE,highchem,ORELOX 200mg TABS 10'S,501
6,KE,highchem,ORELOX 50ml SUSPENSION,224
6,KE,highchem,PLAVIX 75mg TABS 28'S,115
6,KE,highchem,RESONIUM 454g ADULT POWDER,8
6,KE,highchem,RHINATHIOL ENFT 125ml SP,99
6,KE,highchem,RHINATHIOL PROM 125ml SP,2115
6,KE,highchem,STILNOX 10mg TABS 14'S,3908
6,KE,highchem,TAVANIC 500mg TABS 5'S,958
6,KE,highchem,TAVANIC INJECTION 500mg,280
6,KE,highchem,TRITACE 2.5 MG TABS 28s,186
6,KE,highchem,TRITACE 5 MG TABS 28s,58
6,KE,highchem,XATRAL LP 10mg TABS 30'S,91
6,KE,highchem,XATRAL LP TABLETS 5MG*56s,120
6,KE,surgipharm,BIOFERON CAPS *30,44
6,KE,surgipharm,BIOFERON SUSP 200ML,1329
6,KE,surgipharm,BISOLVON LINCTUS 200ML,13038
6,KE,surgipharm,BRONCHICUM SYRUP * 100ml,58
6,KE,surgipharm,BUSCOPAN AMPOULES 20mg/1ml * 5's,2207
6,KE,surgipharm,BUSCOPAN TABLETS BP 10MG * 50S,2173
6,KE,surgipharm,DULCOLAX TABLETS 5mg * 30's SugarC,22100
6,KE,surgipharm,ENTEROGERMINA VIALS 5ML * 10's,16383
6,KE,surgipharm,ERCEFURYL SUSPENSION 90ml,355
6,KE,surgipharm,MAALOX LEMON STICK 460mg/susp *20s,1046
6,KE,surgipharm,MAALOX PLUS TABLETS 200MG * 40's,962
6,KE,surgipharm,MUCOSOLVAN LIQUID 15mg/5ml * 100ml,28661
6,KE,surgipharm,NO SPA FORTE TABLETS 80MG * 20,194
6,KE,surgipharm,NO SPA INJECTION 40mg/2ml * 25Amps,335
6,KE,surgipharm,NO SPA TABLETS 40mg * 100's,415
6,KE,surgipharm,NO SPA TABLETS 40mg * 20,275
6,KE,surgipharm,RHINATHIOL EXPEC/ADULT SYRUP 125ml,6343
6,KE,surgipharm,RHINATHIOL INFANT SYRUP 125ml,10186
6,KE,surgipharm,RHINATHIOL PROMETHAZINE SYRUP 125ml,26775
6,KE,surgipharm,ALLSTAR PEN,946
6,KE,surgipharm,AMARYL M SR TABS 2MG-500mg * 30's,169
6,KE,surgipharm,AMARYL M TABS 2mg * 30's,2131
6,KE,surgipharm,AMARYL TABS 1mg * 30's,18
6,KE,surgipharm,AMARYL TABS 4mg * 30's,352
6,KE,surgipharm,APIDRA SOLOSTAR 3ML DISP PENS * 5s,42
6,KE,surgipharm,APROVASC TAB 150-5MG *28,752
6,KE,surgipharm,APROVASC TAB 300-10MG *28,362
6,KE,surgipharm,APROVASC TAB 300-5MG *28,332
6,KE,surgipharm,APROVEL TABS 150mg * 28's,394
6,KE,surgipharm,APROVEL TABS 300mg * 28's,407
6,KE,surgipharm,AXACEF TABLETS 250MG * 10,141
6,KE,surgipharm,AXACEF TABLETS 500MG * 10's,867
6,KE,surgipharm,CLEXANE INJ. 20mg * 2,2990
6,KE,surgipharm,CLEXANE INJ. 40mg * 2,34699
6,KE,surgipharm,CLEXANE INJ. 60mg * 2,3264
6,KE,surgipharm,CLEXANE INJ. 80mg * 2,5194
6,KE,surgipharm,CO APROVEL TABS 150mg * 28's,427
6,KE,surgipharm,CO APROVEL TABS 300mg * 28's,965
6,KE,surgipharm,CORDARONE TABLETS 200mg * 30,521
6,KE,surgipharm,ELOXATIN INJ 100mg * 1,10
6,KE,surgipharm,ELOXATIN INJ 50mg * 1,39
6,KE,surgipharm,EPILIM CHRONO TABS 300mg * 100,864
6,KE,surgipharm,EPILIM CHRONO TABS 500mg * 100,1451
6,KE,surgipharm,EPILIM EC TABLETS 200mg * 100,11376
6,KE,surgipharm,EPILIM SYRUP 300ml,2145
6,KE,surgipharm,FLAGENTYL TABS 500mg * 4,23962
6,KE,surgipharm,FLAGYL SUSPENSION 100ml,7614
6,KE,surgipharm,FLEMING INJ 1.2GM * 5'S,2598
6,KE,surgipharm,FLEMING SUSP 228.5MG/5ML * 70ML,6787
6,KE,surgipharm,FLEMING SUSP 457MG/5ML * 70ML,6362
6,KE,surgipharm,FLEMING TABS 1 G * 2*7'S,31
6,KE,surgipharm,FLEMING TABS 625MG * 14'S,8665
6,KE,surgipharm,LANTUS 10ml VIAL,2159
6,KE,surgipharm,LANTUS 3ml CARTRIDGE * 5's,358
6,KE,surgipharm,LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,1155
6,KE,surgipharm,LASIX AMPS 2ml * 5,73
6,KE,surgipharm,LASIX TABS 40mg * 20,4831
6,KE,surgipharm,MONO-TILDIEM CAPS SR 200mg * 28's,317
6,KE,surgipharm,ORELOX SUSP 40MG/5ML 100ML,8036
6,KE,surgipharm,ORELOX SUSP 40MG/5ML 50ML,3315
6,KE,surgipharm,ORELOX TABS 100MG *10'S,7504
6,KE,surgipharm,ORELOX TABS 200MG *10'S,5975
6,KE,surgipharm,PLAVIX TABS 75mg * 28's,804
6,KE,surgipharm,RESONIUM ADULT POWDER 454G,46
