MONTH,COUNTRY,DISTRIBUTOR,CUSTOMER,PRODUCT,QUANTITY_UNITS
7,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,LANTUS SOLOSTAR 3ml 5'S,1
7,KE,Highchem,HIGHCHEM PHARMA CASH ACCOUNT,LANTUS SOLOSTAR 3ml 5'S,1
7,KE,Highchem,WELLMED PHARMACEUTICALS LTD,TAVANIC INJECTION 500mg,-10
7,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],EPILIM 200mg TABS EC 100'S,2
7,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],EPILIM CHRONO 300mg TABS 100'S,20
7,KE,Highchem,ELDOHOSP PHARMACEUTICALS [NAIROBI],EPILIM 200mg TABS EC 100'S,20
7,KE,Highchem,BUNGOMA WEST CHEMIST,EPILIM 200mg TABS EC 100'S,10
7,KE,Highchem,BUNGOMA WEST CHEMIST,RHINATHIOL AD 125ml SP,24
7,KE,Highchem,BUNGOMA WEST CHEMIST,EPILIM 200mg TABS EC 100'S,1
7,KE,Highchem,CANAAN PHARMACEUTICALS LTD,RHINATHIOL AD 125ml SP,12
7,KE,Highchem,CANAAN PHARMACEUTICALS LTD,RHINATHIOL AD 125ml SP,1
7,KE,Highchem,OMAERA PHARMACEUTICALS,LANTUS SOLOSTAR 3ml 5'S,10
7,KE,Highchem,OMAERA PHARMACEUTICALS,EPILIM 200mg TABS EC 100'S,10
7,KE,Highchem,OMAERA PHARMACEUTICALS,EPILIM 200mg TABS EC 100'S,1
7,KE,Highchem,OMAERA PHARMACEUTICALS,TRITACE 2.5 MG TABS 28s,10
7,KE,Highchem,OMAERA PHARMACEUTICALS,EPILIM CHRONO 300mg TABS 100'S,10
7,KE,Highchem,PHARMART ABC CHEMIST LIMITED.,TRITACE 2.5 MG TABS 28s,1
7,KE,Highchem,PHARMART ABC CHEMIST LIMITED.,LANTUS SOLOSTAR 3ml 5'S,1
7,KE,Highchem,LIMELIGHT CHEMISTS,EPILIM 200mg TABS EC 100'S,10
7,KE,Highchem,LIMELIGHT CHEMISTS,EPILIM 200mg TABS EC 100'S,1
7,KE,Highchem,TRANSCHEM PHARMACEUTICALS,LANTUS SOLOSTAR 3ml 5'S,100
7,KE,Highchem,TRANSCHEM PHARMACEUTICALS,EPILIM CHRONO 300mg TABS 100'S,50
7,KE,Highchem,GATHIMAINI PHARMACY CO LTD,LANTUS SOLOSTAR 3ml 5'S,2
7,KE,Highchem,GATHIMAINI PHARMACY CO LTD,LANTUS SOLOSTAR 3ml 5'S,2
7,KE,Highchem,VETERAN PHARMACEUTICALS LTD,TRITACE 2.5 MG TABS 28s,10
7,KE,Highchem,REALE HOSPITAL,EPILIM CHRONO 300mg TABS 100'S,10
7,KE,Highchem,TEMPLE STORES PHARMACY,EPILIM CHRONO 300mg TABS 100'S,2
7,KE,Highchem,DR. IGNATIUS MUTURI,LANTUS SOLOSTAR 3ml 5'S,5
7,KE,Highchem,DR. IGNATIUS MUTURI,LANTUS SOLOSTAR 3ml 5'S,3
7,KE,Highchem,DR. IGNATIUS MUTURI,LANTUS SOLOSTAR 3ml 5'S,10
7,KE,Highchem,ELDOHOSP PHARMACEUTICALS LTD [ELD],EPILIM CHRONO 300mg TABS 100'S,5
7,KE,Highchem,ELEMENTAITA PHARMACEUTICALS,EPILIM CHRONO 300mg TABS 100'S,15
7,KE,Highchem,ELEMENTAITA PHARMACEUTICALS,EPILIM 200mg TABS EC 100'S,50
7,KE,Highchem,ELEMENTAITA PHARMACEUTICALS,EPILIM 200mg TABS EC 100'S,10
7,KE,Highchem,EMBU CHILDREN HOSPITAL,LANTUS SOLOSTAR 3ml 5'S,6
7,KE,Highchem,EMBU CHILDREN HOSPITAL,EPILIM CHRONO 300mg TABS 100'S,3
7,KE,Highchem,EMBU CHILDREN HOSPITAL,RHINATHIOL AD 125ml SP,10
7,KE,Highchem,HIGHRIDGE PHARMACY LTD,EPILIM CHRONO 300mg TABS 100'S,2
7,KE,Highchem,JASLIM PHARMACY LTD,RHINATHIOL AD 125ml SP,5
7,KE,Highchem,MEDIMART HEALTHCARE: THIKA RD,LANTUS SOLOSTAR 3ml 5'S,1
7,KE,Highchem,MAKADARA CHEMISTS LTD,TRITACE 2.5 MG TABS 28s,18
7,KE,Highchem,MAKADARA CHEMISTS LTD,LANTUS SOLOSTAR 3ml 5'S,50
7,KE,Highchem,MAKADARA CHEMISTS LTD,NO SPA 40mg TABS 100'S,21
7,KE,Highchem,MAKADARA CHEMISTS LTD,EPILIM CHRONO 300mg TABS 100'S,1
7,KE,Highchem,MODANA PHARMACEUTICAL,EPILIM CHRONO 300mg TABS 100'S,1
