GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
306225,VE,,-6549,SI,LABOREX KENYA LTD,KE
247831,RE,,-30.8,SI,LABOREX KENYA LTD,KE
172136,VE,,-931.1,SI,E.P.DIS,FR
306222,VE,,-155,SI,E.P.DIS,FR
Div Rx 1,VE,,-215683,SI,E.P.DIS,FR
592705,PA,,340.2,SI,TEDIS BURKINA,BF
592705,PA,,510.3,SI,TEDIS BURKINA,BF
298706,PA,,-5.4,SI,TEDIS BURKINA,BF
298706,PA,,-4.8,SI,TEDIS BURKINA,BF
627331,PA,,4.2,SI,TEDIS BURKINA,BF
671637,PA,,11.2,SI,TEDIS BURKINA,BF
476518,PA,,22.56,SI,TEDIS BURKINA,BF
476938,PA,,-0.075,SI,TEDIS BURKINA,BF
663985,PA,,-26.352,SI,TEDIS BURKINA,BF
671639,PA,,-0.891,SI,TEDIS BURKINA,BF
627331,PA,,2.1,SI,UBIPHARM BURKINA,BF
663985,PA,,-43.2,SI,MEX P/C DPBF,BF
479387,PA,,3.264,SI,TEDIS BURKINA,BF
298706,PA,,-4.2,SI,TEDIS BURKINA,BF
625765,PA,,1.42,SI,MEX P/C DPBF,BF
479387,PA,,1.08,SI,MEX P/C DPBF,BF
292174,PA,,4.16,SI,TEDIS BURKINA,BF
209742,PA,,-2.8,SI,TEDIS BURKINA,BF
268012,PA,,-0.06,SI,TEDIS BURKINA,BF
516143,PA,,0,SI,TEDIS BURKINA,BF
281499,PA,,9.96,SI,TEDIS BURKINA,BF
636858,PA,,-4,SI,TEDIS BURKINA,BF
551043,PA,,-0.45,SI,TEDIS BURKINA,BF
240939,PA,,0.225,SI,TEDIS BURKINA,BF
224938,PA,,-0.5,SI,TEDIS BURKINA,BF
354890,PA,,-9.6,SI,TEDIS BURKINA,BF
639608,PA,,-0.925,SI,TEDIS BURKINA,BF
627331,PA,,3.15,SI,MEX P/C DPBF,BF
624480,PA,,-92.16,SI,MEX P/C DPBF,BF
638521,PA,,-0.28,SI,MEX P/C DPBF,BF
298706,PA,,-5.4,SI,MEX P/C DPBF,BF
213848,PA,,-175.2,SI,UBIPHARM BURKINA,BF
489541,PA,,1.6,SI,UBIPHARM BURKINA,BF
665371,PA,,24.96,SI,UBIPHARM BURKINA,BF
213848,PA,,-58.4,SI,UBIPHARM BURKINA,BF
624774,PA,,-2.52,SI,UBIPHARM BURKINA,BF
663996,PA,,16.908,SI,UBIPHARM BURKINA,BF
663985,PA,,-26.352,SI,TEDIS BURKINA,BF
214082,PA,,-54.24,SI,TEDIS BURKINA,BF
627329,PA,,1.5,SI,LABOREX BURKINA,BF
627326,PA,,1.5,SI,LABOREX BURKINA,BF
269069,PA,,49.44,SI,LABOREX BURKINA,BF
298682,PA,,0.72,SI,LABOREX BURKINA,BF
625767,PA,,3.36,SI,LABOREX BURKINA,BF
592593,PA,,-11.4,SI,LABOREX BURKINA,BF
224938,PA,,-0.5,SI,LABOREX BURKINA,BF
342280,PA,,-2.56,SI,LABOREX BURKINA,BF
625681,PA,,397.92,SI,LABOREX BURKINA,BF
311166,PA,,-5.76,SI,LABOREX BURKINA,BF
479530,PA,,-41.76,SI,LABOREX BURKINA,BF
368552,PA,,2.016,SI,TEDIS BURKINA,BF
268013,PA,,0.025,SI,TEDIS BURKINA,BF
268015,PA,,0.3,SI,TEDIS BURKINA,BF
516143,PA,,0,SI,TEDIS BURKINA,BF
282319,PA,,0,SI,TEDIS BURKINA,BF
551042,PA,,-18.36,SI,TEDIS BURKINA,BF
323487,PA,,0,SI,TEDIS BURKINA,BF
305479,PA,,-3,SI,TEDIS BURKINA,BF
625681,PA,,66.32,SI,TEDIS BURKINA,BF
277954,PA,,0,SI,TEDIS BURKINA,BF
291024,PA,,-290.64,SI,TEDIS BURKINA,BF
298689,PA,,-0.29,SI,TEDIS BURKINA,BF
368552,PA,,4.032,SI,TEDIS BURKINA,BF
168279,PA,,1.05,SI,TEDIS BURKINA,BF
213866,PA,,-0.31,SI,TEDIS BURKINA,BF
663984,PA,,-3.7,SI,UBIPHARM BURKINA,BF
545747,PA,,-19.18,SI,MEX P/C DPBF,BF
268012,PA,,-0.024,SI,MEX P/C DPBF,BF
663985,PA,,-65.88,SI,UBIPHARM BURKINA,BF
627329,PA,,1.5,SI,MEX P/C DPBF,BF
627160,PA,,16.8,SI,TEDIS BURKINA,BF
627160,PA,,16.8,SI,TEDIS BURKINA,BF
663985,PA,,-92.232,SI,UBIPHARM BURKINA,BF
247831,PA,,8.895,SI,UBIPHARM BURKINA,BF
368552,PA,,6.048,SI,UBIPHARM BURKINA,BF
663982,PA,,-316.8,SI,LABOREX BURKINA,BF
663984,PA,,-9.99,SI,LABOREX BURKINA,BF
663985,PA,,-131.76,SI,LABOREX BURKINA,BF
663996,PA,,16.908,SI,LABOREX BURKINA,BF
627329,PA,,3,SI,UBIPHARM BURKINA,BF
630791,PA,,-14.25,SI,UBIPHARM BURKINA,BF
293665,PA,,-13.125,SI,UBIPHARM BURKINA,BF
311122,PA,,3.41,SI,UBIPHARM BURKINA,BF
298709,PA,,0,SI,UBIPHARM BURKINA,BF
627327,PA,,1.5,SI,LABOREX BURKINA,BF
368552,PA,,6.048,SI,LABOREX BURKINA,BF
479387,PA,,3.84,SI,LABOREX BURKINA,BF
663984,PA,,-14.06,SI,UBIPHARM BURKINA,BF
663984,PA,,-7.4,SI,TEDIS BURKINA,BF
292174,PA,,2.08,SI,TEDIS BURKINA,BF
592979,PA,,0,SI,TEDIS BURKINA,BF
282345,PA,,-0.45,SI,TEDIS BURKINA,BF
247832,PA,,-7.4,SI,TEDIS BURKINA,BF
554510,PA,,18.522,SI,TEDIS BURKINA,BF
630763,PA,,-3.55,SI,TEDIS BURKINA,BF
592593,PA,,-7.22,SI,TEDIS BURKINA,BF
354890,PA,,-4.8,SI,TEDIS BURKINA,BF
277954,PA,,0,SI,TEDIS BURKINA,BF
311166,PA,,-2.88,SI,TEDIS BURKINA,BF
245296,PA,,-13.068,SI,TEDIS BURKINA,BF
323473,PA,,-230.688,SI,MEX P/C DPBF,BF
624775,PA,,-0.45,SI,LABOREX BURKINA,BF
592705,PA,,858.816,SI,UBIPHARM BURKINA,BF
627332,PA,,2.1,SI,UBIPHARM BURKINA,BF
311168,PA,,-18.24,SI,UBIPHARM BURKINA,BF
289137,PA,,3.87,SI,UBIPHARM BURKINA,BF
287553,PA,,4.8,SI,UBIPHARM BURKINA,BF
624625,PA,,-4.74,SI,UBIPHARM BURKINA,BF
551043,PA,,-1.2,SI,UBIPHARM BURKINA,BF
625767,PA,,3.36,SI,UBIPHARM BURKINA,BF
354890,PA,,-22.56,SI,UBIPHARM BURKINA,BF
298693,PA,,-35.336,SI,UBIPHARM BURKINA,BF
298691,PA,,-44.37,SI,UBIPHARM BURKINA,BF
168279,PA,,2.1,SI,UBIPHARM BURKINA,BF
627160,PA,,25.2,SI,MEX P/C DPBF,BF
252039,PA,,22.05,SI,UBIPHARM BURKINA,BF
476957,PA,,0,SI,MEX P/C DPBF,BF
668290,PA,,-12.5,SI,MEX P/C DPBF,BF
663983,PA,,-1.44,SI,MEX P/C DPBF,BF
214082,PA,,-88.14,SI,MEX P/C DPBF,BF
252039,PA,,15.75,SI,LABOREX BURKINA,BF
671597,PA,,5.84,SI,MEX P/C DPBF,BF
476947,PA,,18,SI,UBIPHARM BURKINA,BF
627329,PA,,0.75,SI,TEDIS BURKINA,BF
342280,PA,,-0.96,SI,TEDIS BURKINA,BF
639164,PA,,-5.68,SI,TEDIS BURKINA,BF
354883,PA,,0.2,SI,MEX P/C DPBF,BF
320343,PA,,1.56,SI,MEX P/C DPBF,BF
625767,PA,,0.4,SI,MEX P/C DPBF,BF
354890,PA,,-2.88,SI,MEX P/C DPBF,BF
342280,PA,,-0.32,SI,MEX P/C DPBF,BF
592705,PA,,255.15,SI,MEX P/C DPBF,BF
609071,PA,,1.728,SI,MEX P/C DPBF,BF
298691,PA,,-8.874,SI,MEX P/C DPBF,BF
479530,PA,,-18.27,SI,MEX P/C DPBF,BF
298709,PA,,0,SI,MEX P/C DPBF,BF
627327,PA,,3,SI,UBIPHARM BURKINA,BF
476947,PA,,54,SI,LABOREX BURKINA,BF
592705,PA,,459.081,SI,LABOREX BURKINA,BF
321233,PA,,-7.44,SI,UBIPHARM BURKINA,BF
476957,PA,,0,SI,UBIPHARM BURKINA,BF
671639,PA,,-3.6,SI,UBIPHARM BURKINA,BF
310637,PA,,-14.175,SI,TEDIS BURKINA,BF
287550,PA,,-2.4,SI,TEDIS BURKINA,BF
268013,PA,,0.05,SI,TEDIS BURKINA,BF
592989,PA,,-0.025,SI,TEDIS BURKINA,BF
285368,PA,,-0.135,SI,TEDIS BURKINA,BF
625681,PA,,132.64,SI,TEDIS BURKINA,BF
311122,PA,,1.705,SI,TEDIS BURKINA,BF
249438,PA,,-18,SI,TEDIS BURKINA,BF
571696,PA,,-1.085,SI,TEDIS BURKINA,BF
298711,PA,,-0.24,SI,TEDIS BURKINA,BF
476957,PA,,0,SI,TEDIS BURKINA,BF
307013,PA,,-34.9,SI,TEDIS BURKINA,BF
663984,PA,,-4.44,SI,TEDIS BURKINA,BF
436433,PA,,124.416,SI,UBIPHARM BURKINA,BF
281499,PA,,54.78,SI,UBIPHARM BURKINA,BF
551043,PA,,-1.8,SI,UBIPHARM BURKINA,BF
551042,PA,,-73.44,SI,UBIPHARM BURKINA,BF
323487,PA,,0,SI,UBIPHARM BURKINA,BF
638521,PA,,-0.6,SI,UBIPHARM BURKINA,BF
305928,PA,,-81.6,SI,UBIPHARM BURKINA,BF
252039,PA,,22.05,SI,UBIPHARM BURKINA,BF
249438,PA,,-63,SI,UBIPHARM BURKINA,BF
477825,PA,,-70.728,SI,UBIPHARM BURKINA,BF
98574,PA,,1.6,SI,TEDIS BURKINA,BF
306218,PA,,-17.73,SI,TEDIS BURKINA,BF
196680,PA,,2.365,SI,TEDIS BURKINA,BF
551042,PA,,-18.36,SI,TEDIS BURKINA,BF
298682,PA,,0.36,SI,TEDIS BURKINA,BF
323487,PA,,0,SI,TEDIS BURKINA,BF
630763,PA,,-7.1,SI,TEDIS BURKINA,BF
611732,PA,,-0.1,SI,TEDIS BURKINA,BF
285368,PA,,-0.135,SI,TEDIS BURKINA,BF
638521,PA,,-0.3,SI,TEDIS BURKINA,BF
625681,PA,,331.6,SI,TEDIS BURKINA,BF
277954,PA,,0,SI,TEDIS BURKINA,BF
311166,PA,,-1.44,SI,TEDIS BURKINA,BF
245296,PA,,-39.204,SI,TEDIS BURKINA,BF
311122,PA,,3.41,SI,TEDIS BURKINA,BF
252041,PA,,-11.9,SI,TEDIS BURKINA,BF
571696,PA,,-1.085,SI,TEDIS BURKINA,BF
298709,PA,,0,SI,TEDIS BURKINA,BF
476955,PA,,-0.48,SI,TEDIS BURKINA,BF
323473,PA,,-427.2,SI,UBIPHARM BURKINA,BF
436433,PA,,31.104,SI,TEDIS BURKINA,BF
592705,PA,,119.07,SI,TEDIS BURKINA,BF
477825,PA,,-15.156,SI,TEDIS BURKINA,BF
476955,PA,,-4.08,SI,UBIPHARM BURKINA,BF
342280,PA,,-2.24,SI,UBIPHARM BURKINA,BF
627331,PA,,2.1,SI,LABOREX BURKINA,BF
627327,PA,,1.5,SI,LABOREX BURKINA,BF
627326,PA,,1,SI,LABOREX BURKINA,BF
287550,PA,,-9.6,SI,LABOREX BURKINA,BF
289138,PA,,-0.21,SI,LABOREX BURKINA,BF
269069,PA,,24.72,SI,LABOREX BURKINA,BF
592684,PA,,10.32,SI,LABOREX BURKINA,BF
306218,PA,,-212.76,SI,LABOREX BURKINA,BF
287553,PA,,3.2,SI,LABOREX BURKINA,BF
298801,PA,,-7.56,SI,LABOREX BURKINA,BF
281500,PA,,13.92,SI,LABOREX BURKINA,BF
281499,PA,,44.82,SI,LABOREX BURKINA,BF
281498,PA,,414.12,SI,LABOREX BURKINA,BF
624625,PA,,-1.58,SI,LABOREX BURKINA,BF
630791,PA,,-8.55,SI,LABOREX BURKINA,BF
630763,PA,,-21.3,SI,LABOREX BURKINA,BF
625767,PA,,1.68,SI,LABOREX BURKINA,BF
592593,PA,,-5.7,SI,LABOREX BURKINA,BF
224938,PA,,-1,SI,LABOREX BURKINA,BF
354890,PA,,-36.96,SI,LABOREX BURKINA,BF
342280,PA,,-1.28,SI,LABOREX BURKINA,BF
