GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
476947,RE,287009,,SI,EPDIS,FR
475652,VE,2268,,SI,EPDIS,FR
475871,VE,18816,,SI,EPDIS,FR
475875,VE,1176,,SI,EPDIS,FR
475982,VE,16800,,SI,EPDIS,FR
475988,VE,9960,,SI,EPDIS,FR
476009,VE,19944,,SI,EPDIS,FR
476043,VE,2750,,SI,EPDIS,FR
476954,VE,9216,,SI,EPDIS,FR
476955,VE,29952,,SI,EPDIS,FR
476956,VE,73375,,SI,EPDIS,FR
476957,VE,30873,,SI,EPDIS,FR
476963,VE,17498,,SI,EPDIS,FR
476664,VE,28512,,SI,EPDIS,FR
476518,VE,17849,,SI,EPDIS,FR
476712,VE,3560,,SI,EPDIS,FR
551042,VE,24450,,SI,PHARMACEUTICALS FUND AND,ET
609071,VE,58290,,SI,EPDIS,FR
320344,VE,360,,SI,EPDIS,FR
320344,VE,1260,,SI,EPDIS,FR
609071,VE,39600,,SI,EPDIS,FR
625765,VE,2680,,SI,EPDIS,FR
346667,VE,15000,,SI,EPDIS,FR
311122,VE,6372,,SI,EPDIS,FR
298698,VE,3600,,SI,EPDIS,FR
209742,VE,34667,,SI,EPDIS,FR
298706,VE,13080,,SI,EPDIS,FR
625765,VE,1080,,SI,EPDIS,FR
298706,VE,17160,,SI,EPDIS,FR
252041,VE,490,,SI,EPDIS,FR
307013,VE,18800,,SI,EPDIS,FR
663985,VE,2635,,SI,EPDIS,FR
277954,VE,13515,,SI,EPDIS,FR
296593,VE,7200,,SI,EPDIS,FR
539182,VE,857,,SI,EPDIS,FR
539183,VE,1404,,SI,EPDIS,FR
296593,VE,1730,,SI,EPDIS,FR
249438,VE,34200,,SI,EPDIS,FR
554510,VE,1176,,SI,EPDIS,FR
224938,VE,5000,,SI,EPDIS,FR
277954,VE,47715,,SI,EPDIS,FR
671637,VE,13998,,SI,EPDIS,FR
252041,VE,27860,,SI,EPDIS,FR
261604,VE,540,,SI,EPDIS,FR
261605,VE,3498,,SI,EPDIS,FR
196681,VE,2016,,SI,EPDIS,FR
305481,VE,12000,,SI,EPDIS,FR
240939,VE,1500,,SI,EPDIS,FR
611732,VE,2184,,SI,EPDIS,FR
305478,VE,24795,,SI,EPDIS,FR
298689,VE,9960,,SI,EPDIS,FR
252040,VE,9300,,SI,EPDIS,FR
625767,VE,9996,,SI,EPDIS,FR
342280,VE,14230,,SI,EPDIS,FR
298691,VE,10512,,SI,EPDIS,FR
222428,VE,4381,,SI,EPDIS,FR
311166,VE,33360,,SI,EPDIS,FR
638521,VE,24600,,SI,EPDIS,FR
311166,VE,2310,,SI,EPDIS,FR
305479,VE,6720,,SI,EPDIS,FR
405039,VE,12599,,SI,EPDIS,FR
380554,VE,460,,SI,EPDIS,FR
381782,VE,1500,,SI,EPDIS,FR
312451,VE,4000,,SI,EPDIS,FR
306226,VE,4410,,SI,EPDIS,FR
306226,VE,2250,,SI,EPDIS,FR
306219,VE,5369,,SI,EPDIS,FR
306226,VE,4860,,SI,EPDIS,FR
213866,VE,900,,SI,EPDIS,FR
354950,VE,57120,,SI,EPDIS,FR
571696,VE,1689,,SI,EPDIS,FR
263980,VE,960,,SI,EPDIS,FR
310637,VE,4960,,SI,EPDIS,FR
305479,VE,16122,,SI,EPDIS,FR
305479,VE,5802,,SI,EPDIS,FR
306222,VE,49996,,SI,EPDIS,FR
306226,VE,2970,,SI,EPDIS,FR
638521,VE,24600,,SI,EPDIS,FR
298693,VE,11088,,SI,EPDIS,FR
306225,VE,7920,,SI,EPDIS,FR
306226,VE,2970,,SI,EPDIS,FR
298691,VE,1476,,SI,EPDIS,FR
354890,VE,52416,,SI,EPDIS,FR
196680,VE,2160,,SI,EPDIS,FR
261610,VE,3696,,SI,EPDIS,FR
67933,VE,575,,SI,EPDIS,FR
663419,VE,87,,SI,EPDIS,FR
261604,VE,1080,,SI,EPDIS,FR
268014,VE,2100,,SI,EPDIS,FR
311122,VE,151,,SI,EPDIS,FR
209742,VE,333,,SI,EPDIS,FR
311168,VE,11520,,SI,EPDIS,FR
323487,VE,20880,,SI,EPDIS,FR
323487,VE,6720,,SI,EPDIS,FR
213848,VE,25000,,SI,EPDIS,FR
630791,VE,24429,,SI,EPDIS,FR
298693,VE,896,,SI,EPDIS,FR
541078,VE,3000,,SI,EPDIS,FR
306217,VE,4263,,SI,EPDIS,FR
306217,VE,34560,,SI,EPDIS,FR
252041,VE,23622,,SI,EPDIS,FR
489541,VE,4666,,SI,EPDIS,FR
354890,VE,2928,,SI,EPDIS,FR
252041,VE,31185,,SI,EPDIS,FR
311168,VE,11040,,SI,EPDIS,FR
298682,VE,13920,,SI,EPDIS,FR
311168,VE,65519,,SI,EPDIS,FR
298682,VE,14640,,SI,EPDIS,FR
489540,VE,3483,,SI,EPDIS,FR
489540,VE,41360,,SI,EPDIS,FR
305479,VE,17250,,SI,EPDIS,FR
630791,VE,216,,SI,EPDIS,FR
311168,VE,240,,SI,EPDIS,FR
305479,VE,9360,,SI,EPDIS,FR
305479,VE,12480,,SI,EPDIS,FR
298707,VE,2040,,SI,EPDIS,FR
592989,VE,5000,,SI,EPDIS,FR
298707,VE,5880,,SI,EPDIS,FR
306216,VE,11940,,SI,EPDIS,FR
306216,VE,900,,SI,EPDIS,FR
539181,VE,2340,,SI,EPDIS,FR
213847,VE,6000,,SI,EPDIS,FR
296593,VE,2040,,SI,EPDIS,FR
624625,VE,29505,,SI,EPDIS,FR
298682,VE,1050,,SI,EPDIS,FR
405039,VE,3001,,SI,EPDIS,FR
671637,VE,16112,,SI,EPDIS,FR
298707,VE,1920,,SI,EPDIS,FR
592979,VE,1500,,SI,EPDIS,FR
264980,VE,10600,,SI,EPDIS,FR
592705,VE,24230,,SI,EPDIS,FR
67933,VE,898,,SI,EPDIS,FR
323487,VE,120,,SI,EPDIS,FR
196681,VE,2000,,SI,EPDIS,FR
624625,VE,97,,SI,EPDIS,FR
298707,VE,7920,,SI,EPDIS,FR
592979,VE,3900,,SI,EPDIS,FR
609071,VE,62551,,SI,EPDIS,FR
323487,VE,200,,SI,EPDIS,FR
609071,VE,57111,,SI,EPDIS,FR
663992,VE,1683,,SI,EPDIS,FR
305928,VE,320,,SI,EPDIS,FR
663985,VE,2509,,SI,EPDIS,FR
663992,VE,5929,,SI,EPDIS,FR
663986,VE,125125,,SI,EPDIS,FR
663986,VE,63750,,SI,EPDIS,FR
663986,VE,3428,,SI,EPDIS,FR
663986,VE,55125,,SI,EPDIS,FR
653093,VE,4800,,SI,EPDIS,FR
Div Rx 1,VE,,9917.59,SI,EPDIS,FR
252040,VE,,1051.5,SI,PLANETPHARMA S.A.   MG,MG
476955,VE,,220.15,SI,PLANETPHARMA S.A.   MG,MG
Div Rx 1,VE,,17507.94,SI,EPDIS,FR
Div Rx 1,VE,,310.88,SI,EPDIS,FR
Div Rx 1,VE,,103960.45,SI,EPDIS,FR
Div Rx 1,VE,,-74482.27,SI,EPDIS,FR
663983,PA,,-7.056,SI,UBIPHARM BURKINA,BF
475982,PA,,0,SI,UBIPHARM BURKINA,BF
663985,PA,,-26.352,SI,TEDIS BURKINA,BF
663985,PA,,-131.76,SI,UBIPHARM BURKINA,BF
671639,PA,,-0.72,SI,MEX P/C DPBF,BF
476957,PA,,0,SI,TEDIS BURKINA,BF
539183,PA,,7.2,SI,TEDIS BURKINA,BF
627332,PA,,2.1,SI,TEDIS BURKINA,BF
627314,PA,,6.3,SI,TEDIS BURKINA,BF
626997,PA,,16.4,SI,TEDIS BURKINA,BF
239907,PA,,16.94,SI,TEDIS BURKINA,BF
289138,PA,,-0.49,SI,TEDIS BURKINA,BF
592685,PA,,0.66,SI,TEDIS BURKINA,BF
268012,PA,,-0.12,SI,TEDIS BURKINA,BF
306219,PA,,-39.6,SI,TEDIS BURKINA,BF
287553,PA,,1.6,SI,TEDIS BURKINA,BF
346667,PA,,-4,SI,TEDIS BURKINA,BF
282319,PA,,0,SI,TEDIS BURKINA,BF
282348,PA,,-0.9,SI,TEDIS BURKINA,BF
282345,PA,,-0.9,SI,TEDIS BURKINA,BF
247831,PA,,5.93,SI,TEDIS BURKINA,BF
628074,PA,,17.28,SI,TEDIS BURKINA,BF
298682,PA,,0.18,SI,TEDIS BURKINA,BF
323487,PA,,0,SI,TEDIS BURKINA,BF
320343,PA,,2.34,SI,TEDIS BURKINA,BF
625767,PA,,1.68,SI,TEDIS BURKINA,BF
624479,PA,,-162.18,SI,TEDIS BURKINA,BF
291024,PA,,-1162.56,SI,TEDIS BURKINA,BF
214082,PA,,-61.02,SI,TEDIS BURKINA,BF
346666,PA,,-15.225,SI,TEDIS BURKINA,BF
298693,PA,,-17.668,SI,TEDIS BURKINA,BF
298691,PA,,-44.37,SI,TEDIS BURKINA,BF
249438,PA,,-45,SI,TEDIS BURKINA,BF
624622,PA,,-9.42,SI,TEDIS BURKINA,BF
479530,PA,,-23.49,SI,TEDIS BURKINA,BF
323473,PA,,-256.32,SI,TEDIS BURKINA,BF
408003,PA,,0.24,SI,TEDIS BURKINA,BF
298698,PA,,-0.15,SI,TEDIS BURKINA,BF
627332,PA,,2.1,SI,LABOREX BURKINA,BF
627328,PA,,1.5,SI,LABOREX BURKINA,BF
291024,PA,,-1191.624,SI,LABOREX BURKINA,BF
476956,PA,,6.75,SI,TEDIS BURKINA,BF
285368,PA,,-0.27,SI,LABOREX BURKINA,BF
285368,PA,,-0.135,SI,LABOREX BURKINA,BF
476956,PA,,9.625,SI,LABOREX BURKINA,BF
624622,PA,,-15.7,SI,LABOREX BURKINA,BF
476956,PA,,6.25,SI,UBIPHARM BURKINA,BF
627160,PA,,50.4,SI,UBIPHARM BURKINA,BF
307013,PA,,-69.8,SI,UBIPHARM BURKINA,BF
321233,PA,,-2.48,SI,UBIPHARM BURKINA,BF
539182,PA,,2.2,SI,UBIPHARM BURKINA,BF
476518,PA,,22.56,SI,MEX P/C DPBF,BF
476518,PA,,22.56,SI,TEDIS BURKINA,BF
671637,PA,,9.504,SI,UBIPHARM BURKINA,BF
476957,PA,,0,SI,UBIPHARM BURKINA,BF
476963,PA,,-94.5,SI,UBIPHARM BURKINA,BF
476518,PA,,112.8,SI,UBIPHARM BURKINA,BF
