GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
476947,RE,,-132024.14,SI,E.P.DIS,FR
Div Rx 1,VE,,33237.66,SI,E.P.DIS,FR
Div Rx 1,VE,,526,SI,E.P.DIS,FR
68141,VE,,-475.76,SI,E.P.DIS,FR
Div Rx 1,VE,,-89493,SI,E.P.DIS,FR
323470,PA,,3.528,SI,MEX P/C DPBF,BF
323473,PA,,-85.44,SI,TEDIS BURKINA,BF
592979,PA,,0,SI,UBIPHARM BURKINA,BF
245296,PA,,-8.47,SI,MEX P/C DPBF,BF
663985,PA,,-65.88,SI,LABOREX BURKINA,BF
663985,PA,,-77.76,SI,MEX P/C DPBF,BF
298693,PA,,-35.336,SI,UBIPHARM BURKINA,BF
342280,PA,,-2.24,SI,UBIPHARM BURKINA,BF
639164,PA,,-34.08,SI,UBIPHARM BURKINA,BF
320344,PA,,-8.9,SI,LABOREX BURKINA,BF
663981,PA,,5.4,SI,LABOREX BURKINA,BF
476963,PA,,-358.875,SI,LABOREX BURKINA,BF
291024,PA,,-2848.272,SI,LABOREX BURKINA,BF
663984,PA,,-13.875,SI,UBIPHARM BURKINA,BF
663998,PA,,-3.185,SI,TEDIS BURKINA,BF
539182,PA,,2.2,SI,LABOREX BURKINA,BF
539181,PA,,7.8,SI,LABOREX BURKINA,BF
476963,PA,,-213.75,SI,MEX P/C DPBF,BF
476963,PA,,-94.5,SI,TEDIS BURKINA,BF
476963,PA,,-378,SI,UBIPHARM BURKINA,BF
671637,PA,,17.92,SI,TEDIS BURKINA,BF
374872,PA,,-30.24,SI,LABOREX BURKINA,BF
187747,PA,,25.44,SI,LABOREX BURKINA,BF
539181,PA,,13,SI,UBIPHARM BURKINA,BF
320344,PA,,-4.45,SI,UBIPHARM BURKINA,BF
539183,PA,,2.88,SI,UBIPHARM BURKINA,BF
624480,PA,,-182.4,SI,UBIPHARM BURKINA,BF
475875,PA,,-16.64,SI,LABOREX BURKINA,BF
663996,PA,,16.908,SI,LABOREX BURKINA,BF
671637,PA,,8.96,SI,TEDIS BURKINA,BF
476518,PA,,22.56,SI,TEDIS BURKINA,BF
539181,PA,,5.2,SI,TEDIS BURKINA,BF
368552,PA,,8.064,SI,UBIPHARM BURKINA,BF
592705,PA,,544.32,SI,UBIPHARM BURKINA,BF
663981,PA,,2.925,SI,MEX P/C DPBF,BF
671637,PA,,11.2,SI,MEX P/C DPBF,BF
663984,PA,,-6.66,SI,MEX P/C DPBF,BF
663998,PA,,-1.365,SI,MEX P/C DPBF,BF
305479,PA,,-4.5,SI,MEX P/C DPBF,BF
305481,PA,,-4.5,SI,MEX P/C DPBF,BF
627327,PA,,1.5,SI,UBIPHARM BURKINA,BF
305479,PA,,-21,SI,UBIPHARM BURKINA,BF
298693,PA,,-17.668,SI,UBIPHARM BURKINA,BF
298682,PA,,0.36,SI,UBIPHARM BURKINA,BF
305479,PA,,-12,SI,UBIPHARM BURKINA,BF
305481,PA,,-27,SI,UBIPHARM BURKINA,BF
305479,PA,,-15,SI,LABOREX BURKINA,BF
298693,PA,,-17.668,SI,LABOREX BURKINA,BF
663982,PA,,-190.08,SI,TEDIS BURKINA,BF
293665,PA,,-10.5,SI,UBIPHARM BURKINA,BF
626998,PA,,-22.5,SI,TEDIS BURKINA,BF
626998,PA,,-22.5,SI,TEDIS BURKINA,BF
67933,PA,,5.7225,SI,LABOREX BURKINA,BF
627331,PA,,2.1,SI,LABOREX BURKINA,BF
627314,PA,,4.2,SI,LABOREX BURKINA,BF
626997,PA,,12.3,SI,LABOREX BURKINA,BF
627327,PA,,1,SI,LABOREX BURKINA,BF
627326,PA,,1,SI,LABOREX BURKINA,BF
239907,PA,,43.12,SI,LABOREX BURKINA,BF
436433,PA,,103.68,SI,LABOREX BURKINA,BF
287553,PA,,11.2,SI,LABOREX BURKINA,BF
298801,PA,,-11.34,SI,LABOREX BURKINA,BF
281500,PA,,69.6,SI,LABOREX BURKINA,BF
281498,PA,,365.4,SI,LABOREX BURKINA,BF
624625,PA,,-3.16,SI,LABOREX BURKINA,BF
628074,PA,,23.04,SI,LABOREX BURKINA,BF
298682,PA,,0.3,SI,LABOREX BURKINA,BF
305479,PA,,-15,SI,LABOREX BURKINA,BF
630791,PA,,-17.1,SI,LABOREX BURKINA,BF
630763,PA,,-14.2,SI,LABOREX BURKINA,BF
625767,PA,,1.68,SI,LABOREX BURKINA,BF
592593,PA,,-11.4,SI,LABOREX BURKINA,BF
354890,PA,,-23.04,SI,LABOREX BURKINA,BF
342280,PA,,-2.56,SI,LABOREX BURKINA,BF
625681,PA,,596.88,SI,LABOREX BURKINA,BF
277954,PA,,0,SI,LABOREX BURKINA,BF
311166,PA,,-8.64,SI,LABOREX BURKINA,BF
293665,PA,,-31.5,SI,LABOREX BURKINA,BF
245296,PA,,-91.476,SI,LABOREX BURKINA,BF
298693,PA,,-17.668,SI,LABOREX BURKINA,BF
252039,PA,,34.65,SI,LABOREX BURKINA,BF
368552,PA,,8.064,SI,LABOREX BURKINA,BF
168279,PA,,1.05,SI,LABOREX BURKINA,BF
305481,PA,,-18,SI,LABOREX BURKINA,BF
187750,PA,,-0.02,SI,LABOREX BURKINA,BF
626998,PA,,-37.5,SI,TEDIS BURKINA,BF
320343,PA,,2.34,SI,LABOREX BURKINA,BF
305479,PA,,-6,SI,TEDIS BURKINA,BF
298693,PA,,-17.668,SI,TEDIS BURKINA,BF
627328,PA,,3,SI,UBIPHARM BURKINA,BF
323470,PA,,1.08,SI,UBIPHARM BURKINA,BF
627328,PA,,0.75,SI,TEDIS BURKINA,BF
196681,PA,,3.2,SI,TEDIS BURKINA,BF
298707,PA,,-0.24,SI,TEDIS BURKINA,BF
282319,PA,,0,SI,TEDIS BURKINA,BF
320343,PA,,1.17,SI,TEDIS BURKINA,BF
98574,PA,,1.6,SI,TEDIS BURKINA,BF
298707,PA,,-0.24,SI,UBIPHARM BURKINA,BF
298707,PA,,-0.1,SI,MEX P/C DPBF,BF
436433,PA,,31.104,SI,TEDIS BURKINA,BF
592979,PA,,0,SI,TEDIS BURKINA,BF
268013,PA,,0.03,SI,TEDIS BURKINA,BF
306218,PA,,-17.73,SI,TEDIS BURKINA,BF
306219,PA,,-19.8,SI,TEDIS BURKINA,BF
630763,PA,,-5.325,SI,TEDIS BURKINA,BF
625681,PA,,162.32,SI,TEDIS BURKINA,BF
311166,PA,,-2.88,SI,TEDIS BURKINA,BF
293665,PA,,-10.5,SI,TEDIS BURKINA,BF
624622,PA,,-6.28,SI,TEDIS BURKINA,BF
545747,PA,,-95.9,SI,TEDIS BURKINA,BF
239907,PA,,7.7,SI,TEDIS BURKINA,BF
268012,PA,,-0.12,SI,TEDIS BURKINA,BF
