GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
539181,VE,,-1904,SI,PHARMAGABON,GA
354890,VE,,-556.2,SI,LABOREX TCHAD,TD
663985,VE,,-378,SI,LABOREX TCHAD,TD
354950,VE,,-38.19,SI,LABOREX TCHAD,TD
187750,VE,,-651.92,SI,LABOREX TCHAD,TD
624774,VE,,-863.76,SI,LABOREX TCHAD,TD
405018,VE,,-6587.7,SI,HML OUGANDA,UG
405039,VE,,-2053.8,SI,HML OUGANDA,UG
Div Rx 1,VE,,-1262.6,SI,COGEZAF S.A.,CD
298707,PA,,-0.06,SI,MEX P/C DPBF,BF
626630,PA,,-0.9,SI,TEDIS BURKINA,BF
626997,PA,,8.2,SI,MEX P/C DPBF,BF
551043,PA,,-0.2,SI,MEX P/C DPBF,BF
305928,PA,,-30.6,SI,MEX P/C DPBF,BF
249438,PA,,-10.8,SI,MEX P/C DPBF,BF
408003,PA,,0.03,SI,MEX P/C DPBF,BF
247832,PA,,-20.35,SI,UBIPHARM BURKINA,BF
624775,PA,,-2,SI,UBIPHARM BURKINA,BF
627160,PA,,8.4,SI,MEX P/C DPBF,BF
663987,PA,,-40.32,SI,MEX P/C DPBF,BF
346666,PA,,-14.7,SI,TEDIS BURKINA,BF
245296,PA,,-39.204,SI,TEDIS BURKINA,BF
292174,PA,,8.32,SI,TEDIS BURKINA,BF
628074,PA,,11.52,SI,TEDIS BURKINA,BF
291024,PA,,-581.28,SI,TEDIS BURKINA,BF
346666,PA,,-13.23,SI,MEX P/C DPBF,BF
663981,PA,,1.35,SI,MEX P/C DPBF,BF
307013,PA,,-20.94,SI,MEX P/C DPBF,BF
668290,PA,,-10,SI,MEX P/C DPBF,BF
663984,PA,,-5.55,SI,MEX P/C DPBF,BF
311168,PA,,-18.24,SI,UBIPHARM BURKINA,BF
289137,PA,,1.935,SI,UBIPHARM BURKINA,BF
287553,PA,,4.8,SI,UBIPHARM BURKINA,BF
281498,PA,,219.24,SI,UBIPHARM BURKINA,BF
323487,PA,,0,SI,UBIPHARM BURKINA,BF
625767,PA,,3.36,SI,UBIPHARM BURKINA,BF
224938,PA,,-0.5,SI,UBIPHARM BURKINA,BF
311166,PA,,-5.76,SI,UBIPHARM BURKINA,BF
305928,PA,,-81.6,SI,UBIPHARM BURKINA,BF
249438,PA,,-54,SI,UBIPHARM BURKINA,BF
663983,PA,,-1.188,SI,LABOREX BURKINA,BF
628074,PA,,19.2,SI,LABOREX BURKINA,BF
624479,PA,,-61.2,SI,LABOREX BURKINA,BF
249438,PA,,-18,SI,TEDIS BURKINA,BF
368552,PA,,2.016,SI,TEDIS BURKINA,BF
368552,PA,,10.8,SI,MEX P/C DPBF,BF
436433,PA,,207.36,SI,LABOREX BURKINA,BF
436433,PA,,31.104,SI,MEX P/C DPBF,BF
281499,PA,,14.94,SI,MEX P/C DPBF,BF
298682,PA,,0.12,SI,MEX P/C DPBF,BF
630763,PA,,-4.4375,SI,MEX P/C DPBF,BF
611732,PA,,-0.1,SI,MEX P/C DPBF,BF
354890,PA,,-4.8,SI,MEX P/C DPBF,BF
291024,PA,,-1366.008,SI,MEX P/C DPBF,BF
245296,PA,,-78.65,SI,MEX P/C DPBF,BF
249438,PA,,-32.4,SI,MEX P/C DPBF,BF
368552,PA,,10.8,SI,MEX P/C DPBF,BF
639164,PA,,-11.36,SI,MEX P/C DPBF,BF
268012,PA,,-0.147,SI,LABOREX BURKINA,BF
247832,PA,,-11.1,SI,LABOREX BURKINA,BF
323470,PA,,4.104,SI,LABOREX BURKINA,BF
213848,PA,,-87.6,SI,TEDIS BURKINA,BF
489540,PA,,-1.6,SI,TEDIS BURKINA,BF
489540,PA,,-1.8,SI,TEDIS BURKINA,BF
627328,PA,,6,SI,UBIPHARM BURKINA,BF
627326,PA,,1.5,SI,UBIPHARM BURKINA,BF
476954,PA,,0,SI,LABOREX BURKINA,BF
630791,PA,,-7.125,SI,TEDIS BURKINA,BF
627328,PA,,0.75,SI,TEDIS BURKINA,BF
638521,PA,,-0.3,SI,UBIPHARM BURKINA,BF
239907,PA,,7.7,SI,TEDIS BURKINA,BF
307013,PA,,-139.6,SI,UBIPHARM BURKINA,BF
663981,PA,,6.75,SI,UBIPHARM BURKINA,BF
213848,PA,,-175.2,SI,UBIPHARM BURKINA,BF
489541,PA,,1.2,SI,UBIPHARM BURKINA,BF
247831,PA,,5.93,SI,UBIPHARM BURKINA,BF
368552,PA,,6.048,SI,UBIPHARM BURKINA,BF
489540,PA,,-4.8,SI,UBIPHARM BURKINA,BF
282348,PA,,-1.2,SI,UBIPHARM BURKINA,BF
624774,PA,,-0.54,SI,UBIPHARM BURKINA,BF
245296,PA,,-65.34,SI,UBIPHARM BURKINA,BF
249438,PA,,-54,SI,UBIPHARM BURKINA,BF
592979,PA,,0,SI,UBIPHARM BURKINA,BF
282348,PA,,-1,SI,UBIPHARM BURKINA,BF
320344,PA,,-3.827,SI,UBIPHARM BURKINA,BF
245296,PA,,-52.272,SI,UBIPHARM BURKINA,BF
247831,PA,,4.4475,SI,MEX P/C DPBF,BF
627328,PA,,1.5,SI,LABOREX BURKINA,BF
239907,PA,,23.1,SI,LABOREX BURKINA,BF
636858,PA,,-8,SI,LABOREX BURKINA,BF
252039,PA,,12.6,SI,LABOREX BURKINA,BF
368552,PA,,6.048,SI,LABOREX BURKINA,BF
663985,PA,,-160.758,SI,UBIPHARM BURKINA,BF
282345,PA,,-0.9,SI,LABOREX BURKINA,BF
247831,PA,,2.965,SI,LABOREX BURKINA,BF
476956,PA,,2.5,SI,MEX P/C DPBF,BF
626998,PA,,-50,SI,UBIPHARM BURKINA,BF
627329,PA,,1.5,SI,UBIPHARM BURKINA,BF
476956,PA,,6.5,SI,UBIPHARM BURKINA,BF
476956,PA,,5.2425,SI,LABOREX BURKINA,BF
289137,PA,,1.935,SI,UBIPHARM BURKINA,BF
323470,PA,,4.464,SI,UBIPHARM BURKINA,BF
476956,PA,,10,SI,UBIPHARM BURKINA,BF
476963,PA,,-112.5,SI,MEX P/C DPBF,BF
663981,PA,,4.725,SI,UBIPHARM BURKINA,BF
627331,PA,,4.2,SI,UBIPHARM BURKINA,BF
545747,PA,,-460.32,SI,UBIPHARM BURKINA,BF
287550,PA,,-9.6,SI,UBIPHARM BURKINA,BF
209742,PA,,-6.72,SI,UBIPHARM BURKINA,BF
268014,PA,,0,SI,UBIPHARM BURKINA,BF
268015,PA,,0.75,SI,UBIPHARM BURKINA,BF
592989,PA,,-0.075,SI,UBIPHARM BURKINA,BF
636858,PA,,-12,SI,UBIPHARM BURKINA,BF
282348,PA,,-1.8,SI,UBIPHARM BURKINA,BF
282345,PA,,-3.6,SI,UBIPHARM BURKINA,BF
320344,PA,,-8.9,SI,UBIPHARM BURKINA,BF
630791,PA,,-21.375,SI,UBIPHARM BURKINA,BF
630763,PA,,-21.3,SI,UBIPHARM BURKINA,BF
592593,PA,,-11.4,SI,UBIPHARM BURKINA,BF
609071,PA,,3.24,SI,UBIPHARM BURKINA,BF
264980,PA,,33.57,SI,UBIPHARM BURKINA,BF
311122,PA,,8.525,SI,UBIPHARM BURKINA,BF
298689,PA,,-0.87,SI,UBIPHARM BURKINA,BF
639164,PA,,-11.36,SI,UBIPHARM BURKINA,BF
571696,PA,,-4.34,SI,UBIPHARM BURKINA,BF
355560,PA,,-2.625,SI,UBIPHARM BURKINA,BF
213866,PA,,-0.775,SI,UBIPHARM BURKINA,BF
476963,PA,,-71.4375,SI,TEDIS BURKINA,BF
663985,PA,,-131.76,SI,TEDIS BURKINA,BF
476518,PA,,33.84,SI,LABOREX BURKINA,BF
539183,PA,,7.2,SI,LABOREX BURKINA,BF
539182,PA,,2.2,SI,LABOREX BURKINA,BF
539181,PA,,5.2,SI,LABOREX BURKINA,BF
476957,PA,,0,SI,TEDIS BURKINA,BF
307013,PA,,-34.9,SI,TEDIS BURKINA,BF
282348,PA,,-0.6,SI,TEDIS BURKINA,BF
245296,PA,,-26.136,SI,TEDIS BURKINA,BF
323470,PA,,1.152,SI,TEDIS BURKINA,BF
476963,PA,,-227.25,SI,TEDIS BURKINA,BF
545747,PA,,-95.9,SI,LABOREX BURKINA,BF
209742,PA,,-3.6,SI,LABOREX BURKINA,BF
592979,PA,,0,SI,LABOREX BURKINA,BF
268012,PA,,-0.15,SI,LABOREX BURKINA,BF
268013,PA,,0.05,SI,LABOREX BURKINA,BF
268014,PA,,0,SI,LABOREX BURKINA,BF
268015,PA,,0.45,SI,LABOREX BURKINA,BF
516143,PA,,0,SI,LABOREX BURKINA,BF
592989,PA,,-0.05,SI,LABOREX BURKINA,BF
592980,PA,,-0.05,SI,LABOREX BURKINA,BF
306219,PA,,-79.2,SI,LABOREX BURKINA,BF
282345,PA,,-0.9,SI,LABOREX BURKINA,BF
196680,PA,,2.365,SI,LABOREX BURKINA,BF
196681,PA,,1.6,SI,LABOREX BURKINA,BF
551043,PA,,-0.9,SI,LABOREX BURKINA,BF
323487,PA,,0,SI,LABOREX BURKINA,BF
240939,PA,,0.18,SI,LABOREX BURKINA,BF
611732,PA,,-0.32,SI,LABOREX BURKINA,BF
264980,PA,,11.19,SI,LABOREX BURKINA,BF
311122,PA,,3.41,SI,LABOREX BURKINA,BF
305928,PA,,-81.6,SI,LABOREX BURKINA,BF
298689,PA,,-0.58,SI,LABOREX BURKINA,BF
249438,PA,,-36,SI,LABOREX BURKINA,BF
624622,PA,,-7.85,SI,LABOREX BURKINA,BF
408003,PA,,0.3,SI,LABOREX BURKINA,BF
624775,PA,,-1,SI,LABOREX BURKINA,BF
624774,PA,,-0.54,SI,LABOREX BURKINA,BF
213866,PA,,-0.31,SI,LABOREX BURKINA,BF
627327,PA,,1.5,SI,UBIPHARM BURKINA,BF
342280,PA,,-2.24,SI,UBIPHARM BURKINA,BF
320344,PA,,-3.56,SI,LABOREX BURKINA,BF
342280,PA,,-0.64,SI,TEDIS BURKINA,BF
639164,PA,,-5.68,SI,TEDIS BURKINA,BF
98574,PA,,1.6,SI,TEDIS BURKINA,BF
209742,PA,,-2,SI,TEDIS BURKINA,BF
306216,PA,,0.39,SI,TEDIS BURKINA,BF
287553,PA,,1.6,SI,TEDIS BURKINA,BF
636858,PA,,-2,SI,TEDIS BURKINA,BF
624625,PA,,-2.37,SI,TEDIS BURKINA,BF
551043,PA,,-0.45,SI,TEDIS BURKINA,BF
224938,PA,,-0.5,SI,TEDIS BURKINA,BF
664047,PA,,18.06,SI,TEDIS BURKINA,BF
625681,PA,,132.64,SI,TEDIS BURKINA,BF
252041,PA,,-23.8,SI,TEDIS BURKINA,BF
249438,PA,,-18,SI,TEDIS BURKINA,BF
639608,PA,,-1.48,SI,TEDIS BURKINA,BF
624775,PA,,-0.5,SI,TEDIS BURKINA,BF
213866,PA,,-0.31,SI,TEDIS BURKINA,BF
282345,PA,,-0.9,SI,TEDIS BURKINA,BF
247831,PA,,5.93,SI,TEDIS BURKINA,BF
627332,PA,,2.1,SI,UBIPHARM BURKINA,BF
592684,PA,,5.16,SI,UBIPHARM BURKINA,BF
287553,PA,,4.8,SI,UBIPHARM BURKINA,BF
628074,PA,,15.36,SI,UBIPHARM BURKINA,BF
277954,PA,,0,SI,UBIPHARM BURKINA,BF
311166,PA,,-5.76,SI,UBIPHARM BURKINA,BF
475982,PA,,0,SI,LABOREX BURKINA,BF
476956,PA,,6.1875,SI,LABOREX BURKINA,BF
476954,PA,,0,SI,LABOREX BURKINA,BF
476957,PA,,0,SI,LABOREX BURKINA,BF
663983,PA,,-2.376,SI,LABOREX BURKINA,BF
476956,PA,,8.1875,SI,LABOREX BURKINA,BF
476518,PA,,33.84,SI,LABOREX BURKINA,BF
663985,PA,,-131.76,SI,UBIPHARM BURKINA,BF
476956,PA,,3.5,SI,MEX P/C DPBF,BF
663983,PA,,-1.764,SI,TEDIS BURKINA,BF
627329,PA,,4.5,SI,UBIPHARM BURKINA,BF
627328,PA,,3,SI,UBIPHARM BURKINA,BF
354890,PA,,-20.64,SI,UBIPHARM BURKINA,BF
476956,PA,,11,SI,UBIPHARM BURKINA,BF
627329,PA,,1.5,SI,LABOREX BURKINA,BF
323473,PA,,-187.968,SI,LABOREX BURKINA,BF
624774,PA,,-0.3,SI,LABOREX BURKINA,BF
671637,PA,,8.96,SI,MEX P/C DPBF,BF
671637,PA,,15.68,SI,TEDIS BURKINA,BF
671637,PA,,38.08,SI,UBIPHARM BURKINA,BF
539181,PA,,5.2,SI,UBIPHARM BURKINA,BF
663984,PA,,-13.875,SI,UBIPHARM BURKINA,BF
627332,PA,,4.2,SI,LABOREX BURKINA,BF
627328,PA,,3,SI,LABOREX BURKINA,BF
311168,PA,,-27.36,SI,LABOREX BURKINA,BF
