GMID,movement code,Quantity, Discount ,SCENARIO,CUSTOMER,COUNTRY
281498,RE,-16800,"-17,136",SI,G.C. PHARMA,MR
224948,VE,44257,,SI,EPDIS,FR
239907,VE,113258,,SI,EPDIS,FR
245296,VE,42529,,SI,EPDIS,FR
250798,VE,4968,,SI,EPDIS,FR
645817,VE,12537,,SI,EPDIS,FR
645818,VE,5580,,SI,EPDIS,FR
645819,VE,2908,,SI,EPDIS,FR
663985,VE,80546,,SI,EPDIS,FR
663992,VE,1519,,SI,EPDIS,FR
389142,VE,0,,SI,MERCAFAR,PT
389144,VE,0,,SI,MERCAFAR,PT
421873,VE,0,,SI,MERCAFAR,PT
425957,VE,0,,SI,MERCAFAR,PT
510643,VE,0,,SI,MERCAFAR,PT
511293,VE,0,,SI,MERCAFAR,PT
515284,VE,0,,SI,MERCAFAR,PT
627332,PA,400,4,SI,UBIPHARM BURKINA,BF
224938,PA,100,0,SI,TEDIS BURKINA,BF
291024,PA,1200,-181,SI,TEDIS BURKINA,BF
311168,PA,8640,-82,SI,LABOREX BURKINA,BF
671538,PA,40,2,SI,UBIPHARM BURKINA,BF
287550,PA,300,-4,SI,CHIMIO,BI
291024,PA,408,842,SI,LABOREX CONGO,CG
551043,PA,240,2,SI,LABOREX CONGO,CG
671538,PA,10,0,SI,SEP - BRAZZAVILLE,CG
551043,PA,100,14,SI,TEDIS COTE D'IVOIRE,CI
627332,PA,200,2,SI,TEDIS COTE D'IVOIRE,CI
224938,PA,200,-1,SI,TEDIS COTE D'IVOIRE,CI
DIV RX 3,PA,0,-10,SI,EPDIS,FR
DIV CHC 1,PA,0,-14,SI,EPDIS,FR
592705,DC,1800,-145,SI,TEDIS BURKINA,BF
592705,DC,2700,-218,SI,TEDIS BURKINA,BF
298706,DC,1080,-89,SI,TEDIS BURKINA,BF
298706,DC,960,-79,SI,TEDIS BURKINA,BF
627331,DC,400,-11,SI,TEDIS BURKINA,BF
671637,DC,350,-30,SI,TEDIS BURKINA,BF
476518,DC,96,-9,SI,TEDIS BURKINA,BF
476938,DC,15,-1,SI,TEDIS BURKINA,BF
663985,DC,488,-22,SI,TEDIS BURKINA,BF
671639,DC,198,-34,SI,TEDIS BURKINA,BF
627331,DC,200,-5,SI,UBIPHARM BURKINA,BF
663985,DC,800,-36,SI,MEX P/C DPBF,BF
479387,DC,816,-33,SI,TEDIS BURKINA,BF
298706,DC,840,-70,SI,TEDIS BURKINA,BF
625765,DC,40,-4,SI,MEX P/C DPBF,BF
DIV CHC 2,DC,0,-22,SI,EPDIS,FR
DIV CHC 3,DC,0,-91,SI,EPDIS,FR
263269,RE,-72,-91,SI,SOMAPHAR PLATEFORME,MG
281498,RE,-16800,"-17,136",SI,G.C. PHARMA,MR
172136,RE,-407,"-14,396",SI,G.C. PHARMA,MR
223652,RE,-672,"-12,519",SI,G.C. PHARMA,MR
247831,RE,-900,"-12,483",SI,G.C. PHARMA,MR
323470,RE,-3600,"-9,864",SI,G.C. PHARMA,MR
342280,RE,-4880,"-8,979",SI,G.C. PHARMA,MR
630791,RE,-1200,"-8,940",SI,G.C. PHARMA,MR
306218,RE,-900,"-7,506",SI,G.C. PHARMA,MR
307013,RE,-1200,"-5,712",SI,G.C. PHARMA,MR
DIV CHC 4,RE,,-105,SI,EPDIS,FR
DIV CHC 5,RE,,-12,SI,EPDIS,FR
502299,ER,448,"-4,570",SI,EQUATORIAL BUSINESS GROUP PLC,ET
545747,ER,200,"-5,570",SI,EQUATORIAL BUSINESS GROUP PLC,ET
643216,ER,256,"-8,447",SI,EQUATORIAL BUSINESS GROUP PLC,ET
306222,ER,630,"-6,195",SI,EQUATORIAL BUSINESS GROUP PLC,ET
261610,ER,672,"-11,651",SI,EQUATORIAL BUSINESS GROUP PLC,ET
DIV RX 1,ER,,-149,SI,EQUATORIAL BUSINESS GROUP PLC,ET
DIV RX 2,ER,,-543,SI,EQUATORIAL BUSINESS GROUP PLC,ET
DIV RX 3,FD,,"-3,490",SI,Mercafar,PT
DIV RX 4,FD,,"-5,430",SI,Mercafar,PT
DIV RX 5,FD,,"-56,670",SI,Mercafar,PT
545747,TN,,"-4,590",SI,BEKER GENERAL BUSINESS PLC,ET
643216,TN,,-543,SI,SURGIPHARM LIMITED,KN
306222,TN,,"-54,767",SI,HIGHCHEM MARKETING LTD,KN
DIV CHC 1,TN,,-987,SI,J.D. PHARMACY LTD,TZ
DIV RX 4,TN,,"-36,980",SI,J.D. PHARMACY LTD,TZ
311168,FG,,-543,SI,LABOREX BURKINA,BF
671538,FG,,"-5,678",SI,UBIPHARM BURKINA,BF
287550,FG,,"-5,342",SI,CHIMIO,BI
DIV RX 3,FG,,"-65,790",SI,EPDIS,FR
DIV CHC 3,FG,,"-546,543",SI,MERCAFAR,PT
551043,PC,,-54,SI,MERCAFAR,PT
627332,PC,,"-1,098,908",SI,MERCAFAR,PT
224938,PC,,-545,SI,MERCAFAR,PT
DIV CHC 4,PC,,"-546,543",SI,MERCAFAR,PT
