GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
261605,VE,144,,SI,EPDIS,FR
261605,VE,176,-30000,SI,EPDIS,FR
261605,VE,55,-200,SI,EPDIS,FR
261605,VE,1344,,SI,EPDIS,FR
261605,VE,1008,,SI,EPDIS,FR
261605,VE,105,,SI,EPDIS,FR
261610,VE,144,,SI,EPDIS,FR
261610,VE,1008,-230,SI,EPDIS,FR
261610,VE,1680,-229,SI,EPDIS,FR
196680,VE,432,-228,SI,EPDIS,FR
306222,VE,450,,SI,EPDIS,FR
306222,VE,1260,,SI,EPDIS,FR
306222,VE,24,-500,SI,EPDIS,FR
306222,VE,66,,SI,EPDIS,FR
306225,VE,32,,SI,EPDIS,FR
306225,VE,1080,-40,SI,EPDIS,FR
306225,VE,630,,SI,EPDIS,FR
306225,VE,58,,SI,EPDIS,FR
306226,VE,360,-98,SI,EPDIS,FR
306226,VE,22,,SI,EPDIS,FR
306226,VE,68,-988,SI,EPDIS,FR
551042,VE,1800,,SI,EPDIS,FR
643216,VE,352,,SI,EPDIS,FR
643216,VE,26,,SI,EPDIS,FR
643216,VE,6,,SI,EPDIS,FR
643216,VE,64,,SI,EPDIS,FR
643216,VE,160,,SI,EPDIS,FR
643216,VE,32,,SI,EPDIS,FR
502299,VE,1120,,SI,EPDIS,FR
287552,VE,96,,SI,EPDIS,FR
287552,VE,384,,SI,EPDIS,FR
287552,VE,94,,SI,EPDIS,FR
287552,VE,40,,SI,EPDIS,FR
287552,VE,288,,SI,EPDIS,FR
298689,VE,66,,SI,EPDIS,FR
298689,VE,69,,SI,EPDIS,FR
298689,VE,1215,,SI,EPDIS,FR
545747,VE,57,,SI,EPDIS,FR
545747,VE,43,,SI,EPDIS,FR
545747,VE,400,,SI,EPDIS,FR
261604,VE,152,,SI,EPDIS,FR
261604,VE,28,,SI,EPDIS,FR
261604,VE,540,,SI,EPDIS,FR
261604,VE,180,,SI,EPDIS,FR
261605,VE,4032,,SI,EPDIS,FR
261610,VE,44,,SI,EPDIS,FR
261610,VE,292,,SI,EPDIS,FR
261610,VE,2016,,SI,EPDIS,FR
261610,VE,672,,SI,EPDIS,FR
306222,VE,56,,SI,EPDIS,FR
306222,VE,34,,SI,EPDIS,FR
306222,VE,990,,SI,EPDIS,FR
306222,VE,1350,,SI,EPDIS,FR
306225,VE,86,,SI,EPDIS,FR
306225,VE,990,,SI,EPDIS,FR
306225,VE,4,,SI,EPDIS,FR
306225,VE,1890,,SI,EPDIS,FR
306226,VE,990,,SI,EPDIS,FR
247831,VE,1512,,SI,EPDIS,FR
247832,VE,105,,SI,EPDIS,FR
247832,VE,39,,SI,EPDIS,FR
247832,VE,144,,SI,EPDIS,FR
247832,VE,432,,SI,EPDIS,FR
305481,VE,320,,SI,EPDIS,FR
305481,VE,1200,,SI,EPDIS,FR
305481,VE,28,,SI,EPDIS,FR
305481,VE,12,,SI,EPDIS,FR
643216,VE,24,,SI,EPDIS,FR
643216,VE,544,,SI,EPDIS,FR
643216,VE,8,,SI,EPDIS,FR
643216,VE,288,,SI,EPDIS,FR
643216,VE,32,,SI,EPDIS,FR
643216,VE,576,,SI,EPDIS,FR
502299,VE,168,,SI,EPDIS,FR
502299,VE,27,,SI,EPDIS,FR
502299,VE,29,,SI,EPDIS,FR
502299,VE,1232,,SI,EPDIS,FR
502299,VE,1568,,SI,EPDIS,FR
505579,VE,2160,,SI,EPDIS,FR
298689,VE,135,,SI,EPDIS,FR
298689,VE,405,,SI,EPDIS,FR
298689,VE,1,,SI,EPDIS,FR
298689,VE,69,,SI,EPDIS,FR
298689,VE,1755,,SI,EPDIS,FR
298689,VE,135,,SI,EPDIS,FR
298689,VE,65,,SI,EPDIS,FR
298689,VE,405,,SI,EPDIS,FR
545747,VE,1100,,SI,EPDIS,FR
545747,VE,500,,SI,EPDIS,FR
305481,VE,240,,SI,EPDIS,FR
305481,VE,1400,,SI,EPDIS,FR
305481,VE,1680,,SI,EPDIS,FR
305481,VE,1680,,SI,EPDIS,FR
305481,VE,1680,,SI,EPDIS,FR
305481,VE,1680,,SI,EPDIS,FR
305481,VE,1680,,SI,EPDIS,FR
305481,VE,1680,,SI,EPDIS,FR
305481,VE,1680,,SI,EPDIS,FR
305481,VE,1680,,SI,EPDIS,FR
305481,VE,1680,,SI,EPDIS,FR
305481,VE,1680,,SI,EPDIS,FR
626630,VE,1680,,SI,EPDIS,FR
645819,VE,90,,SI,EPDIS,FR
645819,VE,180,,SI,EPDIS,FR
645819,VE,38,,SI,EPDIS,FR
645819,VE,172,,SI,EPDIS,FR
645817,VE,31,,SI,EPDIS,FR
645817,VE,14,,SI,EPDIS,FR
645817,VE,27,,SI,EPDIS,FR
645817,VE,280,,SI,EPDIS,FR
645817,VE,140,,SI,EPDIS,FR
645817,VE,68,,SI,EPDIS,FR
645817,VE,140,,SI,EPDIS,FR
645819,VE,180,,SI,EPDIS,FR
645819,VE,60,,SI,EPDIS,FR
645817,VE,70,,SI,EPDIS,FR
645817,VE,1400,,SI,EPDIS,FR
626630,VE,240,,SI,EPDIS,FR
626630,VE,3,,SI,EPDIS,FR
626630,VE,117,,SI,EPDIS,FR
626630,VE,480,,SI,EPDIS,FR
626630,VE,96,,SI,EPDIS,FR
626630,VE,24,,SI,EPDIS,FR
626630,VE,2160,,SI,EPDIS,FR
671538,VE,1080,,SI,EPDIS,FR
671538,VE,28,,SI,EPDIS,FR
671538,VE,6,,SI,EPDIS,FR
671538,VE,480,,SI,EPDIS,FR
645818,VE,20,,SI,EPDIS,FR
645818,VE,180,,SI,EPDIS,FR
645819,VE,180,,SI,EPDIS,FR
645819,VE,20,,SI,EPDIS,FR
626630,VE,600,,SI,EPDIS,FR
626630,VE,720,,SI,EPDIS,FR
298693,VE,56,,SI,EPDIS,FR
298693,VE,1008,,SI,EPDIS,FR
298693,VE,46,,SI,EPDIS,FR
