GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
476947,VE,290640,,SI,EPDIS,FR
475652,VE,1620,,SI,EPDIS,FR
475862,VE,5120,,SI,EPDIS,FR
475871,VE,14592,,SI,EPDIS,FR
475875,VE,2472,,SI,EPDIS,FR
476624,VE,48,,SI,EPDIS,FR
476954,VE,10368,,SI,EPDIS,FR
476956,VE,37150,,SI,EPDIS,FR
476963,VE,15495,,SI,EPDIS,FR
477015,VE,71148,,SI,EPDIS,FR
476664,VE,28728,,SI,EPDIS,FR
476518,VE,35280,,SI,EPDIS,FR
261610,VE,7215,,SI,EPDIS,FR
306632,VE,480,,SI,EPDIS,FR
251781,VE,1350,,SI,EPDIS,FR
310637,VE,800,,SI,EPDIS,FR
626998,VE,2880,,SI,EPDIS,FR
642931,VE,80,,SI,EPDIS,FR
298698,VE,4320,,SI,EPDIS,FR
298711,VE,6410,,SI,EPDIS,FR
612011,VE,1200,,SI,EPDIS,FR
380567,VE,160,,SI,EPDIS,FR
241634,VE,280,,SI,EPDIS,FR
305928,VE,1920,,SI,EPDIS,FR
625767,VE,5000,,SI,EPDIS,FR
305928,VE,640,,SI,EPDIS,FR
209742,VE,32592,,SI,EPDIS,FR
668290,VE,7200,,SI,EPDIS,FR
298711,VE,9280,,SI,EPDIS,FR
663995,VE,2112,,SI,EPDIS,FR
554510,VE,4320,,SI,EPDIS,FR
539181,VE,1638,,SI,EPDIS,FR
39171,VE,1350,,SI,EPDIS,FR
187747,VE,38601,,SI,EPDIS,FR
626998,VE,39640,,SI,EPDIS,FR
671597,VE,539,,SI,EPDIS,FR
624774,VE,4680,,SI,EPDIS,FR
323487,VE,17840,,SI,EPDIS,FR
609071,VE,51120,,SI,EPDIS,FR
354890,VE,11311,,SI,EPDIS,FR
663984,VE,17659,,SI,EPDIS,FR
307013,VE,5043,,SI,EPDIS,FR
642931,VE,798,,SI,EPDIS,FR
541078,VE,2100,,SI,EPDIS,FR
282348,VE,5814,,SI,EPDIS,FR
354890,VE,56784,,SI,EPDIS,FR
663986,VE,25431,,SI,EPDIS,FR
663987,VE,38492,,SI,EPDIS,FR
663986,VE,70000,,SI,EPDIS,FR
213848,VE,5943,,SI,EPDIS,FR
321233,VE,8000,,SI,EPDIS,FR
539181,VE,3510,,SI,EPDIS,FR
342280,VE,23094,,SI,EPDIS,FR
413689,VE,240,,SI,EPDIS,FR
639164,VE,113080,,SI,EPDIS,FR
663984,VE,12000,,SI,EPDIS,FR
671597,VE,14498,,SI,EPDIS,FR
539182,VE,1170,,SI,EPDIS,FR
539183,VE,936,,SI,EPDIS,FR
222428,VE,4416,,SI,EPDIS,FR
298693,VE,11948,,SI,EPDIS,FR
625767,VE,9980,,SI,EPDIS,FR
261610,VE,7392,,SI,EPDIS,FR
630791,VE,6960,,SI,EPDIS,FR
663986,VE,44569,,SI,EPDIS,FR
298691,VE,15552,,SI,EPDIS,FR
663985,VE,42704,,SI,EPDIS,FR
541078,VE,2400,,SI,EPDIS,FR
298691,VE,106,,SI,EPDIS,FR
571696,VE,170,,SI,EPDIS,FR
67933,VE,960,,SI,EPDIS,FR
306222,VE,21960,,SI,EPDIS,FR
311168,VE,5760,,SI,EPDIS,FR
264433,VE,50,,SI,EPDIS,FR
630791,VE,240,,SI,EPDIS,FR
370351,VE,10,,SI,EPDIS,FR
671597,VE,735,,SI,EPDIS,FR
671597,VE,35,,SI,EPDIS,FR
630791,VE,17360,,SI,EPDIS,FR
298691,VE,8424,,SI,EPDIS,FR
252041,VE,19152,,SI,EPDIS,FR
489540,VE,3042,,SI,EPDIS,FR
489541,VE,472,,SI,EPDIS,FR
268013,VE,44820,,SI,EPDIS,FR
554510,VE,1251,,SI,EPDIS,FR
408003,VE,5400,,SI,EPDIS,FR
624775,VE,4500,,SI,EPDIS,FR
311119,VE,240,,SI,EPDIS,FR
306632,VE,160,,SI,EPDIS,FR
516143,VE,1260,,SI,EPDIS,FR
306220,VE,990,,SI,EPDIS,FR
268015,VE,9000,,SI,EPDIS,FR
261605,VE,3696,,SI,EPDIS,FR
196680,VE,3240,,SI,EPDIS,FR
196681,VE,2016,,SI,EPDIS,FR
636858,VE,7600,,SI,EPDIS,FR
310637,VE,3840,,SI,EPDIS,FR
551043,VE,6254,,SI,EPDIS,FR
247831,VE,4804,,SI,EPDIS,FR
247832,VE,5904,,SI,EPDIS,FR
625765,VE,20000,,SI,EPDIS,FR
320344,VE,1260,,SI,EPDIS,FR
240939,VE,2757,,SI,EPDIS,FR
371014,VE,160,,SI,EPDIS,FR
643216,VE,7482,,SI,EPDIS,FR
311168,VE,7080,,SI,EPDIS,FR
252041,VE,15598,,SI,EPDIS,FR
571696,VE,1810,,SI,EPDIS,FR
258746,VE,600,,SI,EPDIS,FR
671637,VE,27793,,SI,EPDIS,FR
671637,VE,9459,,SI,EPDIS,FR
307013,VE,32800,,SI,EPDIS,FR
540717,VE,19600,,SI,EPDIS,FR
381782,VE,1500,,SI,EPDIS,FR
374872,VE,3780,,SI,EPDIS,FR
305481,VE,1544,,SI,EPDIS,FR
67933,VE,160,,SI,EPDIS,FR
671637,VE,9240,,SI,EPDIS,FR
643215,VE,1092,,SI,EPDIS,FR
612011,VE,720,,SI,EPDIS,FR
342280,VE,4389,,SI,EPDIS,FR
323487,VE,24070,,SI,EPDIS,FR
639164,VE,1280,,SI,EPDIS,FR
306217,VE,3870,,SI,EPDIS,FR
305479,VE,16080,,SI,EPDIS,FR
306217,VE,31050,,SI,EPDIS,FR
305479,VE,21840,,SI,EPDIS,FR
305479,VE,14640,,SI,EPDIS,FR
305479,VE,21840,,SI,EPDIS,FR
282348,VE,2264,,SI,EPDIS,FR
663419,VE,2880,,SI,EPDIS,FR
374872,VE,11545,,SI,EPDIS,FR
354890,VE,13104,,SI,EPDIS,FR
268014,VE,6600,,SI,EPDIS,FR
502299,VE,7280,,SI,EPDIS,FR
224938,VE,10000,,SI,EPDIS,FR
252039,VE,10418,,SI,EPDIS,FR
252040,VE,18900,,SI,EPDIS,FR
298698,VE,3951,,SI,EPDIS,FR
298689,VE,9985,,SI,EPDIS,FR
551043,VE,23580,,SI,EPDIS,FR
354890,VE,24000,,SI,EPDIS,FR
354890,VE,24192,,SI,EPDIS,FR
306222,VE,16735,,SI,EPDIS,FR
298689,VE,9990,,SI,EPDIS,FR
252041,VE,665,,SI,EPDIS,FR
663986,VE,13056,,SI,EPDIS,FR
310637,VE,320,,SI,EPDIS,FR
261604,VE,2520,,SI,EPDIS,FR
663985,VE,124055,,SI,EPDIS,FR
663985,VE,103375,,SI,EPDIS,FR
663986,VE,50694,,SI,EPDIS,FR
641849,VE,5760,,SI,EPDIS,FR
639628,VE,1200,,SI,EPDIS,FR
551042,VE,4172,,SI,EPDIS,FR
639628,VE,600,,SI,EPDIS,FR
251781,VE,2682,,SI,EPDIS,FR
643215,VE,1120,,SI,EPDIS,FR
625765,VE,9226,,SI,EPDIS,FR
298691,VE,23976,,SI,EPDIS,FR
663984,VE,30000,,SI,EPDIS,FR
626998,VE,25031,,SI,EPDIS,FR
626998,VE,13422,,SI,EPDIS,FR
Div Rx 1,VE,,-220141.14,SI,EPDIS,FR
Div Rx 1,VE,,-328702,SI,EPDIS,FR
Div Rx 1,VE,,603325.88,SI,EPDIS,FR
554510,PA,,18.522,SI,EPDIS,FR
539183,PA,,3.6,SI,EPDIS,FR
292174,PA,,6.24,SI,EPDIS,FR
436433,PA,,155.52,SI,EPDIS,FR
592684,PA,,5.16,SI,EPDIS,FR
281499,PA,,49.8,SI,EPDIS,FR
551042,PA,,-73.44,SI,EPDIS,FR
625767,PA,,3.36,SI,EPDIS,FR
224938,PA,,-0.5,SI,EPDIS,FR
354890,PA,,-48,SI,EPDIS,FR
245296,PA,,-65.34,SI,EPDIS,FR
305928,PA,,-81.6,SI,EPDIS,FR
168279,PA,,1.05,SI,EPDIS,FR
663985,PA,,193.248,SI,EPDIS,FR
663985,PA,,73.92,SI,EPDIS,FR
624480,PA,,-76.8,SI,EPDIS,FR
545747,PA,,-191.8,SI,EPDIS,FR
209742,PA,,-3.6,SI,EPDIS,FR
592979,PA,,0,SI,EPDIS,FR
268013,PA,,0.05,SI,EPDIS,FR
268014,PA,,0,SI,EPDIS,FR
516143,PA,,0,SI,EPDIS,FR
592989,PA,,-0.05,SI,EPDIS,FR
306216,PA,,0.585,SI,EPDIS,FR
306219,PA,,-79.2,SI,EPDIS,FR
282319,PA,,0,SI,EPDIS,FR
196680,PA,,2.365,SI,EPDIS,FR
247831,PA,,2.965,SI,EPDIS,FR
551043,PA,,-1.8,SI,EPDIS,FR
551042,PA,,-73.44,SI,EPDIS,FR
240939,PA,,0.18,SI,EPDIS,FR
305928,PA,,-40.8,SI,EPDIS,FR
187750,PA,,-0.02,SI,EPDIS,FR
408003,PA,,0.27,SI,EPDIS,FR
624775,PA,,-1,SI,EPDIS,FR
624774,PA,,-0.54,SI,EPDIS,FR
298698,PA,,-0.12,SI,EPDIS,FR
624480,PA,,-30.72,SI,EPDIS,FR
545747,PA,,-115.08,SI,EPDIS,FR
268012,PA,,-0.24,SI,EPDIS,FR
282348,PA,,-1,SI,EPDIS,FR
196680,PA,,4.73,SI,EPDIS,FR
298682,PA,,0.36,SI,EPDIS,FR
320344,PA,,-4.45,SI,EPDIS,FR
592593,PA,,-9.5,SI,EPDIS,FR
664047,PA,,130.2,SI,EPDIS,FR
638521,PA,,-0.3,SI,EPDIS,FR
609071,PA,,1.62,SI,EPDIS,FR
264980,PA,,88.785,SI,EPDIS,FR
311122,PA,,5.115,SI,EPDIS,FR
252040,PA,,-14.4,SI,EPDIS,FR
540717,PA,,6.048,SI,EPDIS,FR
571696,PA,,-4.34,SI,EPDIS,FR
355560,PA,,-1.05,SI,EPDIS,FR
408003,PA,,0.3,SI,EPDIS,FR
624775,PA,,-0.9,SI,EPDIS,FR
624774,PA,,-0.54,SI,EPDIS,FR
247832,PA,,-29.6,SI,EPDIS,FR
624480,PA,,-238.08,SI,EPDIS,FR
196681,PA,,8,SI,EPDIS,FR
247832,PA,,-14.8,SI,EPDIS,FR
479387,PA,,3.72,SI,EPDIS,FR
305481,PA,,-9,SI,EPDIS,FR
196681,PA,,1.6,SI,EPDIS,FR
479387,PA,,2.88,SI,EPDIS,FR
663985,PA,,483.12,SI,EPDIS,FR
476956,PA,,7,SI,EPDIS,FR
539183,PA,,7.2,SI,EPDIS,FR
663985,PA,,32.208,SI,EPDIS,FR
39171,PA,,-133,SI,EPDIS,FR
268013,PA,,0.02,SI,EPDIS,FR
305928,PA,,-20.4,SI,EPDIS,FR
624775,PA,,-0.15,SI,EPDIS,FR
627329,PA,,1.5,SI,EPDIS,FR
627328,PA,,4.5,SI,EPDIS,FR
627327,PA,,3,SI,EPDIS,FR
627326,PA,,1.5,SI,EPDIS,FR
342280,PA,,-1.92,SI,EPDIS,FR
539181,PA,,20.8,SI,EPDIS,FR
307013,PA,,-139.6,SI,EPDIS,FR
321233,PA,,-4.96,SI,EPDIS,FR
663984,PA,,-27.75,SI,EPDIS,FR
663981,PA,,4.05,SI,EPDIS,FR
671637,PA,,58.24,SI,EPDIS,FR
476947,PA,,28.8,SI,EPDIS,FR
475991,PA,,-3,SI,EPDIS,FR
476957,PA,,0,SI,EPDIS,FR
67933,PA,,7.63,SI,EPDIS,FR
627331,PA,,2.1,SI,EPDIS,FR
626997,PA,,20.5,SI,EPDIS,FR
627329,PA,,1.5,SI,EPDIS,FR
627326,PA,,1,SI,EPDIS,FR
239907,PA,,64.68,SI,EPDIS,FR
436433,PA,,207.36,SI,EPDIS,FR
592684,PA,,15.48,SI,EPDIS,FR
298801,PA,,-11.34,SI,EPDIS,FR
281499,PA,,49.8,SI,EPDIS,FR
636858,PA,,-4,SI,EPDIS,FR
628074,PA,,23.04,SI,EPDIS,FR
298682,PA,,0.72,SI,EPDIS,FR
630791,PA,,69.3,SI,EPDIS,FR
630763,PA,,-14.2,SI,EPDIS,FR
624479,PA,,-45.9,SI,EPDIS,FR
627330,PA,,-0.52,SI,EPDIS,FR
354890,PA,,-74.4,SI,EPDIS,FR
342280,PA,,-1.92,SI,EPDIS,FR
638521,PA,,-0.3,SI,EPDIS,FR
277954,PA,,0,SI,EPDIS,FR
346666,PA,,-58.8,SI,EPDIS,FR
252041,PA,,-28.56,SI,EPDIS,FR
540717,PA,,6.048,SI,EPDIS,FR
639608,PA,,-2.22,SI,EPDIS,FR
355560,PA,,-2.1,SI,EPDIS,FR
168279,PA,,3.15,SI,EPDIS,FR
627314,PA,,2.1,SI,EPDIS,FR
626997,PA,,20.5,SI,EPDIS,FR
311168,PA,,-18.24,SI,EPDIS,FR
239907,PA,,29.26,SI,EPDIS,FR
292174,PA,,14.56,SI,EPDIS,FR
436433,PA,,145.152,SI,EPDIS,FR
592684,PA,,15.48,SI,EPDIS,FR
287553,PA,,1.6,SI,EPDIS,FR
298801,PA,,-15.12,SI,EPDIS,FR
281500,PA,,27.84,SI,EPDIS,FR
281499,PA,,49.8,SI,EPDIS,FR
551043,PA,,-0.9,SI,EPDIS,FR
551042,PA,,-73.44,SI,EPDIS,FR
628074,PA,,19.2,SI,EPDIS,FR
323487,PA,,0,SI,EPDIS,FR
624479,PA,,-61.2,SI,EPDIS,FR
277954,PA,,0,SI,EPDIS,FR
291024,PA,,-202.944,SI,EPDIS,FR
245296,PA,,-130.68,SI,EPDIS,FR
592705,PA,,217.728,SI,EPDIS,FR
609071,PA,,8.1,SI,EPDIS,FR
305928,PA,,-81.6,SI,EPDIS,FR
252041,PA,,-27.37,SI,EPDIS,FR
252039,PA,,14.175,SI,EPDIS,FR
168279,PA,,3.15,SI,EPDIS,FR
627331,PA,,4.2,SI,EPDIS,FR
545747,PA,,-191.8,SI,EPDIS,FR
39171,PA,,-133,SI,EPDIS,FR
287550,PA,,-7.2,SI,EPDIS,FR
209742,PA,,-6.72,SI,EPDIS,FR
592979,PA,,0,SI,EPDIS,FR
268012,PA,,-0.48,SI,EPDIS,FR
268013,PA,,0.15,SI,EPDIS,FR
268014,PA,,0,SI,EPDIS,FR
516143,PA,,0,SI,EPDIS,FR
592989,PA,,-0.05,SI,EPDIS,FR
592980,PA,,-0.2,SI,EPDIS,FR
306218,PA,,-53.19,SI,EPDIS,FR
636858,PA,,-8,SI,EPDIS,FR
282348,PA,,-1.8,SI,EPDIS,FR
247832,PA,,-12.58,SI,EPDIS,FR
247831,PA,,10.081,SI,EPDIS,FR
298682,PA,,0.36,SI,EPDIS,FR
320343,PA,,11.7,SI,EPDIS,FR
320344,PA,,-10.235,SI,EPDIS,FR
630791,PA,,69.3,SI,EPDIS,FR
630763,PA,,-21.3,SI,EPDIS,FR
592593,PA,,-23.94,SI,EPDIS,FR
664047,PA,,91.14,SI,EPDIS,FR
638521,PA,,-0.6,SI,EPDIS,FR
592705,PA,,508.032,SI,EPDIS,FR
609071,PA,,8.1,SI,EPDIS,FR
311122,PA,,8.525,SI,EPDIS,FR
252040,PA,,-28.8,SI,EPDIS,FR
540717,PA,,6.048,SI,EPDIS,FR
639608,PA,,-3.33,SI,EPDIS,FR
571696,PA,,-4.34,SI,EPDIS,FR
187747,PA,,38.16,SI,EPDIS,FR
355560,PA,,-1.05,SI,EPDIS,FR
408003,PA,,0.36,SI,EPDIS,FR
624774,PA,,-1.08,SI,EPDIS,FR
298711,PA,,-0.48,SI,EPDIS,FR
624625,PA,,-3.16,SI,EPDIS,FR
293665,PA,,-31.5,SI,EPDIS,FR
627328,PA,,3,SI,EPDIS,FR
311168,PA,,-27.36,SI,EPDIS,FR
291024,PA,,-188.448,SI,EPDIS,FR
320344,PA,,-7.12,SI,EPDIS,FR
671637,PA,,26.88,SI,EPDIS,FR
663982,PA,,-253.44,SI,EPDIS,FR
196680,PA,,7.095,SI,EPDIS,FR
671639,PA,,-1.44,SI,EPDIS,FR
67933,PA,,5.7225,SI,EPDIS,FR
627314,PA,,3.15,SI,EPDIS,FR
627329,PA,,0.75,SI,EPDIS,FR
627326,PA,,0.75,SI,EPDIS,FR
436433,PA,,41.472,SI,EPDIS,FR
306218,PA,,-41.37,SI,EPDIS,FR
281500,PA,,6.96,SI,EPDIS,FR
298682,PA,,0.12,SI,EPDIS,FR
630763,PA,,-2.6625,SI,EPDIS,FR
611732,PA,,-0.06,SI,EPDIS,FR
592593,PA,,-7.6,SI,EPDIS,FR
224938,PA,,-0.5,SI,EPDIS,FR
354890,PA,,-20.16,SI,EPDIS,FR
277954,PA,,0,SI,EPDIS,FR
291024,PA,,-94.224,SI,EPDIS,FR
609071,PA,,2.592,SI,EPDIS,FR
249438,PA,,-21.6,SI,EPDIS,FR
639164,PA,,-11.36,SI,EPDIS,FR
624774,PA,,-0.6,SI,EPDIS,FR
298711,PA,,-0.12,SI,EPDIS,FR
624480,PA,,-94.08,SI,EPDIS,FR
346666,PA,,-5.88,SI,EPDIS,FR
627329,PA,,1.5,SI,EPDIS,FR
627326,PA,,1.5,SI,EPDIS,FR
67933,PA,,4.578,SI,EPDIS,FR
627314,PA,,2.1,SI,EPDIS,FR
626997,PA,,12.3,SI,EPDIS,FR
311168,PA,,-15.96,SI,EPDIS,FR
239907,PA,,15.4,SI,EPDIS,FR
292174,PA,,6.24,SI,EPDIS,FR
436433,PA,,134.784,SI,EPDIS,FR
592684,PA,,10.32,SI,EPDIS,FR
287553,PA,,4.8,SI,EPDIS,FR
298801,PA,,-15.12,SI,EPDIS,FR
281500,PA,,27.84,SI,EPDIS,FR
624625,PA,,-4.74,SI,EPDIS,FR
551043,PA,,-0.9,SI,EPDIS,FR
628074,PA,,15.36,SI,EPDIS,FR
323487,PA,,0,SI,EPDIS,FR
625767,PA,,1.68,SI,EPDIS,FR
224938,PA,,-0.5,SI,EPDIS,FR
277954,PA,,0,SI,EPDIS,FR
245296,PA,,-65.34,SI,EPDIS,FR
592705,PA,,266.112,SI,EPDIS,FR
305928,PA,,-81.6,SI,EPDIS,FR
252041,PA,,-22.61,SI,EPDIS,FR
252039,PA,,12.6,SI,EPDIS,FR
249438,PA,,-36,SI,EPDIS,FR
168279,PA,,1.05,SI,EPDIS,FR
539181,PA,,7.8,SI,EPDIS,FR
306216,PA,,0.585,SI,EPDIS,FR
285368,PA,,-0.27,SI,EPDIS,FR
293665,PA,,-21,SI,EPDIS,FR
476963,PA,,-236.25,SI,EPDIS,FR
545747,PA,,-191.8,SI,EPDIS,FR
209742,PA,,-6.72,SI,EPDIS,FR
592979,PA,,0,SI,EPDIS,FR
282348,PA,,-1.8,SI,EPDIS,FR
630791,PA,,69.3,SI,EPDIS,FR
630763,PA,,-21.3,SI,EPDIS,FR
664047,PA,,130.2,SI,EPDIS,FR
540717,PA,,4.032,SI,EPDIS,FR
571696,PA,,-6.51,SI,EPDIS,FR
187750,PA,,-0.03,SI,EPDIS,FR
624774,PA,,-1.08,SI,EPDIS,FR
476963,PA,,-236.25,SI,EPDIS,FR
374872,PA,,-30.24,SI,EPDIS,FR
305481,PA,,-9,SI,EPDIS,FR
374872,PA,,-30.24,SI,EPDIS,FR
305481,PA,,-9,SI,EPDIS,FR
307013,PA,,-55.84,SI,EPDIS,FR
663984,PA,,-7.4,SI,EPDIS,FR
671597,PA,,7.665,SI,EPDIS,FR
305479,PA,,-6,SI,EPDIS,FR
305479,PA,,-9,SI,EPDIS,FR
298689,PA,,-0.435,SI,EPDIS,FR
671538,PA,,1.54,SI,EPDIS,FR
671538,PA,,1.54,SI,EPDIS,FR
298689,PA,,-0.435,SI,EPDIS,FR
624479,PA,,-122.4,SI,EPDIS,FR
239907,PA,,-172.8,SI,EPDIS,FR
287550,PA,,-812.2,SI,EPDIS,FR
625765,PA,,127.8,SI,EPDIS,FR
630791,PA,,-703.92,SI,EPDIS,FR
354890,PA,,-8.6,SI,EPDIS,FR
662889,PA,,-2492.16,SI,EPDIS,FR
249438,PA,,-502.2,SI,EPDIS,FR
323473,PA,,3564,SI,EPDIS,FR
311168,PA,,-3.42,SI,EPDIS,FR
287550,PA,,-7.2,SI,EPDIS,FR
268013,PA,,0.075,SI,EPDIS,FR
268015,PA,,2.25,SI,EPDIS,FR
624625,PA,,-47.4,SI,EPDIS,FR
630791,PA,,173.25,SI,EPDIS,FR
630763,PA,,-106.5,SI,EPDIS,FR
664047,PA,,390.6,SI,EPDIS,FR
342280,PA,,-0.5,SI,EPDIS,FR
252040,PA,,-86.4,SI,EPDIS,FR
239907,PA,,526.8,SI,EPDIS,FR
269069,PA,,123.6,SI,EPDIS,FR
624479,PA,,-91.8,SI,EPDIS,FR
252039,PA,,6.3,SI,EPDIS,FR
323473,PA,,3780,SI,EPDIS,FR
436433,PA,,0.075,SI,EPDIS,FR
630763,PA,,-14.2,SI,EPDIS,FR
