GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
Div Rx 1,VE,,-407780.04,SI,EPDIS,FR
476947,VE,233569,,SI,EPDIS,FR
475871,VE,23424,,SI,EPDIS,FR
475875,VE,1032,,SI,EPDIS,FR
475982,VE,9000,,SI,EPDIS,FR
475987,VE,17460,,SI,EPDIS,FR
475988,VE,29255,,SI,EPDIS,FR
476009,VE,18336,,SI,EPDIS,FR
476043,VE,4400,,SI,EPDIS,FR
476954,VE,14976,,SI,EPDIS,FR
476955,VE,30000,,SI,EPDIS,FR
476956,VE,60000,,SI,EPDIS,FR
476957,VE,15619,,SI,EPDIS,FR
476963,VE,27512,,SI,EPDIS,FR
477015,VE,28470,,SI,EPDIS,FR
477034,VE,840,,SI,EPDIS,FR
476664,VE,22464,,SI,EPDIS,FR
475999,VE,13584,,SI,EPDIS,FR
476518,VE,17856,,SI,EPDIS,FR
477787,VE,9720,,SI,EPDIS,FR
678014,VE,665,,SI,EPDIS,FR
665371,VE,2240,,SI,EPDIS,FR
636825,VE,6000,,SI,EPDIS,FR
636827,VE,24995,,SI,EPDIS,FR
671597,VE,29785,,SI,EPDIS,FR
663992,VE,1911,,SI,EPDIS,FR
298698,VE,3460,,SI,EPDIS,FR
627595,VE,1215,,SI,EPDIS,FR
612011,VE,1200,,SI,EPDIS,FR
636858,VE,18796,,SI,EPDIS,FR
298682,VE,3430,,SI,EPDIS,FR
268015,VE,8900,,SI,EPDIS,FR
261610,VE,3696,,SI,EPDIS,FR
645820,VE,7795,,SI,EPDIS,FR
268012,VE,2100,,SI,EPDIS,FR
268014,VE,4800,,SI,EPDIS,FR
298693,VE,8009,,SI,EPDIS,FR
252039,VE,10407,,SI,EPDIS,FR
298689,VE,9990,,SI,EPDIS,FR
374872,VE,3705,,SI,EPDIS,FR
252040,VE,11500,,SI,EPDIS,FR
641849,VE,5760,,SI,EPDIS,FR
666653,VE,4954,,SI,EPDIS,FR
