GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
476947,VE,264000,,SI,EPDIS,FR
477012,VE,29900,,SI,EPDIS,FR
475652,VE,5508,,SI,EPDIS,FR
475871,VE,5184,,SI,EPDIS,FR
475875,VE,7185,,SI,EPDIS,FR
475982,VE,18120,,SI,EPDIS,FR
476624,VE,48,,SI,EPDIS,FR
475987,VE,9720,,SI,EPDIS,FR
475988,VE,29064,,SI,EPDIS,FR
476998,VE,890,,SI,EPDIS,FR
476043,VE,35704,,SI,EPDIS,FR
476954,VE,29952,,SI,EPDIS,FR
476955,VE,30192,,SI,EPDIS,FR
476956,VE,24476,,SI,EPDIS,FR
476957,VE,15599,,SI,EPDIS,FR
476963,VE,24011,,SI,EPDIS,FR
476664,VE,15120,,SI,EPDIS,FR
476518,VE,17856,,SI,EPDIS,FR
477787,VE,7560,,SI,EPDIS,FR
671597,VE,1040,,SI,EPDIS,FR
298682,VE,230,,SI,EPDIS,FR
311122,VE,246,,SI,EPDIS,FR
663984,VE,17659,,SI,EPDIS,FR
630791,VE,24695,,SI,EPDIS,FR
502299,VE,4984,,SI,EPDIS,FR
643215,VE,552,,SI,EPDIS,FR
311119,VE,720,,SI,EPDIS,FR
187747,VE,7194,,SI,EPDIS,FR
187750,VE,1120,,SI,EPDIS,FR
168279,VE,486,,SI,EPDIS,FR
213848,VE,25000,,SI,EPDIS,FR
615926,VE,200,,SI,EPDIS,FR
298682,VE,24960,,SI,EPDIS,FR
307013,VE,8028,,SI,EPDIS,FR
636858,VE,24000,,SI,EPDIS,FR
323487,VE,20840,,SI,EPDIS,FR
665371,VE,1920,,SI,EPDIS,FR
489540,VE,32318,,SI,EPDIS,FR
355496,VE,300,,SI,EPDIS,FR
268014,VE,3600,,SI,EPDIS,FR
247831,VE,3863,,SI,EPDIS,FR
247832,VE,1806,,SI,EPDIS,FR
196681,VE,144,,SI,EPDIS,FR
545747,VE,4016,,SI,EPDIS,FR
381782,VE,301,,SI,EPDIS,FR
354890,VE,84,,SI,EPDIS,FR
306220,VE,552,,SI,EPDIS,FR
663984,VE,341,,SI,EPDIS,FR
554510,VE,1080,,SI,EPDIS,FR
663985,VE,14884,,SI,EPDIS,FR
306217,VE,3853,,SI,EPDIS,FR
381782,VE,3000,,SI,EPDIS,FR
667138,VE,540,,SI,EPDIS,FR
261604,VE,900,,SI,EPDIS,FR
261605,VE,7188,,SI,EPDIS,FR
320343,VE,12106,,SI,EPDIS,FR
305481,VE,4492,,SI,EPDIS,FR
196680,VE,1294,,SI,EPDIS,FR
554510,VE,2160,,SI,EPDIS,FR
381782,VE,3000,,SI,EPDIS,FR
663992,VE,3122,,SI,EPDIS,FR
663985,VE,63173,,SI,EPDIS,FR
630763,VE,21600,,SI,EPDIS,FR
541078,VE,4800,,SI,EPDIS,FR
665401,VE,22668,,SI,EPDIS,FR
222428,VE,4409,,SI,EPDIS,FR
354890,VE,15816,,SI,EPDIS,FR
355496,VE,1750,,SI,EPDIS,FR
342280,VE,27360,,SI,EPDIS,FR
306218,VE,8062,,SI,EPDIS,FR
663986,VE,29816,,SI,EPDIS,FR
282348,VE,5189,,SI,EPDIS,FR
592979,VE,3000,,SI,EPDIS,FR
671637,VE,7204,,SI,EPDIS,FR
413689,VE,160,,SI,EPDIS,FR
625681,VE,38240,,SI,EPDIS,FR
39171,VE,1350,,SI,EPDIS,FR
306222,VE,21960,,SI,EPDIS,FR
663986,VE,7684,,SI,EPDIS,FR
663987,VE,740,,SI,EPDIS,FR
539182,VE,936,,SI,EPDIS,FR
539185,VE,5,,SI,EPDIS,FR
663985,VE,7564,,SI,EPDIS,FR
263269,VE,2414,,SI,EPDIS,FR
252041,VE,23625,,SI,EPDIS,FR
663985,VE,21726,,SI,EPDIS,FR
408003,VE,2154,,SI,EPDIS,FR
624775,VE,4500,,SI,EPDIS,FR
545747,VE,6894,,SI,EPDIS,FR
298693,VE,11997,,SI,EPDIS,FR
671637,VE,20467,,SI,EPDIS,FR
268013,VE,3970,,SI,EPDIS,FR
374872,VE,4500,,SI,EPDIS,FR
258746,VE,240,,SI,EPDIS,FR
663986,VE,62316,,SI,EPDIS,FR
554510,VE,3024,,SI,EPDIS,FR
374872,VE,3470,,SI,EPDIS,FR
374872,VE,4530,,SI,EPDIS,FR
663987,VE,39260,,SI,EPDIS,FR
551042,VE,29876,,SI,EPDIS,FR
306217,VE,31100,,SI,EPDIS,FR
551042,VE,5760,,SI,EPDIS,FR
252039,VE,31300,,SI,EPDIS,FR
551042,VE,18540,,SI,EPDIS,FR
662889,VE,34967,,SI,EPDIS,FR
354890,VE,56784,,SI,EPDIS,FR
172136,VE,1000,,SI,EPDIS,FR
311168,VE,47150,,SI,EPDIS,FR
172136,VE,923,,SI,EPDIS,FR
539183,VE,234,,SI,EPDIS,FR
615926,VE,240,,SI,EPDIS,FR
354950,VE,1251,,SI,EPDIS,FR
380554,VE,900,,SI,EPDIS,FR
615926,VE,400,,SI,EPDIS,FR
615926,VE,86,,SI,EPDIS,FR
268014,VE,1500,,SI,EPDIS,FR
282319,VE,900,,SI,EPDIS,FR
539183,VE,1638,,SI,EPDIS,FR
320344,VE,1980,,SI,EPDIS,FR
252041,VE,350,,SI,EPDIS,FR
247831,VE,1080,,SI,EPDIS,FR
320344,VE,1620,,SI,EPDIS,FR
539183,VE,1872,,SI,EPDIS,FR
320344,VE,360,,SI,EPDIS,FR
307013,VE,10800,,SI,EPDIS,FR
354890,VE,56784,,SI,EPDIS,FR
540717,VE,19964,,SI,EPDIS,FR
306222,VE,432,,SI,EPDIS,FR
67933,VE,36,,SI,EPDIS,FR
626998,VE,18948,,SI,EPDIS,FR
663985,VE,60387,,SI,EPDIS,FR
408003,VE,3238,,SI,EPDIS,FR
505579,VE,2498,,SI,EPDIS,FR
67933,VE,560,,SI,EPDIS,FR
311168,VE,12720,,SI,EPDIS,FR
172136,VE,146,,SI,EPDIS,FR
554510,VE,171,,SI,EPDIS,FR
624774,VE,2207,,SI,EPDIS,FR
355496,VE,350,,SI,EPDIS,FR
639164,VE,55931,,SI,EPDIS,FR
305928,VE,3840,,SI,EPDIS,FR
554510,VE,4320,,SI,EPDIS,FR
305928,VE,3930,,SI,EPDIS,FR
213866,VE,300,,SI,EPDIS,FR
306219,VE,2839,,SI,EPDIS,FR
264980,VE,1800,,SI,EPDIS,FR
554510,VE,216,,SI,EPDIS,FR
663995,VE,1270,,SI,EPDIS,FR
371014,VE,160,,SI,EPDIS,FR
663985,VE,40890,,SI,EPDIS,FR
671597,VE,14000,,SI,EPDIS,FR
213847,VE,24000,,SI,EPDIS,FR
489540,VE,6000,,SI,EPDIS,FR
663995,VE,2560,,SI,EPDIS,FR
282348,VE,3780,,SI,EPDIS,FR
625681,VE,18076,,SI,EPDIS,FR
196681,VE,1100,,SI,EPDIS,FR
625765,VE,9998,,SI,EPDIS,FR
240939,VE,2100,,SI,EPDIS,FR
298691,VE,11988,,SI,EPDIS,FR
242086,VE,3923,,SI,EPDIS,FR
551042,VE,7179,,SI,EPDIS,FR
663995,VE,320,,SI,EPDIS,FR
213847,VE,6000,,SI,EPDIS,FR
609071,VE,45797,,SI,EPDIS,FR
311122,VE,12234,,SI,EPDIS,FR
249438,VE,21804,,SI,EPDIS,FR
209742,VE,2207,,SI,EPDIS,FR
323487,VE,160,,SI,EPDIS,FR
630763,VE,360,,SI,EPDIS,FR
261608,VE,672,,SI,EPDIS,FR
663985,VE,22798,,SI,EPDIS,FR
671597,VE,14625,,SI,EPDIS,FR
663985,VE,19520,,SI,EPDIS,FR
247832,VE,4176,,SI,EPDIS,FR
305481,VE,5960,,SI,EPDIS,FR
545747,VE,2206,,SI,EPDIS,FR
545747,VE,5900,,SI,EPDIS,FR
310637,VE,4160,,SI,EPDIS,FR
651777,VE,76548,,SI,EPDIS,FR
545747,PA,,-28.77,SI,EPDIS,FR
282348,PA,,-0.4,SI,EPDIS,FR
247832,PA,,-5.55,SI,EPDIS,FR
624622,PA,,-4.71,SI,EPDIS,FR
476955,PA,,-0.96,SI,EPDIS,FR
307013,PA,,-34.9,SI,EPDIS,FR
476954,PA,,0,SI,EPDIS,FR
239907,PA,,10.78,SI,EPDIS,FR
307013,PA,,-139.6,SI,EPDIS,FR
479387,PA,,10.08,SI,EPDIS,FR
636858,PA,,-12,SI,EPDIS,FR
239907,PA,,27.72,SI,EPDIS,FR
627329,PA,,3,SI,EPDIS,FR
476963,PA,,-70.875,SI,EPDIS,FR
476954,PA,,0,SI,EPDIS,FR
287552,PA,,-1.53,SI,EPDIS,FR
306218,PA,,-53.19,SI,EPDIS,FR
298682,PA,,0.36,SI,EPDIS,FR
285368,PA,,-0.135,SI,EPDIS,FR
222428,PA,,9.54,SI,EPDIS,FR
624775,PA,,-0.5,SI,EPDIS,FR
627331,PA,,2.1,SI,EPDIS,FR
627314,PA,,4.2,SI,EPDIS,FR
626997,PA,,12.3,SI,EPDIS,FR
627329,PA,,3,SI,EPDIS,FR
627327,PA,,1.5,SI,EPDIS,FR
627326,PA,,1,SI,EPDIS,FR
436433,PA,,103.68,SI,EPDIS,FR
287550,PA,,-9.6,SI,EPDIS,FR
592684,PA,,20.64,SI,EPDIS,FR
306218,PA,,-88.65,SI,EPDIS,FR
281499,PA,,34.86,SI,EPDIS,FR
281498,PA,,389.76,SI,EPDIS,FR
636858,PA,,-4,SI,EPDIS,FR
624625,PA,,-1.58,SI,EPDIS,FR
298682,PA,,0.36,SI,EPDIS,FR
625767,PA,,5.04,SI,EPDIS,FR
624479,PA,,-42.84,SI,EPDIS,FR
627330,PA,,-0.65,SI,EPDIS,FR
224938,PA,,-1,SI,EPDIS,FR
354890,PA,,-24,SI,EPDIS,FR
342280,PA,,-1.28,SI,EPDIS,FR
