GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
371243,VE,,-603.24,SI,AFRO GERMAN CHEMICALS Est. Plc.,ET
476218,VE,,-20.96,SI,AFRO GERMAN CHEMICALS Est. Plc.,ET
475999,VE,,-170.62,SI,AFRO GERMAN CHEMICALS Est. Plc.,ET
405039,VE,,-6353.75,SI,REISS & CO (GHANA) LIMITED,GH
627062,VE,,-177914.88,SI,EPDIS,FR
627062,VE,,-18898.88,SI,EPDIS,FR
627062,VE,,-14826.24,SI,EPDIS,FR
Div Rx 1,VE,,-115279.8,SI,EPDIS,FR
518946,VE,,-3801.6,SI,EPDIS,FR
476947,VE,53080,,SI,EPDIS,FR
477012,VE,34560,,SI,EPDIS,FR
475875,VE,3108,,SI,EPDIS,FR
477044,VE,12360,,SI,EPDIS,FR
476009,VE,1104,,SI,EPDIS,FR
476043,VE,4353,,SI,EPDIS,FR
476954,VE,14976,,SI,EPDIS,FR
476955,VE,44976,,SI,EPDIS,FR
476956,VE,74975,,SI,EPDIS,FR
476957,VE,15575,,SI,EPDIS,FR
476963,VE,37969,,SI,EPDIS,FR
477034,VE,12920,,SI,EPDIS,FR
476664,VE,67392,,SI,EPDIS,FR
476518,VE,17856,,SI,EPDIS,FR
477787,VE,41040,,SI,EPDIS,FR
476712,VE,19200,,SI,EPDIS,FR
306222,VE,2700,,SI,EQUATORIAL BUSINESS GROUP PLC,ET
306225,VE,2700,,SI,EQUATORIAL BUSINESS GROUP PLC,ET
624774,VE,21534,,SI,EPDIS,FR
370351,VE,20,,SI,EPDIS,FR
639164,VE,54040,,SI,EPDIS,FR
264433,VE,100,,SI,EPDIS,FR
671639,VE,53760,,SI,EPDIS,FR
612011,VE,1800,,SI,EPDIS,FR
261610,VE,18480,,SI,EPDIS,FR
630791,VE,24175,,SI,EPDIS,FR
240939,VE,1500,,SI,EPDIS,FR
489540,VE,41360,,SI,EPDIS,FR
539181,VE,3510,,SI,EPDIS,FR
539182,VE,936,,SI,EPDIS,FR
663998,VE,800,,SI,EPDIS,FR
268014,VE,5100,,SI,EPDIS,FR
323487,VE,13680,,SI,EPDIS,FR
502299,VE,3916,,SI,EPDIS,FR
541078,VE,4935,,SI,EPDIS,FR
408003,VE,5400,,SI,EPDIS,FR
298711,VE,15720,,SI,EPDIS,FR
305481,VE,10080,,SI,EPDIS,FR
665371,VE,5760,,SI,EPDIS,FR
636825,VE,18000,,SI,EPDIS,FR
636858,VE,15000,,SI,EPDIS,FR
305479,VE,7811,,SI,EPDIS,FR
630763,VE,2559,,SI,EPDIS,FR
643216,VE,7488,,SI,EPDIS,FR
311166,VE,2880,,SI,EPDIS,FR
667138,VE,540,,SI,EPDIS,FR
663984,VE,29858,,SI,EPDIS,FR
678014,VE,37703,,SI,EPDIS,FR
671639,VE,1760,,SI,EPDIS,FR
311168,VE,57600,,SI,EPDIS,FR
311122,VE,1410,,SI,EPDIS,FR
168279,VE,2965,,SI,EPDIS,FR
311168,VE,57600,,SI,EPDIS,FR
307013,VE,6000,,SI,EPDIS,FR
625765,VE,9440,,SI,EPDIS,FR
342280,VE,22670,,SI,EPDIS,FR
609071,VE,46428,,SI,EPDIS,FR
261604,VE,1724,,SI,EPDIS,FR
261605,VE,10953,,SI,EPDIS,FR
261608,VE,672,,SI,EPDIS,FR
196680,VE,2160,,SI,EPDIS,FR
639164,VE,55106,,SI,EPDIS,FR
224938,VE,6300,,SI,EPDIS,FR
306225,VE,3967,,SI,EPDIS,FR
311168,VE,4360,,SI,EPDIS,FR
539183,VE,1798,,SI,EPDIS,FR
213714,VE,353,,SI,EPDIS,FR
247831,VE,2266,,SI,EPDIS,FR
320343,VE,12202,,SI,EPDIS,FR
67933,VE,2240,,SI,EPDIS,FR
414074,VE,400,,SI,EPDIS,FR
