GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
Div Rx 1,VE,,-215028.86,SI,EPDIS,FR
306222,VE,,-10584,SI,EPDIS,FR
630791,VE,,-118.8,SI,EPDIS,FR
663985,VE,,-9600,SI,EPDIS,FR
Div Rx 1,VE,,-72585.88,SI,EPDIS,FR
252040,VE,,-3571.5,SI,EPDIS,FR
252040,VE,,-605.34,SI,EPDIS,FR
626998,VE,,-240067.5,SI,EPDIS,FR
651777,VE,,-259640.5,SI,EPDIS,FR
Div Rx 1,VE,,259902.15,SI,EPDIS,FR
653093,VE,,-21984,SI,EPDIS,FR
592705,VE,23923,,SI,EPDIS,FR
475862,VE,1666,,SI,EPDIS,FR
477044,VE,4800,,SI,EPDIS,FR
475987,VE,2340,,SI,EPDIS,FR
476043,VE,19910,,SI,EPDIS,FR
476955,VE,44976,,SI,EPDIS,FR
476956,VE,155225,,SI,EPDIS,FR
476957,VE,22750,,SI,EPDIS,FR
476963,VE,30495,,SI,EPDIS,FR
477015,VE,28570,,SI,EPDIS,FR
477034,VE,9600,,SI,EPDIS,FR
476664,VE,79032,,SI,EPDIS,FR
476518,VE,336,,SI,EPDIS,FR
196681,VE,288,,SI,EQUATORIAL BUSINESS GROUP PLC,ET
247831,VE,432,,SI,EQUATORIAL BUSINESS GROUP PLC,ET
247832,VE,288,,SI,EQUATORIAL BUSINESS GROUP PLC,ET
305928,VE,30530,,SI,EPDIS,FR
645815,VE,2070,,SI,EPDIS,FR
645815,VE,12139,,SI,EPDIS,FR
645817,VE,8151,,SI,EPDIS,FR
663984,VE,16033,,SI,EPDIS,FR
307013,VE,18536,,SI,EPDIS,FR
539181,VE,2484,,SI,EPDIS,FR
539182,VE,649,,SI,EPDIS,FR
539183,VE,1638,,SI,EPDIS,FR
615902,VE,6000,,SI,EPDIS,FR
615926,VE,960,,SI,EPDIS,FR
251781,VE,4050,,SI,EPDIS,FR
213714,VE,500,,SI,EPDIS,FR
545747,VE,5200,,SI,EPDIS,FR
298691,VE,11977,,SI,EPDIS,FR
252039,VE,20870,,SI,EPDIS,FR
263980,VE,960,,SI,EPDIS,FR
298682,VE,3600,,SI,EPDIS,FR
323487,VE,14640,,SI,EPDIS,FR
380554,VE,1500,,SI,EPDIS,FR
381782,VE,147,,SI,EPDIS,FR
354890,VE,13512,,SI,EPDIS,FR
354890,VE,13512,,SI,EPDIS,FR
636858,VE,17000,,SI,EPDIS,FR
312451,VE,1286,,SI,EPDIS,FR
354890,VE,17688,,SI,EPDIS,FR
268013,VE,32360,,SI,EPDIS,FR
247832,VE,5950,,SI,EPDIS,FR
240939,VE,1968,,SI,EPDIS,FR
611732,VE,3360,,SI,EPDIS,FR
370351,VE,10,,SI,EPDIS,FR
407096,VE,70,,SI,EPDIS,FR
663984,VE,13700,,SI,EPDIS,FR
663985,VE,24497,,SI,EPDIS,FR
624622,VE,628,,SI,EPDIS,FR
187750,VE,146616,,SI,EPDIS,FR
639628,VE,1200,,SI,EPDIS,FR
663992,VE,6583,,SI,EPDIS,FR
663985,VE,197343,,SI,EPDIS,FR
663998,VE,5000,,SI,EPDIS,FR
298693,VE,4032,,SI,EPDIS,FR
374872,VE,4410,,SI,EPDIS,FR
249438,VE,18200,,SI,EPDIS,FR
663992,VE,3284,,SI,EPDIS,FR
663998,VE,7988,,SI,EPDIS,FR
268013,VE,1800,,SI,EPDIS,FR
624625,VE,14277,,SI,EPDIS,FR
625765,VE,2640,,SI,EPDIS,FR
625767,VE,10000,,SI,EPDIS,FR
258746,VE,240,,SI,EPDIS,FR
306632,VE,1451,,SI,EPDIS,FR
251781,VE,1350,,SI,EPDIS,FR
268014,VE,5100,,SI,EPDIS,FR
196681,VE,4520,,SI,EPDIS,FR
502299,VE,5565,,SI,EPDIS,FR
541078,VE,7800,,SI,EPDIS,FR
293665,VE,3000,,SI,EPDIS,FR
311122,VE,640,,SI,EPDIS,FR
354883,VE,3456,,SI,EPDIS,FR
571696,VE,1080,,SI,EPDIS,FR
311122,VE,6400,,SI,EPDIS,FR
311122,VE,6400,,SI,EPDIS,FR
671637,VE,2248,,SI,EPDIS,FR
306217,VE,51840,,SI,EPDIS,FR
354883,VE,32688,,SI,EPDIS,FR
307013,VE,400,,SI,EPDIS,FR
342280,VE,12320,,SI,EPDIS,FR
306218,VE,10980,,SI,EPDIS,FR
306219,VE,3600,,SI,EPDIS,FR
671637,VE,7000,,SI,EPDIS,FR
305928,VE,6880,,SI,EPDIS,FR
187750,VE,2638,,SI,EPDIS,FR
663985,VE,20544,,SI,EPDIS,FR
141662,VE,18756,,SI,EPDIS,FR
263269,VE,792,,SI,EPDIS,FR
261605,VE,7367,,SI,EPDIS,FR
306225,VE,3984,,SI,EPDIS,FR
625765,VE,7360,,SI,EPDIS,FR
624775,VE,1768,,SI,EPDIS,FR
310637,VE,2400,,SI,EPDIS,FR
545747,VE,3839,,SI,EPDIS,FR
306220,VE,630,,SI,EPDIS,FR
645817,VE,119,,SI,EPDIS,FR
306226,VE,1080,,SI,EPDIS,FR
306216,VE,2430,,SI,EPDIS,FR
539185,VE,1404,,SI,EPDIS,FR
196680,VE,935,,SI,EPDIS,FR
261610,VE,7196,,SI,EPDIS,FR
665401,VE,7790,,SI,EPDIS,FR
627595,VE,1344,,SI,EPDIS,FR
627597,VE,2041,,SI,EPDIS,FR
39171,VE,1350,,SI,EPDIS,FR
408003,VE,2340,,SI,EPDIS,FR
609071,VE,50266,,SI,EPDIS,FR
298698,VE,480,,SI,EPDIS,FR
639164,VE,57120,,SI,EPDIS,FR
282348,VE,5757,,SI,EPDIS,FR
551042,VE,29880,,SI,EPDIS,FR
