GMID,movement code,Quantity,Discount,SCENARIO,CUSTOMER,COUNTRY
516219,VE,,-3230,SI,INTERCONTINENTAL PHARM LTD,GH
354950,VE,,-672,SI,PLANETPHARMA S.A.    SN,SN
645820,VE,,-4968,SI,EPDIS,FR
306225,VE,,-24192,SI,EPDIS,FR
305481,VE,,-49206.42,SI,EPDIS,FR
Div Rx 1,VE,,-90081.49,SI,EPDIS,FR
626998,VE,,-9475,SI,EPDIS,FR
645817,VE,,-7601.82,SI,EPDIS,FR
241634,VE,,-16464,SI,EPDIS,FR
381782,VE,,-104550,SI,EPDIS,FR
476947,VE,292080,,SI,EPDIS,FR
475871,VE,5159,,SI,EPDIS,FR
475875,VE,471,,SI,EPDIS,FR
477044,VE,23520,,SI,EPDIS,FR
476009,VE,38822,,SI,EPDIS,FR
476954,VE,4632,,SI,EPDIS,FR
476955,VE,32592,,SI,EPDIS,FR
476956,VE,49375,,SI,EPDIS,FR
476957,VE,8500,,SI,EPDIS,FR
476963,VE,28124,,SI,EPDIS,FR
477034,VE,3857,,SI,EPDIS,FR
476664,VE,86400,,SI,EPDIS,FR
476518,VE,432,,SI,EPDIS,FR
539185,VE,703,,SI,EPDIS,FR
639164,VE,57177,,SI,EPDIS,FR
282348,VE,10080,,SI,EPDIS,FR
370351,VE,10,,SI,EPDIS,FR
612011,VE,1080,,SI,EPDIS,FR
639628,VE,1200,,SI,EPDIS,FR
609071,VE,48240,,SI,EPDIS,FR
298682,VE,24970,,SI,EPDIS,FR
323487,VE,20880,,SI,EPDIS,FR
502299,VE,7280,,SI,EPDIS,FR
541078,VE,4500,,SI,EPDIS,FR
664047,VE,36800,,SI,EPDIS,FR
268012,VE,15000,,SI,EPDIS,FR
268014,VE,3600,,SI,EPDIS,FR
408003,VE,2520,,SI,EPDIS,FR
631211,VE,384,,SI,EPDIS,FR
298693,VE,11228,,SI,EPDIS,FR
252039,VE,20463,,SI,EPDIS,FR
307013,VE,18800,,SI,EPDIS,FR
624775,VE,4377,,SI,EPDIS,FR
298698,VE,4080,,SI,EPDIS,FR
222428,VE,4485,,SI,EPDIS,FR
297260,VE,1709,,SI,EPDIS,FR
320343,VE,12240,,SI,EPDIS,FR
625765,VE,760,,SI,EPDIS,FR
625767,VE,4972,,SI,EPDIS,FR
342280,VE,27403,,SI,EPDIS,FR
320343,VE,12240,,SI,EPDIS,FR
306222,VE,49202,,SI,EPDIS,FR
310637,VE,9853,,SI,EPDIS,FR
539182,VE,702,,SI,EPDIS,FR
261605,VE,9408,,SI,EPDIS,FR
261610,VE,3024,,SI,EPDIS,FR
196680,VE,2160,,SI,EPDIS,FR
196681,VE,1924,,SI,EPDIS,FR
636858,VE,15860,,SI,EPDIS,FR
539185,VE,936,,SI,EPDIS,FR
310637,VE,831,,SI,EPDIS,FR
663996,VE,3966,,SI,EPDIS,FR
663985,VE,60496,,SI,EPDIS,FR
663996,VE,2985,,SI,EPDIS,FR
624774,VE,40247,,SI,EPDIS,FR
306218,VE,10907,,SI,EPDIS,FR
298711,VE,480,,SI,EPDIS,FR
311119,VE,460,,SI,EPDIS,FR
551042,VE,19937,,SI,EPDIS,FR
240939,VE,1200,,SI,EPDIS,FR
539183,VE,2437,,SI,EPDIS,FR
268014,VE,1500,,SI,EPDIS,FR
172136,VE,140,,SI,EPDIS,FR
551042,VE,9884,,SI,EPDIS,FR
261605,VE,1557,,SI,EPDIS,FR
261608,VE,1281,,SI,EPDIS,FR
