GMID,movement code,Quantity,SCENARIO,CUSTOMER,Discount
475982,VE,200,SI,EPDIS,
475871,VE,200,SI,EPDIS,
539185,VE,200,SI,EPDIS,
539183,VE,920,SI,EPDIS,
539181,VE,600,SI,EPDIS,
539182,VE,30,SI,EPDIS,
196680,VE,20,SI,EPDIS,
196681,VE,13,SI,EPDIS,
281498,VE,50,SI,EPDIS,
298801,VE,10,SI,EPDIS,
281499,VE,340,SI,EPDIS,
281500,VE,1040,SI,EPDIS,
354883,VE,160,SI,EPDIS,
475991,VE,73,SI,EPDIS,
679090,VE,30,SI,EPDIS,
636858,VE,12,SI,EPDIS,
551042,VE,690,SI,EPDIS,
551043,VE,420,SI,EPDIS,
247831,VE,680,SI,EPDIS,
247832,VE,924,SI,EPDIS,
628074,VE,500,SI,EPDIS,
323487,VE,82,SI,EPDIS,
298682,VE,360,SI,EPDIS,
320343,VE,10,SI,EPDIS,
320344,VE,6,SI,EPDIS,
305481,VE,390,SI,EPDIS,
305479,VE,76,SI,EPDIS,
630791,VE,18,SI,EPDIS,
624625,VE,120,SI,EPDIS,
630763,VE,447,SI,EPDIS,
625765,VE,3,SI,EPDIS,
625767,VE,20,SI,EPDIS,
240939,VE,25,SI,EPDIS,
611732,VE,54,SI,EPDIS,
627331,VE,20,SI,EPDIS,
627329,VE,320,SI,EPDIS,
627332,VE,836,SI,EPDIS,
627328,VE,1065,SI,EPDIS,
624480,VE,324,SI,EPDIS,
627314,VE,2430,SI,EPDIS,
627327,VE,324,SI,EPDIS,
626997,VE,6,SI,EPDIS,
627326,VE,6,SI,EPDIS,
626630,VE,5,SI,EPDIS,
627330,VE,118,SI,EPDIS,
624479,VE,24,SI,EPDIS,
626998,VE,36,SI,EPDIS,
627160,VE,5,SI,EPDIS,
528888,VE,509,SI,EPDIS,
592593,VE,46,SI,EPDIS,
671538,VE,89,SI,EPDIS,
541078,VE,85,SI,EPDIS,
224938,VE,5,SI,EPDIS,
67933,VE,70,SI,EPDIS,
678014,VE,576,SI,EPDIS,
642941,VE,12,SI,EPDIS,
476956,VE,100,SI,EPDIS,
476963,VE,135,SI,EPDIS,
476955,VE,109,SI,EPDIS,
476957,VE,3,SI,EPDIS,
476954,VE,31,SI,EPDIS,
