GMID,movement code,Quantity,SCENARIO,CUSTOMER
261605,VE,144,SI,EPDIS
261605,VE,176,SI,EPDIS
261605,VE,55,SI,EPDIS
261605,VE,1344,SI,EPDIS
261605,VE,1008,SI,EPDIS
261605,VE,105,SI,EPDIS
261610,VE,144,SI,EPDIS
261610,VE,1008,SI,EPDIS
261610,VE,1680,SI,EPDIS
196680,VE,432,SI,EPDIS
306222,VE,450,SI,EPDIS
306222,VE,1260,SI,EPDIS
306222,VE,24,SI,EPDIS
306222,VE,66,SI,EPDIS
306225,VE,32,SI,EPDIS
306225,VE,1080,SI,EPDIS
306225,VE,630,SI,EPDIS
306225,VE,58,SI,EPDIS
306226,VE,360,SI,EPDIS
306226,VE,22,SI,EPDIS
306226,VE,68,SI,EPDIS
551042,VE,1800,SI,EPDIS
643216,VE,352,SI,EPDIS
643216,VE,26,SI,EPDIS
643216,VE,6,SI,EPDIS
643216,VE,64,SI,EPDIS
643216,VE,160,SI,EPDIS
643216,VE,32,SI,EPDIS
502299,VE,1120,SI,EPDIS
287552,VE,96,SI,EPDIS
287552,VE,384,SI,EPDIS
287552,VE,94,SI,EPDIS
287552,VE,40,SI,EPDIS
287552,VE,288,SI,EPDIS
298689,VE,66,SI,EPDIS
298689,VE,69,SI,EPDIS
298689,VE,1215,SI,EPDIS
545747,VE,57,SI,EPDIS
545747,VE,43,SI,EPDIS
545747,VE,400,SI,EPDIS
261604,VE,152,SI,EPDIS
261604,VE,28,SI,EPDIS
261604,VE,540,SI,EPDIS
261604,VE,180,SI,EPDIS
261605,VE,4032,SI,EPDIS
261610,VE,44,SI,EPDIS
261610,VE,292,SI,EPDIS
261610,VE,2016,SI,EPDIS
261610,VE,672,SI,EPDIS
306222,VE,56,SI,EPDIS
306222,VE,34,SI,EPDIS
306222,VE,990,SI,EPDIS
306222,VE,1350,SI,EPDIS
306225,VE,86,SI,EPDIS
306225,VE,990,SI,EPDIS
306225,VE,4,SI,EPDIS
306225,VE,1890,SI,EPDIS
306226,VE,990,SI,EPDIS
247831,VE,1512,SI,EPDIS
247832,VE,105,SI,EPDIS
247832,VE,39,SI,EPDIS
247832,VE,144,SI,EPDIS
247832,VE,432,SI,EPDIS
305481,VE,320,SI,EPDIS
305481,VE,1200,SI,EPDIS
305481,VE,28,SI,EPDIS
305481,VE,12,SI,EPDIS
643216,VE,24,SI,EPDIS
643216,VE,544,SI,EPDIS
643216,VE,8,SI,EPDIS
643216,VE,288,SI,EPDIS
643216,VE,32,SI,EPDIS
643216,VE,576,SI,EPDIS
502299,VE,168,SI,EPDIS
502299,VE,27,SI,EPDIS
502299,VE,29,SI,EPDIS
502299,VE,1232,SI,EPDIS
502299,VE,1568,SI,EPDIS
505579,VE,2160,SI,EPDIS
298689,VE,135,SI,EPDIS
298689,VE,405,SI,EPDIS
298689,VE,1,SI,EPDIS
298689,VE,69,SI,EPDIS
298689,VE,1755,SI,EPDIS
298689,VE,135,SI,EPDIS
298689,VE,65,SI,EPDIS
298689,VE,405,SI,EPDIS
