MONTH,COUNTRY,CUSTOMER,PRODUCT,UNITS,VALUE
1,KE,A G PHARMACEUTICAL,AMARYL 1MG 30 TABS,2,0.01
1,KE,A G PHARMACEUTICAL,AMARYL 2MG 30 TABS,2,0.02
1,KE,A G PHARMACEUTICAL,AMARYL 4MG 30 TABS,2,0.02
1,KE,A G PHARMACEUTICAL,AMARYL MIR 2-500MG TABCO BL3X10 XE,6,0.04
1,KE,A G PHARMACEUTICAL,APROVASC 150/5,1,0.01
1,KE,A G PHARMACEUTICAL,APROVASC 300/5,1,0.01
1,KE,A G PHARMACEUTICAL,APROVEL 150MG TABCO BL2X14 RM M36 XE,2,0.02
1,KE,A G PHARMACEUTICAL,APROVEL 300MG TABCO BL2X14 RM M36 XE,1,0.02
1,KE,A G PHARMACEUTICAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,0,0
1,KE,A G PHARMACEUTICAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,3,0.04
1,KE,A G PHARMACEUTICAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,1,0.01
1,KE,A G PHARMACEUTICAL,EPILIM 12G/300ML SYR BTX1,7,0.05
1,KE,A G PHARMACEUTICAL,EPILIM 200MG TAB BL10X10,2,0.02
1,KE,A G PHARMACEUTICAL,EPILIM CHRONO 333-145MG T,0,0.01
1,KE,A G PHARMACEUTICAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,1,0.01
1,KE,A G PHARMACEUTICAL,FLAGENTYL 500MG TABCO BL1X4 S3 XE,16,0.03
1,KE,A G PHARMACEUTICAL,FLAGYL 400MG 100 TABS,2,0.01
1,KE,A G PHARMACEUTICAL,FLAGYL SUSPENSION 100ML,3,0.01
1,KE,A G PHARMACEUTICAL,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE,0,0
1,KE,A G PHARMACEUTICAL,LANTUS SOLOSTAR 100IU/ML 3ML 5,5,0.19
1,KE,A G PHARMACEUTICAL,ORELOX 100MG TABCO BL1X10,1,0.01
1,KE,A G PHARMACEUTICAL,ORELOX 200MG 10CP,9,0.07
1,KE,A G PHARMACEUTICAL,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,4,0.02
1,KE,A G PHARMACEUTICAL,ORELOX 800MG/+ GRAN BTX1,5,0.05
1,KE,A G PHARMACEUTICAL,PLAVIX 75MG TABCO BL2X14 M36 XE,3,0.06
1,KE,A G PHARMACEUTICAL,"TRITACE 2,5MG  28 TABS",0,0
1,KE,A G PHARMACEUTICAL,TRITACE 5MG 28 TABS,9,0.12
1,KE,A G PHARMACEUTICAL,XATRAL 10MG TABCR BL3X10 S3 M36 XD,4,0.09
1,KE,A G PHARMACEUTICAL,XATRAL 5MG TAB BL4X14 S3 M36 XD,0,0.01
