MONTH,COUNTRY,CUSTOMER,PRODUCT,UNITS,VALUE
1,KE,A G PHARMACEUTICAL,AMARYL 1MG 30 TABS,31,0.008205637
1,KE,A G PHARMACEUTICAL,AMARYL 2MG 30 TABS,116,0.017177738
1,KE,A G PHARMACEUTICAL,AMARYL 4MG 30 TABS,258,0.021204424
1,KE,A G PHARMACEUTICAL,AMARYL MIR 2-500MG TABCO BL3X10 XE,250,0.040283589
1,KE,A G PHARMACEUTICAL,APROVASC 150/5,106,0.008671209
1,KE,A G PHARMACEUTICAL,APROVASC 300/5,166,0.011534998
1,KE,A G PHARMACEUTICAL,APROVEL 150MG TABCO BL2X14 RM M36 XE,244,0.021874848
1,KE,A G PHARMACEUTICAL,APROVEL 300MG TABCO BL2X14 RM M36 XE,318,0.022007278
1,KE,A G PHARMACEUTICAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,27,0.002966393
1,KE,A G PHARMACEUTICAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,698,0.04388919
1,KE,A G PHARMACEUTICAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,164,0.012926543
1,KE,A G PHARMACEUTICAL,EPILIM 12G/300ML SYR BTX1,354,0.050099929
1,KE,A G PHARMACEUTICAL,EPILIM 200MG TAB BL10X10,174,0.017546058
1,KE,A G PHARMACEUTICAL,EPILIM CHRONO 333-145MG T,279,0.009872387
1,KE,A G PHARMACEUTICAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,154,0.009497859
1,KE,A G PHARMACEUTICAL,FLAGENTYL 500MG TABCO BL1X4 S3 XE,52,0.029517481
1,KE,A G PHARMACEUTICAL,FLAGYL 400MG 100 TABS,74,0.013798716
1,KE,A G PHARMACEUTICAL,FLAGYL SUSPENSION 100ML,25,0.009729611
1,KE,A G PHARMACEUTICAL,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE,112,0.003988584
1,KE,A G PHARMACEUTICAL,LANTUS SOLOSTAR 100IU/ML 3ML 5,7046,0.192097259
1,KE,A G PHARMACEUTICAL,ORELOX 100MG TABCO BL1X10,40,0.005548769
1,KE,A G PHARMACEUTICAL,ORELOX 200MG 10CP,611,0.074720442
1,KE,A G PHARMACEUTICAL,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,165,0.024991081
1,KE,A G PHARMACEUTICAL,ORELOX 800MG/+ GRAN BTX1,541,0.054514592
1,KE,A G PHARMACEUTICAL,PLAVIX 75MG TABCO BL2X14 M36 XE,1266,0.064275062
