MONTH,COUNTRY,CUSTOMER,PRODUCT,UNITS,VALUE
7,KE,A G PHARMACEUTICAL,AMARYL 1MG 30 TABS,39,0.010325426
7,KE,A G PHARMACEUTICAL,AMARYL 2MG 30 TABS,146,0.02161532
7,KE,A G PHARMACEUTICAL,AMARYL 4MG 30 TABS,324,0.026682233
7,KE,A G PHARMACEUTICAL,AMARYL MIR 2-500MG TABCO BL3X10 XE,315,0.050690183
7,KE,A G PHARMACEUTICAL,APROVASC 150/5,133,0.010911272
7,KE,A G PHARMACEUTICAL,APROVASC 300/5,209,0.014514873
7,KE,A G PHARMACEUTICAL,APROVEL 150MG TABCO BL2X14 RM M36 XE,307,0.027525851
7,KE,A G PHARMACEUTICAL,APROVEL 300MG TABCO BL2X14 RM M36 XE,400,0.027692491
7,KE,A G PHARMACEUTICAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,34,0.003732711
7,KE,A G PHARMACEUTICAL,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,879,0.055227231
7,KE,A G PHARMACEUTICAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,207,0.0162659
7,KE,A G PHARMACEUTICAL,EPILIM 12G/300ML SYR BTX1,446,0.06304241
7,KE,A G PHARMACEUTICAL,EPILIM 200MG TAB BL10X10,219,0.022078789
7,KE,A G PHARMACEUTICAL,EPILIM CHRONO 333-145MG T,351,0.012422753
7,KE,A G PHARMACEUTICAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,194,0.011951473
7,KE,A G PHARMACEUTICAL,FLAGENTYL 500MG TABCO BL1X4 S3 XE,65,0.037142831
7,KE,A G PHARMACEUTICAL,FLAGYL 400MG 100 TABS,93,0.017363384
7,KE,A G PHARMACEUTICAL,FLAGYL SUSPENSION 100ML,31,0.012243094
7,KE,A G PHARMACEUTICAL,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE,141,0.005018968
7,KE,A G PHARMACEUTICAL,LANTUS SOLOSTAR 100IU/ML 3ML 5,8866,0.241722384
7,KE,A G PHARMACEUTICAL,ORELOX 100MG TABCO BL1X10,50,0.006982201
7,KE,A G PHARMACEUTICAL,ORELOX 200MG 10CP,769,0.094023223
7,KE,A G PHARMACEUTICAL,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,208,0.03144711
7,KE,A G PHARMACEUTICAL,ORELOX 800MG/+ GRAN BTX1,681,0.068597528
7,KE,A G PHARMACEUTICAL,PLAVIX 75MG TABCO BL2X14 M36 XE,1593,0.080879454
7,KE,A G PHARMACEUTICAL,"TRITACE 2,5MG  28 TABS",42,0.005430362
7,KE,A G PHARMACEUTICAL,TRITACE 5MG 28 TABS,2044,0.155451079
7,KE,A G PHARMACEUTICAL,XATRAL 10MG TABCR BL3X10 S3 M36 XD,2534,0.116988368
7,KE,A G PHARMACEUTICAL,XATRAL 5MG TAB BL4X14 S3 M36 XD,195,0.009431035
7,KE,A TO Z PHARMACY LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,77,0.008450721
7,KE,A TO Z PHARMACY LTD,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,77,0.006208885
7,KE,A TO Z PHARMACY LTD,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,110,0.006091716
7,KE,A TO Z PHARMACY LTD,EPILIM 12G/300ML SYR BTX1,81,0.011498419
7,KE,A TO Z PHARMACY LTD,EPILIM 200MG TAB BL10X10,142,0.014314383
7,KE,A TO Z PHARMACY LTD,EPILIM CHRONO 333-145MG T,1393,0.049252908
7,KE,A TO Z PHARMACY LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,125,0.007720367
7,KE,A TO Z PHARMACY LTD,LANTUS VIAL 10MG 1,25,0.004239142
7,KE,A TO Z PHARMACY LTD,ORELOX 200MG 10CP,151,0.018412698
7,KE,A TO Z PHARMACY LTD,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,83,0.012543828
7,KE,A TO Z PHARMACY LTD,ORELOX 800MG/+ GRAN BTX1,116,0.011715833
7,KE,A TO Z PHARMACY LTD,XATRAL 10MG TABCR BL3X10 S3 M36 XD,396,0.018292925
7,KE,A TO Z PHARMACY LTD,XATRAL 2.5MG TABCO BL2X15 S3 M36 XE,22,0.003183318
7,KE,A TO Z PHARMACY LTD,XATRAL 5MG TAB BL4X14 S3 M36 XD,305,0.014802588
7,KE,A.I.C. KIJABE HOSPITAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,19874,2.19362112
7,KE,A.I.C. KIJABE HOSPITAL,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,4481,0.361947485
7,KE,A.I.C. KIJABE HOSPITAL,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,15204,0.839060078
7,KE,A.I.C. KIJABE HOSPITAL,EPILIM 12G/300ML SYR BTX1,886,0.125310606
7,KE,A.I.C. KIJABE HOSPITAL,EPILIM 200MG TAB BL10X10,196,0.01976087
7,KE,A.I.C. KIJABE HOSPITAL,EPILIM CHRONO 333-145MG T,3258,0.115165109
7,KE,A.I.C. KIJABE HOSPITAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,1345,0.082770809
7,KE,A.I.C. KIJABE HOSPITAL,FLEMING 500-125MG TABCO BL2X7 M24 EX,1078,0.552700605
7,KE,A.I.C. KIJABE HOSPITAL,FLEMING 875-125MG TABCO BL2X7 M24 EX,66,0.023515618
7,KE,AAKASH PHARMACY LTD,EPILIM 12G/300ML SYR BTX1,75,0.010577991
7,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,EPILIM 12G/300ML SYR BTX1,16,0.002294135
7,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,EPILIM CHRONO 333-145MG T,143,0.005056722
7,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,LANTUS SOLOSTAR 100IU/ML 3ML 5,926,0.025250166
7,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,ORELOX 200MG 10CP,273,0.033321816
7,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,ORELOX 800MG/+ GRAN BTX1,1336,0.134528583
7,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,XATRAL 10MG TABCR BL3X10 S3 M36 XD,91,0.004193577
7,KE,AAR HEALTHCARE KENYA LTD,AMARYL 1MG 30 TABS,11,0.00286566
7,KE,AAR HEALTHCARE KENYA LTD,AMARYL 2MG 30 TABS,45,0.006654128
7,KE,AAR HEALTHCARE KENYA LTD,AMARYL 4MG 30 TABS,151,0.012446187
7,KE,AAR HEALTHCARE KENYA LTD,AMARYL M SR 2MG 30'S,13,0.00217306
7,KE,AAR HEALTHCARE KENYA LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE,239,0.038563181
7,KE,AAR HEALTHCARE KENYA LTD,APROVASC 150/5,211,0.017269649
7,KE,AAR HEALTHCARE KENYA LTD,APROVASC 300/10,112,0.007333709
7,KE,AAR HEALTHCARE KENYA LTD,APROVASC 300/5,291,0.020146801
7,KE,AAR HEALTHCARE KENYA LTD,APROVEL 150MG TABCO BL2X14 RM M36 XE,129,0.011543985
