MONTH,COUNTRY,DISTRIBUTOR,CUSTOMER,PRODUCT,QUANTITY_UNITS
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - MSA,BUSCOPAN TABLETS BP 10MG * 50S,2
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - MSA,ORELOX SUSP 40MG/5ML 100ML,3
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - MSA,XATRAL LP TABS 10mg * 30's,1
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,AMARYL TABS 1mg * 30's,2
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,AMARYL TABS 2mg * 30's,2
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,BUSCOPAN PLUS TABLETS * 50's,128
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,CORDARONE TABLETS 200mg * 30,2
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,EPILIM CHRONO TABS 300mg * 100,1
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,ERCEFURYL CAPSULES 200mg * 28,5
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLAGENTYL TABS 500mg * 4,4
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLAGYL SUSPENSION 100ml,30
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLAGYL TABS 400mg * 100's,7
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING INJ 1.2GM * 5'S,2
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING SUSP 228.5MG/5ML * 70ML,7
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING SUSP 457MG/5ML * 70ML,41
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING TABS 1 G * 2*7'S,87
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING TABS 625MG * 14'S,92
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,LANTUS 10ml VIAL,1
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,ORELOX SUSP 40MG/5ML 100ML,264
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,ORELOX SUSP 40MG/5ML 50ML,5
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,ORELOX TABS 100MG *10'S,29
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,ORELOX TABS 200MG *10'S,178
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,RHINATHIOL ADULT EXP 200M(SUGAR FR),60
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,STILNOX TABS 10MG * 14,5
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,TRITACE TABS 5mg * 28's,3
5,KE,Surgipharm,AAR HEALTHCARE (KENYA) LIMITED - NBI,XATRAL LP TABS 10mg * 30's,5
5,KE,Surgipharm,ACHIMS CHEMIST,MUCOSOLVAN LIQUID 15mg/5ml * 100ml,3
5,KE,Surgipharm,ACHIMS CHEMIST,RHINATHIOL PROMETHAZINE SYRUP 125ml,2
5,KE,Surgipharm,ACHIRAL PHARMACEUTICALS,ENTEROGERMINA VIALS 5ML * 10's,7
5,KE,Surgipharm,ACHIRAL PHARMACEUTICALS,EPILIM EC TABLETS 200mg * 100,2
5,KE,Surgipharm,ACHIRAL PHARMACEUTICALS,FLAGENTYL TABS 500mg * 4,10
5,KE,Surgipharm,ACHIRAL PHARMACEUTICALS,FLAGYL SUSPENSION 100ml,2
5,KE,Surgipharm,ACHIRAL PHARMACEUTICALS,LASIX TABS 40mg * 20,10
5,KE,Surgipharm,ACHIRAL PHARMACEUTICALS,MONO-TILDIEM CAPS SR 200mg * 28's,6
5,KE,Surgipharm,ACHIRAL PHARMACEUTICALS,MUCOSOLVAN LIQUID 15mg/5ml * 100ml,7
5,KE,Surgipharm,ACHIRAL PHARMACEUTICALS,RHINATHIOL PROMETHAZINE SYRUP 125ml,6
5,KE,Surgipharm,ADAKIM CHEMIST(2010) LTD.,APROVASC TAB 300-10MG *28,3
5,KE,Surgipharm,ADAKIM CHEMIST(2010) LTD.,CLEXANE INJ. 40mg * 2,500
5,KE,Surgipharm,ADAKIM CHEMIST(2010) LTD.,CORDARONE TABLETS 200mg * 30,10
5,KE,Surgipharm,ADAKIM CHEMIST(2010) LTD.,FLAGYL SUSPENSION 100ml,10
5,KE,Surgipharm,ADAKIM CHEMIST(2010) LTD.,LASIX TABS 40mg * 20,30
5,KE,Surgipharm,ADAKIM CHEMIST(2010) LTD.,MUCOSOLVAN LIQUID 15mg/5ml * 100ml,36
5,KE,Surgipharm,ADAKIM CHEMIST(2010) LTD.,STILNOX TABS 10MG * 14,20
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,AMARYL TABS 2mg * 30's,1
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,APROVASC TAB 300-5MG *28,1
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,BUSCOPAN PLUS TABLETS * 50's,31
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,DULCOLAX TABLETS 5mg * 30's SugarC,10
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,ENTEROGERMINA VIALS 5ML * 10's,36
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,EPILIM CHRONO TABS 300mg * 100,1
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,EPILIM CHRONO TABS 500mg * 100,2
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,EPILIM SYRUP 300ml,4
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,FLAGENTYL TABS 500mg * 4,6
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,FLAGYL TABS 400mg * 100's,3
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,LASIX TABS 40mg * 20,7
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,MAALOX LEMON STICK 460mg/susp *20s,12
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,MAALOX SUSPENSION 350ml,3
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,MONO-TILDIEM CAPS SR 200mg * 28's,2
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,MUCOSOLVAN LIQUID 15mg/5ml * 100ml,28
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,NO SPA FORTE TABLETS 80MG * 20,1
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,NO SPA TABLETS 40mg * 100's,1
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,ORELOX SUSP 40MG/5ML 100ML,7
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,ORELOX SUSP 40MG/5ML 50ML,6
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,ORELOX TABS 100MG *10'S,2
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,ORELOX TABS 200MG *10'S,6
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,PLAVIX TABS 75mg * 28's,1
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,RHINATHIOL PROMETHAZINE SYRUP 125ml,36
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,STILNOX TABS 10MG * 14,5
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,TAVANIC TABS 500mg * 5,1
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,TRITACE TABS 5mg * 28's,4
5,KE,Surgipharm,AFRICA GREATNESS PHARMACEUTICALS CONSULTANTS,XATRAL LP TABS 10mg * 30's,3
5,KE,Surgipharm,AFRICAN PHARMACEUTICALS LTD,EPILIM SYRUP 300ml,1
5,KE,Surgipharm,AFRICAN PHARMACEUTICALS LTD,LASIX TABS 40mg * 20,2
5,KE,Surgipharm,AFRICAN PHARMACEUTICALS LTD,MAALOX PLUS TABLETS 200MG * 40's,6
5,KE,Surgipharm,AFRICAN PHARMACEUTICALS LTD,MUCOSOLVAN LIQUID 15mg/5ml * 100ml,14
5,KE,Surgipharm,AFRICAN PHARMACEUTICALS LTD,RHINATHIOL PROMETHAZINE SYRUP 125ml,6
5,KE,Surgipharm,AFRICARE DISTRIBUTORS LTD.,BUSCOPAN TABLETS BP 10MG * 50S,10
5,KE,Surgipharm,AFRICARE DISTRIBUTORS LTD.,FLAGENTYL TABS 500mg * 4,10
5,KE,Surgipharm,AFRICARE DISTRIBUTORS LTD.,FLAGYL TABS 400mg * 100's,5
5,KE,Surgipharm,AFRICARE DISTRIBUTORS LTD.,MUCOSOLVAN LIQUID 15mg/5ml * 100ml,52
5,KE,Surgipharm,AFRICARE DISTRIBUTORS LTD.,ORELOX TABS 200MG *10'S,10
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),AMARYL M TABS 2mg * 30's,20
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),AMARYL TABS 2mg * 30's,30
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),BUSCOPAN AMPOULES 20mg/1ml * 5's,30
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),BUSCOPAN PLUS TABLETS * 50's,60
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),BUSCOPAN TABLETS BP 10MG * 50S,40
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),CLEXANE INJ. 20mg * 2,50
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),CLEXANE INJ. 40mg * 2,60
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),CLEXANE INJ. 60mg * 2,40
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),CLEXANE INJ. 80mg * 2,20
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),CORDARONE TABLETS 200mg * 30,9
5,KE,Surgipharm,AGA KHAN HEALTH SERVICES(KSM),DULCOLAX TABLETS 5mg * 30's SugarC,30
