product_description,quantity,country,distributor
Amaryl Tablets 1mg  30's,119,KE,Harleys
Amaryl Tablets 4mg  30's,156,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,68,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,17,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,50,KE,Harleys
Aprovel 150mg tablets 28's,120,KE,Harleys
Aprovel 300mg tablets 28's,80,KE,Harleys
Axacef 250mg Tablets 10's,86,KE,Harleys
Axacef 500mg Tablets 10's,431,KE,Harleys
Bioferon Capsules 30's,644,KE,Harleys
Bronchicum Elixir S 100ml,46,KE,Harleys
Clexane 20mg injection 2's,360,KE,Harleys
Clexane 40mg inj 2's,14848,KE,Harleys
Clexane 60mg inj 2's,816,KE,Harleys
Clexane 80mg injection 2's,194,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,291,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,142,KE,Harleys
Cordarone Tablets 200mg 30's,109,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,2509,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,115,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,301,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,1288,KE,Harleys
Epilim IV 400mg/4ml Vial,160,KE,Harleys
Epilim Liquid 300ml,590,KE,Harleys
Ercefuryl 4% Syrup 90ml,7,KE,Harleys
Ercefuryl Capsule 200mg 28`s,52,KE,Harleys
Flagentyl  500mg Tablets 4's,1017,KE,Harleys
Flagyl Injection 500mg/100ml,1100,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,882,KE,Harleys
Fleming 625mg Tablets 14's,51,KE,Harleys
Lasix 40mg Tablets 20's,740,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,1278,KE,Harleys
Maalox  Plus Suspension 150ml,299,KE,Harleys
Maalox Plus Suspension 350ml,3,KE,Harleys
Maalox Stick Satchets 20's,10,KE,Harleys
Maalox Suspension 150ml,78,KE,Harleys
Maalox Suspension 350ml,35,KE,Harleys
Monotildiem SR 200mg Capsules 28's,15,KE,Harleys
No-Spa 40mg Tablets 100's,30,KE,Harleys
No-Spa 40mg/2ml Injection 25's,41,KE,Harleys
No-Spa Forte 80mg Tablets 20's,92,KE,Harleys
No-Spa Tablets 40mg 20's,2,KE,Harleys
Orelox 100mg tablets 10's,66,KE,Harleys
Orelox 200mg Tablets 10's,1470,KE,Harleys
Orelox 40mg/5ml suspension 100ml,1,KE,Harleys
Paraflam Tablets 10's,98,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,827,KE,Harleys
Rhinathiol 5% Syrup 125ml,605,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,10,KE,Harleys
Tavanic 500mg inj 1FL 100ml,124,KE,Harleys
Tavanic Tablets 500mg 5's,1761,KE,Harleys
Tritace 10mg Capsules 30's,3,KE,Harleys
Tritace 2.5mg tabs 28's,90,KE,Harleys
Tritazide 5mg/12.5mg Tablets 28's,1,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,32,KE,Harleys
Xatral 5mg Tablets 56's,45,KE,Harleys
Xatral LP Tablets 10mg 30's,224,KE,Harleys
Zoxon 1gm Injection 1's,1669,KE,Harleys
AMARYL M 2mg/500mg 30'S ,283,KE,Highchem
AMARYL M SR 2mg/500mg 30'S ,2,KE,Highchem
AMARYL TABS 2.0mg 30'S ,1,KE,Highchem
AMARYL TABS 4.0mg 30'S ,668,KE,Highchem
APROVASC 150/5mg TABS 28'S ,6,KE,Highchem
APROVASC 300-10 MG 28'S ,1,KE,Highchem
APROVEL 150mg TABS 28'S ,36,KE,Highchem
APROVEL 300mg TABS 28'S ,7,KE,Highchem
AXACEF 250mg TABS 10'S ,22,KE,Highchem
AXACEF 500mg TABS 10'S ,23,KE,Highchem
BRUMED 100ml SUSPENSION ,50,KE,Highchem
CLEXANE 40mg 2'S ,26,KE,Highchem
CLEXANE 80mg 2'S ,120,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S ,23,KE,Highchem
ELOXATINE 100mg ,1,KE,Highchem
ELOXATINE 50mg ,1,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,183,KE,Highchem
EPILIM 200mg TABS EC 100'S ,75,KE,Highchem
EPILIM 300ml SYRUP ,78,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S ,37,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S ,255,KE,Highchem
ERCEFURYL 200mg CAPS 28'S ,54,KE,Highchem
ERCEFURYL 4% 90ML SUSPENSION ,27,KE,Highchem
FLAGENTYL 500mg TABS ,279,KE,Highchem
FLAGYL 100ml SUSPENSION ,890,KE,Highchem
FLAGYL 100ml VIAFLEX ,4401,KE,Highchem
FLEMING 228.5mg/5ml 70ml SUSPE.. ,437,KE,Highchem
FLEMING 500mg+125mg TABS 14'S ,426,KE,Highchem
FLEMING 875mg+125mg TABS 14'S ,98,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S ,322,KE,Highchem
