product_description,quantity,country,distributor
Amaryl M 2mg/500mgtablets 30's,283,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,-5,KE,Harleys
Amaryl Tablets 1mg  30's,218,KE,Harleys
Amaryl Tablets 2mg  30's,1149,KE,Harleys
Amaryl Tablets 4mg  30's,243,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,3,KE,Harleys
Aprovasc 150mg/10mg tablets 28's,0,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,27,KE,Harleys
Aprovel 150mg tablets 28's,32,KE,Harleys
Aprovel 300mg tablets 28's,64,KE,Harleys
Axacef 250mg Tablets 10's,114,KE,Harleys
Bioferon Capsules 30's,318,KE,Harleys
Buscopan injection 20mg/ml  - 5s,805,KE,Harleys
Buscopan plus tablets 50's,9894,KE,Harleys
Clexane 40mg inj 2's,1090,KE,Harleys
Clexane 80mg injection 2's,305,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,44,KE,Harleys
Cordarone Tablets 200mg 30's,4,KE,Harleys
Eloxatin 5mg/ml  Injection 20ml,20,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,8869,KE,Harleys
Epilim Chrono 300mg  Tablets 100's - DDA,144,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,17,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,10,KE,Harleys
Epilim IV 400mg/4ml Vial,34,KE,Harleys
Epilim Liquid 300ml -DDA,1374,KE,Harleys
Flagentyl  500mg Tablets 4's,84,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,2166,KE,Harleys
Flagyl Tablets 400mg 100's,627,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,571,KE,Harleys
Fleming 1gm Tablets 14's,408,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,2578,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,1156,KE,Harleys
Fleming 625mg Tablets 14's,17,KE,Harleys
Ibex Capsule 2 x 12's,1148,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,-10,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,234,KE,Harleys
Lantus vial 10ml - COLD CHAIN,11,KE,Harleys
Lasix 40mg Tablets 20's,469,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,382,KE,Harleys
Maalox plus 200mg (4x10),180,KE,Harleys
Maalox Stick Satchets 20's (Lemon),1633,KE,Harleys
Maalox Suspension 350ml,261,KE,Harleys
Monotildiem SR 200mg Capsules 28's,24,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,6085,KE,Harleys
No-Spa 40mg Tablets 100's,119,KE,Harleys
No-Spa 40mg/2ml Injection 25's,3,KE,Harleys
No-Spa Forte 80mg Tablets 20's,29,KE,Harleys
NO-SPA Tablets 40mg 100's,,KE,Harleys
No-Spa Tablets 40mg 20's,2,KE,Harleys
Orelox 100mg tablets 10's,291,KE,Harleys
Orelox 200mg Tablets 10's,13,KE,Harleys
Orelox 40mg/5ml suspension 100ml,500,KE,Harleys
Orelox 40mg/5ml suspension 50ml,508,KE,Harleys
Paraflam Tablets 10's,24,KE,Harleys
Plavix 75mg Tablets 28's,114,KE,Harleys
Rhinathiol Adult 5% Syrup 125ml,1199,KE,Harleys
Rhinathiol Infant 2% Syrup 125ml - Paed,4116,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,12120,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,827,KE,Harleys
Tavanic 500mg inj 1FL 100ml,10,KE,Harleys
Tavanic Tablets 500mg 5's,272,KE,Harleys
Taxotere 80mg/4ml Injection Vial,2,KE,Harleys
Tritace 2.5mg tabs 28's,27,KE,Harleys
Tritace 5mg tablets 28's,44,KE,Harleys
Xatral 5mg Tablets 56's,2,KE,Harleys
Xatral LP Tablets 10mg 30's,1,KE,Harleys
Zoxon 1gm Injection 1's,6400,KE,Harleys
AMARYL M 2MG CP B/30          ,166,KE,Laborex
AMARYL M SR 2MG CP B/30       ,2,KE,Laborex
AMARYL TABS 1MG 30'S          ,104,KE,Laborex
AMARYL TABS 2MG 30'S          ,409,KE,Laborex
AMARYL TABS 4MG 30'S          ,202,KE,Laborex
APIDRA SOLOSTAR 100IU/ML 3ML/5,2,KE,Laborex
APROVASC 150-5MG CP B/28      ,30,KE,Laborex
APROVASC 300-5MG CP B/28      ,18,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,1509,KE,Laborex
BUSCOPAN AMPOULES 20MG 5'S    ,60,KE,Laborex
BUSCOPAN PLUS TABS 50'S      .,1337,KE,Laborex
CLEXANE 40MG INJ 2'S          ,2847,KE,Laborex
CLEXANE INJ  20MG 2'S         ,195,KE,Laborex
CLEXANE INJ  60MG 2'S         ,842,KE,Laborex
CLEXANE INJ 80MG 2'S          ,649,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",43,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",113,KE,Laborex
CORDARONE 200MG CP B/30       ,40,KE,Laborex
DAONIL TABS 5MG 100'S         ,35,KE,Laborex
DULCOLAX TABS 5MG 30'S       .,,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,8214,KE,Laborex
EPILIM CHRONO TABS 500MG 100S ,208,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,1330,KE,Laborex
EPILIM IV 400MG PER VIAL      ,11,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,396,KE,Laborex
ERCEFURYL 200MG GELU B/28     ,107,KE,Laborex
ERCEFURYL SUSP BUV F/90ML     ,54,KE,Laborex
FLAGENTYL 500MG CP B/4        ,1123,KE,Laborex
FLAGENTYL TABS 500MG 4'S      ,,KE,Laborex
FLAGYL INFUSION 100ML         ,955,KE,Laborex
FLAGYL SUSP 200MG 100ML       ,835,KE,Laborex
FLAGYL TABS 400MG 100'S       ,397,KE,Laborex
LANTUS 1000UI VIAL 1'S        ,14,KE,Laborex
LANTUS 300IU/3ML CART/5       ,22,KE,Laborex
LANTUS SOLOSTAR 100IU 3ML 5'S ,156,KE,Laborex
LASIX INJ 20MG/2ML AMP 5'S    ,157,KE,Laborex
LASIX TABS 40MG 20'S          ,2654,KE,Laborex
"MAALOX ME CIT SUSP4,3MLSAC/20 ",277,KE,Laborex
MAALOX PLUS 200MG TABS 40'S  .,71,KE,Laborex
MAALOX PLUS SUSP 150ML        ,2,KE,Laborex
MAALOX PLUS SUSP 350ML        ,,KE,Laborex
MAALOX SUSP 350ML             ,700,KE,Laborex
MAALOX SUSPENSION 150ML       ,,KE,Laborex
MONOTILDIEM SR 200MG TAB 28'S ,,KE,Laborex
"MUCOSOLVAN 1,5G/100ML SIR    .",1313,KE,Laborex
NO SPA 40MG CP B/100          ,71,KE,Laborex
NO SPA 40MG CP B/20           ,3,KE,Laborex
NO SPA 40MG INJ 2ML B/25      ,23,KE,Laborex
NO SPA 40MG INJ 2ML B/5       ,165,KE,Laborex
NO SPA 80MG CP B/20           ,19,KE,Laborex
ORELOX 100MG CP B/10          ,119,KE,Laborex
ORELOX 200MG CP B/10          ,325,KE,Laborex
ORELOX 80MG/PED 100ML40MG/5ML ,587,KE,Laborex
ORELOX ENF 40MG/5ML SUS/100ML ,,KE,Laborex
ORELOX ENF 40MG/5ML SUSP/50ML ,369,KE,Laborex
PLAVIX 75MG CP B/28 AFR       ,53,KE,Laborex
RHINATHIOL AD 5% SP F/125ML   ,1097,KE,Laborex
"RHINATHIOL ENF 2% 2,5G /125ML ",1211,KE,Laborex
RHINATHIOL PROMETH SP 125ML   ,1958,KE,Laborex
RIFAFOUR TABLETS 84'S         ,,KE,Laborex
RIFINAH 150/75MG TABS 56'S    ,,KE,Laborex
RIFOCIN INJ 250MG 1'S         ,264,KE,Laborex
STILNOX TABLETS 10MG 14'S     ,1033,KE,Laborex
TARGOCID 200MG/3ML INJ /1     ,,KE,Laborex
TAVANIC 500MG CP B/5          ,342,KE,Laborex
TELFAST 120MG TABS 10'S       ,,KE,Laborex
"TRITACE 2,5MG TABS 28'S       ",17,KE,Laborex
TRITACE 5MG TABS 28'S         ,128,KE,Laborex
"TRITACE TABS 2,5MG 30'S       ",,KE,Laborex
TRITACE TABS 5MG 30'S         ,,KE,Laborex
TRITAZIDE 5-25MG CP B/28      ,19,KE,Laborex
"XATRAL 2,5MG CP B/30          ",8,KE,Laborex
XATRAL LP 10MG COMP B/30      ,161,KE,Laborex
XATRAL LP 5MG CP B/56         ,19,KE,Laborex
ALLSTAR PEN,115,KE,Surgipharm
AMARYL M SR TABS 2MG-500mg * 30's,55,KE,Surgipharm
AMARYL M TABS 2mg * 30's,421,KE,Surgipharm
AMARYL TABS 1mg * 30's,189,KE,Surgipharm
AMARYL TABS 2mg * 30's,452,KE,Surgipharm
