product_description,quantity,country,distributor
Amaryl Tablets 1mg  30's,64,KE,Harleys
Amaryl Tablets 2mg  30's,465,KE,Harleys
Amaryl Tablets 4mg  30's,6,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,4,KE,Harleys
Aprovasc 150mg/10mg tablets 28's,-1,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,7,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,29,KE,Harleys
Aprovel 150mg tablets 28's,65,KE,Harleys
Axacef 250mg Tablets 10's,21,KE,Harleys
Axacef 500mg Tablets 10's,210,KE,Harleys
Clexane 40mg inj 2's,419,KE,Harleys
Clexane 80mg injection 2's,97,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,45,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,16,KE,Harleys
Epilim Chrono 300mg  Tablets 100's - DDA,162,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,124,KE,Harleys
Epilim IV 400mg/4ml Vial,10,KE,Harleys
Epilim Liquid 300ml -DDA,1626,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,0,KE,Harleys
Flagyl Tablets 400mg 100's,491,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,9,KE,Harleys
Fleming 625mg Tablets 14's,1284,KE,Harleys
Ibex Capsule 2 x 12's,1152,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,1,KE,Harleys
Lantus vial 10ml - COLD CHAIN,33,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,554,KE,Harleys
Maalox plus 200mg (4x10),208,KE,Harleys
Maalox Stick Satchets 20's (Lemon),161,KE,Harleys
Maalox Suspension 350ml,63,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,2,KE,Harleys
No-Spa 40mg Tablets 100's,51,KE,Harleys
No-Spa Forte 80mg Tablets 20's,15,KE,Harleys
Orelox 100mg tablets 10's,88,KE,Harleys
Paraflam Tablets 10's,182,KE,Harleys
Resonium Adult Powder 454gms,30,KE,Harleys
Rhinathiol Adult 5% Syrup 125ml,633,KE,Harleys
Rhinathiol Infant 2% Syrup 125ml - Paed,1472,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,4106,KE,Harleys
Rilutek 50mg Tablets 56's,2,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,545,KE,Harleys
Tavanic 500mg inj 1FL 100ml,250,KE,Harleys
Tavanic Tablets 500mg 5's,298,KE,Harleys
Taxotere 20mg/Vial,3,KE,Harleys
Tritace 5mg tablets 28's,16,KE,Harleys
Xatral LP Tablets 10mg 30's,1,KE,Harleys
AMARYL M 2mg/500mg 30'S,439,KE,Highchem
AMARYL TABS 1.0mg 30'S,117,KE,Highchem
AMARYL TABS 2.0mg 30'S,396,KE,Highchem
AMARYL TABS 3.0mg 30'S,34,KE,Highchem
AMARYL TABS 4.0mg 30'S,225,KE,Highchem
BRONCHICUM ELIXIR 100ml,504,KE,Highchem
CLEXANE 20mg 2'S,20,KE,Highchem
CLEXANE 40mg 2'S,698,KE,Highchem
CLEXANE 60mg 2'S,133,KE,Highchem
CLEXANE 80mg 2'S,134,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S,27,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S,77,KE,Highchem
CORDARONE TAB 200mg 30'S,63,KE,Highchem
