product_description,quantity,country,distributor
Amaryl M 2mg/500mgtablets 30's,277,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,23,KE,Harleys
Amaryl Tablets 1mg  30's,376,KE,Harleys
Amaryl Tablets 2mg  30's,1100,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,9,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,8,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,39,KE,Harleys
Aprovel 150mg tablets 28's,57,KE,Harleys
Aprovel 300mg tablets 28's,44,KE,Harleys
Axacef 250mg Tablets 10's,118,KE,Harleys
Axacef 500mg Tablets 10's,226,KE,Harleys
Bioferon Capsules 30's,344,KE,Harleys
Bronchicum Elixir S 100ml,1721,KE,Harleys
Buscopan injection 20mg/ml,24,KE,Harleys
Buscopan plus tablets 50's,2693,KE,Harleys
Clexane 20mg injection 2's,148,KE,Harleys
Clexane 40mg inj 2's,2550,KE,Harleys
Clexane 60mg inj 2's,715,KE,Harleys
Clexane 80mg injection 2's,378,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,188,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,260,KE,Harleys
Cordarone Tablets 200mg 30's,176,KE,Harleys
Dulcolax 5mg tablets 30's,11,KE,Harleys
Eloxatin 5mg/ml  Injection 20ml,14,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,2643,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,352,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,300,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,1333,KE,Harleys
Epilim IV 400mg/4ml Vial,240,KE,Harleys
Epilim Liquid 300ml,664,KE,Harleys
Ercefuryl Capsule 200mg 28`s,227,KE,Harleys
Flagentyl  500mg Tablets 4's,1566,KE,Harleys
Fleming 1gm Tablets 14's,465,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,38,KE,Harleys
Fleming 625mg Tablets 14's,1337,KE,Harleys
Ibex Capsule 2 x 12's,1213,KE,Harleys
Lantus 300iu /3ml inj  CRT5 5'S - COLD CHAIN,2,KE,Harleys
Lantus Solostar 100u/3ml 5's - COLD CHAIN,197,KE,Harleys
Lantus vial 10ml - COLD CHAIN,1,KE,Harleys
Lasix 40mg Tablets 20's,1815,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,479,KE,Harleys
Maalox plus 200mg (4x10),314,KE,Harleys
Maalox Plus Suspension 150ml,2133,KE,Harleys
Maalox Stick Satchets 20's,436,KE,Harleys
Maalox Suspension 150ml,20,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,3934,KE,Harleys
No-Spa 40mg Tablets 100's,38,KE,Harleys
No-Spa 40mg/2ml Injection 25's,9,KE,Harleys
No-Spa Forte 80mg Tablets 20's,26,KE,Harleys
NO-SPA Tablets 40mg 100's,49,KE,Harleys
No-Spa Tablets 40mg 20's,33,KE,Harleys
Orelox 100mg tablets 10's,181,KE,Harleys
Orelox 200mg Tablets 10's,575,KE,Harleys
Orelox 40mg/5ml suspension 100ml,508,KE,Harleys
Orelox 40mg/5ml suspension 50ml,360,KE,Harleys
Paraflam Tablets 10's,11,KE,Harleys
Plavix 75mg Tablets 28's,109,KE,Harleys
Resonium Adult Powder 454gms,180,KE,Harleys
Rhinathiol Expectorant/Adult Syrup 125ml,2596,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,1297,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,393,KE,Harleys
Tavanic Tablets 500mg 5's,896,KE,Harleys
Tritace 2.5mg tabs 28's,62,KE,Harleys
Tritazide 5mg/12.5mg Tablets 28's,6,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,6,KE,Harleys
Xatral 5mg Tablets 56's,35,KE,Harleys
Xatral LP Tablets 10mg 30's,456,KE,Harleys
Zoxon 1gm Injection 1's,58,KE,Harleys
AMARYL M 2mg/500mg 30'S ,42,KE,Highchem
AMARYL TABS 4.0mg 30'S ,6,KE,Highchem
APROVASC 150-10 MG 28'S ,2,KE,Highchem
APROVASC 300-10 MG 28'S ,10,KE,Highchem
APROVASC 300-5MG TABS ,45,KE,Highchem
APROVEL 150mg TABS 28'S ,33,KE,Highchem
APROVEL 300mg TABS 28'S ,31,KE,Highchem
AXACEF 250mg TABS 10'S ,192,KE,Highchem
AXACEF 500mg TABS 10'S ,415,KE,Highchem
BRONCHICUM ELIXIR 100ml ,37,KE,Highchem
CLEXANE 40mg 2'S ,135,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,291,KE,Highchem
EPILIM 200mg TABS EC 100'S ,44,KE,Highchem
EPILIM 300ml SYRUP ,20,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S ,102,KE,Highchem
ERCEFURYL 200mg CAPS 28'S ,130,KE,Highchem
FLAGENTYL 500mg TABS ,282,KE,Highchem
LANTUS 10ml VIAL ,100,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S ,58,KE,Highchem
LASIX 20mg AMPS 5'S ,220,KE,Highchem
LASIX 40mg TABS 20'S ,388,KE,Highchem
MAALOX 150ml SUSPENSION ,974,KE,Highchem
MAALOX 350ml SUSPENSION ,1503,KE,Highchem
MAALOX 460mg SATCHETS LEMON ,45,KE,Highchem
MAALOX PLUS 350ml SUSPENSION ,45,KE,Highchem
MUCOSOLVAN 1.5G/100ML SYR BT1 ,16,KE,Highchem
NO SPA 40mg/2ml INJECTION 25'S ,27,KE,Highchem
NO SPA 40mg/2ml INJECTION 5'S ,20,KE,Highchem
NO SPA FORTE 80mg TABS 20'S ,27,KE,Highchem
ORELOX 100mg TABS 10'S ,116,KE,Highchem
RESONIUM 454g ADULT POWDER ,6,KE,Highchem
STILNOX 10mg TABS 14'S ,261,KE,Highchem
TAVANIC INJECTION 500mg ,78,KE,Highchem
TELFAST 120mg TABS 10'S ,25,KE,Highchem
TRITACE 10.0mg TABS 30'S ,49,KE,Highchem
TRITAZIDE 5/12.5mg TABS 28'S ,-25,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S ,-2,KE,Highchem
XATRAL LP 10mg TABS 30'S ,112,KE,Highchem
XATRAL LP TABLETS 5MG*56s ,4,KE,Highchem
AMARYL M 2MG CP B/30          ,605,KE,Laborex
AMARYL M SR 2MG CP B/30       ,57,KE,Laborex
AMARYL TABS 1MG 30'S          ,289,KE,Laborex
AMARYL TABS 2MG 30'S          ,483,KE,Laborex
AMARYL TABS 4MG 30'S          ,402,KE,Laborex
APIDRA SOLOSTAR 100IU/ML 3ML/5,3,KE,Laborex
APROVASC 150-5MG CP B/28      ,69,KE,Laborex
APROVASC 300-5MG CP B/28      ,61,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,1466,KE,Laborex
BUSCOPAN AMPOULES 20MG 5'S    ,16,KE,Laborex
BUSCOPAN PLUS TABS 50'S      .,2299,KE,Laborex
CLEXANE 40MG INJ 2'S          ,4178,KE,Laborex
CLEXANE INJ  20MG 2'S         ,213,KE,Laborex
CLEXANE INJ  60MG 2'S         ,554,KE,Laborex
CLEXANE INJ 80MG 2'S          ,699,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",49,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",209,KE,Laborex
CORDARONE 200MG CP B/30       ,459,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,2312,KE,Laborex
EPILIM CHRONO CAPS 500MG 100S ,442,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,47,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,1266,KE,Laborex
ERCEFURYL 200MG GELU B/28     ,98,KE,Laborex
ERCEFURYL SUSP BUV F/90ML     ,3,KE,Laborex
FLAGENTYL 500MG CP B/4        ,580,KE,Laborex
FLAGYL SUSP 200MG 100ML       ,903,KE,Laborex
FLAGYL TABS 400MG 100'S       ,1260,KE,Laborex
LANTUS 1000UI VIAL 1'S        ,74,KE,Laborex
LANTUS 300IU/3ML CART/5       ,13,KE,Laborex
LANTUS SOLOSTAR 100IU 3ML 5'S ,121,KE,Laborex
LASIX INJ 20MG/2ML AMP 5'S    ,399,KE,Laborex
LASIX TABS 40MG 20'S          ,1951,KE,Laborex
"MAALOX ME CIT SUSP4,3MLSAC/20 ",78,KE,Laborex
MAALOX PLUS 200MG TABS 40'S  .,92,KE,Laborex
MAALOX PLUS SUSP 150ML        ,818,KE,Laborex
MAALOX SUSP 350ML             ,21,KE,Laborex
MAALOX SUSPENSION 150ML       ,108,KE,Laborex
MONOTILDIEM SR 200MG TAB 28'S ,80,KE,Laborex
"MUCOSOLVAN 1,5G/100ML SIR    .",3100,KE,Laborex
NO SPA 40MG CP B/100          ,152,KE,Laborex
NO SPA 40MG CP B/20           ,32,KE,Laborex
NO SPA 40MG INJ 2ML B/25      ,71,KE,Laborex
NO SPA 40MG INJ 2ML B/5       ,5,KE,Laborex
NO SPA 80MG CP B/20           ,7,KE,Laborex
ORELOX 100MG CP B/10          ,379,KE,Laborex
ORELOX 200MG CP B/10          ,648,KE,Laborex
ORELOX ENF 40MG/5ML SUS/100ML ,286,KE,Laborex
ORELOX ENF 40MG/5ML SUSP/50ML ,905,KE,Laborex
PLAVIX 75MG CP B/28 AFR       ,106,KE,Laborex
RHINATHIOL AD 5% SP F/125ML   ,1575,KE,Laborex
RHINATHIOL PROMETH SP 125ML   ,0,KE,Laborex
RIFAFOUR TABLETS 84'S         ,165,KE,Laborex
RIFINAH 150/75MG TABS 56'S    ,1410,KE,Laborex
RIFOCIN INJ 250MG 1'S         ,197,KE,Laborex
STILNOX TABLETS 10MG 14'S     ,549,KE,Laborex
TARGOCID 200MG/3ML INJ /1     ,98,KE,Laborex
TAVANIC 500MG CP B/5          ,391,KE,Laborex
"TRITACE TABS 2,5MG 30'S       ",267,KE,Laborex
TRITACE TABS 5MG 30'S         ,170,KE,Laborex
TRITAZIDE 5-25MG CP B/28      ,6,KE,Laborex
"XATRAL 2,5MG CP B/30          ",15,KE,Laborex
XATRAL LP 10MG COMP B/30      ,68,KE,Laborex
XATRAL LP 5MG CP B/56         ,34,KE,Laborex
AMARYL M SR TABS 2-500mg * 30's,-17,KE,Surgipharm
AMARYL M TABS 2mg * 30's,293,KE,Surgipharm
AMARYL TABS 1mg * 30's,306,KE,Surgipharm
