product_description,quantity,country,distributor
Amaryl M 2mg/500mgtablets 30's,139,KE,Harleys
Amaryl Tablets 1mg  30's,46,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,3,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,29,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,19,KE,Harleys
Aprovel 150mg tablets 28's,24,KE,Harleys
Aprovel 300mg tablets 28's,32,KE,Harleys
Axacef 250mg Tablets 10's,43,KE,Harleys
Axacef 500mg Tablets 10's,289,KE,Harleys
Bioferon Capsules 30's,83,KE,Harleys
Bronchicum Elixir S 100ml,2354,KE,Harleys
Buscopan injection 20mg/ml  - 5s,19,KE,Harleys
Buscopan plus tablets 50's,672,KE,Harleys
Clexane 40mg inj 2's,1618,KE,Harleys
Clexane 60mg inj 2's,144,KE,Harleys
Clexane 80mg injection 2's,372,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,39,KE,Harleys
Cordarone Tablets 200mg 30's,4,KE,Harleys
Eloxatin 5mg/ml  Injection 10ml,10,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,83,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,1315,KE,Harleys
Epilim Liquid 300ml,63,KE,Harleys
Ercefuryl 4% Syrup 90ml,34,KE,Harleys
Flagentyl  500mg Tablets 4's,1332,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,888,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,435,KE,Harleys
Fleming 1gm Tablets 14's,501,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,434,KE,Harleys
Fleming 625mg Tablets 14's,1390,KE,Harleys
Ibex Capsule 2 x 12's,650,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,12,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,105,KE,Harleys
Lasix 40mg Tablets 20's,220,KE,Harleys
Maalox plus 200mg (4x10),62,KE,Harleys
Maalox Suspension 350ml,268,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,657,KE,Harleys
No-Spa 40mg Tablets 100's,18,KE,Harleys
No-Spa 40mg/2ml Injection 25's,26,KE,Harleys
NO-SPA Tablets 40mg 100's,26,KE,Harleys
Orelox 100mg tablets 10's,159,KE,Harleys
Orelox 200mg Tablets 10's,633,KE,Harleys
Orelox 40mg/5ml suspension 100ml,351,KE,Harleys
Orelox 40mg/5ml suspension 50ml,159,KE,Harleys
Paraflam Tablets 10's,10,KE,Harleys
Plavix 75mg Tablets 28's,104,KE,Harleys
Resonium Adult Powder 454gms,10,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,1502,KE,Harleys
Rhinathiol 5% Syrup 125ml,376,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,1761,KE,Harleys
Roxicef 750mg Dry Powder For Injection - 1s,3,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,486,KE,Harleys
Targocid 200mg/vial inj,20,KE,Harleys
Tavanic 500mg inj 1FL 100ml,95,KE,Harleys
Tavanic Tablets 500mg 5's,990,KE,Harleys
Taxotere 20mg/Vial,68,KE,Harleys
Tritace 5mg tablets 28's,160,KE,Harleys
Tritazide 5mg/12.5mg Tablets 28's,30,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,12,KE,Harleys
Xatral 5mg Tablets 56's,2,KE,Harleys
Xatral LP Tablets 10mg 30's,256,KE,Harleys
AMARYL M 2mg/500mg 30'S ,182,KE,Highchem
AMARYL TABS 1.0mg 30'S ,2,KE,Highchem
AMARYL TABS 2.0mg 30'S ,73,KE,Highchem
AMARYL TABS 4.0mg 30'S ,-7,KE,Highchem
APROVASC 150/5mg TABS 28'S ,4,KE,Highchem
APROVASC 300-10 MG 28'S ,10,KE,Highchem
APROVASC 300-5MG TABS ,9,KE,Highchem
APROVEL 150mg TABS 28'S ,3,KE,Highchem
APROVEL 300mg TABS 28'S ,30,KE,Highchem
BIOFERON CAPS 30'S ,2,KE,Highchem
BRONCHICUM ELIXIR 100ml ,557,KE,Highchem
CLEXANE 40mg 2'S ,135,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S ,68,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S ,3,KE,Highchem
EPILIM 200mg TABS EC 100'S ,25,KE,Highchem
EPILIM 300ml SYRUP ,46,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S ,23,KE,Highchem
ERCEFURYL 200mg CAPS 28'S ,5,KE,Highchem
FLAGENTYL 500mg TABS ,422,KE,Highchem
FLAGYL 100ml SUSPENSION ,183,KE,Highchem
FLEMING 875mg+125mg TABS 14'S ,10,KE,Highchem
IBEX 200MG CAPSULES 24'S ,20,KE,Highchem
LANTUS 10ml VIAL ,3,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S ,29,KE,Highchem
LASIX 40mg TABS 20'S ,420,KE,Highchem
MAALOX 150ml SUSPENSION ,245,KE,Highchem
MAALOX 350ml SUSPENSION ,25,KE,Highchem
MAALOX 460mg SATCHETS LEMON ,20,KE,Highchem
MAALOX PLUS 200MG TABS BL4X10 ,34,KE,Highchem
NO SPA 40mg TABS 100'S ,19,KE,Highchem
NO SPA 40mg/2ml INJECTION 25'S ,3,KE,Highchem
NO SPA 40mg/2ml INJECTION 5'S ,14,KE,Highchem
ORELOX 100mg TABS 10'S ,121,KE,Highchem
ORELOX 100ml SUSPENSION ,171,KE,Highchem
ORELOX 200mg TABS 10'S ,39,KE,Highchem
ORELOX 50ml SUSPENSION ,5,KE,Highchem
PLAVIX 75mg TABS 28'S ,25,KE,Highchem
RESONIUM 454g ADULT POWDER ,108,KE,Highchem
RHINATHIOL AD 125ml SP ,100,KE,Highchem
RHINATHIOL ENFT 125ml SP ,318,KE,Highchem
RHINATHIOL PROM 125ml SP ,176,KE,Highchem
RHINATHIOL SUGAR FREE AD 200ml SRP ,17,KE,Highchem
STILNOX 10mg TABS 14'S ,255,KE,Highchem
TAVANIC 500mg TABS 5'S ,116,KE,Highchem
TRITACE 10.0mg TABS 30'S ,0,KE,Highchem
TRITACE 2.5 MG TABS 28s ,18,KE,Highchem
TRITAZIDE 5/12.5mg TABS 28'S ,32,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S ,20,KE,Highchem
XATRAL LP 10mg TABS 30'S ,46,KE,Highchem
XATRAL LP TABLETS 5MG*56s ,60,KE,Highchem
ALLSTAR PEN,70,KE,Surgipharm
AMARYL M SR TABS 2-500mg * 30's,85,KE,Surgipharm
AMARYL M TABS 2mg * 30's,363,KE,Surgipharm
AMARYL TABS 1mg * 30's,117,KE,Surgipharm
AMARYL TABS 2mg * 30's,52,KE,Surgipharm
APIDRA SOLOSTAR 3ML DISP PENS * 5s,30,KE,Surgipharm
APROVASC TAB 150-5MG *28,117,KE,Surgipharm
APROVASC TAB 300-10MG *28,80,KE,Surgipharm
APROVASC TAB 300-5MG *28,65,KE,Surgipharm
APROVEL TABS 150mg * 28's,103,KE,Surgipharm
APROVEL TABS 300mg * 28's,78,KE,Surgipharm
CLEXANE INJ. 20mg * 2,301,KE,Surgipharm
CLEXANE INJ. 40mg * 2,4925,KE,Surgipharm
CLEXANE INJ. 60mg * 2,907,KE,Surgipharm
CLEXANE INJ. 80mg * 2,586,KE,Surgipharm
CO APROVEL TABS 150mg * 28's,149,KE,Surgipharm
CO APROVEL TABS 300mg * 28's,275,KE,Surgipharm
CORDARONE TABLETS 200mg * 30,139,KE,Surgipharm
DAONIL TABS 5mg * 100's,239,KE,Surgipharm
EPILIM CHRONO TABS 300mg * 100,190,KE,Surgipharm
EPILIM CHRONO TABS 500mg * 100,482,KE,Surgipharm
EPILIM EC TABLETS 200mg * 100,751,KE,Surgipharm
EPILIM SYRUP 300ml,1266,KE,Surgipharm
FLAGENTYL TABS 500mg * 4,2082,KE,Surgipharm
FLAGYL SUSPENSION 100ml,1292,KE,Surgipharm
FLAGYL TABS 400mg * 100's,251,KE,Surgipharm
LANTUS 10ml VIAL,28,KE,Surgipharm
LANTUS 3ml CARTRIDGE * 5's,17,KE,Surgipharm
LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,527,KE,Surgipharm
LASIX TABS 40mg * 20,1579,KE,Surgipharm
MONO-TILDIEM CAPS SR 200mg * 28's,90,KE,Surgipharm
ORELOX SUSP 40MG/5ML 100ML,1536,KE,Surgipharm
ORELOX SUSP 40MG/5ML 50ML,254,KE,Surgipharm
ORELOX TABS 100MG *10'S,1669,KE,Surgipharm
ORELOX TABS 200MG *10'S,416,KE,Surgipharm
PLAVIX TABS 75mg * 28's,197,KE,Surgipharm
RESONIUM ADULT POWDER 454G,0,KE,Surgipharm
RIFOCIN INJ. 250mg * 1's,1071,KE,Surgipharm
ROXICEF INJECTION 750MG * 10's,40,KE,Surgipharm
STILNOX TABS 10MG * 14,903,KE,Surgipharm
TARGOCID INJ 400mg * 1s,10,KE,Surgipharm
TAVANIC INJ. 500mg VIAL,174,KE,Surgipharm
TAVANIC TABS 500mg * 5,371,KE,Surgipharm
TAXOTERE 80mg/4ml * 1 VIAL,60,KE,Surgipharm
TRITACE TABS 2.5mg * 28's,254,KE,Surgipharm
TRITACE TABS 5mg * 28's,237,KE,Surgipharm
TRITAZIDE TABS 5/12.5MG * 28'S,11,KE,Surgipharm
TRITAZIDE TABS 5/25MG * 28'S,19,KE,Surgipharm
XATRAL LP TABLETS 5mg * 56's,63,KE,Surgipharm
XATRAL LP TABS 10mg * 30's,231,KE,Surgipharm
BIOFERON CAPS *30  (SANOFI),53,KE,Surgipharm
BRONCHICUM SYRUP * 100ml,1716,KE,Surgipharm
BUSCOPAN AMPOULES 20mg/1ml * 5's,445,KE,Surgipharm
BUSCOPAN PLUS TABLETS * 50's,1793,KE,Surgipharm
ENTEROGERMINA VIALS 5ML * 10's,3793,KE,Surgipharm
ERCEFURYL CAPSULES 200mg * 28,183,KE,Surgipharm
ERCEFURYL SUSPENSION 90ml,31,KE,Surgipharm
IBEX CAPSULES 2*12,174,KE,Surgipharm
MAALOX LEMON STICK 460mg/susp *20s,177,KE,Surgipharm
MAALOX PLUS TABLETS 200MG * 40's,84,KE,Surgipharm
MAALOX SUSPENSION 150ml,297,KE,Surgipharm
MAALOX SUSPENSION 350ml,288,KE,Surgipharm
MUCOSOLVAN LIQUID 15mg/5ml * 100ml,787,KE,Surgipharm
NO SPA FORTE TABLETS 80MG * 20,67,KE,Surgipharm
NO SPA INJECTION 40mg/2ml * 25Amps,37,KE,Surgipharm
NO SPA TABLETS 40mg * 100's,89,KE,Surgipharm
NO SPA TABLETS 40mg * 20,8,KE,Surgipharm
PHARMATON ProAGE CAPSULES 30'S,4,KE,Surgipharm
PHARMATON ProAGE CAPSULES 60'S,1,KE,Surgipharm
RHINATHIOL ADULT EXP 200M(SUGAR FR),7,KE,Surgipharm
RHINATHIOL EXPEC/ADULT SYRUP 125ml,1467,KE,Surgipharm
RHINATHIOL INFANT SYRUP 125ml,275,KE,Surgipharm
RHINATHIOL PROMETHAZINE SYRUP 125ml,412,KE,Surgipharm
AMARYL M 2MG CP B/30          ,374,KE,Laborex
AMARYL M SR 2MG CP B/30       ,14,KE,Laborex
AMARYL TABS 1MG 30'S          ,194,KE,Laborex
AMARYL TABS 2MG 30'S          ,607,KE,Laborex
AMARYL TABS 4MG 30'S          ,0,KE,Laborex
APIDRA SOLOSTAR 100IU/ML 3ML/5,0,KE,Laborex
APROVASC 150-5MG CP B/28      ,82,KE,Laborex
APROVASC 300-5MG CP B/28      ,42,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,288,KE,Laborex
BUSCOPAN AMPOULES 20MG 5'S    ,0,KE,Laborex
BUSCOPAN PLUS TABS 50'S      .,380,KE,Laborex
CLEXANE 40MG INJ 2'S          ,5116,KE,Laborex
CLEXANE INJ  60MG 2'S         ,310,KE,Laborex
CLEXANE INJ 80MG 2'S          ,1209,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",60,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",120,KE,Laborex
CORDARONE 200MG CP B/30       ,31,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,3436,KE,Laborex
EPILIM CHRONO TABS 500MG 100S ,794,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,184,KE,Laborex
EPILIM IV 400MG PER VIAL      ,4,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,630,KE,Laborex
ERCEFURYL 200MG GELU B/28     ,0,KE,Laborex
ERCEFURYL SUSP BUV F/90ML     ,31,KE,Laborex
FLAGENTYL 500MG CP B/4        ,565,KE,Laborex
FLAGYL SUSP 200MG 100ML       ,1120,KE,Laborex
FLAGYL TABS 400MG 100'S       ,5278,KE,Laborex
