product_description,quantity,country,distributor
Amaryl M 2mg/500mgtablets 30's,181,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,6,KE,Harleys
Amaryl Tablets 1mg  30's,105,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,2,KE,Harleys
Aprovasc 150mg/10mg tablets 28's,19,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,87,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,34,KE,Harleys
Aprovel 150mg tablets 28's,141,KE,Harleys
Aprovel 300mg tablets 28's,141,KE,Harleys
Axacef 500mg Tablets 10's,603,KE,Harleys
Bioferon Capsules 30's,607,KE,Harleys
Bronchicum Elixir S 100ml,401,KE,Harleys
Buscopan injection 20mg/ml  - 5s,399,KE,Harleys
Buscopan plus tablets 50's,2725,KE,Harleys
Clexane 40mg inj 2's,780,KE,Harleys
Clexane 80mg injection 2's,429,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,110,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,40,KE,Harleys
Cordarone Tablets 200mg 30's,30,KE,Harleys
Daonil 5mg Tablets 100's,1,KE,Harleys
Eloxatin 5mg/ml  Injection 10ml,2,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,3727,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,389,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,540,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,545,KE,Harleys
Epilim Liquid 300ml,502,KE,Harleys
Ercefuryl 4% Syrup 90ml,25,KE,Harleys
Flagentyl  500mg Tablets 4's,8391,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,993,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,504,KE,Harleys
Fleming 1gm Tablets 14's,610,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,2022,KE,Harleys
Fleming 625mg Tablets 14's,14,KE,Harleys
Ibex Capsule 2 x 12's,2304,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,16,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,226,KE,Harleys
Lantus vial 10ml - COLD CHAIN,26,KE,Harleys
Maalox plus 200mg (4x10),287,KE,Harleys
Maalox Stick Satchets 20's,444,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,7289,KE,Harleys
No-Spa 40mg/2ml Injection 25's,224,KE,Harleys
NO-SPA Tablets 40mg 100's,376,KE,Harleys
Orelox 100mg tablets 10's,156,KE,Harleys
Orelox 200mg Tablets 10's,3,KE,Harleys
Orelox 40mg/5ml suspension 100ml,632,KE,Harleys
Orelox 40mg/5ml suspension 50ml,247,KE,Harleys
Paraflam Tablets 10's,112,KE,Harleys
Plavix 75mg Tablets 28's,269,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,2535,KE,Harleys
Rhinathiol 5% Syrup 125ml,1179,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,3718,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,578,KE,Harleys
Tavanic Tablets 500mg 5's,163,KE,Harleys
Taxotere 20mg/Vial,5,KE,Harleys
Taxotere 80mg/4ml Injection Vial,40,KE,Harleys
Tritace 5mg tablets 28's,59,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,20,KE,Harleys
Xatral 5mg Tablets 56's,14,KE,Harleys
Xatral LP Tablets 10mg 30's,226,KE,Harleys
Zoxon 1gm Injection 1's,1443,KE,Harleys
AMARYL M 2mg/500mg 30'S ,388,KE,Highchem
AMARYL TABS 1.0mg 30'S,2,KE,Highchem
AMARYL TABS 2.0mg 30'S,70,KE,Highchem
AMARYL TABS 3.0mg 30'S,60,KE,Highchem
APROVASC 150/5mg TABS 28'S,14,KE,Highchem
APROVASC 150-10 MG 28'S,-9,KE,Highchem
APROVASC 300-10 MG 28'S,6,KE,Highchem
APROVASC 300-5MG TABS,-6,KE,Highchem
APROVEL 150mg TABS 28'S,33,KE,Highchem
APROVEL 300mg TABS 28'S,22,KE,Highchem
BIOFERON CAPS 30'S,80,KE,Highchem
CLEXANE 40mg 2'S,550,KE,Highchem
CLEXANE 60mg 2'S,90,KE,Highchem
CLEXANE 80mg 2'S,180,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S,35,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S,154,KE,Highchem
CORDARONE TAB 200mg 30'S,24,KE,Highchem
DAONIL 5.0mg TABS 100'S,88,KE,Highchem
ENTEROGERMINA 5.0ml 10'S,355,KE,Highchem
EPILIM 200mg TABS EC 100'S,70,KE,Highchem
EPILIM 300ml SYRUP,1141,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S,146,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S,242,KE,Highchem
ERCEFURYL 200mg CAPS 28'S,176,KE,Highchem
FLAGENTYL 500mg TABS,386,KE,Highchem
FLAGYL 100ml SUSPENSION,574,KE,Highchem
FLEMING 1000mg+200mg 5's INJ,50,KE,Highchem
FLEMING 228.5mg/5ml 70ml SUSPE..,230,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S,133,KE,Highchem
MAALOX 150ml SUSPENSION,161,KE,Highchem
MAALOX 350ml SUSPENSION,0,KE,Highchem
MAALOX 460mg SATCHETS LEMON,169,KE,Highchem
MAALOX PLUS 200MG TABS BL4X10,25,KE,Highchem
NO SPA 40mg TABS 100'S,56,KE,Highchem
NO SPA 40mg/2ml INJECTION 25'S,5,KE,Highchem
NO SPA 40mg/2ml INJECTION 5'S,20,KE,Highchem
NO SPA FORTE 80mg TABS 20'S,2,KE,Highchem
ORELOX 100mg TABS 10'S,117,KE,Highchem
ORELOX 100ml SUSPENSION,10,KE,Highchem
ORELOX 200mg TABS 10'S,477,KE,Highchem
ORELOX 50ml SUSPENSION,32,KE,Highchem
PLAVIX 75mg TABS 28'S,118,KE,Highchem
RESONIUM 454g ADULT POWDER,520,KE,Highchem
RHINATHIOL AD 125ml SP,161,KE,Highchem
RHINATHIOL ENFT 125ml SP,629,KE,Highchem
RHINATHIOL PROM 125ml SP,1218,KE,Highchem
RHINATHIOL SUGAR FREE AD 200ml SRP,66,KE,Highchem
STILNOX 10mg TABS 14'S,944,KE,Highchem
TAVANIC 500mg TABS 5'S,71,KE,Highchem
TAVANIC INJECTION 500mg,50,KE,Highchem
TRITACE 2.5 MG TABS 28s,86,KE,Highchem
TRITACE 5.0mg TABS 30'S,70,KE,Highchem
TRITAZIDE 5/12.5mg TABS 28'S,0,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S,2,KE,Highchem
XATRAL 2.5mg TABS 30'S,-8,KE,Highchem
XATRAL LP 10mg TABS 30'S,130,KE,Highchem
XATRAL LP TABLETS 5MG*56s,4,KE,Highchem
ZOXON 1000mg,360,KE,Highchem
AMARYL M 2MG CP B/30          ,284,KE,Laborex
AMARYL M SR 2MG CP B/30       ,23,KE,Laborex
AMARYL TABS 1MG 30'S          ,53,KE,Laborex
AMARYL TABS 2MG 30'S          ,1404,KE,Laborex
AMARYL TABS 4MG 30'S          ,1773,KE,Laborex
APIDRA SOLOSTAR 100IU/ML 3ML/5,25,KE,Laborex
APROVASC 150-5MG CP B/28      ,49,KE,Laborex
APROVASC 300-5MG CP B/28      ,22,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,412,KE,Laborex
BUSCOPAN PLUS TABS 50'S      .,1261,KE,Laborex
CLEXANE 40MG INJ 2'S          ,1017,KE,Laborex
CLEXANE INJ  20MG 2'S         ,250,KE,Laborex
CLEXANE INJ  60MG 2'S         ,693,KE,Laborex
CLEXANE INJ 80MG 2'S          ,411,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",83,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",145,KE,Laborex
CORDARONE 200MG CP B/30       ,76,KE,Laborex
DAONIL TABS 5MG 100'S         ,65,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,7846,KE,Laborex
EPILIM CHRONO TABS 500MG 100S ,207,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,2702,KE,Laborex
EPILIM IV 400MG PER VIAL      ,116,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,716,KE,Laborex
ERCEFURYL 200MG GELU B/28     ,95,KE,Laborex
ERCEFURYL SUSP BUV F/90ML     ,69,KE,Laborex
FLAGENTYL 500MG CP B/4        ,820,KE,Laborex
FLAGYL SUSP 200MG 100ML       ,1383,KE,Laborex
FLAGYL TABS 400MG 100'S       ,581,KE,Laborex
LANTUS 1000UI VIAL 1'S        ,26,KE,Laborex
LANTUS 300IU/3ML CART/5       ,33,KE,Laborex
LANTUS SOLOSTAR 100IU 3ML 5'S ,161,KE,Laborex
LASIX INJ 20MG/2ML AMP 5'S    ,166,KE,Laborex
LASIX TABS 40MG 20'S          ,2673,KE,Laborex
"MAALOX ME CIT SUSP4,3MLSAC/20 ",223,KE,Laborex
MAALOX PLUS 200MG TABS 40'S  .,12,KE,Laborex
MAALOX SUSP 350ML             ,-13,KE,Laborex
MONOTILDIEM SR 200MG TAB 28'S ,23,KE,Laborex
"MUCOSOLVAN 1,5G/100ML SIR    .",925,KE,Laborex
NO SPA 40MG CP B/100          ,29,KE,Laborex
NO SPA 40MG CP B/20           ,40,KE,Laborex
NO SPA 40MG INJ 2ML B/25      ,44,KE,Laborex
NO SPA 40MG INJ 2ML B/5       ,35,KE,Laborex
NO SPA 80MG CP B/20           ,25,KE,Laborex
ORELOX 100MG CP B/10          ,230,KE,Laborex
ORELOX 200MG CP B/10          ,482,KE,Laborex
ORELOX ENF 40MG/5ML SUS/100ML ,843,KE,Laborex
ORELOX ENF 40MG/5ML SUSP/50ML ,451,KE,Laborex
PLAVIX 75MG CP B/28 AFR       ,44,KE,Laborex
RHINATHIOL AD 5% SP F/125ML   ,372,KE,Laborex
RHINATHIOL PROMETH SP 125ML   ,1822,KE,Laborex
RIFAFOUR TABLETS 84'S         ,171,KE,Laborex
RIFINAH 150/75MG TABS 56'S    ,8,KE,Laborex
RIFOCIN INJ 250MG 1'S         ,683,KE,Laborex
STILNOX TABLETS 10MG 14'S     ,550,KE,Laborex
TARGOCID 200MG/3ML INJ /1     ,17,KE,Laborex
TAVANIC 500MG CP B/5          ,51,KE,Laborex
TELFAST 120MG TABS 10'S       ,6,KE,Laborex
TRITACE 5MG TABS 28'S         ,254,KE,Laborex
TRITAZIDE 5-25MG CP B/28      ,5,KE,Laborex
"XATRAL 2,5MG CP B/30          ",12,KE,Laborex
XATRAL LP 10MG COMP B/30      ,113,KE,Laborex
XATRAL LP 5MG CP B/56         ,24,KE,Laborex
FLAGYL TABS 400mg * 100's,2,KE,Surgipharm
LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,2,KE,Surgipharm
ORELOX SUSP 40MG/5ML 100ML,18,KE,Surgipharm
AMARYL M SR TABS 2MG-500mg * 30's,1,KE,Surgipharm
APROVASC TAB 300-10MG *28,1,KE,Surgipharm
BUSCOPAN AMPOULES 20mg/1ml * 5's,2,KE,Surgipharm
CLEXANE INJ. 20mg * 2,5,KE,Surgipharm
EPILIM EC TABLETS 200mg * 100,2,KE,Surgipharm
EPILIM SYRUP 300ml,3,KE,Surgipharm
FLAGYL SUSPENSION 100ml,4,KE,Surgipharm
FLAGYL TABS 400mg * 100's,8,KE,Surgipharm
FLEMING TABS 625MG * 14'S(SANOFI),8,KE,Surgipharm
LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,2,KE,Surgipharm
MAALOX PLUS TABLETS 200MG * 40's,7,KE,Surgipharm
ORELOX SUSP 40MG/5ML 100ML ,183,KE,Surgipharm
ORELOX SUSP 40MG/5ML 50ML,14,KE,Surgipharm
ORELOX TABS 100MG *10'S,3,KE,Surgipharm
ORELOX TABS 200MG *10'S,129,KE,Surgipharm
RHINATHIOL PROMETHAZINE SYRUP 125ml,20,KE,Surgipharm
TRITAZIDE TABS 5/12.5MG * 28'S,1,KE,Surgipharm
TRITAZIDE TABS 5/25MG * 28'S,1,KE,Surgipharm
XATRAL LP TABS 10mg * 30's,2,KE,Surgipharm
RHINATHIOL INFANT SYRUP 125ml,1,KE,Surgipharm
RHINATHIOL PROMETHAZINE SYRUP 125ml,3,KE,Surgipharm
AMARYL TABS 2mg * 30's,5,KE,Surgipharm
IBEX CAPSULES 2*12,4,KE,Surgipharm
EPILIM SYRUP 300ml,10,KE,Surgipharm
MAALOX PLUS TABLETS 200MG * 40's,20,KE,Surgipharm
AMARYL M TABS 2mg * 30's,5,KE,Surgipharm
APROVEL TABS 300mg * 28's,2,KE,Surgipharm
BRONCHICUM SYRUP * 100ml,10,KE,Surgipharm
BUSCOPAN AMPOULES 20mg/1ml * 5's,0,KE,Surgipharm
