product_description,quantity,country,distributor
Amaryl Tablets 1mg  30's,54,KE,Harleys
Amaryl Tablets 2mg  30's,429,KE,Harleys
Amaryl Tablets 4mg  30's,148,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,5,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,9,KE,Harleys
Aprovel 150mg tablets 28's,3,KE,Harleys
Axacef 250mg Tablets 10's,68,KE,Harleys
Axacef 500mg Tablets 10's,343,KE,Harleys
Bioferon Capsules 30's,1822,KE,Harleys
Bioferon Liquid Syrup 200ml,-11,KE,Harleys
Bronchicum Elixir S 100ml,36,KE,Harleys
Brumed 100mg/5ml Suspension 100ml,640,KE,Harleys
Clexane 20mg injection 2's,92,KE,Harleys
Clexane 40mg inj 2's,1479,KE,Harleys
Clexane 60mg inj 2's,295,KE,Harleys
Clexane 80mg injection 2's,251,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,49,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,143,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,5231,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,221,KE,Harleys
Ercefuryl Capsule 200mg 28`s,128,KE,Harleys
Flagentyl  500mg Tablets 4's,1725,KE,Harleys
Flagyl Injection 500mg/100ml,2759,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,875,KE,Harleys
Flagyl Tablets 400mg 100's,818,KE,Harleys
Fleming 1gm Tablets 14's,41,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,444,KE,Harleys
Fleming 625mg Tablets 14's,817,KE,Harleys
Ibex Capsule 2 x 12's,82,KE,Harleys
Lantus Solostar 100u/3ml 5's - COLD CHAIN,149,KE,Harleys
Lasix 40mg Tablets 20's,1147,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,434,KE,Harleys
Maalox  Plus Suspension 150ml,314,KE,Harleys
Maalox Plus Suspension 350ml,795,KE,Harleys
Maalox Satchets 20's,271,KE,Harleys
Maalox Suspension 150ml,11,KE,Harleys
Maalox Suspension 350ml,96,KE,Harleys
No-Spa 40mg Tablets 100's,33,KE,Harleys
No-Spa 40mg/2ml Injection 25's,208,KE,Harleys
NO-SPA Tablets 40mg 100's,36,KE,Harleys
No-Spa Tablets 40mg 20's,26,KE,Harleys
Orelox 100mg tablets 10's,64,KE,Harleys
Orelox 200mg Tablets 10's,57,KE,Harleys
Orelox 40mg/5ml suspension 100ml,877,KE,Harleys
Orelox 40mg/5ml suspension 50ml,81,KE,Harleys
Paraflam Tablets 10's,325,KE,Harleys
Resonium Adult Powder 454gms,5,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,1420,KE,Harleys
Rhinathiol 5% Syrup 125ml,481,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,36,KE,Harleys
Rifocin injection 250mg/3ml - COLD CHAIN,65,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,5,KE,Harleys
Tavanic Tablets 500mg 5's,229,KE,Harleys
Tritace 10mg Capsules 30's,8,KE,Harleys
Tritace 5mg tablets 28's,54,KE,Harleys
Tritace Tablets 5mg 30`s,4,KE,Harleys
Xatral 5mg Tablets 56's,66,KE,Harleys
Xatral LP Tablets 10mg 30's,198,KE,Harleys
Zeben 400mg Suspension 20ml,12,KE,Harleys
AMARYL M 2mg/500mg 30'S ,370,KE,Highchem
AMARYL M SR 2mg/500mg 30'S ,20,KE,Highchem
AMARYL TABS 1.0mg 30'S ,3,KE,Highchem
AMARYL TABS 2.0mg 30'S ,10,KE,Highchem
AMARYL TABS 4.0mg 30'S ,190,KE,Highchem
AMEDIN 5.0mg TABS 28'S ,50,KE,Highchem
APROVASC 150/5mg TABS 28'S ,10,KE,Highchem
APROVASC 150-10 MG 28'S ,10,KE,Highchem
APROVASC 300-10 MG 28'S ,5,KE,Highchem
APROVASC 300-5MG TABS ,3,KE,Highchem
APROVEL 150mg TABS 28'S ,9,KE,Highchem
APROVEL 300mg TABS 28'S ,31,KE,Highchem
AXACEF 250mg TABS 10'S ,8,KE,Highchem
AXACEF 500mg TABS 10'S ,5,KE,Highchem
BIOFERON CAPS 30'S ,11,KE,Highchem
BRONCHICUM ELIXIR 100ml ,338,KE,Highchem
BRUMED 100ml SUSPENSION ,156,KE,Highchem
BRUMED 400mg TABS 100'S ,25,KE,Highchem
CLEXANE 80mg 2'S ,130,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S ,45,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S ,46,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,11,KE,Highchem
EPILIM 200mg TABS EC 100'S ,260,KE,Highchem
EPILIM 300ml SYRUP ,102,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S ,252,KE,Highchem
ERCEFURYL 200mg CAPS 28'S ,79,KE,Highchem
FLAGENTYL 500mg TABS ,152,KE,Highchem
FLAGYL 100ml VIAFLEX ,-191,KE,Highchem
FLEMING 1000mg+200mg 5's INJ ,4,KE,Highchem
FLEMING 228.5mg/5ml 70ml SUSPE.. ,400,KE,Highchem
FLEMING 500mg+125mg TABS 14'S ,180,KE,Highchem
FLEMING 875mg+125mg TABS 14'S ,61,KE,Highchem
LACTACYD 120ml WASH ,8,KE,Highchem
LANTUS 10ml VIAL ,7,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S ,83,KE,Highchem
LASIX 40mg TABS 20'S ,121,KE,Highchem
MAALOX 150ml SUSPENSION ,131,KE,Highchem
MAALOX 350ml SUSPENSION ,216,KE,Highchem
MAALOX 460mg SATCHETS LEMON ,69,KE,Highchem
MAALOX PLUS 150ml SUSPENSION ,442,KE,Highchem
MAALOX PLUS 350ml SUSPENSION ,1184,KE,Highchem
MONO-TILDIEM SR 200mg TABS 28'S ,75,KE,Highchem
NO SPA 40mg TABS 100'S ,83,KE,Highchem
NO SPA 40mg TABS 20'S ,5,KE,Highchem
