product_description,quantity,country,distributor
Amaryl Tablets 1mg  30's,183,KE,Harleys
Amaryl Tablets 2mg  30's,47,KE,Harleys
Amaryl Tablets 4mg  30's,43,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,30,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,10,KE,Harleys
Aprovel 150mg tablets 28's,7,KE,Harleys
Axacef 250mg Tablets 10's,36,KE,Harleys
Axacef 500mg Tablets 10's,388,KE,Harleys
Clexane 20mg injection 2's,161,KE,Harleys
Clexane 40mg inj 2's,658,KE,Harleys
Clexane 60mg inj 2's,208,KE,Harleys
Clexane 80mg injection 2's,20,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,12,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,18,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,1,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,3,KE,Harleys
Epilim IV 400mg/4ml Vial,40,KE,Harleys
Flagentyl  500mg Tablets 4's,1122,KE,Harleys
Flagyl Injection 500mg/100ml,4300,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,1106,KE,Harleys
Flagyl Tablets 400mg 100's,64,KE,Harleys
Fleming 1gm Tablets 14's,8,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,1226,KE,Harleys
Fleming 625mg Tablets 14's,1021,KE,Harleys
Lantus Solostar 100u/3ml 5's - COLD CHAIN,32,KE,Harleys
Lasix 40mg Tablets 20's,588,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,176,KE,Harleys
Orelox 100mg tablets 10's,7,KE,Harleys
Orelox 200mg Tablets 10's,160,KE,Harleys
Orelox 40mg/5ml suspension 100ml,92,KE,Harleys
Orelox 40mg/5ml suspension 50ml,87,KE,Harleys
Proxacin 500mg Tablets 10's,9,KE,Harleys
Resonium Adult Powder 454gms,31,KE,Harleys
Rifocin injection 250mg/3ml - COLD CHAIN,39,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,15,KE,Harleys
Tavanic Tablets 500mg 5's,5,KE,Harleys
Tritace 10mg Capsules 30's,12,KE,Harleys
Tritace Tablets 5mg 30`s,41,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,6,KE,Harleys
Xatral 5mg Tablets 56's,20,KE,Harleys
Xatral LP Tablets 10mg 30's,291,KE,Harleys
Zeben 400mg Suspension 20ml,12,KE,Harleys
AMARYL M 2mg/500mg 30'S ,75,KE,Highchem
AMARYL TABS 2.0mg 30'S ,-10,KE,Highchem
AMARYL TABS 4.0mg 30'S ,378,KE,Highchem
APROVASC 150/5mg TABS 28'S ,10,KE,Highchem
APROVASC 150-10 MG 28'S ,-3,KE,Highchem
APROVASC 300-10 MG 28'S ,8,KE,Highchem
APROVASC 300-5MG TABS ,13,KE,Highchem
APROVEL 150mg TABS 28'S ,38,KE,Highchem
APROVEL 300mg TABS 28'S ,3,KE,Highchem
AXACEF 250mg TABS 10'S ,8,KE,Highchem
AXACEF 500mg TABS 10'S ,14,KE,Highchem
BIOFERON CAPS 30'S ,77,KE,Highchem
BRONCHICUM ELIXIR 100ml ,1319,KE,Highchem
BRUMED 400mg TABS 100'S ,0,KE,Highchem
CLEXANE 80mg 2'S ,92,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S ,58,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S ,26,KE,Highchem
