product_description,quantity,country,distributor
AMARYL M 2MG CP B/30          ,199,KE,Laborex
AMARYL M SR 2MG CP B/30       ,2,KE,Laborex
AMARYL TABS 1MG 30'S          ,78,KE,Laborex
AMARYL TABS 2MG 30'S          ,331,KE,Laborex
AMARYL TABS 4MG 30'S          ,365,KE,Laborex
APROVASC 150-5MG CP B/28      ,94,KE,Laborex
APROVASC 300-10MG CP B/28     ,96,KE,Laborex
APROVASC 300-5MG CP B/28      ,23,KE,Laborex
APROVEL 150MG RM CP B/28      ,21,KE,Laborex
APROVEL 300MG RM CP B/28      ,12,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,128,KE,Laborex
BUSCOPAN AMPOULES 20MG 5'S    ,92,KE,Laborex
CLEXANE 40MG INJ 2'S          ,1195,KE,Laborex
CLEXANE INJ  20MG 2'S         ,10,KE,Laborex
CLEXANE INJ  60MG 2'S         ,1364,KE,Laborex
CLEXANE INJ 80MG 2'S          ,567,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",61,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",118,KE,Laborex
CORDARONE 200MG CP B/30       ,84,KE,Laborex
DAONIL TABS 5MG 100'S         ,63,KE,Laborex
DULCOLAX TABS 5MG 30'S       .,170,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,4364,KE,Laborex
EPILIM CHRONO TABS 500MG 100S ,492,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,85,KE,Laborex
EPILIM IV 400MG PER VIAL      ,17,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,362,KE,Laborex
ERCEFURYL 200MG GELU B/28     ,203,KE,Laborex
FLAGENTYL 500MG CP B/4        ,695,KE,Laborex
FLAGYL SUSP 200MG 100ML       ,964,KE,Laborex
FLAGYL TABS 400MG 100'S       ,334,KE,Laborex
LANTUS 1000UI VIAL 1'S        ,48,KE,Laborex
LANTUS 300IU/3ML CART/5       ,23,KE,Laborex
LANTUS SOLOSTAR 100IU 3ML 5'S ,117,KE,Laborex
LASIX INJ 20MG/2ML AMP 5'S    ,385,KE,Laborex
"MAALOX ME CIT SUSP4,3MLSAC/20 ",876,KE,Laborex
MAALOX PLUS 200MG TABS 40'S  .,10,KE,Laborex
MAALOX SUSP 350ML             ,489,KE,Laborex
"MUCOSOLVAN 1,5G/100ML SIR    .",3470,KE,Laborex
NO SPA 40MG CP B/100          ,50,KE,Laborex
NO SPA 40MG CP B/20           ,6,KE,Laborex
NO SPA 40MG INJ 2ML B/25      ,5,KE,Laborex
NO SPA 40MG INJ 2ML B/5       ,1,KE,Laborex
NO SPA 80MG CP B/20           ,7,KE,Laborex
ORELOX 100MG CP B/10          ,1191,KE,Laborex
ORELOX 200MG CP B/10          ,528,KE,Laborex
ORELOX ENF 40MG/5ML SUS/100ML ,2160,KE,Laborex
ORELOX ENF 40MG/5ML SUSP/50ML ,637,KE,Laborex
PLAVIX 75MG CP B/28 AFR       ,47,KE,Laborex
RHINATHIOL AD 5% SP F/125ML   ,1327,KE,Laborex
"RHINATHIOL ENF 2% 2,5G /125ML ",2276,KE,Laborex
RHINATHIOL PROMETH SP 125ML   ,4001,KE,Laborex
RIFOCIN INJ 250MG 1'S         ,112,KE,Laborex
STILNOX TABLETS 10MG 14'S     ,338,KE,Laborex
TAVANIC 500MG CP B/5          ,183,KE,Laborex
TAVANIC 500MG/+INFLS VLS3M36XE,113,KE,Laborex
"TRITACE 2,5MG TABS 28'S       ",72,KE,Laborex
TRITACE 5MG TABS 28'S         ,201,KE,Laborex
TRITAZIDE 5-25MG CP B/28      ,2,KE,Laborex
"XATRAL 2,5MG CP B/30          ",14,KE,Laborex
XATRAL LP 10MG COMP B/30      ,12,KE,Laborex
XATRAL LP 5MG CP B/56         ,39,KE,Laborex
AMARYL M 2mg/500mg 30'S,312,KE,Highchem
