product_description,quantity,country,distributor
AMARYL M 2mg/500mg 30'S,140,KE,Highchem
AMARYL TABS 1.0mg 30'S,202,KE,Highchem
AMARYL TABS 2.0mg 30'S,45,KE,Highchem
AMARYL TABS 4.0mg 30'S,140,KE,Highchem
APROVASC 150/5mg TABS 28'S,12,KE,Highchem
APROVASC 300-10 MG 28'S,3,KE,Highchem
APROVEL 300mg TABS 28'S,82,KE,Highchem
BIOFERON CAPS 30'S,40,KE,Highchem
BRONCHICUM ELIXIR 100ml,1270,KE,Highchem
CLEXANE 20mg 2'S,90,KE,Highchem
CLEXANE 40mg 2'S,298,KE,Highchem
CLEXANE 60mg 2'S,90,KE,Highchem
CLEXANE 80mg 2'S,160,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S,47,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S,54,KE,Highchem
CORDARONE TAB 200mg 30'S,50,KE,Highchem
DAONIL 5.0mg TABS 100'S,17,KE,Highchem
DULCOLAX 5MG TABS BL3X10,375,KE,Highchem
ENTEROGERMINA 5.0ml 10'S,672,KE,Highchem
EPILIM 200mg TABS EC 100'S,360,KE,Highchem
EPILIM 300ml SYRUP,115,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S,38,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S,227,KE,Highchem
ERCEFURYL 200mg CAPS 28'S,210,KE,Highchem
ERCEFURYL 4% 90ML SUSPENSION,144,KE,Highchem
FLAGENTYL 500mg TABS,790,KE,Highchem
FLAGYL 100ml SUSPENSION,230,KE,Highchem
FLAGYL 400mg TABS 100'S,46,KE,Highchem
FLEMING 1000mg+200mg 5's INJ,22,KE,Highchem
FLEMING 228.5mg/5ml 70ml SUSPE..,237,KE,Highchem
FLEMING 500mg+125mg TABS 14'S,325,KE,Highchem
FLEMING 875mg+125mg TABS 14'S,259,KE,Highchem
IBEX 200MG CAPSULES 24'S,80,KE,Highchem
LANTUS 10ml VIAL,55,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S,95,KE,Highchem
LASIX 40mg TABS 20'S,1730,KE,Highchem
MAALOX 460mg SATCHETS LEMON,63,KE,Highchem
MAALOX PLUS 200MG TABS BL4X10,174,KE,Highchem
NO SPA 40mg TABS 100'S,8,KE,Highchem
NO SPA 40mg/2ml INJECTION 25'S,9,KE,Highchem
ORELOX 100ml SUSPENSION,131,KE,Highchem
ORELOX 200mg TABS 10'S,239,KE,Highchem
ORELOX 50ml SUSPENSION,118,KE,Highchem
PLAVIX 75mg TABS 28'S,74,KE,Highchem
RESONIUM 454g ADULT POWDER,32,KE,Highchem
RHINATHIOL AD 125ml SP,138,KE,Highchem
RHINATHIOL ENFT 125ml SP,1539,KE,Highchem
RHINATHIOL PROM 125ml SP,2747,KE,Highchem
STILNOX 10mg TABS 14'S,898,KE,Highchem
TAVANIC 500mg TABS 5'S,44,KE,Highchem
TRITACE 2.5 MG TABS 28s,57,KE,Highchem
TRITACE 5.0mg TABS 30'S,67,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S,19,KE,Highchem
XATRAL LP 10mg TABS 30'S,112,KE,Highchem
AMARYL M 2MG CP B/30          ,433,KE,Laborex
AMARYL TABS 1MG 30'S          ,271,KE,Laborex
AMARYL TABS 2MG 30'S          ,781,KE,Laborex
AMARYL TABS 4MG 30'S          ,146,KE,Laborex
APIDRA SOLOSTAR 100IU/ML 3ML/5,1,KE,Laborex
APROVASC 150-5MG CP B/28      ,49,KE,Laborex
APROVASC 300-10MG CP B/28     ,41,KE,Laborex
APROVASC 300-5MG CP B/28      ,12,KE,Laborex
APROVEL 150MG RM CP B/28      ,18,KE,Laborex
APROVEL 300MG RM CP B/28      ,3,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,1810,KE,Laborex
BUSCOPAN AMPOULES 20MG 5'S    ,157,KE,Laborex
BUSCOPAN PLUS TABS 50'S      .,113,KE,Laborex
CLEXANE 40MG INJ 2'S          ,3118,KE,Laborex
CLEXANE INJ  20MG 2'S         ,120,KE,Laborex
CLEXANE INJ  60MG 2'S         ,2340,KE,Laborex
CLEXANE INJ 80MG 2'S          ,533,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",49,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",90,KE,Laborex
CORDARONE 200MG CP B/30       ,57,KE,Laborex
DAONIL TABS 5MG 100'S         ,54,KE,Laborex
DULCOLAX TABS 5MG 30'S       .,44,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,9603,KE,Laborex
EPILIM CHRONO TABS 500MG 100S ,260,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,224,KE,Laborex
EPILIM IV 400MG PER VIAL      ,100,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,440,KE,Laborex
ERCEFURYL 200MG GELU B/28     ,25,KE,Laborex
ERCEFURYL SUSP BUV F/90ML     ,17,KE,Laborex
FLAGENTYL 500MG CP B/4        ,1891,KE,Laborex
FLAGYL INFUSION 100ML         ,5,KE,Laborex
FLAGYL SUSP 200MG 100ML       ,1326,KE,Laborex
FLAGYL TABS 400MG 100'S       ,464,KE,Laborex
LANTUS 1000UI VIAL 1'S        ,35,KE,Laborex
LANTUS 300IU/3ML CART/5       ,36,KE,Laborex
LANTUS SOLOSTAR 100IU 3ML 5'S ,215,KE,Laborex
LASIX INJ 20MG/2ML AMP 5'S    ,152,KE,Laborex
LASIX TABS 40MG 20'S          ,43,KE,Laborex
"MAALOX ME CIT SUSP4,3MLSAC/20 ",281,KE,Laborex
MAALOX PLUS 200MG TABS 40'S  .,212,KE,Laborex
MAALOX SUSP 350ML             ,564,KE,Laborex
MONOTILDIEM SR 200MG TAB 28'S ,2,KE,Laborex
"MUCOSOLVAN 1,5G/100ML SIR    .",4050,KE,Laborex
NO SPA 40MG CP B/100          ,57,KE,Laborex
NO SPA 40MG CP B/20           ,77,KE,Laborex
NO SPA 40MG INJ 2ML B/25      ,16,KE,Laborex
NO SPA 40MG INJ 2ML B/5       ,28,KE,Laborex
NO SPA 80MG CP B/20           ,7,KE,Laborex
ORELOX 100MG CP B/10          ,41,KE,Laborex
ORELOX 200MG CP B/10          ,314,KE,Laborex
ORELOX ENF 40MG/5ML SUS/100ML ,826,KE,Laborex
ORELOX ENF 40MG/5ML SUSP/50ML ,565,KE,Laborex
PLAVIX 75MG CP B/28 AFR       ,93,KE,Laborex
RHINATHIOL AD 5% SP F/125ML   ,1394,KE,Laborex
"RHINATHIOL ENF 2% 2,5G /125ML ",2540,KE,Laborex
RHINATHIOL PROMETH SP 125ML   ,3235,KE,Laborex
RIFOCIN INJ 250MG 1'S         ,382,KE,Laborex
STILNOX TABLETS 10MG 14'S     ,684,KE,Laborex
TARGOCID 200MG/3ML INJ /1     ,2,KE,Laborex
TAVANIC 500MG CP B/5          ,198,KE,Laborex
TAVANIC 500MG/+INFLS VLS3M36XE,16,KE,Laborex
TELFAST 120MG TABS 10'S       ,-4,KE,Laborex
"TRITACE 2,5MG TABS 28'S       ",73,KE,Laborex
TRITACE 5MG TABS 28'S         ,109,KE,Laborex
TRITAZIDE 5-25MG CP B/28      ,3,KE,Laborex
"XATRAL 2,5MG CP B/30          ",11,KE,Laborex
XATRAL LP 10MG COMP B/30      ,16,KE,Laborex
XATRAL LP 5MG CP B/56         ,71,KE,Laborex
ALLSTAR PEN,15,KE,Surgipharm
AMARYL M SR TABS 2MG-500mg * 30's,68,KE,Surgipharm
AMARYL M TABS 2mg * 30's,791,KE,Surgipharm
AMARYL TABS 1mg * 30's,490,KE,Surgipharm
AMARYL TABS 2mg * 30's,462,KE,Surgipharm
AMARYL TABS 4mg * 30's,412,KE,Surgipharm
APIDRA SOLOSTAR 3ML DISP PENS * 5s,7,KE,Surgipharm
APROVASC TAB 150-5MG *28,161,KE,Surgipharm
APROVASC TAB 300-10MG *28,60,KE,Surgipharm
APROVASC TAB 300-5MG *28,117,KE,Surgipharm
APROVEL TABS 150mg * 28's,259,KE,Surgipharm
APROVEL TABS 300mg * 28's,212,KE,Surgipharm
AXACEF TABLETS 250MG * 10,115,KE,Surgipharm
AXACEF TABLETS 500MG * 10's,239,KE,Surgipharm
BIOFERON CAPS *30,76,KE,Surgipharm
BIOFERON SUSP 200ML,256,KE,Surgipharm
BRONCHICUM SYRUP * 100ml,1075,KE,Surgipharm
BUSCOPAN AMPOULES 20mg/1ml * 5's,1019,KE,Surgipharm
BUSCOPAN PLUS TABLETS * 50's,-84,KE,Surgipharm
CLEXANE INJ. 20mg * 2,182,KE,Surgipharm
CLEXANE INJ. 40mg * 2,16429,KE,Surgipharm
CLEXANE INJ. 60mg * 2,331,KE,Surgipharm
CLEXANE INJ. 80mg * 2,228,KE,Surgipharm
CO APROVEL TABS 150mg * 28's,224,KE,Surgipharm
CO APROVEL TABS 300mg * 28's,525,KE,Surgipharm
CORDARONE TABLETS 200mg * 30,209,KE,Surgipharm
DAONIL TABS 5mg * 100's,530,KE,Surgipharm
DULCOLAX TABLETS 5mg * 30's SugarC,6810,KE,Surgipharm
ELOXATIN INJ 50mg * 1,0,KE,Surgipharm
ENTEROGERMINA VIALS 5ML * 10's,8118,KE,Surgipharm
EPILIM CHRONO TABS 300mg * 100,297,KE,Surgipharm
EPILIM CHRONO TABS 500mg * 100,121,KE,Surgipharm
EPILIM EC TABLETS 200mg * 100,1770,KE,Surgipharm
EPILIM INJECTION 400MG * 1 (SODIUM VALPROATE),50,KE,Surgipharm
EPILIM SYRUP 300ml,616,KE,Surgipharm
ERCEFURYL CAPSULES 200mg * 28,113,KE,Surgipharm
ERCEFURYL SUSPENSION 90ml,2,KE,Surgipharm
FLAGENTYL TABS 500mg * 4,2435,KE,Surgipharm
FLAGYL INFUSION (VIAFLEX)100ml*1,8871,KE,Surgipharm
FLAGYL SUSPENSION 100ml,3357,KE,Surgipharm
FLAGYL TABS 400mg * 100's,521,KE,Surgipharm
FLEMING INJ 1.2GM * 5'S,110,KE,Surgipharm
FLEMING SUSP 228.5MG/5ML * 70ML,2157,KE,Surgipharm
FLEMING SUSP 457MG/5ML * 70ML,686,KE,Surgipharm
FLEMING TABS 1 G * 2*7'S,67,KE,Surgipharm
FLEMING TABS 625MG * 14'S,1184,KE,Surgipharm
IBEX CAPSULES 2*12,458,KE,Surgipharm
LANTUS 10ml VIAL,246,KE,Surgipharm
LANTUS 3ml CARTRIDGE * 5's,53,KE,Surgipharm
LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,796,KE,Surgipharm
LASIX AMPS 2ml * 5,440,KE,Surgipharm
LASIX TABS 40mg * 20,239,KE,Surgipharm
MAALOX LEMON STICK 460mg/susp *20s,656,KE,Surgipharm
MAALOX PLUS TABLETS 200MG * 40's,209,KE,Surgipharm
MAALOX SUSPENSION 350ml,495,KE,Surgipharm
MONO-TILDIEM CAPS SR 200mg * 28's,63,KE,Surgipharm
MUCOSOLVAN LIQUID 15mg/5ml * 100ml,3063,KE,Surgipharm
NO SPA FORTE TABLETS 80MG * 20,69,KE,Surgipharm
NO SPA INJECTION 40mg/2ml * 25Amps,62,KE,Surgipharm
NO SPA TABLETS 40mg * 100's,117,KE,Surgipharm
NO SPA TABLETS 40mg * 20,116,KE,Surgipharm
ORELOX SUSP 40MG/5ML 100ML,2717,KE,Surgipharm
ORELOX SUSP 40MG/5ML 50ML,1118,KE,Surgipharm
