product_description,quantity,country,distributor
AMARYL M 2mg/500mg 30'S,233,KE,Highchem
AMARYL TABS 1.0mg 30'S,95,KE,Highchem
AMARYL TABS 2.0mg 30'S,177,KE,Highchem
AMARYL TABS 4.0mg 30'S,30,KE,Highchem
APROVASC 150/5mg TABS 28'S,15,KE,Highchem
APROVASC 150-10 MG 28'S,0,KE,Highchem
APROVASC 300-5MG TABS,-3,KE,Highchem
APROVEL 150mg TABS 28'S,16,KE,Highchem
APROVEL 300mg TABS 28'S,32,KE,Highchem
BIOFERON CAPS 30'S,2,KE,Highchem
BRONCHICUM ELIXIR 100ml,1000,KE,Highchem
CLEXANE 20mg 2'S,40,KE,Highchem
CLEXANE 40mg 2'S,265,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S,24,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S,55,KE,Highchem
CORDARONE TAB 200mg 30'S,56,KE,Highchem
DAONIL 5.0mg TABS 100'S,184,KE,Highchem
ENTEROGERMINA 5.0ml 10'S,612,KE,Highchem
EPILIM 200mg TABS EC 100'S,118,KE,Highchem
EPILIM 300ml SYRUP,646,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S,222,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S,246,KE,Highchem
ERCEFURYL 200mg CAPS 28'S,95,KE,Highchem
FLAGENTYL 500mg TABS,90,KE,Highchem
FLAGYL 100ml SUSPENSION,175,KE,Highchem
FLEMING 1000mg+200mg 5's INJ,129,KE,Highchem
FLEMING 228.5mg/5ml 70ml SUSPE..,564,KE,Highchem
FLEMING 500mg+125mg TABS 14'S,448,KE,Highchem
FLEMING 875mg+125mg TABS 14'S,410,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S,137,KE,Highchem
LASIX 20mg AMPS 5'S,100,KE,Highchem
LASIX 40mg TABS 20'S,170,KE,Highchem
MAALOX 150ml SUSPENSION,171,KE,Highchem
MAALOX 350ml SUSPENSION,-358,KE,Highchem
MAALOX 460mg SATCHETS LEMON,388,KE,Highchem
MAALOX PLUS 200MG TABS BL4X10,60,KE,Highchem
NO SPA 40mg TABS 100'S,96,KE,Highchem
NO SPA 40mg TABS 20'S,5,KE,Highchem
NO SPA 40mg/2ml INJECTION 25'S,7,KE,Highchem
ORELOX 100mg TABS 10'S,104,KE,Highchem
ORELOX 100ml SUSPENSION,178,KE,Highchem
ORELOX 200mg TABS 10'S,122,KE,Highchem
ORELOX 50ml SUSPENSION,40,KE,Highchem
PLAVIX 75mg TABS 28'S,65,KE,Highchem
RESONIUM 454g ADULT POWDER,26,KE,Highchem
RHINATHIOL AD 125ml SP,650,KE,Highchem
RHINATHIOL ENFT 125ml SP,1986,KE,Highchem
RHINATHIOL PROM 125ml SP,2226,KE,Highchem
RHINATHIOL SUGAR FREE AD 200ml SRP,26,KE,Highchem
STILNOX 10mg TABS 14'S,921,KE,Highchem
TAVANIC 500mg TABS 5'S,122,KE,Highchem
TAVANIC INJECTION 500mg,50,KE,Highchem
TRITACE 2.5 MG TABS 28s,30,KE,Highchem
TRITACE 5.0mg TABS 30'S,30,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S,2,KE,Highchem
XATRAL LP 10mg TABS 30'S,184,KE,Highchem
XATRAL LP TABLETS 5MG*56s,2,KE,Highchem
Amaryl M 2mg/500mgtablets 30's,544,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,22,KE,Harleys
Amaryl Tablets 1mg  30's,132,KE,Harleys
Amaryl Tablets 2mg  30's,330,KE,Harleys
Amaryl Tablets 4mg  30's,51,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,3,KE,Harleys
Aprovasc 150mg/10mg tablets 28's,0,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,56,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,2,KE,Harleys
Aprovel 150mg tablets 28's,41,KE,Harleys
Aprovel 300mg tablets 28's,73,KE,Harleys
Axacef 250mg Tablets 10's,21,KE,Harleys
Axacef 500mg Tablets 10's,54,KE,Harleys
Bioferon Capsules 30's,865,KE,Harleys
Bronchicum Elixir S 100ml,12,KE,Harleys
Buscopan injection 20mg/ml  - 5s,567,KE,Harleys
Buscopan plus tablets 50's,7590,KE,Harleys
Clexane 20mg injection 2's,540,KE,Harleys
Clexane 40mg inj 2's,1757,KE,Harleys
Clexane 60mg inj 2's,0,KE,Harleys
Clexane 80mg injection 2's,411,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,174,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,0,KE,Harleys
Cordarone Tablets 200mg 30's,198,KE,Harleys
Daonil 5mg Tablets 100's,4,KE,Harleys
Eloxatin 5mg/ml  Injection 10ml,0,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,3935,KE,Harleys
Epilim Chrono 300mg  Tablets 100's - DDA,256,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,479,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,285,KE,Harleys
Epilim IV 400mg/4ml Vial,222,KE,Harleys
Epilim Liquid 300ml -DDA,809,KE,Harleys
Ercefuryl 4% Syrup 90ml,22,KE,Harleys
Flagentyl  500mg Tablets 4's,5849,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,16,KE,Harleys
Flagyl Tablets 400mg 100's,34,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,423,KE,Harleys
Fleming 1gm Tablets 14's,616,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,2359,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,1127,KE,Harleys
Fleming 625mg Tablets 14's,-17,KE,Harleys
Ibex Capsule 2 x 12's,479,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,8,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,450,KE,Harleys
Lantus vial 10ml - COLD CHAIN,8,KE,Harleys
Lasix 40mg Tablets 20's,1859,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,170,KE,Harleys
Maalox plus 200mg (4x10),454,KE,Harleys
Maalox Stick Satchets 20's,590,KE,Harleys
Maalox Suspension 350ml,707,KE,Harleys
Monotildiem SR 200mg Capsules 28's,61,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,5596,KE,Harleys
No-Spa 40mg Tablets 100's,182,KE,Harleys
No-Spa 40mg/2ml Injection 25's,26,KE,Harleys
No-Spa Forte 80mg Tablets 20's,17,KE,Harleys
No-Spa Tablets 40mg 20's,0,KE,Harleys
Orelox 100mg tablets 10's,4,KE,Harleys
Orelox 200mg Tablets 10's,863,KE,Harleys
Orelox 40mg/5ml suspension 100ml,840,KE,Harleys
Orelox 40mg/5ml suspension 50ml,402,KE,Harleys
Paraflam Tablets 10's,50,KE,Harleys
Plavix 75mg Tablets 28's,108,KE,Harleys
Resonium Adult Powder 454gms,36,KE,Harleys
Rhinathiol Adult 5% Syrup 125ml,1001,KE,Harleys
Rhinathiol Infant 2% Syrup 125ml - Paed,1407,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,6049,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,868,KE,Harleys
Targocid 200mg/vial inj,16,KE,Harleys
Tavanic 500mg inj 1FL 100ml,0,KE,Harleys
Tavanic Tablets 500mg 5's,436,KE,Harleys
Taxotere 20mg/Vial,10,KE,Harleys
Taxotere 80mg/4ml Injection Vial,98,KE,Harleys
Tritace 2.5mg tabs 28's,78,KE,Harleys
Tritace 5mg tablets 28's,100,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,1,KE,Harleys
Xatral 5mg Tablets 56's,70,KE,Harleys
Xatral LP Tablets 10mg 30's,0,KE,Harleys
Zoxon 1gm Injection 1's,1336,KE,Harleys
AMARYL M 2MG CP B/30          ,444,KE,Laborex
AMARYL M SR 2MG CP B/30       ,22,KE,Laborex
AMARYL TABS 1MG 30'S          ,312,KE,Laborex
AMARYL TABS 2MG 30'S          ,430,KE,Laborex
AMARYL TABS 4MG 30'S          ,422,KE,Laborex
APIDRA SOLOSTAR 100IU/ML 3ML/5,-12,KE,Laborex
APROVASC 150-5MG CP B/28      ,15,KE,Laborex
APROVASC 300-5MG CP B/28      ,14,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,888,KE,Laborex
BUSCOPAN PLUS TABS 50'S      .,2329,KE,Laborex
CLEXANE 40MG INJ 2'S          ,1666,KE,Laborex
CLEXANE INJ  20MG 2'S         ,819,KE,Laborex
CLEXANE INJ  60MG 2'S         ,1505,KE,Laborex
CLEXANE INJ 80MG 2'S          ,604,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",38,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",120,KE,Laborex
CORDARONE 200MG CP B/30       ,78,KE,Laborex
DAONIL TABS 5MG 100'S         ,85,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,4014,KE,Laborex
EPILIM CHRONO TABS 500MG 100S ,258,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,83,KE,Laborex
EPILIM IV 400MG PER VIAL      ,6,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,1049,KE,Laborex
ERCEFURYL 200MG GELU B/28     ,65,KE,Laborex
ERCEFURYL SUSP BUV F/90ML     ,73,KE,Laborex
FLAGENTYL 500MG CP B/4        ,689,KE,Laborex
FLAGYL SUSP 200MG 100ML       ,1078,KE,Laborex
FLAGYL TABS 400MG 100'S       ,527,KE,Laborex
LANTUS 1000UI VIAL 1'S        ,33,KE,Laborex
LANTUS 300IU/3ML CART/5       ,15,KE,Laborex
LANTUS SOLOSTAR 100IU 3ML 5'S ,166,KE,Laborex
