product_description,quantity,country,distributor
Amaryl M SR 2mg/500mg tablets 30's,20,KE,Harleys
Amaryl Tablets 1mg  30's,148,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,1,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,36,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,9,KE,Harleys
Aprovel 300mg tablets 28's,30,KE,Harleys
Axacef 250mg Tablets 10's,110,KE,Harleys
Axacef 500mg Tablets 10's,325,KE,Harleys
Bioferon Capsules 30's,354,KE,Harleys
Clexane 40mg inj 2's,2011,KE,Harleys
Clexane 60mg inj 2's,119,KE,Harleys
Clexane 80mg injection 2's,450,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,156,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,3,KE,Harleys
Cordarone Tablets 200mg 30's,-1,KE,Harleys
Dulcolax 5mg tablets 30's,1474,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,2716,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,193,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,210,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,2603,KE,Harleys
Epilim IV 400mg/4ml Vial,38,KE,Harleys
Epilim Liquid 300ml,4,KE,Harleys
Ercefuryl 4% Syrup 90ml,5,KE,Harleys
Ercefuryl Capsule 200mg 28`s,94,KE,Harleys
Flagentyl  500mg Tablets 4's,1864,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,1981,KE,Harleys
Flagyl Viaflex 0.5mg injection- 100ml,4898,KE,Harleys
Fleming 1gm Tablets 14's,180,KE,Harleys
Ibex Capsule 2 x 12's,790,KE,Harleys
Lantus Solostar 100u/3ml 5's - COLD CHAIN,280,KE,Harleys
Lantus vial 10ml - COLD CHAIN,34,KE,Harleys
Lasix 40mg Tablets 20's,903,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,592,KE,Harleys
Maalox  Plus Suspension 150ml,688,KE,Harleys
Maalox plus 200mg (4x10),741,KE,Harleys
Maalox Suspension 150ml,33,KE,Harleys
Maalox Suspension 350ml,105,KE,Harleys
Monotildiem SR 200mg Capsules 28's,10,KE,Harleys
No-Spa 40mg Tablets 100's,28,KE,Harleys
No-Spa 40mg/2ml Injection 25's,4,KE,Harleys
No-Spa Forte 80mg Tablets 20's,3,KE,Harleys
NO-SPA Tablets 40mg 100's,20,KE,Harleys
No-Spa Tablets 40mg 20's,8,KE,Harleys
Orelox 100mg tablets 10's,121,KE,Harleys
