product_description,quantity,country,distributor
Amaryl M 2mg/500mgtablets 30's,235,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,4,KE,Harleys
Amaryl Tablets 1mg  30's,99,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,40,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,16,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,48,KE,Harleys
Aprovel 150mg tablets 28's,48,KE,Harleys
Aprovel 300mg tablets 28's,31,KE,Harleys
Axacef 250mg Tablets 10's,197,KE,Harleys
Axacef 500mg Tablets 10's,251,KE,Harleys
Bioferon Capsules 30's,1026,KE,Harleys
Buscopan injection 20mg/ml  - 5s,152,KE,Harleys
Buscopan plus tablets 50's,5826,KE,Harleys
Clexane 40mg inj 2's,917,KE,Harleys
Clexane 60mg inj 2's,444,KE,Harleys
Clexane 80mg injection 2's,648,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,89,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,144,KE,Harleys
Cordarone Tablets 200mg 30's,89,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,331,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,128,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,1200,KE,Harleys
Epilim Liquid 300ml,1012,KE,Harleys
Ercefuryl Capsule 200mg 28`s,1,KE,Harleys
Flagentyl  500mg Tablets 4's,3780,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,1495,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,1,KE,Harleys
Fleming 1gm Tablets 14's,555,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,83,KE,Harleys
Fleming 625mg Tablets 14's,1690,KE,Harleys
Ibex Capsule 2 x 12's,2357,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,7,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,3,KE,Harleys
Lasix 40mg Tablets 20's,1497,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,9,KE,Harleys
Maalox plus 200mg (4x10),782,KE,Harleys
Maalox Stick Satchets 20's,49,KE,Harleys
Maalox Suspension 350ml,921,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,3470,KE,Harleys
No-Spa 40mg Tablets 100's,195,KE,Harleys
No-Spa 40mg/2ml Injection 25's,35,KE,Harleys
No-Spa Tablets 40mg 20's,10,KE,Harleys
Orelox 100mg tablets 10's,69,KE,Harleys
Orelox 200mg Tablets 10's,580,KE,Harleys
Orelox 40mg/5ml suspension 100ml,631,KE,Harleys
Orelox 40mg/5ml suspension 50ml,1,KE,Harleys
Paraflam Tablets 10's,57,KE,Harleys
Plavix 75mg Tablets 28's,104,KE,Harleys
Resonium Adult Powder 454gms,194,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,-2,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,707,KE,Harleys
Targocid 200mg/vial inj,10,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,130,KE,Harleys
Tavanic 500mg inj 1FL 100ml,285,KE,Harleys
Tavanic Tablets 500mg 5's,908,KE,Harleys
Taxotere 80mg/4ml Injection Vial,84,KE,Harleys
Tritace 5mg tablets 28's,30,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,13,KE,Harleys
Xatral 5mg Tablets 56's,58,KE,Harleys
Xatral LP Tablets 10mg 30's,297,KE,Harleys
AMARYL M 2mg/500mg 30'S ,21,KE,Highchem
AMARYL TABS 1.0mg 30'S ,2,KE,Highchem
AMARYL TABS 2.0mg 30'S ,21,KE,Highchem
AMARYL TABS 4.0mg 30'S ,4,KE,Highchem
APROVASC 150/5mg TABS 28'S ,5,KE,Highchem
APROVEL 150mg TABS 28'S ,2,KE,Highchem
BIOFERON CAPS 30'S ,10,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S ,1,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S ,2,KE,Highchem
CORDARONE TAB 200mg 30'S ,11,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,6,KE,Highchem
EPILIM 200mg TABS EC 100'S ,16,KE,Highchem
EPILIM 300ml SYRUP ,95,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S ,34,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S ,5,KE,Highchem
FLAGENTYL 500mg TABS ,185,KE,Highchem
FLAGYL 100ml SUSPENSION ,105,KE,Highchem
FLAGYL 100ml VIAFLEX ,191,KE,Highchem
FLEMING 1000mg+200mg 5's INJ ,82,KE,Highchem
IBEX 200MG CAPSULES 24'S ,32,KE,Highchem
LANTUS 10ml VIAL ,4,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S ,116,KE,Highchem
LASIX 40mg TABS 20'S ,108,KE,Highchem
MAALOX 150ml SUSPENSION ,212,KE,Highchem
MAALOX 350ml SUSPENSION ,91,KE,Highchem
MAALOX PLUS 150ml SUSPENSION ,5,KE,Highchem
MAALOX PLUS 200MG TABS BL4X10 ,8,KE,Highchem
MAALOX PLUS 350ml SUSPENSION ,0,KE,Highchem
NO SPA 40mg TABS 100'S ,1,KE,Highchem
NO SPA 40mg TABS 20'S ,13,KE,Highchem
NO SPA 40mg/2ml INJECTION 5'S ,6,KE,Highchem
OMIZEC 20mg CAPS 28'S ,91,KE,Highchem
ORELOX 100mg TABS 10'S ,142,KE,Highchem
ORELOX 100ml SUSPENSION ,37,KE,Highchem
ORELOX 200mg TABS 10'S ,10,KE,Highchem
PLAVIX 75mg TABS 28'S ,20,KE,Highchem
RHINATHIOL ENFT 125ml SP ,3,KE,Highchem
RHINATHIOL PROM 125ml SP ,1547,KE,Highchem
RHINATHIOL SUGAR FREE AD 200ml SRP ,29,KE,Highchem
STILNOX 10mg TABS 14'S ,425,KE,Highchem
TRITACE 10.0mg TABS 30'S ,15,KE,Highchem
TRITACE 2.5 MG TABS 28s ,33,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S ,1,KE,Highchem
XATRAL LP 10mg TABS 30'S ,29,KE,Highchem
XATRAL LP TABLETS 5MG*56s ,13,KE,Highchem
AMARYL M 2MG CP B/30          ,421,KE,Laborex
AMARYL M SR 2MG CP B/30       ,17,KE,Laborex
AMARYL TABS 1MG 30'S          ,214,KE,Laborex
AMARYL TABS 2MG 30'S          ,1558,KE,Laborex
AMARYL TABS 4MG 30'S          ,5,KE,Laborex
APIDRA SOLOSTAR 100IU/ML 3ML/5,2,KE,Laborex
APROVASC 150-5MG CP B/28      ,78,KE,Laborex
APROVASC 300-5MG CP B/28      ,26,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,29,KE,Laborex
BUSCOPAN AMPOULES 20MG 5'S    ,14,KE,Laborex
BUSCOPAN PLUS TABS 50'S      .,2153,KE,Laborex
CLEXANE 40MG INJ 2'S          ,1748,KE,Laborex
CLEXANE INJ  60MG 2'S         ,354,KE,Laborex
CLEXANE INJ 80MG 2'S          ,122,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",85,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",218,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,5169,KE,Laborex
EPILIM CHRONO TABS 500MG 100S ,249,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,190,KE,Laborex
EPILIM IV 400MG PER VIAL      ,26,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,378,KE,Laborex
ERCEFURYL 200MG GELU B/28     ,76,KE,Laborex
ERCEFURYL SUSP BUV F/90ML     ,191,KE,Laborex
FLAGENTYL 500MG CP B/4        ,1255,KE,Laborex
FLAGYL SUSP 200MG 100ML       ,347,KE,Laborex
LANTUS 1000UI VIAL 1'S        ,197,KE,Laborex
LANTUS 300IU/3ML CART/5       ,24,KE,Laborex
LANTUS SOLOSTAR 100IU 3ML 5'S ,481,KE,Laborex
LASIX TABS 40MG 20'S          ,1950,KE,Laborex
"MAALOX ME CIT SUSP4,3MLSAC/20 ",726,KE,Laborex
MAALOX PLUS 200MG TABS 40'S  .,204,KE,Laborex
MAALOX SUSP 350ML             ,231,KE,Laborex
MAALOX SUSPENSION 150ML       ,57,KE,Laborex
"MUCOSOLVAN 1,5G/100ML SIR    .",2728,KE,Laborex
NO SPA 40MG CP B/100          ,141,KE,Laborex
NO SPA 40MG CP B/20           ,240,KE,Laborex
NO SPA 40MG INJ 2ML B/25      ,6,KE,Laborex
NO SPA 40MG INJ 2ML B/5       ,8,KE,Laborex
NO SPA 80MG CP B/20           ,30,KE,Laborex
ORELOX 100MG CP B/10          ,204,KE,Laborex
ORELOX 200MG CP B/10          ,631,KE,Laborex
ORELOX ENF 40MG/5ML SUS/100ML ,1267,KE,Laborex
ORELOX ENF 40MG/5ML SUSP/50ML ,803,KE,Laborex
PLAVIX 75MG CP B/28 AFR       ,54,KE,Laborex
RHINATHIOL AD 5% SP F/125ML   ,1482,KE,Laborex
"RHINATHIOL ENF 2% 2,5G /125ML ",17126,KE,Laborex
RHINATHIOL PROMETH SP 125ML   ,10236,KE,Laborex
RIFAFOUR TABLETS 84'S         ,3,KE,Laborex
RIFINAH 150/75MG TABS 56'S    ,99,KE,Laborex
RIFOCIN INJ 250MG 1'S         ,81,KE,Laborex
STILNOX TABLETS 10MG 14'S     ,1631,KE,Laborex
TAVANIC 500MG CP B/5          ,193,KE,Laborex
"TRITACE TABS 2,5MG 30'S       ",230,KE,Laborex
TRITACE TABS 5MG 30'S         ,333,KE,Laborex
TRITAZIDE 5-25MG CP B/28      ,4,KE,Laborex
"XATRAL 2,5MG CP B/30          ",19,KE,Laborex
XATRAL LP 10MG COMP B/30      ,107,KE,Laborex
XATRAL LP 5MG CP B/56         ,80,KE,Laborex
ALLSTAR PEN,5,KE,Surgipharm
AMARYL M SR TABS 2-500mg * 30's,79,KE,Surgipharm
AMARYL M TABS 2mg * 30's,423,KE,Surgipharm
AMARYL TABS 1mg * 30's,94,KE,Surgipharm
AMARYL TABS 2mg * 30's,195,KE,Surgipharm
APIDRA SOLOSTAR 3ML DISP PENS * 5s,28,KE,Surgipharm
APROVASC TAB 150-5MG *28,116,KE,Surgipharm
APROVASC TAB 300-10MG *28,62,KE,Surgipharm
APROVASC TAB 300-5MG *28,40,KE,Surgipharm
APROVEL TABS 150mg * 28's,78,KE,Surgipharm
APROVEL TABS 300mg * 28's,59,KE,Surgipharm
AXACEF TABLETS 250MG * 10,45,KE,Surgipharm
AXACEF TABLETS 500MG * 10's,16,KE,Surgipharm
CLEXANE INJ. 20mg * 2,148,KE,Surgipharm
CLEXANE INJ. 40mg * 2,75,KE,Surgipharm
CLEXANE INJ. 40mg * 2,12074,KE,Surgipharm
CLEXANE INJ. 60mg * 2,40,KE,Surgipharm
CLEXANE INJ. 60mg * 2,894,KE,Surgipharm
CLEXANE INJ. 80mg * 2,597,KE,Surgipharm
CO APROVEL TABS 150mg * 28's,97,KE,Surgipharm
CO APROVEL TABS 300mg * 28's,200,KE,Surgipharm
CORDARONE TABLETS 200mg * 30,80,KE,Surgipharm
DAONIL TABS 5mg * 100's,1,KE,Surgipharm
DAONIL TABS 5mg * 100's (F),0,KE,Surgipharm
EPILIM CHRONO TABS 300mg * 100,505,KE,Surgipharm
EPILIM CHRONO TABS 500mg * 100,498,KE,Surgipharm
EPILIM EC TABLETS 200mg * 100,312,KE,Surgipharm
EPILIM SYRUP 300ml,999,KE,Surgipharm
FLAGENTYL TABS 500mg * 4,748,KE,Surgipharm
FLAGYL SUSPENSION 100ml,741,KE,Surgipharm
LANTUS 10ml VIAL,40,KE,Surgipharm
LANTUS 3ml CARTRIDGE * 5's,11,KE,Surgipharm
LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,645,KE,Surgipharm
LASIX TABS 40mg * 20,1683,KE,Surgipharm
MONO-TILDIEM CAPS SR 200mg * 28's,121,KE,Surgipharm
ORELOX SUSP 40MG/5ML 100ML,1185,KE,Surgipharm
ORELOX SUSP 40MG/5ML 50ML,262,KE,Surgipharm
ORELOX TABS 100MG *10'S,920,KE,Surgipharm
ORELOX TABS 200MG *10'S,795,KE,Surgipharm
PLAVIX TABS 75mg * 28's,181,KE,Surgipharm
RESONIUM ADULT POWDER 454G,13,KE,Surgipharm
RIFOCIN INJ. 250mg * 1's,703,KE,Surgipharm
STILNOX TABS 10MG * 14,1260,KE,Surgipharm
TARGOCID INJ 400mg * 1s,14,KE,Surgipharm
