product_description,quantity,country,distributor
Amaryl M 2mg/500mgtablets 30's,237,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,3,KE,Harleys
Amaryl Tablets 1mg  30's,79,KE,Harleys
Amaryl Tablets 2mg  30's,53,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,18,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,39,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,39,KE,Harleys
Aprovel 150mg tablets 28's,66,KE,Harleys
Aprovel 300mg tablets 28's,44,KE,Harleys
Axacef 250mg Tablets 10's,138,KE,Harleys
Axacef 500mg Tablets 10's,326,KE,Harleys
Bioferon Capsules 30's,320,KE,Harleys
Bronchicum Elixir S 100ml,344,KE,Harleys
Buscopan injection 20mg/ml  - 5s,18,KE,Harleys
Buscopan plus tablets 50's,3970,KE,Harleys
Clexane 20mg injection 2's,81,KE,Harleys
Clexane 40mg inj 2's,850,KE,Harleys
Clexane 60mg inj 2's,567,KE,Harleys
Clexane 80mg injection 2's,422,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,132,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,3,KE,Harleys
Cordarone Tablets 200mg 30's,99,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,3757,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,1,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,773,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,1197,KE,Harleys
Epilim Liquid 300ml,561,KE,Harleys
Ercefuryl Capsule 200mg 28`s,86,KE,Harleys
Flagentyl  500mg Tablets 4's,1988,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,678,KE,Harleys
Fleming 1gm Tablets 14's,423,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,2038,KE,Harleys
Fleming 625mg Tablets 14's,1212,KE,Harleys
Ibex Capsule 2 x 12's,833,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,27,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,171,KE,Harleys
Lasix 40mg Tablets 20's,1499,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,1148,KE,Harleys
Maalox Plus Suspension 150ml,98,KE,Harleys
Maalox Stick Satchets 20's,552,KE,Harleys
Maalox Suspension 350ml,347,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,4620,KE,Harleys
No-Spa 40mg Tablets 100's,66,KE,Harleys
No-Spa 40mg/2ml Injection 25's,26,KE,Harleys
No-Spa Tablets 40mg 20's,18,KE,Harleys
Orelox 100mg tablets 10's,84,KE,Harleys
Orelox 200mg Tablets 10's,531,KE,Harleys
Orelox 40mg/5ml suspension 100ml,542,KE,Harleys
Orelox 40mg/5ml suspension 50ml,107,KE,Harleys
Paraflam Tablets 10's,100,KE,Harleys
Plavix 75mg Tablets 28's,235,KE,Harleys
Rhinathiol 5% Sugar Free Syrup 200ml,117,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,2,KE,Harleys
Roxicef 750mg Dry Powder For Injection - 1s,2,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,474,KE,Harleys
Tavanic Tablets 500mg 5's,151,KE,Harleys
Taxotere 80mg/4ml Injection Vial,36,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,13,KE,Harleys
Xatral LP Tablets 10mg 30's,301,KE,Harleys
Zoxon 1gm Injection 1's,51,KE,Harleys
AMARYL M 2mg/500mg 30'S ,111,KE,Highchem
AMARYL TABS 4.0mg 30'S ,83,KE,Highchem
APROVASC 300-10 MG 28'S ,0,KE,Highchem
APROVASC 300-5MG TABS ,1,KE,Highchem
APROVEL 150mg TABS 28'S ,43,KE,Highchem
APROVEL 300mg TABS 28'S ,21,KE,Highchem
AXACEF 250mg TABS 10'S ,0,KE,Highchem
AXACEF 500mg TABS 10'S ,362,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,479,KE,Highchem
EPILIM 200mg TABS EC 100'S ,39,KE,Highchem
EPILIM 300ml SYRUP ,108,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S ,0,KE,Highchem
ERCEFURYL 200mg CAPS 28'S ,20,KE,Highchem
ERCEFURYL 4% 90ML SUSPENSION ,0,KE,Highchem
FLAGENTYL 500mg TABS ,721,KE,Highchem
IBEX 200MG CAPSULES 24'S ,57,KE,Highchem
LANTUS 10ml VIAL ,4,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S ,32,KE,Highchem
LASIX 40mg TABS 20'S ,538,KE,Highchem
MAALOX 150ml SUSPENSION ,615,KE,Highchem
MAALOX 350ml SUSPENSION ,140,KE,Highchem
MAALOX PLUS 200MG TABS BL4X10 ,22,KE,Highchem
NO SPA 40mg TABS 20'S ,104,KE,Highchem
NO SPA 40mg/2ml INJECTION 25'S ,3,KE,Highchem
NO SPA 40mg/2ml INJECTION 5'S ,12,KE,Highchem
NO SPA FORTE 80mg TABS 20'S ,-16,KE,Highchem
OMIZEC 20mg CAPS 28'S ,100,KE,Highchem
ORELOX 100mg TABS 10'S ,605,KE,Highchem
ORELOX 100ml SUSPENSION ,241,KE,Highchem
ORELOX 200mg TABS 10'S ,190,KE,Highchem
PLAVIX 75mg TABS 28'S ,15,KE,Highchem
RESONIUM 454g ADULT POWDER ,-1,KE,Highchem
RHINATHIOL PROM 125ml SP ,2985,KE,Highchem
RHINATHIOL SUGAR FREE AD 200ml SRP ,6,KE,Highchem
STILNOX 10mg TABS 14'S ,106,KE,Highchem
