product_description,quantity,country,distributor
Amaryl M 2mg/500mgtablets 30's,205,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,26,KE,Harleys
Amaryl Tablets 1mg  30's,172,KE,Harleys
Amaryl Tablets 2mg  30's,60,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,25,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,63,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,25,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,78,KE,Harleys
Aprovel 150mg tablets 28's,243,KE,Harleys
Aprovel 300mg tablets 28's,58,KE,Harleys
Axacef 250mg Tablets 10's,227,KE,Harleys
Axacef 500mg Tablets 10's,118,KE,Harleys
Bioferon Capsules 30's,1112,KE,Harleys
Bronchicum Elixir S 100ml,3702,KE,Harleys
Buscopan injection 20mg/ml  - 5s,-8,KE,Harleys
Buscopan plus tablets 50's,6054,KE,Harleys
Clexane 20mg injection 2's,311,KE,Harleys
Clexane 40mg inj 2's,1300,KE,Harleys
Clexane 60mg inj 2's,531,KE,Harleys
Clexane 80mg injection 2's,230,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,215,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,286,KE,Harleys
Cordarone Tablets 200mg 30's,138,KE,Harleys
Eloxatin 5mg/ml  Injection 20ml,5,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,3301,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,123,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,591,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,2354,KE,Harleys
Epilim IV 400mg/4ml Vial,200,KE,Harleys
Epilim Liquid 300ml,1399,KE,Harleys
Ercefuryl Capsule 200mg 28`s,34,KE,Harleys
Flagentyl  500mg Tablets 4's,4341,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,-1,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,210,KE,Harleys
Fleming 1gm Tablets 14's,556,KE,Harleys
Fleming 625mg Tablets 14's,6365,KE,Harleys
Ibex Capsule 2 x 12's,4720,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,6,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,574,KE,Harleys
Lantus vial 10ml - COLD CHAIN,-1,KE,Harleys
Lasix 40mg Tablets 20's,1175,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,775,KE,Harleys
Maalox plus 200mg (4x10),505,KE,Harleys
Maalox Plus Suspension 150ml,173,KE,Harleys
Maalox Stick Satchets 20's,874,KE,Harleys
Maalox Suspension 350ml,220,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,7021,KE,Harleys
No-Spa 40mg Tablets 100's,75,KE,Harleys
No-Spa 40mg/2ml Injection 25's,329,KE,Harleys
No-Spa Forte 80mg Tablets 20's,214,KE,Harleys
NO-SPA Tablets 40mg 100's,92,KE,Harleys
No-Spa Tablets 40mg 20's,34,KE,Harleys
Orelox 100mg tablets 10's,629,KE,Harleys
Orelox 200mg Tablets 10's,1886,KE,Harleys
Orelox 40mg/5ml suspension 100ml,345,KE,Harleys
Orelox 40mg/5ml suspension 50ml,612,KE,Harleys
Plavix 75mg Tablets 28's,341,KE,Harleys
Resonium Adult Powder 454gms,36,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,5820,KE,Harleys
Rhinathiol Expectorant/Adult Syrup 125ml,171,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,0,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,637,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,40,KE,Harleys
Tavanic Tablets 500mg 5's,521,KE,Harleys
Taxotere 20mg/Vial,40,KE,Harleys
Tritace 2.5mg tabs 28's,28,KE,Harleys
Tritazide 5mg/12.5mg Tablets 28's,6,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,2,KE,Harleys
Xatral 5mg Tablets 56's,121,KE,Harleys
Xatral LP Tablets 10mg 30's,266,KE,Harleys
AMARYL M 2mg/500mg 30'S ,80,KE,Highchem
AMARYL TABS 3.0mg 30'S ,-11,KE,Highchem
AMARYL TABS 4.0mg 30'S ,146,KE,Highchem
APROVASC 150-10 MG 28'S ,-8,KE,Highchem
APROVASC 300-10 MG 28'S ,20,KE,Highchem
APROVASC 300-5MG TABS ,8,KE,Highchem
APROVEL 150mg TABS 28'S ,0,KE,Highchem
APROVEL 300mg TABS 28'S ,22,KE,Highchem
AXACEF 500mg TABS 10'S ,13,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,443,KE,Highchem
EPILIM 200mg TABS EC 100'S ,18,KE,Highchem
EPILIM 300ml SYRUP ,52,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S ,5,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S ,20,KE,Highchem
ERCEFURYL 200mg CAPS 28'S ,20,KE,Highchem
FLAGENTYL 500mg TABS ,165,KE,Highchem
LANTUS 10ml VIAL ,3,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S ,52,KE,Highchem
LASIX 20mg AMPS 5'S ,114,KE,Highchem
LASIX 40mg TABS 20'S ,400,KE,Highchem
MAALOX 150ml SUSPENSION ,-31,KE,Highchem
MAALOX 350ml SUSPENSION ,130,KE,Highchem
MAALOX PLUS 150ml SUSPENSION ,-5,KE,Highchem
