MONTH,COUNTRY,DISTRIBUTOR,CUSTOMER,PRODUCT,QUANTITY_UNITS
1,KE,SURGIPHARM,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING SUSP 228.5MG/5ML * 70ML,10
1,KE,SURGIPHARM,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING SUSP 457MG/5ML * 70ML,10
1,KE,SURGIPHARM,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING TABS 1 G * 2*7'S,10
1,KE,SURGIPHARM,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING SUSP 457MG/5ML * 70ML,10
1,KE,SURGIPHARM,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING INJ 1.2GM * 5'S,1
1,KE,SURGIPHARM,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING INJ 1.2GM * 5'S,1
1,KE,SURGIPHARM,AAR HEALTHCARE (KENYA) LIMITED - NBI,FLEMING TABS 1 G * 2*7'S,1
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),AMARYL M TABS 2mg * 30's,15
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),FLAGYL SUSPENSION 100ml,30
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),AMARYL TABS 4mg * 30's,15
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),EPILIM SYRUP 300ml,30
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),XATRAL LP TABS 10mg * 30's,30
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),MUCOSOLVAN LIQUID 15mg/5ml * 100ml,20
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),BUSCOPAN TABLETS BP 10MG * 50S,20
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),EPILIM SYRUP 300ml,30
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),LASIX AMPS 2ml * 5,60
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),CLEXANE INJ. 20mg * 2,60
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),LASIX TABS 40mg * 20,80
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),DULCOLAX TABLETS 5mg * 30's SugarC,20
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),FLAGENTYL TABS 500mg * 4,20
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),MONO-TILDIEM CAPS SR 200mg * 28's,6
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),XATRAL LP TABS 10mg * 30's,10
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),AMARYL M TABS 2mg * 30's,50
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),AMARYL TABS 4mg * 30's,20
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),ENTEROGERMINA VIALS 5ML * 10's,185
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),RHINATHIOL ADULT EXP 200M(SUGAR FR),10
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),RHINATHIOL INFANT SYRUP 125ml,300
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),RHINATHIOL PROMETHAZINE SYRUP 125ml,40
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),BUSCOPAN AMPOULES 20mg/1ml * 5's,40
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),ORELOX TABS 200MG *10'S,26
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),AMARYL TABS 2mg * 30's,30
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),FLAGYL SUSPENSION 100ml,100
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),RHINATHIOL EXPEC/ADULT SYRUP 125ml,120
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),CLEXANE INJ. 20mg * 2,50
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),CLEXANE INJ. 80mg * 2,30
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),CLEXANE INJ. 40mg * 2,60
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),EPILIM EC TABLETS 200mg * 100,10
1,KE,SURGIPHARM,AGA KHAN HEALTH SERVICES(KSM),MUCOSOLVAN LIQUID 15mg/5ml * 100ml,150
1,KE,SURGIPHARM,AGA KHAN HOSPITAL (MSA),CLEXANE INJ. 20mg * 2,25
1,KE,SURGIPHARM,AGA KHAN HOSPITAL (MSA),CLEXANE INJ. 40mg * 2,68
