product_description,quantity,country,distributor
AMARYL M SR TABS 2MG-500mg * 30's,55,KE,Surgipharm
AMARYL M TABS 2mg * 30's,421,KE,Surgipharm
AMARYL TABS 1mg * 30's,189,KE,Surgipharm
AMARYL TABS 2mg * 30's,452,KE,Surgipharm
AMARYL TABS 4mg * 30's,362,KE,Surgipharm
APIDRA SOLOSTAR 3ML DISP PENS * 5s,20,KE,Surgipharm
APROVASC TAB 150-5MG *28,216,KE,Surgipharm
APROVASC TAB 300-10MG *28,66,KE,Surgipharm
APROVASC TAB 300-5MG *28,126,KE,Surgipharm
APROVEL TABS 150mg * 28's,117,KE,Surgipharm
APROVEL TABS 300mg * 28's,37,KE,Surgipharm
AXACEF TABLETS 250MG * 10,142,KE,Surgipharm
AXACEF TABLETS 500MG * 10's,160,KE,Surgipharm
CORDARONE TABLETS 200mg * 30,264,KE,Surgipharm
EPILIM CHRONO TABS 300mg * 100,444,KE,Surgipharm
EPILIM CHRONO TABS 500mg * 100,351,KE,Surgipharm
EPILIM EC TABLETS 200mg * 100,5012,KE,Surgipharm
EPILIM INJECTION 400MG * 1,137,KE,Surgipharm
EPILIM SYRUP 300ml,764,KE,Surgipharm
FLAGENTYL TABS 500mg * 4,2746,KE,Surgipharm
FLAGYL SUSPENSION 100ml,1253,KE,Surgipharm
FLAGYL TABS 400mg * 100's,904,KE,Surgipharm
FLEMING INJ 1.2GM * 5'S,12,KE,Surgipharm
FLEMING TABS 1 G * 2*7'S,654,KE,Surgipharm
LANTUS 10ml VIAL,87,KE,Surgipharm
LANTUS 3ml CARTRIDGE * 5's,53,KE,Surgipharm
LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,542,KE,Surgipharm
LASIX AMPS 2ml * 5,572,KE,Surgipharm
LASIX TABS 40mg * 20,1817,KE,Surgipharm
MONO-TILDIEM CAPS SR 200mg * 28's,70,KE,Surgipharm
ORELOX SUSP 40MG/5ML 100ML,2095,KE,Surgipharm
ORELOX SUSP 40MG/5ML 50ML,483,KE,Surgipharm
ORELOX TABS 100MG *10'S,740,KE,Surgipharm
ORELOX TABS 200MG *10'S,1583,KE,Surgipharm
PLAVIX TABS 75mg * 28's,218,KE,Surgipharm
RESONIUM ADULT POWDER 454G,29,KE,Surgipharm
RIFOCIN INJ. 250mg * 1's,536,KE,Surgipharm
STILNOX TABS 10MG * 14,1377,KE,Surgipharm
TARGOCID INJ 400mg * 1s,126,KE,Surgipharm
TAVANIC INJ. 500mg VIAL,253,KE,Surgipharm
TAVANIC TABS 500mg * 5,167,KE,Surgipharm
TAXOTERE 80mg/4ml * 1 VIAL,60,KE,Surgipharm
TRITACE TABS 5mg * 28's,285,KE,Surgipharm
TRITAZIDE TABS 5/25MG * 28'S,8,KE,Surgipharm
XATRAL LP TABLETS 5mg * 56's,105,KE,Surgipharm
XATRAL LP TABS 10mg * 30's,494,KE,Surgipharm
Flagentyl  500mg Tablets 4's ,56,KE,Harleys
Amaryl Tablets 1mg  30's ,214,KE,Harleys
Cordarone Tablets 200mg 30's ,4,KE,Harleys
Tavanic Tablets 500mg 5's ,265,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's ,40,KE,Harleys
Maalox Suspension 350ml ,261,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA ,16,KE,Harleys
Epilim Chrono 300mg  Tablets 100's - DDA ,141,KE,Harleys
Flagyl Tablets 400mg 100's ,584,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP ,278,KE,Harleys
Lasix 40mg Tablets 20's ,348,KE,Harleys
Amaryl Tablets 2mg  30's ,"1,158.00",KE,Harleys
Amaryl Tablets 4mg  30's ,242,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml ,"8,794.00",KE,Harleys
Stilnox10mg Tablet's 14's - DDA ,795,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml ,"2,019.00",KE,Harleys
Tritace 2.5mg tabs 28's ,27,KE,Harleys
Bioferon Capsules 30's ,315,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's ,571,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml ,"2,577.00",KE,Harleys
Fleming 625mg Tablets 14's ,17,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml ,"1,158.00",KE,Harleys
Fleming 1gm Tablets 14's ,402,KE,Harleys
Monotildiem SR 200mg Capsules 28's ,21,KE,Harleys
No-Spa 40mg/2ml Injection 25's ,3,KE,Harleys
No-Spa Forte 80mg Tablets 20's ,26,KE,Harleys
Paraflam Tablets 10's ,22,KE,Harleys
Plavix 75mg Tablets 28's ,1,KE,Harleys
Xatral 5mg Tablets 56's ,1,KE,Harleys
Zoxon 1gm Injection 1's ,"6,400.00",KE,Harleys
No-Spa Tablets 40mg 20's ,2,KE,Harleys
Eloxatin 5mg/ml  Injection 20ml ,20,KE,Harleys
Plavix 75mg Tablets 28's ,112,KE,Harleys
No-Spa 40mg Tablets 100's ,1,KE,Harleys
Orelox 200mg Tablets 10's ,6,KE,Harleys
Rhinathiol Infant 2% Syrup 125ml - Paed ,"4,051.00",KE,Harleys
Rhinathiol Adult 5% Syrup 125ml ,"1,166.00",KE,Harleys
Taxotere 80mg/4ml Injection Vial ,2,KE,Harleys
Maalox Stick Satchets 20's,"1,618.00",KE,Harleys
Amaryl M 2mg/500mgtablets 30's ,294,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's ,-5,KE,Harleys
Aprovel 150mg tablets 28's ,30,KE,Harleys
Aprovel 300mg tablets 28's ,62,KE,Harleys
Aprovasc 150mg/10mg tablets 28's ,0,KE,Harleys
Aprovasc 150mg/5mg tablets 28's ,27,KE,Harleys
Orelox 100mg tablets 10's ,287,KE,Harleys
Orelox 40mg/5ml suspension 50ml ,508,KE,Harleys
Orelox 40mg/5ml suspension 100ml ,466,KE,Harleys
Epilim EC 200mg tablets 100's - DDA ,10,KE,Harleys
Clexane 40mg inj 2's ,"1,015.00",KE,Harleys
Clexane 80mg injection 2's ,295,KE,Harleys
Epilim IV 400mg/4ml Vial ,34,KE,Harleys
Lantus vial 10ml - COLD CHAIN ,7,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN ,-10,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN ,223,KE,Harleys
Maalox plus 200mg (4x10) ,171,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN ,3,KE,Harleys
Buscopan plus tablets 50's ,"9,777.00",KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml ,"5,935.00",KE,Harleys
Buscopan injection 20mg/ml  - 5s,791,KE,Harleys
AMARYL M 2MG CP B/30          ,137,KE,Laborex
AMARYL M SR 2MG CP B/30       ,2,KE,Laborex
AMARYL TABS 1MG 30'S          ,82,KE,Laborex
AMARYL TABS 2MG 30'S          ,343,KE,Laborex
AMARYL TABS 4MG 30'S          ,202,KE,Laborex
APIDRA SOLOSTAR 100IU/ML 3ML/5,2,KE,Laborex
APROVASC 150-5MG CP B/28      ,18,KE,Laborex
APROVASC 300-5MG CP B/28      ,9,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,"1,476.00",KE,Laborex
